name,response_code,result_count,response_code2,result_count2,analysis_runtime
4el1k/Spring-Api-Hibernate-JOOQ,200,1,200,5,12.185210069000275
66xc1/lazy-punch,200,1,200,5,14.19876441999986
ABCLV/ABLV_IngSW,200,1,200,1,12.730338309999752
APSfurizon/fz-backend,200,1,200,3,39.66594562099999
AWS-Cloud-Community-LPU/mailing-service,200,1,200,1,4.784009345999948
AffectedArc07/ParaUtil,200,1,200,1,9.192147786999158
AisleiAvila/empresa,200,1,200,7,11.498337009000352
AkaLrz/E-commercial-Platfrom,200,4,200,5,8.824830165000094
AlexSpeal/Tracking-Bot,200,1,200,3,6.971520156999759
Alexandr-Kokorin/JavaCourse2024,200,1,200,3,18.08852099799969
AlexzTj/p2p,200,1,200,2,7.684989680999934
AlphaFoxz/oneboot,200,1,200,2,7.303501206999499
AnastasiaPleshkova/tnkf-tracker,200,1,200,2,7.540856042999621
AndrewSalygin/LinkTracker-Tinkoff,200,1,200,3,6.888410427999588
Andrey582/NotificationBot,200,1,200,3,12.985906085000352
Ani512/online-tutoring-app-backend,200,1,200,5,28.00413007000043
AntonioRusan/LinkTracker,200,1,200,5,9.989437043999716
Apress/beginning-jooq,200,3,200,30,51.63324570399982
Apress/pro-spring-6,200,2,200,4,18.467873222999515
AprilHan1992/fleet-spring-boot,200,1,200,1,35.031426904
ArcaHozota/nasb1995edv3,200,1,200,4,43.15050070199959
Arden30/TinkoffJavaBackendSpring23-24,200,1,200,4,13.96775549999984
AtroposBot/Atropos,200,1,200,1,13.643742250000289
Atsushi68/trunk,200,1,200,2,31.8755817830006
Ayazkins/Java-Tinkoff-sem-2,200,1,200,4,10.22014451099949
BRP-API/brp-api-gezag,200,1,200,2,8.682247712999924
BenMAPCE/BenCloudServer,200,1,200,24,257.7914926150006
BinaryIgor/tools-and-templates,200,2,200,10,10.961258023000482
Blackdread/rest-filter,200,1,200,1,9.171419729999798
BlakieSL/SpringJOOQ_DAO,200,1,200,2,8.158315133999167
BluBluBlaBla/vidsummize,200,1,200,1,6.199901812999997
BogBond2000/Itmo_labs,200,1,200,3,6.909570042999803
BorisovAlexspb/Update_tracker_bot,200,1,200,8,9.06061698600024
Bruh3509/updates-tracker,200,1,200,4,7.841859182999542
BuchnevDmitry/LinkTracker,200,1,200,3,7.29932535900025
BudgetingWebsite/Backend,200,1,200,8,8.734980414999882
CaXaPCMeDoM/tinkoff-java-course-2024-backend,200,1,200,6,6.460267401000237
CaptainCluster/data_intensive_assignment_3,200,1,200,1,10.468407163999473
CatOrLeader/Tinkoff_Link_Tracker,200,1,200,3,8.059658735000085
ChatCode9/ChatCode-backend,200,1,200,11,42.37098246400001
Claydelas/dashboard-fx,200,1,200,1,16.88820584699988
D-Muscipula/tinkoff-java-backend-link-tracker-project,200,1,200,4,7.861260804999802
DanieleGotti/MED,200,1,200,39,27.818423505000283
Daniil-Vl/link-tracker,200,1,200,6,4.895409496999491
Daniil4639/Tinkoff_Repository_2,200,1,200,3,4.611210889999711
DanjiTalk/danji-talk-backend,200,1,200,3,7.03408400599983
Dankoy/jforwarder,200,1,200,2,7.822798096000042
DarplexDev/darplex-java,200,1,200,1,10.44037420099994
DavidJi80/springboot,200,1,200,1,5.3131200609996085
DiSSCo/dissco-core-annotation-processing-service,200,1,200,5,12.305321855999864
DiSSCo/dissco-core-backend,200,1,200,7,19.79598365899983
DiSSCo/dissco-core-digital-specimen-processor,200,1,200,3,19.044470802999967
DiSSCo/dissco-core-translator,200,1,200,5,10.880221087999416
DiSSCo/dissco-data-exporter-backend,200,1,200,3,7.185624685000221
DiamondArt/Java-jooq,200,2,200,2,16.5579216240003
DmitriyKosolobov/java-course-2024-backend,200,1,200,4,7.582165702999191
DrBrother/notification-system,200,1,200,4,8.643396348999886
DragomiroiuStefan/rideshare,200,1,200,6,11.955618971000147
Drewbie18/spring-rest,200,1,200,3,6.7287617120000505
E1psycongr00/STUDY_REFERENCE,200,1,200,2,4.208404722999148
E1psycongr00/study_jooq_codegen_with_flyway_jpa,200,1,200,2,4.502233626000816
EHRoute/EHR-Route,200,1,200,1,5.001928167000187
Efler/microservice-data-bus,200,3,200,7,5.242875825000738
Efler/telegram-scrapper-bot,200,1,200,4,6.197823131000405
Eliorika/tinkoff-java-backend,200,1,200,5,6.140796592000697
Emented/webLab3,200,1,200,1,8.72454170400033
EngineDevOps2/programming-todolist-fullstack,200,1,200,1,7.884171204000268
EuphoriaV/UpdateMonitoringBot,200,1,200,4,6.29696213599982
FOKO-KENMOGNE-Wilfried/siggeac_prototype,200,1,200,3,7.944025965000037
FeKom/lab-ecommerce,200,1,200,1,4.791339893999975
FeldmannJR/constellation-common,200,1,200,4,6.560878021999997
FeldmannJR/redstonegang,200,11,200,2,70.0983915880006
Fics3/tink_java_backend_course_spring,200,1,200,8,14.607029025999507
FilippoBolis/MED_Progetto_Ing_Software_23_24,200,1,200,24,21.962337307999405
FrankChen021/bithon,200,1,200,41,65.49844147699969
FrankChen021/bithon-demo,200,1,200,1,4.548795568999594
GAIM-Tech-OM/killbill-ompay-plugin,200,1,200,1,23.098317916999804
Gabriele-Mazzoleni/SmarTrip,200,1,200,3,5.805453029999626
Garrettc96/cacophony,200,1,200,8,18.75318718300059
Geomatys/examind-community,200,1,200,2,83.94272407599965
GeorgyDemidenkov/DemidenkovGD_Y-234_2kurs2sem,200,1,200,2,19.015409253000144
Grigalgol/vk_education_hm6,200,1,200,4,18.376626397999644
GyrosOfWar/imagehive,200,1,200,7,16.410557301999688
HSLdevcom/jore4-jore3-importer,200,2,200,37,102.11224768900048
Hamednallah/Basariat-POS,200,1,200,26,55.06462288399962
Hamednallah/Market-POS,200,2,200,11,11.06617784700029
Hellblazer/quantum-db,200,1,200,2,24.630843490999723
Hixon10/spring-boot-security,200,1,200,1,4.580685959999755
HoZanDung/ho-workflow,200,1,200,19,45.68516464699951
Hogeyama/try-java,200,1,200,2,11.861326680000277
IAGrig/link-updates-notifier,200,1,200,3,5.271807684999658
IlyaAbramovv/UpdatesAnnouncer,200,1,200,3,12.357855996999206
IvanShabunin379/java-course-2024,200,1,200,3,8.657560718999775
JGMelon22/ListDemoJava,200,1,200,1,4.413930710999921
JacobLewandowskiDev/GwentMMO-Backend,200,1,200,1,6.656379402000312
JakeMathews/recommendation-engine,200,1,200,3,4.314744250000331
JixinZhang19/Online-Shopping-System-for-Black-Friday,200,7,200,8,9.502922953000052
JohannesRabauer/hibernate-vs-jooq,200,1,200,3,3.5068385559998205
Jominjong/mjjo-test-project,200,1,200,3,8.48339387500073
KEN3pei/oauth-hands-on,200,2,200,6,21.27775391399973
KGjertsson/macro-hub,200,1,200,12,86.83773822600051
