name,response_code,result_count,response_code2,result_count2
4el1k/Spring-Api-Hibernate-JOOQ,200,1,200,5
66xc1/lazy-punch,200,1,200,5
ABCLV/ABLV_IngSW,200,1,200,1
APSfurizon/fz-backend,200,1,200,3
AWS-Cloud-Community-LPU/mailing-service,200,1,200,1
AffectedArc07/ParaUtil,200,1,200,1
AisleiAvila/empresa,200,1,200,7
AkaLrz/E-commercial-Platfrom,200,4,200,5
AlexSpeal/Tracking-Bot,200,1,200,3
Alexandr-Kokorin/JavaCourse2024,200,1,200,3
AlexzTj/p2p,200,1,200,2
AlphaFoxz/oneboot,200,1,200,2
AnastasiaPleshkova/tnkf-tracker,200,1,200,2
AndrewSalygin/LinkTracker-Tinkoff,200,1,200,3
Andrey582/NotificationBot,200,1,200,3
Ani512/online-tutoring-app-backend,200,1,200,5
AntonioRusan/LinkTracker,200,1,200,5
Apress/beginning-jooq,200,3,200,30
Apress/pro-spring-6,200,2,200,4
AprilHan1992/fleet-spring-boot,200,1,200,1
ArcaHozota/nasb1995edv3,200,1,200,4
Arden30/TinkoffJavaBackendSpring23-24,200,1,200,4
AtroposBot/Atropos,200,1,200,1
Atsushi68/trunk,200,1,200,2
Ayazkins/Java-Tinkoff-sem-2,200,1,200,4
BRP-API/brp-api-gezag,200,1,200,2
BenMAPCE/BenCloudServer,200,1,200,24
BinaryIgor/tools-and-templates,200,2,200,10
Blackdread/rest-filter,200,1,200,1
BlakieSL/SpringJOOQ_DAO,200,1,200,2
BluBluBlaBla/vidsummize,200,1,200,1
BogBond2000/Itmo_labs,200,1,200,3
BorisovAlexspb/Update_tracker_bot,200,1,200,8
Bruh3509/updates-tracker,200,1,200,4
BuchnevDmitry/LinkTracker,200,1,200,3
BudgetingWebsite/Backend,200,1,200,8
CaXaPCMeDoM/tinkoff-java-course-2024-backend,200,1,200,6
CaptainCluster/data_intensive_assignment_3,200,1,200,1
CatOrLeader/Tinkoff_Link_Tracker,200,1,200,3
ChatCode9/ChatCode-backend,200,1,200,11
Claydelas/dashboard-fx,200,1,200,1
D-Muscipula/tinkoff-java-backend-link-tracker-project,200,1,200,4
DanieleGotti/MED,200,1,200,39
Daniil-Vl/link-tracker,200,1,200,6
Daniil4639/Tinkoff_Repository_2,200,1,200,3
DanjiTalk/danji-talk-backend,200,1,200,3
Dankoy/jforwarder,200,1,200,2
DarplexDev/darplex-java,200,1,200,1
DavidJi80/springboot,200,1,200,1
Davincii254/Stroom,200,15,200,17
DiSSCo/dissco-core-annotation-processing-service,200,1,200,5
DiSSCo/dissco-core-backend,200,1,200,7
DiSSCo/dissco-core-digital-specimen-processor,200,1,200,3
DiSSCo/dissco-core-translator,200,1,200,5
DiSSCo/dissco-data-exporter-backend,200,1,200,3
DiamondArt/Java-jooq,200,2,200,2
DmitriyKosolobov/java-course-2024-backend,200,1,200,4
DrBrother/notification-system,200,1,200,4
DragomiroiuStefan/rideshare,200,1,200,6
Drewbie18/spring-rest,200,1,200,3
E1psycongr00/STUDY_REFERENCE,200,1,200,2
E1psycongr00/study_jooq_codegen_with_flyway_jpa,200,1,200,2
EHRoute/EHR-Route,200,1,200,1
Efler/microservice-data-bus,200,3,200,7
Efler/telegram-scrapper-bot,200,1,200,4
Eliorika/tinkoff-java-backend,200,1,200,5
Emented/webLab3,200,1,200,1
EngineDevOps2/programming-todolist-fullstack,200,1,200,1
EuphoriaV/UpdateMonitoringBot,200,1,200,4
FOKO-KENMOGNE-Wilfried/siggeac_prototype,200,1,200,3
FeKom/lab-ecommerce,200,1,200,1
FeldmannJR/constellation-common,200,1,200,4
FeldmannJR/redstonegang,200,11,200,2
Fics3/tink_java_backend_course_spring,200,1,200,8
FilippoBolis/MED_Progetto_Ing_Software_23_24,200,1,200,24
FrankChen021/bithon,200,1,200,41
FrankChen021/bithon-demo,200,1,200,1
GAIM-Tech-OM/killbill-ompay-plugin,200,1,200,1
Gabriele-Mazzoleni/SmarTrip,200,1,200,3
Garrettc96/cacophony,200,1,200,8
Geomatys/examind-community,200,1,200,2
GeorgyDemidenkov/DemidenkovGD_Y-234_2kurs2sem,200,1,200,2
Grigalgol/vk_education_hm6,200,1,200,4
GyrosOfWar/imagehive,200,1,200,7
HSLdevcom/jore4-jore3-importer,200,2,200,37
Hamednallah/Basariat-POS,200,1,200,26
Hamednallah/Market-POS,200,2,200,11
Hellblazer/quantum-db,200,1,200,2
Hixon10/spring-boot-security,200,1,200,1
HoZanDung/ho-workflow,200,1,200,19
Hogeyama/try-java,200,1,200,2
IAGrig/link-updates-notifier,200,1,200,3
IlyaAbramovv/UpdatesAnnouncer,200,1,200,3
