Project,Antipattern,File,Line from,Line to,Comment
alexxiuccia/TrackMe,Rounding Errors,codice/TM_db/src-generated/it/trackme/jooq/generated/tables/Alimento.java,71,71,toiteväärtuse andmed
alexxiuccia/TrackMe,Rounding Errors,codice/TM_db/src-generated/it/trackme/jooq/generated/tables/Alimento.java,76,76,toiteväärtuse andmed
alexxiuccia/TrackMe,Rounding Errors,codice/TM_db/src-generated/it/trackme/jooq/generated/tables/Alimento.java,81,81,toiteväärtuse andmed
alexxiuccia/TrackMe,Keyless Entry,codice/TM_db/src-generated/it/trackme/jooq/generated/tables/Composizionericetta.java,55,55,viide ricetta tabeli primaarvõtmele
alexxiuccia/TrackMe,Keyless Entry,codice/TM_db/src-generated/it/trackme/jooq/generated/tables/Composizionericetta.java,60,60,viide alimento tabeli primaarvõtmele
alexxiuccia/TrackMe,Keyless Entry,codice/TM_db/src-generated/it/trackme/jooq/generated/tables/Creazionepasto.java,55,55,viide pasto tabeli primaarvõtmele
alexxiuccia/TrackMe,Keyless Entry,codice/TM_db/src-generated/it/trackme/jooq/generated/tables/Creazionepasto.java,60,60,viide ricetta tabeli primaarvõtmele
alexxiuccia/TrackMe,Keyless Entry,codice/TM_db/src-generated/it/trackme/jooq/generated/tables/Pasto.java,61,61,viide pasto tabeli primaarvõtmele
alexxiuccia/TrackMe,Keyless Entry,codice/TM_db/src-generated/it/trackme/jooq/generated/tables/Pasto.java,66,66,Viide user tabeli primaarvõtmele
alexxiuccia/TrackMe,31 Flavors,codice/TM_db/src-generated/it/trackme/jooq/generated/tables/Pasto.java,71,71,Check constraint
alexxiuccia/TrackMe,Rounding Errors,codice/TM_db/src-generated/it/trackme/jooq/generated/tables/User.java,87,87,rahaline väärtus
alexxiuccia/TrackMe,Keyless Entry,codice/TM_db/src-generated/it/trackme/jooq/generated/tables/Workout.java,66,66,Viide user tabeli primaarvõtmele
alexxiuccia/TrackMe,Implicit Columns,codice/TM_logic/src/main/java/it/trackme/TM_logic/GestisciAlimento.java,17,17,selectFrom(
alexxiuccia/TrackMe,Implicit Columns,codice/TM_logic/src/main/java/it/trackme/TM_logic/GestisciAlimento.java,29,29,selectFrom(
alexxiuccia/TrackMe,Implicit Columns,codice/TM_logic/src/main/java/it/trackme/TM_logic/GestisciUtente.java,20,20,selectFrom(
alexxiuccia/TrackMe,Readable Passwords,codice/TM_logic/src/main/java/it/trackme/TM_logic/GestisciUtente.java,43,43,Parooli hoiustamine toorel kujul
alexxiuccia/TrackMe,Readable Passwords,codice/TM_logic/src/main/java/it/trackme/TM_logic/GestisciUtente.java,58,58,Parooli võrdlus toorel kujul
alexxiuccia/TrackMe,Implicit Columns,codice/TM_logic/src/main/java/it/trackme/TM_logic/GestisciUtente.java,54,54,selectFrom(
alvin-qh/study-java,ID Required,springboot/jooq/src/jooq/java/alvin/study/springboot/jooq/infra/model/public_/tables/Department.java,59,59,"createField(DSL.name(""id"") suured tähed"
