Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
4el1k_Spring-Api-Hibernate-JOOQ,ID Required,spring-impl/src/main/java/ru/itis/model/jooq/schema/tables/Account.java,56,56,"public final TableField<AccountRecord, UUID> ID = createField(DSL.name(""id""), SQLDataType.UUID.nullable(false).defaultValue(DSL.field(""uuid_generate_v4()"", SQLDataType.UUID)), this, """");",The primary key column is generically named 'id' instead of a more descriptive name like 'account_id'. Consider renaming the column to 'account_id' to make it self-documenting and avoid ambiguity in queries with multiple tables.
4el1k_Spring-Api-Hibernate-JOOQ,Keyless Entry,spring-impl/src/main/java/ru/itis/model/jooq/schema/tables/AssociativeListenerMusic.java,58,58,"public final TableField<AssociativeListenerMusicRecord, UUID> MUSIC_ID = createField(DSL.name(""music_id""), SQLDataType.UUID.nullable(false), this, """");","The MUSIC_ID column appears to reference the Music table but lacks a foreign key constraint, which could lead to orphaned records and data integrity issues. Add a foreign key constraint referencing the MUSIC_PK primary key in the Music table."
4el1k_Spring-Api-Hibernate-JOOQ,ID Required,spring-impl/src/main/java/ru/itis/model/jooq/schema/tables/Author.java,58,58,"public final TableField<AuthorRecord, UUID> ID = createField(DSL.name(""id""), SQLDataType.UUID.nullable(false).defaultValue(DSL.field(""uuid_generate_v4()"", SQLDataType.UUID)), this, """");","The table has a synthetic primary key named 'id' while also having a unique constraint on 'name' (AUTHOR_NAME_UNIQUE_CONSTRAINT) which could serve as a natural primary key. Consider using the 'name' column as the primary key if it is stable and immutable, or rename the 'id' column to something more descriptive like 'author_id'."
4el1k_Spring-Api-Hibernate-JOOQ,ID Required,spring-impl/src/main/java/ru/itis/model/jooq/schema/tables/Listener.java,58,58,"public final TableField<ListenerRecord, UUID> ID = createField(DSL.name(""id""), SQLDataType.UUID.nullable(false).defaultValue(DSL.field(""uuid_generate_v4()"", SQLDataType.UUID)), this, """");","The table has a synthetic primary key named 'id' while also having a unique constraint on 'name' (LISTENER_NAME_UNIQUE_CONSTRAINT) which could serve as a natural primary key. Consider using the 'name' column as the primary key if it is stable and immutable, or rename the 'id' column to something more descriptive like 'listener_id'."
4el1k_Spring-Api-Hibernate-JOOQ,ID Required,spring-impl/src/main/java/ru/itis/model/jooq/schema/tables/Manager.java,58,58,"public final TableField<ManagerRecord, UUID> ID = createField(DSL.name(""id""), SQLDataType.UUID.nullable(false).defaultValue(DSL.field(""uuid_generate_v4()"", SQLDataType.UUID)), this, """");",The primary key column is generically named 'id' instead of a more descriptive name like 'manager_id'. Consider renaming the column to 'manager_id' to make it self-documenting and avoid ambiguity in queries with joins.
4el1k_Spring-Api-Hibernate-JOOQ,ID Required,spring-impl/src/main/java/ru/itis/model/jooq/schema/tables/Music.java,58,58,"public final TableField<MusicRecord, UUID> ID = createField(DSL.name(""id""), SQLDataType.UUID.nullable(false).defaultValue(DSL.field(""uuid_generate_v4()"", SQLDataType.UUID)), this, """");","The table uses a generic 'id' column as the primary key while having a unique constraint on 'name' (MUSIC_NAME_UNIQUE_CONSTRAINT) which could serve as a natural key. Consider using the 'name' column as the primary key if it's stable and immutable, or rename the primary key to something more descriptive like 'music_id'."
4el1k_Spring-Api-Hibernate-JOOQ,Implicit Columns,spring-impl/src/main/java/ru/itis/repository/impl/AuthorRepositoryImpl.java,22,22,return create.select(),"Using select() without specifying columns fetches all columns from all joined tables (AUTHOR_ENTITY, MUSIC_ENTITY, MANAGER_ENTITY), which retrieves unnecessary data. Explicitly list only the required columns, e.g., select(Tables.AUTHOR_ENTITY.ID, Tables.AUTHOR_ENTITY.NAME, ...)."
4el1k_Spring-Api-Hibernate-JOOQ,Implicit Columns,spring-impl/src/main/java/ru/itis/repository/impl/AuthorRepositoryImpl.java,34,34,List<Author> authors = create.selectFrom(Tables.AUTHOR_ENTITY),"Using selectFrom() fetches all columns from AUTHOR_ENTITY, which may include columns not needed by the Author class. Explicitly specify only the required columns using select(...).from(Tables.AUTHOR_ENTITY)."
4el1k_Spring-Api-Hibernate-JOOQ,Implicit Columns,spring-impl/src/main/java/ru/itis/repository/impl/AuthorRepositoryImpl.java,67,67,return create.selectFrom(Tables.AUTHOR_ENTITY),"Using selectFrom() fetches all columns from AUTHOR_ENTITY, which may retrieve unnecessary data. Explicitly specify only the required columns using select(...).from(Tables.AUTHOR_ENTITY)."
4el1k_Spring-Api-Hibernate-JOOQ,Implicit Columns,spring-impl/src/main/java/ru/itis/repository/impl/ListenerRepositoryImpl.java,20,20,return create.selectFrom(Tables.LISTENER_ENTITY),"Using selectFrom() fetches all columns from the LISTENER_ENTITY table, which may retrieve unnecessary data. Consider using select() with only the specific columns needed for the Listener object."
4el1k_Spring-Api-Hibernate-JOOQ,Implicit Columns,spring-impl/src/main/java/ru/itis/repository/impl/ListenerRepositoryImpl.java,27,27,List<Listener> listeners = create.selectFrom(Tables.LISTENER_ENTITY),Using selectFrom() fetches all columns from the LISTENER_ENTITY table when only specific fields may be needed. Replace with select() specifying only the required columns.
4el1k_Spring-Api-Hibernate-JOOQ,Implicit Columns,spring-impl/src/main/java/ru/itis/repository/impl/ListenerRepositoryImpl.java,82,82,return create.selectFrom(Tables.LISTENER_ENTITY),"Using selectFrom() retrieves all columns from the LISTENER_ENTITY table, potentially fetching more data than necessary. Use select() with explicit column names to improve query efficiency."
4el1k_Spring-Api-Hibernate-JOOQ,Implicit Columns,spring-impl/src/main/java/ru/itis/repository/impl/ManagerRepositoryImpl.java,21,21,return create.select(),"Using select() without specifying columns fetches all columns from the joined tables, which retrieves unnecessary data and reduces query performance. Explicitly list only the required columns, e.g., select(Tables.MANAGER_ENTITY.ID, Tables.MANAGER_ENTITY.NAME, ...)."
4el1k_Spring-Api-Hibernate-JOOQ,Implicit Columns,spring-impl/src/main/java/ru/itis/repository/impl/ManagerRepositoryImpl.java,30,30,List<Manager> managers = create.selectFrom(Tables.MANAGER_ENTITY),"Using selectFrom() fetches all columns from MANAGER_ENTITY table, which may include columns not needed by the Manager class. Explicitly specify only the required columns using select(...).from(Tables.MANAGER_ENTITY)."
