Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
ABCLV_ABLV_IngSW,ID Required,ABLV_IngSW/src/generated/dbconSQLJOOQ/generated/tables/Campogara.java,55,55,"public final TableField<CampogaraRecord, String> ID = createField(DSL.name(""ID""), SQLDataType.VARCHAR(50).nullable(false), this, """");",The primary key column is generically named 'ID' which doesn't convey any meaning about the entity it identifies. Consider renaming it to something more descriptive like 'CampogaraId' or 'CodCampoGara' to improve clarity and avoid ambiguity in joins.
ABCLV_ABLV_IngSW,ID Required,ABLV_IngSW/src/generated/dbconSQLJOOQ/generated/tables/Contratto.java,58,58,"public final TableField<ContrattoRecord, Integer> IDCONTRATTO = createField(DSL.name(""IdContratto""), SQLDataType.INTEGER.nullable(false), this, """");","The table uses a synthetic auto-generated primary key 'IdContratto' when a natural composite key of (Sponsor, Concorrente, DataFirma) could uniquely identify each contract. Consider using the natural key combination as the primary key instead of introducing a surrogate ID."
ABCLV_ABLV_IngSW,Keyless Entry,ABLV_IngSW/src/generated/dbconSQLJOOQ/generated/tables/Gara.java,118,118,"public final TableField<GaraRecord, String> AMMINISTRATOREPROPOSTA = createField(DSL.name(""AmministratoreProposta""), SQLDataType.VARCHAR(16), this, """");",The column 'AmministratoreProposta' appears to reference the AMMINISTRATORE table (based on naming and VARCHAR(16) matching CF type) but lacks a foreign key constraint. The existing FK_GARA_PK_AMMINISTRATORE only covers AMMINISTRATOREACCETTAZIONE. Add a separate foreign key constraint referencing AMMINISTRATORE.CF for this column.
ABCLV_ABLV_IngSW,ID Required,ABLV_IngSW/src/generated/dbconSQLJOOQ/generated/tables/Iscrive.java,58,58,"public final TableField<IscriveRecord, Integer> IDISCRIZIONE = createField(DSL.name(""IdIscrizione""), SQLDataType.INTEGER.nullable(false), this, """");","The table uses a synthetic auto-generated primary key 'IdIscrizione' when a natural composite key of (CodiceGara, Concorrente) would be more appropriate for this junction/association table representing registrations. Consider using the combination of CodiceGara and Concorrente as a composite primary key instead."
ABCLV_ABLV_IngSW,ID Required,ABLV_IngSW/src/generated/dbconSQLJOOQ/generated/tables/Recensisce.java,57,57,"public final TableField<RecensisceRecord, String> IDRECENSIONE = createField(DSL.name(""IdRecensione""), SQLDataType.VARCHAR(50).nullable(false), this, """");","The table uses a synthetic primary key 'IdRecensione' when a natural composite key of (CodiceGara, Concorrente) would be more appropriate, as these columns already have foreign keys to GARA and CONCORRENTE tables and uniquely identify a review. Consider using the composite key (CodiceGara, Concorrente) as the primary key instead of the synthetic IdRecensione."
ABCLV_ABLV_IngSW,ID Required,ABLV_IngSW/src/generated/dbconSQLJOOQ/generated/tables/Sede.java,55,55,"public final TableField<SedeRecord, Integer> ID = createField(DSL.name(""ID""), SQLDataType.INTEGER.nullable(false), this, """");","The primary key is named just 'ID' which is a generic, non-descriptive name that doesn't convey the table context. Consider renaming it to something more meaningful like 'SEDE_ID' or 'SedeId' to improve clarity and avoid ambiguity when joining tables."
ABCLV_ABLV_IngSW,Beware of the Unknown,ABLV_IngSW/src/generated/dbconSQLJOOQ/generated/tables/Settore.java,62,62,"public final TableField<SettoreRecord, Integer> LUNGHEZZA = createField(DSL.name(""Lunghezza""), SQLDataType.INTEGER, this, """");","The LUNGHEZZA column is marked as NULLABLE but likely should have a defined value for every sector (settore). Consider adding a NOT NULL constraint if a length value is always required, or document why NULL is a valid state for this column."
ABCLV_ABLV_IngSW,Beware of the Unknown,ABLV_IngSW/src/generated/dbconSQLJOOQ/generated/tables/Settore.java,67,67,"public final TableField<SettoreRecord, String> DESCRIZIONE = createField(DSL.name(""Descrizione""), SQLDataType.VARCHAR(100), this, """");","The DESCRIZIONE column is marked as NULLABLE which may lead to ambiguity between 'no description provided' and 'unknown description'. Consider using NOT NULL with a default empty string if empty descriptions are valid, or keep NULL only if it has a clear semantic meaning."
ABCLV_ABLV_IngSW,Beware of the Unknown,ABLV_IngSW/src/generated/dbconSQLJOOQ/generated/tables/Turno.java,67,67,"public final TableField<TurnoRecord, Integer> DURATA = createField(DSL.name(""Durata""), SQLDataType.INTEGER, this, """");","The DURATA column is marked as NULLABLE (no .nullable(false)) but likely represents a duration value that should always be present for a valid turn record. Consider adding a NOT NULL constraint with a sensible default value, or if NULL is semantically meaningful (e.g., 'duration not yet determined'), document this explicitly."
ABCLV_ABLV_IngSW,Implicit Columns,ABLV_IngSW/src/main/java/database/Consultazioni.java,60,60,return ctx.selectFrom(CAMPOGARA),"Using selectFrom(CAMPOGARA) fetches all columns from the CAMPOGARA table, which may retrieve unnecessary data and reduce performance. Replace with an explicit select() specifying only the columns needed for the CampoGara class."
ABCLV_ABLV_IngSW,Implicit Columns,ABLV_IngSW/src/main/java/database/Consultazioni.java,138,138,"ctx
                .selectFrom(CAMPOGARA)",Using selectFrom(CAMPOGARA) fetches all columns from the CAMPOGARA table when only specific fields may be needed. Replace with an explicit select() listing only the required columns for the CampoGara class.
