Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
AisleiAvila_empresa,Implicit Columns,src/main/java/com/dasad/empresa/repository/EnderecoRepositoryImpl.java,22,22,this.dsl.selectFrom(Endereco.ENDERECO).fetchInto(EnderecoModel.class),"Using selectFrom() fetches all columns from the ENDERECO table, which may retrieve unnecessary data and impact performance. Consider using select() with only the specific columns needed for the EnderecoModel."
AisleiAvila_empresa,Implicit Columns,src/main/java/com/dasad/empresa/repository/EnderecoRepositoryImpl.java,26,26,this.dsl.selectFrom(Endereco.ENDERECO).where(Endereco.ENDERECO.ID.eq(id)).fetchOneInto(EnderecoModel.class),Using selectFrom() fetches all columns from the ENDERECO table when only specific fields may be needed. Consider using select() with explicit column names to improve query efficiency.
AisleiAvila_empresa,Implicit Columns,src/main/java/com/dasad/empresa/repository/PerfilRepositoryImpl.java,25,25,this.dsl.selectFrom(Perfis.PERFIS).fetch((record) -> {,"Using `selectFrom(Perfis.PERFIS)` fetches all columns from the PERFIS table, but only ID and NOME are actually used. Replace with an explicit projection like `dsl.select(Perfis.PERFIS.ID, Perfis.PERFIS.NOME).from(Perfis.PERFIS)` to fetch only the required columns."
AisleiAvila_empresa,Poor Man's Search Engine,src/main/java/com/dasad/empresa/repository/query/UnidadeFederativaQueryBuilder.java,25,25,"this.query.where(DSL.lower(UnidadeFederativa.UNIDADE_FEDERATIVA.NOME).like(""%"" + nome.toLowerCase() + ""%""));",Using LIKE with wildcards on both sides ('%nome%') for searching the NOME field performs a full-text search that cannot use indexes efficiently. Consider using a dedicated full-text search solution like PostgreSQL's tsvector/tsquery or Elasticsearch.
AisleiAvila_empresa,Poor Man's Search Engine,src/main/java/com/dasad/empresa/repository/query/UnidadeFederativaQueryBuilder.java,32,32,"this.query.where(DSL.lower(UnidadeFederativa.UNIDADE_FEDERATIVA.SIGLA).like(""%"" + sigla.toLowerCase() + ""%""));","Using LIKE with wildcards on both sides ('%sigla%') for searching the SIGLA field performs a full-text search that cannot use indexes efficiently. Consider using a dedicated full-text search solution or, if exact matching is acceptable, remove the wildcards."
AisleiAvila_empresa,Poor Man's Search Engine,src/main/java/com/dasad/empresa/repository/query/UsuarioQueryBuilder.java,61,61,"this.query.where(DSL.lower(Usuario.USUARIO.NOME).like(""%"" + nome.toLowerCase() + ""%""));",Using LIKE with wildcards on both sides ('%nome%') for searching user names forces a full table scan and cannot use indexes efficiently. Consider using a full-text search solution like PostgreSQL's tsvector/tsquery or Elasticsearch for better performance.
AisleiAvila_empresa,Poor Man's Search Engine,src/main/java/com/dasad/empresa/repository/query/UsuarioQueryBuilder.java,68,68,"this.query.where(DSL.lower(Usuario.USUARIO.EMAIL).like(""%"" + email.toLowerCase() + ""%""));","Using LIKE with wildcards on both sides ('%email%') for searching emails prevents index usage and results in slow full table scans. Consider implementing a full-text search engine or, if partial matching is truly needed, use a prefix search with a trailing wildcard only."
AisleiAvila_empresa,Implicit Columns,src/main/java/com/dasad/empresa/repository/UsuarioRepositoryImpl.java,137,137,dsl.select(Usuario.USUARIO.fields()),"Using `fields()` selects all columns from the Usuario table, which may fetch unnecessary data and couples the code to the table schema. Explicitly list only the required columns (ID, NOME, EMAIL, SENHA, DATA_NASCIMENTO) instead of using `fields()`."
AisleiAvila_empresa,Implicit Columns,src/main/java/com/dasad/empresa/repository/UsuarioRepositoryImpl.java,241,241,ctx.select(Usuario.USUARIO.fields()),"Using `fields()` selects all columns from the Usuario table, which retrieves potentially unnecessary data and creates tight coupling to the table structure. Replace with explicit column selection for only the columns needed (ID, NOME, EMAIL, SENHA, DATA_NASCIMENTO)."
AisleiAvila_empresa,ID Required,target/generated-sources/jooq/com/dasad/empresa/jooq/tables/Endereco.java,64,64,"public final TableField<EnderecoRecord, Integer> ID = createField(DSL.name(""id""), SQLDataType.INTEGER.nullable(false).identity(true), this, """");",The primary key column is generically named 'id' instead of a more descriptive name like 'endereco_id'. Consider renaming the primary key to 'endereco_id' to make it self-documenting and easier to identify in queries involving multiple tables.
