Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
Ani512_online-tutoring-app-backend,31 Flavors,src/main/java/onlinetutoring/com/teamelevenbackend/entity/tables/AvailableHours.java,75,75,"public final TableField<AvailableHoursRecord, String> DAY_OF_WEEK = createField(DSL.name(""day_of_week""), SQLDataType.VARCHAR(9).nullable(false), this, """");","The DAY_OF_WEEK column uses a CHECK constraint to restrict values to specific days of the week, which makes it difficult to add or modify allowed values without altering the table schema. Consider creating a lookup table (e.g., 'days_of_week') with the valid day names and referencing it via a foreign key."
Ani512_online-tutoring-app-backend,31 Flavors,src/main/java/onlinetutoring/com/teamelevenbackend/entity/tables/Students.java,69,69,"public final TableField<StudentsRecord, Integer> YEAR = createField(DSL.name(""year""), SQLDataType.INTEGER.nullable(false), this, """");","The 'year' column uses a CHECK constraint to restrict values to [0, 1, 2, 3, 4], which makes it difficult to add or modify allowed values without altering the table definition. Consider creating a separate lookup table (e.g., 'academic_years') and referencing it with a foreign key."
Ani512_online-tutoring-app-backend,ID Required,src/main/java/onlinetutoring/com/teamelevenbackend/entity/tables/Tutors.java,59,59,"public final TableField<TutorsRecord, Integer> ID = createField(DSL.name(""id""), SQLDataType.INTEGER.nullable(false), this, """");","The primary key column is named just 'id', which is a generic name that doesn't convey meaning and can cause ambiguity in queries with joins. Consider renaming it to 'tutor_id' to make it more descriptive and self-documenting."
Ani512_online-tutoring-app-backend,ID Required,src/main/java/onlinetutoring/com/teamelevenbackend/entity/tables/Users.java,59,59,"public final TableField<UsersRecord, Integer> ID = createField(DSL.name(""id""), SQLDataType.INTEGER.nullable(false).defaultValue(DSL.field(""nextval('u_id'::regclass)"", SQLDataType.INTEGER)), this, """");","The primary key column is named just 'id', which is a generic name that doesn't convey any meaning about the table it belongs to. Consider renaming it to 'user_id' to make it more descriptive and to avoid ambiguity in queries with joins."
Ani512_online-tutoring-app-backend,ID Required,src/main/java/onlinetutoring/com/teamelevenbackend/entity/tables/Users.java,59,59,"public final TableField<UsersRecord, Integer> ID = createField(DSL.name(""id""), SQLDataType.INTEGER.nullable(false).defaultValue(DSL.field(""nextval('u_id'::regclass)"", SQLDataType.INTEGER)), this, """");","The table has a synthetic auto-generated primary key 'id' even though there's a unique constraint on 'email' (USERS_EMAIL_KEY), which is a natural key suitable as a primary key since email addresses are virtually immutable and uniquely identify users. Consider using 'email' as the primary key instead of the synthetic 'id' column."
Ani512_online-tutoring-app-backend,Implicit Columns,src/main/java/onlinetutoring/com/teamelevenbackend/service/AppointmentService.java,65,67,"Result<AppointmentsRecord> appointmentData = Boolean.TRUE.equals(usersRecord.getTutor())
                ? dslContext.fetch(APPOINTMENTS, APPOINTMENTS.TUTOR_ID.eq(usersRecord.getId()))
                : dslContext.fetch(APPOINTMENTS, APPOINTMENTS.STUDENT_ID.eq(usersRecord.getId()));","Using `dslContext.fetch(APPOINTMENTS, ...)` fetches all columns from the APPOINTMENTS table into records, which may retrieve more data than needed. Consider using `selectFrom(APPOINTMENTS).where(...).fetch()` with explicit column selection if only specific fields are required."
Ani512_online-tutoring-app-backend,Implicit Columns,src/main/java/onlinetutoring/com/teamelevenbackend/service/AppointmentService.java,101,103,"Result<AppointmentsRecord> appointmentData = dslContext.fetch(APPOINTMENTS,
                    APPOINTMENTS.TUTOR_ID.eq(usersRecordTutor.getId()),
                    APPOINTMENTS.STUDENT_ID.eq(usersRecordStu.getId()));","Using `dslContext.fetch(APPOINTMENTS, ...)` fetches all columns from the APPOINTMENTS table. Consider selecting only the columns needed for building the response to reduce data transfer overhead."
Ani512_online-tutoring-app-backend,Implicit Columns,src/main/java/onlinetutoring/com/teamelevenbackend/service/AppointmentService.java,155,159,"Result<AppointmentsRecord> appointment = dslContext.fetch(APPOINTMENTS,
                    APPOINTMENTS.TUTOR_ID.eq(usersRecordTutor.getId()),
                    APPOINTMENTS.STUDENT_ID.eq(usersRecordStu.getId()),
                    APPOINTMENTS.SUBJECT.eq(appointmentRequest.getSubject()),
                    APPOINTMENTS.START_TIME.eq(appointmentRequest.getRequestedStartTime()));",This query fetches all columns from the APPOINTMENTS table when only specific fields are used in `buildAppointmentResponse`. Consider explicitly selecting only the required columns to improve query efficiency.
Ani512_online-tutoring-app-backend,Implicit Columns,src/main/java/onlinetutoring/com/teamelevenbackend/service/AppointmentService.java,184,184,"Result<TutorsRecord> tutorData = dslContext.fetch(TUTORS, TUTORS.ID.eq(tutorId));",Fetching all columns from the TUTORS table when only checking if the tutor exists. Consider using `dslContext.fetchExists(...)` or selecting only the necessary columns.
Ani512_online-tutoring-app-backend,Implicit Columns,src/main/java/onlinetutoring/com/teamelevenbackend/service/AppointmentService.java,194,196,"Result<AvailableHoursRecord> availableHours = dslContext.fetch(AVAILABLE_HOURS,
                AVAILABLE_HOURS.TUTOR_ID.eq(tutorId),
                AVAILABLE_HOURS.DAY_OF_WEEK.eq(requestedDayOfWeek.toString().toLowerCase()));",Fetching all columns from AVAILABLE_HOURS when only `START_TIME` and `END_TIME` are used in the logic. Consider selecting only the required columns to reduce unnecessary data retrieval.
