Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
AprilHan1992_fleet-spring-boot,ID Required,spring-boot-jooq/src/main/java/com/fleet/jooq/generator/tables/Author.java,63,63,"public final TableField<AuthorRecord, UInteger> ID = createField(""id"", org.jooq.impl.SQLDataType.INTEGERUNSIGNED.nullable(false).identity(true), this, ""用户id"");","The primary key column is named just 'id', which is a generic name that doesn't convey any meaning about the entity it identifies. Consider renaming it to 'author_id' to make it more descriptive and to avoid ambiguity when joining tables."
AprilHan1992_fleet-spring-boot,ID Required,spring-boot-jooq/src/main/java/com/fleet/jooq/generator/tables/Book.java,63,63,"public final TableField<BookRecord, UInteger> ID = createField(""id"", org.jooq.impl.SQLDataType.INTEGERUNSIGNED.nullable(false).identity(true), this, """");","The primary key column is named just 'id', which is a generic name that doesn't convey any meaning about the entity it identifies. Consider renaming it to 'book_id' to make it more descriptive and to avoid ambiguity in queries with joins."
AprilHan1992_fleet-spring-boot,Keyless Entry,spring-boot-jooq/src/main/java/com/fleet/jooq/generator/tables/Book.java,73,73,"public final TableField<BookRecord, Integer> AUTHOR_ID = createField(""author_id"", org.jooq.impl.SQLDataType.INTEGER, this, """");","The 'author_id' column appears to reference the 'author' table but lacks a foreign key constraint, which means the database cannot enforce referential integrity. Add a foreign key constraint referencing the 'author' table's primary key (KEY_AUTHOR_PRIMARY) to ensure data consistency."
AprilHan1992_fleet-spring-boot,Keyless Entry,spring-boot-jooq/src/main/java/com/fleet/jooq/generator/tables/CheckContent.java,72,72,"public final TableField<CheckContentRecord, Integer> CHECK_ITEM_ID = createField(""check_item_id"", org.jooq.impl.SQLDataType.INTEGER, this, """");","The column 'check_item_id' appears to reference the 'check_item' table but lacks a foreign key constraint, which could lead to orphaned records and data integrity issues. Add a foreign key constraint referencing the 'check_item' table's primary key (KEY_CHECK_ITEM_PRIMARY)."
AprilHan1992_fleet-spring-boot,ID Required,spring-boot-jooq/src/main/java/com/fleet/jooq/generator/tables/Content.java,62,62,"public final TableField<ContentRecord, Integer> ID = createField(""id"", org.jooq.impl.SQLDataType.INTEGER.nullable(false).identity(true), this, """");","The primary key column is named just 'id', which is a generic name that doesn't convey any meaning about the entity it identifies. Consider renaming it to 'content_id' to make it more descriptive and to avoid ambiguity in queries with joins."
AprilHan1992_fleet-spring-boot,ID Required,spring-boot-jooq/src/main/java/com/fleet/jooq/generator/tables/Dept.java,64,64,"public final TableField<DeptRecord, UInteger> ID = createField(""id"", org.jooq.impl.SQLDataType.INTEGERUNSIGNED.nullable(false).identity(true), this, ""部门id"");","The primary key column is named just 'id', which is a generic name that doesn't convey meaning about the entity it identifies. Consider renaming it to 'dept_id' to make it more descriptive and avoid ambiguity in queries with joins."
AprilHan1992_fleet-spring-boot,Keyless Entry,spring-boot-jooq/src/main/java/com/fleet/jooq/generator/tables/Dept.java,84,84,"public final TableField<DeptRecord, UInteger> CREATOR_ID = createField(""creator_id"", org.jooq.impl.SQLDataType.INTEGERUNSIGNED.nullable(false), this, ""创建人"");",The 'creator_id' column appears to reference a user but lacks a foreign key constraint to the User table (KEY_USER_PRIMARY exists). Add a foreign key constraint to ensure referential integrity and prevent orphaned records.
AprilHan1992_fleet-spring-boot,Keyless Entry,spring-boot-jooq/src/main/java/com/fleet/jooq/generator/tables/Dept.java,94,94,"public final TableField<DeptRecord, UInteger> EDITOR_ID = createField(""editor_id"", org.jooq.impl.SQLDataType.INTEGERUNSIGNED, this, ""修改人"");",The 'editor_id' column appears to reference a user but lacks a foreign key constraint to the User table (KEY_USER_PRIMARY exists). Add a foreign key constraint to ensure referential integrity and prevent orphaned records.
AprilHan1992_fleet-spring-boot,ID Required,spring-boot-jooq/src/main/java/com/fleet/jooq/generator/tables/DeptCopy.java,64,64,"public final TableField<DeptCopyRecord, UInteger> ID = createField(""id"", org.jooq.impl.SQLDataType.INTEGERUNSIGNED.nullable(false).identity(true), this, ""部门id"");","The primary key column is named just 'id', which is a generic name that doesn't convey any meaning about the entity it identifies. Consider renaming it to 'dept_copy_id' or 'dept_id' to make it more descriptive and avoid ambiguity in queries with joins."
AprilHan1992_fleet-spring-boot,Keyless Entry,spring-boot-jooq/src/main/java/com/fleet/jooq/generator/tables/DeptCopy.java,84,84,"public final TableField<DeptCopyRecord, UInteger> CREATOR_ID = createField(""creator_id"", org.jooq.impl.SQLDataType.INTEGERUNSIGNED.nullable(false), this, ""创建人"");",The 'creator_id' column appears to reference a user but lacks a foreign key constraint to the User table (KEY_USER_PRIMARY exists). Add a foreign key constraint to ensure referential integrity and prevent orphaned records.
