Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
AtroposBot_Atropos,Implicit Columns,src/main/java/dev/laarryy/atropos/Atropos.java,96,96,Mono.fromDirect(sqlContext.selectOne(),"Using `selectOne()` fetches all columns implicitly, though in this context it's used within a `hasElement()` check which only tests for existence. However, this is still inefficient as it retrieves unnecessary data. Consider using `selectCount()` or explicitly selecting a single column like `select(DSL.val(1))` for existence checks."
AtroposBot_Atropos,Implicit Columns,src/main/java/dev/laarryy/atropos/commands/punishments/PunishmentManager.java,126,126,Mono.from(sqlContext.selectFrom(Servers.SERVERS).where(Servers.SERVERS.SERVER_ID_SNOWFLAKE.eq(guildIdSnowflake))),"Using `selectFrom()` fetches all columns from the SERVERS table, which retrieves unnecessary data. Instead, explicitly select only the required columns like `select(Servers.SERVERS.ID).from(Servers.SERVERS)`."
AtroposBot_Atropos,ID Required,src/main/java/dev/laarryy/atropos/jooq/tables/Permissions.java,46,46,"public final TableField<PermissionsRecord, Integer> ID = createField(DSL.name(""id""), SQLDataType.INTEGER.nullable(false).identity(true), this, """");","The table uses a generic 'id' column as the primary key, but there's already a unique constraint on the 'permission' column (KEY_PERMISSIONS_PERMISSION) which is a natural key suitable for identifying permissions. Consider using 'permission' as the primary key or renaming 'id' to something more descriptive like 'permission_id'."
AtroposBot_Atropos,ID Required,src/main/java/dev/laarryy/atropos/jooq/tables/Punishments.java,50,50,"public final TableField<PunishmentsRecord, Integer> ID = createField(DSL.name(""id""), SQLDataType.INTEGER.nullable(false).identity(true), this, """");",The primary key column is generically named 'id' instead of a more descriptive name like 'punishment_id'. Consider renaming it to 'punishment_id' to make the column's purpose clearer and avoid ambiguity in joins.
AtroposBot_Atropos,ID Required,src/main/java/dev/laarryy/atropos/jooq/tables/ServerBlacklist.java,49,49,"public final TableField<ServerBlacklistRecord, Integer> ID = createField(DSL.name(""id""), SQLDataType.INTEGER.nullable(false).identity(true), this, """");","The primary key column is generically named 'id' instead of a more descriptive name like 'server_blacklist_id'. Consider renaming the column to something more meaningful that identifies the entity, such as 'server_blacklist_id' or 'blacklist_id'."
AtroposBot_Atropos,ID Required,src/main/java/dev/laarryy/atropos/jooq/tables/ServerCommandUses.java,49,49,"public final TableField<ServerCommandUsesRecord, Integer> ID = createField(DSL.name(""id""), SQLDataType.INTEGER.nullable(false).identity(true), this, """");","The primary key column is generically named 'id' instead of a more descriptive name like 'server_command_use_id'. Consider renaming the column to better reflect the entity it identifies, such as 'server_command_use_id'."
AtroposBot_Atropos,ID Required,src/main/java/dev/laarryy/atropos/jooq/tables/ServerMessages.java,51,51,"public final TableField<ServerMessagesRecord, Integer> ID = createField(DSL.name(""id""), SQLDataType.INTEGER.nullable(false).identity(true), this, """");","The primary key column is generically named 'id' instead of a more descriptive name like 'server_message_id'. Consider renaming the column to better reflect the entity it identifies, such as 'server_message_id'."
AtroposBot_Atropos,ID Required,src/main/java/dev/laarryy/atropos/jooq/tables/ServerProperties.java,50,50,"public final TableField<ServerPropertiesRecord, Integer> ID = createField(DSL.name(""id""), SQLDataType.INTEGER.nullable(false).identity(true), this, """");",The primary key column is generically named 'id' instead of a more descriptive name like 'server_properties_id'. Consider renaming the column to include the table name for clarity and to avoid ambiguity in joins.
AtroposBot_Atropos,ID Required,src/main/java/dev/laarryy/atropos/jooq/tables/ServerRolePermissions.java,50,50,"public final TableField<ServerRolePermissionsRecord, Integer> ID = createField(DSL.name(""id""), SQLDataType.INTEGER.nullable(false).identity(true), this, """");","The table uses a generic 'id' column as the primary key instead of a more descriptive name. Consider renaming it to 'server_role_permission_id' or using a natural key based on the combination of server_id, permission_id, and role_id_snowflake which would uniquely identify each role permission assignment."
AtroposBot_Atropos,ID Required,src/main/java/dev/laarryy/atropos/jooq/tables/Servers.java,55,55,"public final TableField<ServersRecord, Integer> ID = createField(DSL.name(""id""), SQLDataType.INTEGER.nullable(false).identity(true), this, """");","The table uses a generic 'id' column as the primary key, but there's already a unique constraint on SERVER_ID_SNOWFLAKE which is a natural key (Discord's immutable server identifier). Consider using SERVER_ID_SNOWFLAKE as the primary key instead, or at minimum rename 'id' to something more descriptive like 'server_pk'."
AtroposBot_Atropos,ID Required,src/main/java/dev/laarryy/atropos/jooq/tables/ServerUser.java,48,48,"public final TableField<ServerUserRecord, Integer> ID = createField(DSL.name(""id""), SQLDataType.INTEGER.nullable(false).identity(true), this, """");","The table uses a generic 'id' column as the primary key when a natural composite key of (user_id, server_id) would be more appropriate for this junction table. Consider using the combination of USER_ID and SERVER_ID as the primary key since they uniquely identify the relationship between a user and a server."
AtroposBot_Atropos,ID Required,src/main/java/dev/laarryy/atropos/jooq/tables/Users.java,52,52,"public final TableField<UsersRecord, Integer> ID = createField(DSL.name(""id""), SQLDataType.INTEGER.nullable(false).identity(true), this, """");","The table uses a generic 'id' column as the primary key when a natural key already exists via the USER_ID_SNOWFLAKE column (which has a unique constraint KEY_USERS_USER_ID_UNIQUE). Consider using USER_ID_SNOWFLAKE as the primary key since Discord Snowflakes are immutable unique identifiers, or rename the synthetic key to something more descriptive like 'user_pk'."
AtroposBot_Atropos,Implicit Columns,src/main/java/dev/laarryy/atropos/managers/BlacklistCacheManager.java,37,37,".select(SERVERS.SERVER_ID.as(""server_snowflake""), SERVER_BLACKLIST.asterisk())","Using `SERVER_BLACKLIST.asterisk()` selects all columns from the SERVER_BLACKLIST table, which can lead to performance issues and fragile code if the table schema changes. Replace with explicit column selection, e.g., `SERVER_BLACKLIST.ID, SERVER_BLACKLIST.SERVER_ID, ...` listing only the columns actually needed."
AtroposBot_Atropos,Implicit Columns,src/main/java/dev/laarryy/atropos/managers/PropertiesCacheManager.java,36,36,sqlContext.selectFrom(SERVER_PROPERTIES),"Using `selectFrom(SERVER_PROPERTIES)` fetches all columns from the SERVER_PROPERTIES table, which may retrieve unnecessary data and reduce performance. Consider using an explicit column selection like `select(SERVER_PROPERTIES.COLUMN1, SERVER_PROPERTIES.COLUMN2).from(SERVER_PROPERTIES)` to fetch only the required columns."
AtroposBot_Atropos,Implicit Columns,src/main/java/dev/laarryy/atropos/services/ScheduledTaskDoer.java,65,65,sqlContext.selectFrom(PUNISHMENTS),"Using `selectFrom(PUNISHMENTS)` fetches all columns from the PUNISHMENTS table, which may retrieve unnecessary data and impact performance. Consider using an explicit column selection like `select(PUNISHMENTS.ID, PUNISHMENTS.END_DATE_PASSED, ...)` to fetch only the columns needed for the punishment ending check."
