Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
BenMAPCE_BenCloudServer,Implicit Columns,src/main/java/gov/epa/bencloud/api/AirQualityApi.java,1489,1489,AirQualityLayerRecord layerResult = create.selectFrom(AIR_QUALITY_LAYER).where(AIR_QUALITY_LAYER.ID.eq(id)).fetchAny();,"Using `selectFrom(AIR_QUALITY_LAYER)` fetches all columns from the table into an AirQualityLayerRecord, even though only `share_scope` and `user_id` are used. Select only the required columns explicitly, e.g., `create.select(AIR_QUALITY_LAYER.SHARE_SCOPE, AIR_QUALITY_LAYER.USER_ID).from(AIR_QUALITY_LAYER)...`."
BenMAPCE_BenCloudServer,Implicit Columns,src/main/java/gov/epa/bencloud/api/CoreApi.java,215,215,.selectFrom(SETTINGS),"Using selectFrom() fetches all columns from the SETTINGS table into a record, even though only specific fields (VALUE_TEXT, VALUE_INT, STATUS, MODIFIED_BY, MODIFIED_DATE) are used. Use an explicit select() with only the required columns instead."
BenMAPCE_BenCloudServer,Implicit Columns,src/main/java/gov/epa/bencloud/api/ExposureApi.java,121,121,EXPOSURE_FUNCTION.asterisk(),"Using asterisk() fetches all columns from the EXPOSURE_FUNCTION table, which may retrieve unnecessary data and break if the schema changes. Explicitly list only the required columns from EXPOSURE_FUNCTION instead."
BenMAPCE_BenCloudServer,Implicit Columns,src/main/java/gov/epa/bencloud/api/ExposureApi.java,481,485,".select(EXPOSURE_RESULT_DATASET.asterisk())
                .from(EXPOSURE_RESULT_DATASET)
                .where(EXPOSURE_RESULT_DATASET.TASK_UUID.eq(efTaskUuid))
                .fetchOneInto(EXPOSURE_RESULT_DATASET)",Using asterisk() fetches all columns from EXPOSURE_RESULT_DATASET when only the ID is needed. Replace with an explicit select of just EXPOSURE_RESULT_DATASET.ID to improve efficiency.
BenMAPCE_BenCloudServer,Implicit Columns,src/main/java/gov/epa/bencloud/api/ExposureApi.java,523,526,"ExposureResultDatasetRecord efTaskConfigRecord = create
                .selectFrom(EXPOSURE_RESULT_DATASET)
                .where(EXPOSURE_RESULT_DATASET.ID.eq(efResultDatasetId))
                .fetchOne();","Using selectFrom() fetches all columns from EXPOSURE_RESULT_DATASET when only a few fields are used (name, populationDatasetId, populationYear, baselineAqLayerId, scenarioAqLayerId). Explicitly select only the required columns to improve query efficiency."
BenMAPCE_BenCloudServer,Implicit Columns,src/main/java/gov/epa/bencloud/api/GridDefinitionApi.java,85,85,.select(GRID_DEFINITION.asterisk()),"Using asterisk() selects all columns from GRID_DEFINITION, which can fetch unnecessary data and break if the schema changes. Explicitly list only the columns needed for the response."
BenMAPCE_BenCloudServer,Implicit Columns,src/main/java/gov/epa/bencloud/api/GridDefinitionApi.java,114,114,".select(GRID_DEFINITION.asterisk(), GRID_DEFINITION.COL_COUNT, GRID_DEFINITION.ROW_COUNT)","Using asterisk() selects all columns from GRID_DEFINITION, which retrieves unnecessary data and causes maintenance issues if the table schema changes. Explicitly specify only the required columns."
BenMAPCE_BenCloudServer,Implicit Columns,src/main/java/gov/epa/bencloud/api/GridDefinitionApi.java,474,474,create.selectFrom(GRID_DEFINITION).where(GRID_DEFINITION.ID.eq(id)).fetchAny(),"Using selectFrom() fetches all columns from GRID_DEFINITION into a record, but only a few fields are used later. Select only the required columns (e.g., ID, TABLE_NAME, SHARE_SCOPE, USER_ID) explicitly."
BenMAPCE_BenCloudServer,Implicit Columns,src/main/java/gov/epa/bencloud/api/GridDefinitionApi.java,623,623,create.selectFrom(GRID_DEFINITION).where(GRID_DEFINITION.ID.eq(id)).fetchAny(),"Using selectFrom() fetches all columns from GRID_DEFINITION into a record, but only SHARE_SCOPE and USER_ID are used. Select only the required columns explicitly to avoid fetching unnecessary data."
BenMAPCE_BenCloudServer,Implicit Columns,src/main/java/gov/epa/bencloud/api/HIFApi.java,629,638,".select(HEALTH_IMPACT_FUNCTION.asterisk()
					, ENDPOINT_GROUP.NAME.as(""endpoint_group_name"")
					, ENDPOINT.DISPLAY_NAME.as(""endpoint_name"")
					, RACE.NAME.as(""race_name"")
					, GENDER.NAME.as(""gender_name"")
					, ETHNICITY.NAME.as(""ethnicity_name"")
					, POLLUTANT.FRIENDLY_NAME.as(""pollutant"")
					, POLLUTANT_METRIC.NAME.as(""metric"")
					, TIMING_TYPE.NAME.as(""timing"")
				)","Using `HEALTH_IMPACT_FUNCTION.asterisk()` fetches all columns from the table, which can lead to performance issues and maintenance problems if the table schema changes. Replace with explicit column selection for only the columns needed by the application."
BenMAPCE_BenCloudServer,Implicit Columns,src/main/java/gov/epa/bencloud/api/HIFApi.java,743,743,HealthImpactFunctionGroupRecord hifGroupResult = create.selectFrom(HEALTH_IMPACT_FUNCTION_GROUP).where(HEALTH_IMPACT_FUNCTION_GROUP.ID.eq(id)).fetchAny();,"Using `selectFrom()` fetches all columns from the HEALTH_IMPACT_FUNCTION_GROUP table. Since only the share_scope and user_id fields are used for authorization checks, explicitly select only those columns needed."
BenMAPCE_BenCloudServer,Implicit Columns,src/main/java/gov/epa/bencloud/api/HIFApi.java,2135,2135,HealthImpactFunctionRecord hifResult = create.selectFrom(HEALTH_IMPACT_FUNCTION).where(HEALTH_IMPACT_FUNCTION.ID.eq(id)).fetchAny();,"Using `selectFrom()` fetches all columns from the HEALTH_IMPACT_FUNCTION table. Since only share_scope, user_id, and archived fields are used, explicitly select only those columns to improve performance."
BenMAPCE_BenCloudServer,Implicit Columns,src/main/java/gov/epa/bencloud/api/HIFApi.java,2199,2208,".select(HEALTH_IMPACT_FUNCTION_GROUP.NAME
					, HEALTH_IMPACT_FUNCTION_GROUP.ID
					, HEALTH_IMPACT_FUNCTION_GROUP.HELP_TEXT
					, HEALTH_IMPACT_FUNCTION.asterisk()
					, ENDPOINT_GROUP.NAME.as(""endpoint_group_name"")
					, ENDPOINT.DISPLAY_NAME.as(""endpoint_name"")
					, RACE.NAME.as(""race_name"")
					, GENDER.NAME.as(""gender_name"")
					, ETHNICITY.NAME.as(""ethnicity_name"")
				)",Using `HEALTH_IMPACT_FUNCTION.asterisk()` fetches all columns from the table. Replace with explicit column selection for only the columns that are actually used when building the function ObjectNode.
