Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
BudgetingWebsite_Backend,Implicit Columns,src/main/java/org/amoseman/budgetingbackend/dao/impl/sql/AccountDAOImpl.java,46,46,.selectFrom(ACCOUNT),"Using selectFrom(ACCOUNT) fetches all columns from the ACCOUNT table, which may retrieve unnecessary data and reduce performance. Consider explicitly selecting only the columns needed for the Account object, e.g., .select(ACCOUNT.UUID, ACCOUNT.NAME, ...).from(ACCOUNT)."
BudgetingWebsite_Backend,Implicit Columns,src/main/java/org/amoseman/budgetingbackend/dao/impl/sql/BucketDAOImpl.java,57,57,.selectFrom(BUCKET),"Using selectFrom(BUCKET) fetches all columns from the BUCKET table, which may retrieve unnecessary data and reduce performance. Consider using an explicit select() with only the columns needed for the Bucket class."
BudgetingWebsite_Backend,Implicit Columns,src/main/java/org/amoseman/budgetingbackend/dao/impl/sql/BucketDAOImpl.java,75,75,.selectFrom(BUCKET),"Using selectFrom(BUCKET) fetches all columns from the BUCKET table, which may retrieve unnecessary data and reduce performance. Consider using an explicit select() with only the columns needed for the Bucket class."
BudgetingWebsite_Backend,Implicit Columns,src/main/java/org/amoseman/budgetingbackend/dao/impl/sql/FinanceRecordDAOImpl.java,80,80,.selectFrom(INCOME),"Using selectFrom(INCOME) fetches all columns from the INCOME table, which may retrieve unnecessary data and reduce performance. Consider explicitly selecting only the columns needed, e.g., .select(INCOME.UUID, INCOME.OWNER, ...).from(INCOME)."
BudgetingWebsite_Backend,Implicit Columns,src/main/java/org/amoseman/budgetingbackend/dao/impl/sql/FinanceRecordDAOImpl.java,94,94,.selectFrom(EXPENSE),"Using selectFrom(EXPENSE) fetches all columns from the EXPENSE table, which may retrieve unnecessary data. Consider explicitly selecting only the required columns using .select(...).from(EXPENSE)."
BudgetingWebsite_Backend,Implicit Columns,src/main/java/org/amoseman/budgetingbackend/dao/impl/sql/FinanceRecordDAOImpl.java,108,108,.selectFrom(INCOME),"Using selectFrom(INCOME) fetches all columns from the INCOME table, which can be inefficient. Specify only the columns you need, e.g., .select(INCOME.UUID, INCOME.AMOUNT, ...).from(INCOME)."
BudgetingWebsite_Backend,Implicit Columns,src/main/java/org/amoseman/budgetingbackend/dao/impl/sql/FinanceRecordDAOImpl.java,128,128,.selectFrom(EXPENSE),"Using selectFrom(EXPENSE) fetches all columns from the EXPENSE table, which may include unnecessary data. Explicitly select only the required columns to improve query efficiency."
BudgetingWebsite_Backend,Implicit Columns,src/main/java/org/amoseman/budgetingbackend/dao/impl/sql/FinanceRecordDAOImpl.java,149,149,.selectFrom(INCOME),Using selectFrom(INCOME) retrieves all columns from the INCOME table when only specific fields may be needed. Consider using .select(...).from(INCOME) to fetch only required columns.
BudgetingWebsite_Backend,Implicit Columns,src/main/java/org/amoseman/budgetingbackend/dao/impl/sql/FinanceRecordDAOImpl.java,170,170,.selectFrom(EXPENSE),"Using selectFrom(EXPENSE) fetches all columns from the EXPENSE table, which may be inefficient. Specify only the columns needed for the Expense object using .select(...).from(EXPENSE)."
BudgetingWebsite_Backend,Rounding Errors,src/main/java/org/jooq/codegen/tables/Bucket.java,78,78,"public final TableField<BucketRecord, Double> SHARE = createField(DSL.name(""SHARE""), SQLDataType.DOUBLE, this, """");",The SHARE column uses DOUBLE type which can cause precision loss for fixed-precision values like percentages or monetary shares. Consider using SQLDataType.DECIMAL or SQLDataType.NUMERIC with appropriate precision and scale instead.
