Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
D-Muscipula_tinkoff-java-backend-link-tracker-project,ID Required,scrapper/src/main/java/edu/java/scrapper/domain/jooq/tables/Link.java,67,68,"public final TableField<LinkRecord, Long> ID =
    createField(DSL.name(""ID""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");","The table uses a generic 'ID' column as primary key while a unique constraint on 'URL' (CONSTRAINT_23) already exists, which could serve as a natural primary key. Consider using 'URL' as the primary key or renaming the synthetic key to something more descriptive like 'link_id'."
D-Muscipula_tinkoff-java-backend-link-tracker-project,ID Required,scrapper/src/main/java/edu/java/scrapper/domain/jooq/tables/UsersLinks.java,66,67,"public final TableField<UsersLinksRecord, Long> ID =
    createField(DSL.name(""ID""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");","The table has a synthetic auto-increment 'ID' primary key column, but there's already a unique constraint (CONSTRAINT_AD6) on the combination of TG_USER and LINK columns, which would serve as a natural composite primary key for this junction table. Consider removing the synthetic ID column and using the (TG_USER, LINK) composite key as the primary key instead."
D-Muscipula_tinkoff-java-backend-link-tracker-project,Implicit Columns,scrapper/src/main/java/edu/java/scrapper/domain/repository/jooq/JooqLinkRepository.java,52,52,return dslContext.selectFrom(LINK),"Using selectFrom(LINK) fetches all columns from the LINK table, which may retrieve unnecessary data and reduce performance. Consider using select() with only the specific columns needed for the Link object."
D-Muscipula_tinkoff-java-backend-link-tracker-project,Implicit Columns,scrapper/src/main/java/edu/java/scrapper/domain/repository/jooq/JooqLinkRepository.java,59,59,return dslContext.selectFrom(LINK),"Using selectFrom(LINK) fetches all columns from the LINK table, which may retrieve unnecessary data and reduce performance. Consider using select() with only the specific columns needed for the Link object."
D-Muscipula_tinkoff-java-backend-link-tracker-project,Implicit Columns,scrapper/src/main/java/edu/java/scrapper/domain/repository/jooq/JooqLinkRepository.java,66,66,return dslContext.selectFrom(LINK),"Using selectFrom(LINK) fetches all columns from the LINK table, which may retrieve unnecessary data and reduce performance. Consider using select() with only the specific columns needed for the Link object."
D-Muscipula_tinkoff-java-backend-link-tracker-project,Implicit Columns,scrapper/src/main/java/edu/java/scrapper/domain/repository/jooq/JooqUserLinkRepository.java,56,56,return dslContext.selectFrom(USERS_LINKS),"Using selectFrom(USERS_LINKS) fetches all columns from the USERS_LINKS table, which may retrieve unnecessary data. Explicitly specify only the required columns using select(USERS_LINKS.ID, USERS_LINKS.TG_USER, USERS_LINKS.LINK).from(USERS_LINKS)."
D-Muscipula_tinkoff-java-backend-link-tracker-project,Implicit Columns,scrapper/src/main/java/edu/java/scrapper/domain/repository/jooq/JooqUserLinkRepository.java,63,63,return dslContext.selectFrom(USERS_LINKS),"Using selectFrom(USERS_LINKS) fetches all columns from the USERS_LINKS table, which may retrieve unnecessary data. Explicitly specify only the required columns using select(USERS_LINKS.ID, USERS_LINKS.TG_USER, USERS_LINKS.LINK).from(USERS_LINKS)."
D-Muscipula_tinkoff-java-backend-link-tracker-project,Implicit Columns,scrapper/src/main/java/edu/java/scrapper/domain/repository/jooq/JooqUserLinkRepository.java,70,70,return dslContext.selectFrom(USERS_LINKS),"Using selectFrom(USERS_LINKS) fetches all columns from the USERS_LINKS table, which may retrieve unnecessary data. Explicitly specify only the required columns using select(USERS_LINKS.ID, USERS_LINKS.TG_USER, USERS_LINKS.LINK).from(USERS_LINKS)."
D-Muscipula_tinkoff-java-backend-link-tracker-project,Implicit Columns,scrapper/src/main/java/edu/java/scrapper/domain/repository/jooq/JooqUserLinkRepository.java,77,77,return dslContext.selectFrom(USERS_LINKS),"Using selectFrom(USERS_LINKS) fetches all columns from the USERS_LINKS table, which may retrieve unnecessary data. Explicitly specify only the required columns using select(USERS_LINKS.ID, USERS_LINKS.TG_USER, USERS_LINKS.LINK).from(USERS_LINKS)."
D-Muscipula_tinkoff-java-backend-link-tracker-project,Implicit Columns,scrapper/src/main/java/edu/java/scrapper/domain/repository/jooq/JooqUserLinkRepository.java,83,83,return dslContext.selectFrom(USERS_LINKS),"Using selectFrom(USERS_LINKS) fetches all columns from the USERS_LINKS table, which may retrieve unnecessary data. Explicitly specify only the required columns using select(USERS_LINKS.ID, USERS_LINKS.TG_USER, USERS_LINKS.LINK).from(USERS_LINKS)."
D-Muscipula_tinkoff-java-backend-link-tracker-project,Implicit Columns,scrapper/src/main/java/edu/java/scrapper/domain/repository/jooq/JooqUserRepository.java,45,45,return dslContext.selectFrom(TG_USER),"Using selectFrom(TG_USER) fetches all columns from the TG_USER table, which may retrieve unnecessary data. Consider using an explicit select with only the required columns, e.g., dslContext.select(TG_USER.USER_CHAT_ID, TG_USER.USER_STATE).from(TG_USER)."
D-Muscipula_tinkoff-java-backend-link-tracker-project,Implicit Columns,scrapper/src/main/java/edu/java/scrapper/domain/repository/jooq/JooqUserRepository.java,52,52,return dslContext.selectFrom(TG_USER),"Using selectFrom(TG_USER) fetches all columns from the TG_USER table, which can lead to performance issues if the table has many columns. Replace with an explicit select specifying only the columns needed for the TgUser class."
