Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
DanieleGotti_MED,Keyless Entry,code/progetto_database/src/main/java/med_db/jooq/generated/tables/Diariainf.java,74,74,"public final TableField<DiariainfRecord, String> CODICE_INFERMIERE = createField(DSL.name(""CODICE_INFERMIERE""), SQLDataType.CLOB, this, """");","The CODICE_INFERMIERE column appears to reference the PERSONALE table (based on naming convention matching PERSONALE.CODICE), but lacks a foreign key constraint. Add a foreign key constraint referencing the PERSONALE table to ensure referential integrity."
DanieleGotti_MED,Keyless Entry,code/progetto_database/src/main/java/med_db/jooq/generated/tables/Diariamed.java,74,74,"public final TableField<DiariamedRecord, String> CODICE_MEDICO = createField(DSL.name(""CODICE_MEDICO""), SQLDataType.CLOB, this, """");","The CODICE_MEDICO column appears to reference the PERSONALE table (based on naming convention suggesting a medical staff code), but lacks a foreign key constraint. Consider adding a foreign key constraint referencing the PERSONALE table's primary key to ensure referential integrity."
DanieleGotti_MED,ID Required,code/progetto_database/src/main/java/med_db/jooq/generated/tables/Dimesso.java,59,59,"public final TableField<DimessoRecord, Integer> ID = createField(DSL.name(""ID""), SQLDataType.INTEGER, this, """");","The table uses a generic 'ID' column as the primary key instead of a more descriptive name. The table already has a natural composite key candidate (CODICE_DEGENTE, COUNT_DEGENTE) that references the DEGENTE table. Consider using a more meaningful primary key name like 'DIMESSO_ID' or using the natural key (CODICE_DEGENTE, COUNT_DEGENTE) as the primary key."
DanieleGotti_MED,Keyless Entry,code/progetto_database/src/main/java/med_db/jooq/generated/tables/Dimesso.java,74,74,"public final TableField<DimessoRecord, String> CODICE_MEDICO = createField(DSL.name(""CODICE_MEDICO""), SQLDataType.CLOB, this, """");","The CODICE_MEDICO column appears to reference medical staff (PERSONALE table) but lacks a foreign key constraint, which could lead to orphaned records or invalid references. Consider adding a foreign key constraint to PERSONALE.CODICE to ensure referential integrity."
DanieleGotti_MED,Keyless Entry,code/progetto_database/src/main/java/med_db/jooq/generated/tables/Letto.java,62,62,"public final TableField<LettoRecord, String> NOME_MODULO = createField(DSL.name(""NOME_MODULO""), SQLDataType.CLOB, this, """");","The NOME_MODULO column appears to reference the MODULO table (which has a composite primary key of CODICE_REPARTO and NOME), but there is no foreign key constraint defined for this relationship. Consider adding a composite foreign key on (CODICE_REPARTO, NOME_MODULO) referencing MODULO(CODICE_REPARTO, NOME) to ensure referential integrity."
DanieleGotti_MED,Rounding Errors,code/progetto_database/src/main/java/med_db/jooq/generated/tables/Rilevazione.java,79,79,"public final TableField<RilevazioneRecord, Double> TEMPERATURA = createField(DSL.name(""TEMPERATURA""), SQLDataType.DOUBLE, this, """");","The TEMPERATURA column uses DOUBLE (floating-point) type which can cause precision loss when storing temperature values. Consider using DECIMAL or NUMERIC with appropriate precision (e.g., DECIMAL(4,1)) to ensure accurate storage of temperature measurements."
DanieleGotti_MED,Keyless Entry,code/progetto_database/src/main/java/med_db/jooq/generated/tables/Rilevazione.java,74,74,"public final TableField<RilevazioneRecord, String> CODICE_INFERMIERE = createField(DSL.name(""CODICE_INFERMIERE""), SQLDataType.CLOB, this, """");","The CODICE_INFERMIERE column appears to reference the PERSONALE table (nurse/staff code) but lacks a foreign key constraint, which could lead to orphaned records or invalid references. Add a foreign key constraint referencing PERSONALE.CODICE to ensure referential integrity."
DanieleGotti_MED,ID Required,code/progetto_database/src/main/java/med_db/jooq/generated/tables/VisitaIntervento.java,59,59,"public final TableField<VisitaInterventoRecord, Integer> ID = createField(DSL.name(""ID""), SQLDataType.INTEGER, this, """");","The primary key is named just 'ID', which is a generic name that doesn't convey meaning about the entity it identifies. Consider renaming it to something more descriptive like 'VISITA_INTERVENTO_ID' or using a natural key if one exists."
DanieleGotti_MED,Keyless Entry,code/progetto_database/src/main/java/med_db/jooq/generated/tables/VisitaIntervento.java,79,79,"public final TableField<VisitaInterventoRecord, String> CODICE_MEDICO = createField(DSL.name(""CODICE_MEDICO""), SQLDataType.CLOB, this, """");","The CODICE_MEDICO column appears to reference the PERSONALE table (based on naming convention matching PERSONALE.CODICE), but lacks a foreign key constraint. Add a foreign key constraint referencing PERSONALE__PK_PERSONALE to ensure referential integrity."
DanieleGotti_MED,Implicit Columns,code/progetto_logico/src/main/java/logiche_bottoni_conferma/ConfermaAggiungiPaziente.java,67,67,Integer risultato = contesto.select(Degente.DEGENTE.COUNT).from(Degente.DEGENTE).where(Degente.DEGENTE.CODICE.eq(codice)).orderBy(Degente.DEGENTE.COUNT.desc()).limit(1).fetchOneInto(int.class);,"The query selects only the COUNT column but fetches into int.class, which is correct. However, looking more carefully, this is actually selecting a specific column (Degente.DEGENTE.COUNT), not all columns, so this is NOT an implicit columns issue."
