Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
DiSSCo_dissco-core-annotation-processing-service,31 Flavors,src/main/java/eu/dissco/annotationprocessingservice/database/jooq/tables/Annotation.java,133,133,"public final TableField<AnnotationRecord, AnnotationStatusEnum> ANNOTATION_STATUS = createField(DSL.name(""annotation_status""), SQLDataType.VARCHAR.asEnumDataType(AnnotationStatusEnum.class), this, """");","The ANNOTATION_STATUS column uses an ENUM type to restrict allowed values, which makes adding or removing status values difficult and requires schema changes. Consider using a separate lookup table for annotation statuses that can be modified without altering the schema."
DiSSCo_dissco-core-annotation-processing-service,ID Required,src/main/java/eu/dissco/annotationprocessingservice/database/jooq/tables/AnnotationBatchRecord.java,57,57,"public final TableField<AnnotationBatchRecordRecord, UUID> ID = createField(DSL.name(""id""), SQLDataType.UUID.nullable(false), this, """");","The primary key column is named just 'id', which is a generic name that doesn't convey meaning about what it identifies. Consider renaming it to something more descriptive like 'annotation_batch_record_id' or 'batch_record_id' to make the column's purpose clearer, especially in JOIN queries."
DiSSCo_dissco-core-annotation-processing-service,Keyless Entry,src/main/java/eu/dissco/annotationprocessingservice/database/jooq/tables/AnnotationBatchRecord.java,88,88,"public final TableField<AnnotationBatchRecordRecord, String> PARENT_ANNOTATION_ID = createField(DSL.name(""parent_annotation_id""), SQLDataType.CLOB, this, """");","The 'parent_annotation_id' column appears to reference the Annotation table but lacks a foreign key constraint, which means the database cannot enforce referential integrity. Add a foreign key constraint referencing the 'annotation_pk' primary key on the Annotation table to ensure data consistency."
DiSSCo_dissco-core-annotation-processing-service,Keyless Entry,src/main/java/eu/dissco/annotationprocessingservice/database/jooq/tables/AnnotationBatchRecord.java,77,77,"public final TableField<AnnotationBatchRecordRecord, String> JOB_ID = createField(DSL.name(""job_id""), SQLDataType.CLOB, this, """");",The 'job_id' column appears to reference the MasJobRecord table (which has 'mas_job_record_pk' on its 'job_id' column) but lacks a foreign key constraint. Add a foreign key constraint referencing the MasJobRecord table to ensure referential integrity and prevent orphaned records.
DiSSCo_dissco-core-annotation-processing-service,ID Required,src/main/java/eu/dissco/annotationprocessingservice/database/jooq/tables/DigitalSpecimen.java,61,61,"public final TableField<DigitalSpecimenRecord, String> ID = createField(DSL.name(""id""), SQLDataType.CLOB.nullable(false), this, """");","The primary key column is named just 'id', which is a generic name that doesn't convey the meaning of the identifier. Consider renaming it to something more descriptive like 'digital_specimen_id' to make the column's purpose clearer, especially in JOIN queries."
DiSSCo_dissco-core-annotation-processing-service,31 Flavors,src/main/java/eu/dissco/annotationprocessingservice/database/jooq/tables/MasJobRecord.java,65,65,"public final TableField<MasJobRecordRecord, JobState> JOB_STATE = createField(DSL.name(""job_state""), SQLDataType.VARCHAR.nullable(false).asEnumDataType(JobState.class), this, """");","The JOB_STATE column uses an ENUM type (JobState) to restrict allowed values, which makes adding or removing states difficult and requires schema changes. Consider using a lookup table with a foreign key reference instead."
DiSSCo_dissco-core-annotation-processing-service,31 Flavors,src/main/java/eu/dissco/annotationprocessingservice/database/jooq/tables/MasJobRecord.java,100,100,"public final TableField<MasJobRecordRecord, MjrTargetType> TARGET_TYPE = createField(DSL.name(""target_type""), SQLDataType.VARCHAR.asEnumDataType(MjrTargetType.class), this, """");","The TARGET_TYPE column uses an ENUM type (MjrTargetType) to restrict allowed values, which limits flexibility when new target types need to be added. Consider creating a separate lookup table for target types and referencing it with a foreign key."
DiSSCo_dissco-core-annotation-processing-service,31 Flavors,src/main/java/eu/dissco/annotationprocessingservice/database/jooq/tables/MasJobRecord.java,110,110,"public final TableField<MasJobRecordRecord, ErrorCode> ERROR = createField(DSL.name(""error""), SQLDataType.VARCHAR.asEnumDataType(ErrorCode.class), this, """");","The ERROR column uses an ENUM type (ErrorCode) to restrict allowed values, making it difficult to add new error codes without schema modifications. Consider using a lookup table for error codes with a foreign key constraint instead."
DiSSCo_dissco-core-annotation-processing-service,Implicit Columns,src/main/java/eu/dissco/annotationprocessingservice/repository/AnnotationRepository.java,40,40,context.select(ANNOTATION.asterisk()),"Using `ANNOTATION.asterisk()` fetches all columns from the ANNOTATION table, which can retrieve unnecessary data and break if the schema changes. Instead, explicitly select only the required columns: `ANNOTATION.DATA` and `ANNOTATION.ANNOTATION_HASH`."
DiSSCo_dissco-core-annotation-processing-service,Implicit Columns,src/main/java/eu/dissco/annotationprocessingservice/repository/AnnotationRepository.java,48,48,context.select(ANNOTATION.asterisk()),Using `ANNOTATION.asterisk()` fetches all columns when only `ANNOTATION.DATA` is needed for mapping. Explicitly select only `ANNOTATION.DATA` to improve performance and maintainability.
DiSSCo_dissco-core-annotation-processing-service,Implicit Columns,src/main/java/eu/dissco/annotationprocessingservice/repository/DigitalSpecimenRepository.java,33,33,return context.select(DIGITAL_SPECIMEN.asterisk()),"Using `asterisk()` fetches all columns from the DIGITAL_SPECIMEN table, which can retrieve unnecessary data and cause maintenance issues if the table schema changes. Replace with explicit column selection: `context.select(DIGITAL_SPECIMEN.DATA, DIGITAL_SPECIMEN.ID, DIGITAL_SPECIMEN.MIDSLEVEL, DIGITAL_SPECIMEN.VERSION, DIGITAL_SPECIMEN.CREATED)`."
DiSSCo_dissco-core-annotation-processing-service,Implicit Columns,src/test/java/eu/dissco/annotationprocessingservice/repository/AnnotationBatchRecordRepositoryIT.java,45,45,.select(ANNOTATION_BATCH_RECORD.asterisk()),"Using asterisk() selects all columns from the ANNOTATION_BATCH_RECORD table, which can fetch unnecessary data and break if the schema changes. Explicitly list only the required columns: ID, CREATOR, PARENT_ANNOTATION_ID, CREATED, and JOB_ID."
DiSSCo_dissco-core-annotation-processing-service,Implicit Columns,src/test/java/eu/dissco/annotationprocessingservice/repository/AnnotationBatchRecordRepositoryIT.java,78,78,context.select(ANNOTATION_BATCH_RECORD.asterisk()),"Using asterisk() selects all columns from the ANNOTATION_BATCH_RECORD table, which retrieves more data than needed and creates fragile code. Replace with explicit column selection or use fetchExists() since only the presence of a record is being checked."
