Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
DiSSCo_dissco-core-backend,ID Required,src/main/java/eu/dissco/backend/database/jooq/tables/Annotation.java,62,62,"public final TableField<AnnotationRecord, String> ID = createField(DSL.name(""id""), SQLDataType.CLOB.nullable(false), this, """");","The primary key column is named just 'id', which is a generic name that doesn't convey the table context and can cause ambiguity in JOIN queries. Consider renaming it to 'annotation_id' to make it self-documenting and avoid confusion when joining multiple tables."
DiSSCo_dissco-core-backend,ID Required,src/main/java/eu/dissco/backend/database/jooq/tables/DigitalMediaObject.java,61,61,"public final TableField<DigitalMediaObjectRecord, String> ID = createField(DSL.name(""id""), SQLDataType.CLOB.nullable(false), this, """");","The primary key column is generically named 'id' instead of a more descriptive name like 'digital_media_object_id'. Consider renaming the primary key to something more meaningful that identifies the entity, such as 'digital_media_object_id' or 'media_id'."
DiSSCo_dissco-core-backend,ID Required,src/main/java/eu/dissco/backend/database/jooq/tables/DigitalSpecimen.java,61,61,"public final TableField<DigitalSpecimenRecord, String> ID = createField(DSL.name(""id""), SQLDataType.CLOB.nullable(false), this, """");",The primary key column is generically named 'id' instead of a more descriptive name like 'digital_specimen_id'. Consider renaming the primary key to 'digital_specimen_id' to make it self-documenting and avoid ambiguity in joins.
DiSSCo_dissco-core-backend,ID Required,src/main/java/eu/dissco/backend/database/jooq/tables/MachineAnnotationService.java,57,57,"public final TableField<MachineAnnotationServiceRecord, String> ID = createField(DSL.name(""id""), SQLDataType.CLOB.nullable(false), this, """");","The primary key column is generically named 'id' instead of a more descriptive name like 'machine_annotation_service_id'. Consider renaming the primary key to something more meaningful that identifies the entity, such as 'mas_id' or 'machine_annotation_service_id'."
DiSSCo_dissco-core-backend,31 Flavors,src/main/java/eu/dissco/backend/database/jooq/tables/MasJobRecord.java,65,65,"public final TableField<MasJobRecordRecord, JobState> JOB_STATE = createField(DSL.name(""job_state""), SQLDataType.VARCHAR.nullable(false).asEnumDataType(JobState.class), this, """");","The JOB_STATE column uses an ENUM type (JobState) to restrict allowed values, which makes adding or removing states difficult and requires schema changes. Consider using a separate lookup table for job states that can be modified without altering the schema."
DiSSCo_dissco-core-backend,31 Flavors,src/main/java/eu/dissco/backend/database/jooq/tables/MasJobRecord.java,100,100,"public final TableField<MasJobRecordRecord, MjrTargetType> TARGET_TYPE = createField(DSL.name(""target_type""), SQLDataType.VARCHAR.asEnumDataType(MjrTargetType.class), this, """");","The TARGET_TYPE column uses an ENUM type (MjrTargetType) to define allowed values, which limits flexibility when new target types need to be added. Consider replacing this with a lookup table that references target types by foreign key."
DiSSCo_dissco-core-backend,31 Flavors,src/main/java/eu/dissco/backend/database/jooq/tables/MasJobRecord.java,110,110,"public final TableField<MasJobRecordRecord, ErrorCode> ERROR = createField(DSL.name(""error""), SQLDataType.VARCHAR.asEnumDataType(ErrorCode.class), this, """");","The ERROR column uses an ENUM type (ErrorCode) to restrict error values, making it inflexible when new error codes need to be introduced. Consider using a lookup table for error codes that can be updated without schema modifications."
DiSSCo_dissco-core-backend,Keyless Entry,src/main/java/eu/dissco/backend/database/jooq/tables/MasJobRecord.java,70,70,"public final TableField<MasJobRecordRecord, String> MAS_ID = createField(DSL.name(""mas_id""), SQLDataType.CLOB, this, """");","The MAS_ID column appears to reference the MachineAnnotationService table (which has MACHINE_ANNOTATION_SERVICES_PKEY on its ID column) but lacks a foreign key constraint, risking referential integrity issues. Add a foreign key constraint referencing the machine_annotation_service table's ID column."
DiSSCo_dissco-core-backend,ID Required,src/main/java/eu/dissco/backend/database/jooq/tables/VirtualCollection.java,58,58,"public final TableField<VirtualCollectionRecord, String> ID = createField(DSL.name(""id""), SQLDataType.CLOB.nullable(false), this, """");","The primary key column is named just 'id', which is a generic name that doesn't convey the table context and can cause ambiguity in joins. Consider renaming it to 'virtual_collection_id' or another descriptive name that identifies the entity."
DiSSCo_dissco-core-backend,31 Flavors,src/main/java/eu/dissco/backend/database/jooq/tables/VirtualCollection.java,73,73,"public final TableField<VirtualCollectionRecord, CollectionType> COLLECTION_TYPE = createField(DSL.name(""collection_type""), SQLDataType.VARCHAR.nullable(false).asEnumDataType(CollectionType.class), this, """");","Using an ENUM type for 'collection_type' embeds allowed values directly in the schema, making it difficult to add, remove, or modify values without altering the table definition. Consider creating a separate lookup table (e.g., 'collection_type') with a foreign key reference instead."
DiSSCo_dissco-core-backend,Implicit Columns,src/main/java/eu/dissco/backend/repository/AnnotationRepository.java,37,37,context.select(ANNOTATION.asterisk()),"Using asterisk() fetches all columns from the ANNOTATION table, but only the DATA column is used in mapToAnnotation(). Replace with an explicit column selection like `select(ANNOTATION.DATA)` to fetch only the required column."
DiSSCo_dissco-core-backend,Implicit Columns,src/main/java/eu/dissco/backend/repository/AnnotationRepository.java,45,45,context.select(ANNOTATION.asterisk()),"Using asterisk() fetches all columns from the ANNOTATION table, but only the DATA column is used in mapToAnnotation(). Replace with an explicit column selection like `select(ANNOTATION.DATA)` to fetch only the required column."
DiSSCo_dissco-core-backend,Implicit Columns,src/main/java/eu/dissco/backend/repository/DigitalMediaRepository.java,33,33,context.select(DIGITAL_MEDIA_OBJECT.asterisk()),"Using asterisk() fetches all columns from DIGITAL_MEDIA_OBJECT, which retrieves unnecessary data and couples the code to the table schema. Select only the specific columns needed: ID, DATA, TYPE, CREATED, and VERSION."
DiSSCo_dissco-core-backend,Implicit Columns,src/main/java/eu/dissco/backend/repository/DigitalMediaRepository.java,39,39,context.select(DIGITAL_MEDIA_OBJECT.asterisk()),"Using asterisk() fetches all columns from DIGITAL_MEDIA_OBJECT when only ID, DATA, TYPE, CREATED, and VERSION are used in mapToMultiMediaObject. Explicitly select only the required columns to improve performance and maintainability."
DiSSCo_dissco-core-backend,Implicit Columns,src/main/java/eu/dissco/backend/repository/DigitalMediaRepository.java,46,46,context.select(DIGITAL_MEDIA_OBJECT.asterisk()),"Using asterisk() fetches all columns from DIGITAL_MEDIA_OBJECT, but the mapping function only uses ID, DATA, TYPE, CREATED, and VERSION. Replace with explicit column selection to avoid fetching unnecessary data."
DiSSCo_dissco-core-backend,Implicit Columns,src/main/java/eu/dissco/backend/repository/DigitalSpecimenRepository.java,29,29,context.select(DIGITAL_SPECIMEN.asterisk()),"Using asterisk() fetches all columns from the DIGITAL_SPECIMEN table, which retrieves unnecessary data and can break if the schema changes. Instead, explicitly select only the required columns: ID, DATA, TYPE, MIDSLEVEL, CREATED, and VERSION."
DiSSCo_dissco-core-backend,Implicit Columns,src/main/java/eu/dissco/backend/repository/MasJobRecordRepository.java,32,32,context.select(MAS_JOB_RECORD.asterisk()),"Using asterisk() fetches all columns from the MAS_JOB_RECORD table, which can retrieve unnecessary data and break if the schema changes. Replace with explicit column selection listing only the columns needed for MasJobRecordFull."
DiSSCo_dissco-core-backend,Implicit Columns,src/main/java/eu/dissco/backend/repository/MasJobRecordRepository.java,46,46,context.select(MAS_JOB_RECORD.asterisk()),"Using asterisk() fetches all columns from the MAS_JOB_RECORD table, which increases network overhead and couples the code to the full table schema. Explicitly select only the required columns: JOB_STATE, MAS_ID, TARGET_ID, TARGET_TYPE, CREATOR, JOB_ID, TIME_STARTED, TIME_COMPLETED, ANNOTATIONS, BATCHING_REQUESTED, EXPIRES_ON, ERROR."
DiSSCo_dissco-core-backend,Implicit Columns,src/main/java/eu/dissco/backend/repository/MasJobRecordRepository.java,61,61,context.select(MAS_JOB_RECORD.asterisk()),"Using asterisk() fetches all columns from the MAS_JOB_RECORD table, making the query fragile to schema changes and potentially fetching unused data. Replace with an explicit list of the columns actually used in recordToMasJobRecord."
