Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
DiSSCo_dissco-core-translator,ID Required,src/main/java/eu/dissco/core/translator/database/jooq/tables/DataMapping.java,57,57,"public final TableField<DataMappingRecord, String> ID = createField(DSL.name(""id""), SQLDataType.CLOB.nullable(false), this, """");","The primary key column is generically named 'id' instead of a more descriptive name like 'data_mapping_id'. Consider renaming the column to something more meaningful that identifies what entity it represents, such as 'data_mapping_id'."
DiSSCo_dissco-core-translator,ID Required,src/main/java/eu/dissco/core/translator/database/jooq/tables/SourceSystem.java,60,60,"public final TableField<SourceSystemRecord, String> ID = createField(DSL.name(""id""), SQLDataType.CLOB.nullable(false), this, """");","The primary key column is named just 'id', which is a generic name that doesn't convey any meaning about the entity it identifies. Consider renaming it to 'source_system_id' to make it more descriptive and avoid ambiguity in queries with joins."
DiSSCo_dissco-core-translator,31 Flavors,src/main/java/eu/dissco/core/translator/database/jooq/tables/SourceSystem.java,105,105,"public final TableField<SourceSystemRecord, TranslatorType> TRANSLATOR_TYPE = createField(DSL.name(""translator_type""), SQLDataType.VARCHAR.nullable(false).asEnumDataType(TranslatorType.class), this, """");","Using an ENUM type for 'translator_type' embeds allowed values directly in the column definition, making it difficult to add or modify values without altering the schema. Consider creating a separate lookup table (e.g., 'translator_type') with a foreign key reference instead."
DiSSCo_dissco-core-translator,Keyless Entry,src/main/java/eu/dissco/core/translator/database/jooq/tables/SourceSystem.java,95,95,"public final TableField<SourceSystemRecord, String> MAPPING_ID = createField(DSL.name(""mapping_id""), SQLDataType.CLOB.nullable(false), this, """");","The 'mapping_id' column appears to reference the 'data_mapping' table but lacks a foreign key constraint, which could lead to orphaned records or invalid references. Add a foreign key constraint referencing the DATA_MAPPING_PK to ensure referential integrity."
DiSSCo_dissco-core-translator,31 Flavors,src/main/java/eu/dissco/core/translator/database/jooq/tables/TranslatorJobRecord.java,64,64,"public final TableField<TranslatorJobRecordRecord, JobState> JOB_STATE = createField(DSL.name(""job_state""), SQLDataType.VARCHAR.nullable(false).asEnumDataType(JobState.class), this, """");","The JOB_STATE column uses an ENUM type (JobState) to restrict allowed values, which makes adding or removing states difficult and requires schema changes. Consider using a separate lookup table for job states with a foreign key reference."
DiSSCo_dissco-core-translator,31 Flavors,src/main/java/eu/dissco/core/translator/database/jooq/tables/TranslatorJobRecord.java,89,89,"public final TableField<TranslatorJobRecordRecord, ErrorCode> ERROR = createField(DSL.name(""error""), SQLDataType.VARCHAR.asEnumDataType(ErrorCode.class), this, """");","The ERROR column uses an ENUM type (ErrorCode) to restrict allowed values, which limits flexibility when new error codes need to be added. Consider using a separate error_code lookup table with a foreign key reference."
DiSSCo_dissco-core-translator,Implicit Columns,src/main/java/eu/dissco/core/translator/repository/DwcaRepository.java,126,126,context.selectFrom(getTable(tableName)).where(dwcaIDField.in(batch)).fetchMap(,"Using selectFrom() fetches all columns from the table, which retrieves unnecessary data. Consider using select() with only the specific columns needed (dwcaIDField and dataField)."
DiSSCo_dissco-core-translator,Implicit Columns,src/main/java/eu/dissco/core/translator/repository/DwcaRepository.java,140,140,return context.selectFrom(getTable(tableName)).where(dwcaIDField.in(batch)),"Using selectFrom() fetches all columns from the table when only dwcaIDField and dataField are used. Replace with select(dwcaIDField, dataField).from(getTable(tableName)) to explicitly specify the required columns."
DiSSCo_dissco-core-translator,Implicit Columns,src/test/java/eu/dissco/core/translator/repository/TranslatorJobRecordRepositoryIT.java,45,45,"var result = context.fetchOne(TRANSLATOR_JOB_RECORD, TRANSLATOR_JOB_RECORD.JOB_ID.eq(jobId));","Using fetchOne with a table reference fetches all columns from TRANSLATOR_JOB_RECORD, which may retrieve unnecessary data. Consider using selectFrom with explicit column selection or select specific columns needed for the assertions."
DiSSCo_dissco-core-translator,Implicit Columns,src/test/java/eu/dissco/core/translator/repository/TranslatorJobRecordRepositoryIT.java,64,64,"var result = context.fetchOne(TRANSLATOR_JOB_RECORD, TRANSLATOR_JOB_RECORD.JOB_ID.eq(jobId));","Using fetchOne with a table reference fetches all columns from TRANSLATOR_JOB_RECORD, which may retrieve unnecessary data. Consider using selectFrom with explicit column selection or select specific columns needed for the assertions."
DiSSCo_dissco-core-translator,Implicit Columns,src/test/java/eu/dissco/core/translator/repository/TranslatorJobRecordRepositoryIT.java,87,87,"var result = context.fetchOne(TRANSLATOR_JOB_RECORD, TRANSLATOR_JOB_RECORD.JOB_ID.eq(jobId));","Using fetchOne with a table reference fetches all columns from TRANSLATOR_JOB_RECORD, which may retrieve unnecessary data. Consider using selectFrom with explicit column selection or select specific columns needed for the assertions."
