Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
DragomiroiuStefan_rideshare,Beware of the Unknown,src/main/java/com/stefandragomiroiu/rideshare/jooq/tables/Booking.java,84,84,"public final TableField<BookingRecord, LocalDateTime> BOOKED_AT = createField(DSL.name(""booked_at""), SQLDataType.LOCALDATETIME(6).defaultValue(DSL.field(DSL.raw(""now()""), SQLDataType.LOCALDATETIME)), this, """");","The BOOKED_AT column has a default value but is marked as NULLABLE, which is inconsistent since a booking timestamp should always exist. Consider adding .nullable(false) to the column definition to enforce that every booking has a timestamp."
DragomiroiuStefan_rideshare,31 Flavors,src/main/java/com/stefandragomiroiu/rideshare/jooq/tables/Ride.java,91,91,"public final TableField<RideRecord, RideStatus> STATUS = createField(DSL.name(""status""), SQLDataType.VARCHAR.asEnumDataType(com.stefandragomiroiu.rideshare.jooq.enums.RideStatus.class), this, """");","The STATUS column uses an ENUM type (RideStatus) to restrict allowed values, which makes adding or removing status values difficult and requires schema changes. Consider creating a separate 'ride_status' lookup table with a foreign key reference instead."
DragomiroiuStefan_rideshare,Beware of the Unknown,src/main/java/com/stefandragomiroiu/rideshare/jooq/tables/Ride.java,96,96,"public final TableField<RideRecord, LocalDateTime> POSTED_AT = createField(DSL.name(""posted_at""), SQLDataType.LOCALDATETIME(6).defaultValue(DSL.field(DSL.raw(""now()""), SQLDataType.LOCALDATETIME)), this, """");","The POSTED_AT column has a default value of now() but is marked as NULLABLE, which is inconsistent since it will always have a value in practice. Consider adding a NOT NULL constraint to this column to reflect its actual usage."
DragomiroiuStefan_rideshare,31 Flavors,src/main/java/com/stefandragomiroiu/rideshare/jooq/tables/User.java,111,111,"public final TableField<UserRecord, Role> ROLE = createField(DSL.name(""role""), SQLDataType.VARCHAR.asEnumDataType(com.stefandragomiroiu.rideshare.jooq.enums.Role.class), this, """");","The 'role' column uses an ENUM type to restrict allowed values, which makes adding or removing roles difficult without schema changes. Consider creating a separate 'role' lookup table with a foreign key reference instead."
DragomiroiuStefan_rideshare,Beware of the Unknown,src/main/java/com/stefandragomiroiu/rideshare/jooq/tables/User.java,101,101,"public final TableField<UserRecord, LocalDateTime> CREATED_ON = createField(DSL.name(""created_on""), SQLDataType.LOCALDATETIME(6).defaultValue(DSL.field(DSL.raw(""now()""), SQLDataType.LOCALDATETIME)), this, """");","The 'created_on' column has a default value but is marked as NULLABLE, which is inconsistent since it will always have a value in practice. Consider adding a NOT NULL constraint to this column to reflect its actual usage."
DragomiroiuStefan_rideshare,Implicit Columns,src/main/java/com/stefandragomiroiu/rideshare/repository/BookingRepository.java,8,8,public class BookingRepository extends BookingDao {,"Extending BookingDao inherits methods like findAll(), findById(), etc. that fetch all columns from the booking table. Consider writing custom queries that select only the specific columns needed for each use case."
DragomiroiuStefan_rideshare,Poor Man's Search Engine,src/main/java/com/stefandragomiroiu/rideshare/repository/LocationRepository.java,26,26,.where(LOCATION.CITY.containsIgnoreCase(city)),"Using containsIgnoreCase performs a case-insensitive LIKE '%...%' search which cannot use indexes efficiently and will cause full table scans. Consider using a full-text search index (e.g., PostgreSQL's tsvector/tsquery) or a dedicated search engine like Elasticsearch."
DragomiroiuStefan_rideshare,Implicit Columns,src/main/java/com/stefandragomiroiu/rideshare/repository/LocationRepository.java,25,25,return ctx.selectFrom(LOCATION),"Using selectFrom(LOCATION) fetches all columns from the LOCATION table, which may retrieve unnecessary data and impact performance. Explicitly specify only the required columns using ctx.select(LOCATION.CITY, ...).from(LOCATION)."
DragomiroiuStefan_rideshare,Implicit Columns,src/main/java/com/stefandragomiroiu/rideshare/repository/UserRepository.java,14,14,public class UserRepository extends UserDao {,"Extending UserDao inherits methods like findById(), findAll(), etc. that fetch all columns from the USER table. Consider using explicit column projections with custom query methods instead of relying on the DAO's inherited fetch methods."
DragomiroiuStefan_rideshare,Implicit Columns,src/main/java/com/stefandragomiroiu/rideshare/repository/VehicleRepository.java,8,8,public class VehicleRepository extends VehicleDao {,"Extending VehicleDao inherits methods that fetch all columns from the Vehicle table (e.g., findById, findAll). Consider using explicit column projections with custom queries instead of relying on the generated DAO methods."
