Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
FeldmannJR_redstonegang,ID Required,redstonegang-common/src/main/java/dev/feldmann/redstonegang/common/db/jooq/redstonegang_app/tables/Accounts.java,64,64,"public final TableField<AccountsRecord, UInteger> ID = createField(""id"", org.jooq.impl.SQLDataType.INTEGERUNSIGNED.nullable(false).identity(true), this, """");","The table uses a generic 'id' column as the primary key, even though there are natural unique constraints on 'username' and 'forum_id' that could serve as primary keys. Consider using 'forum_id' as the primary key since it's already unique and represents a meaningful external identifier, or rename 'id' to something more descriptive like 'account_id'."
FeldmannJR_redstonegang,ID Required,redstonegang-common/src/main/java/dev/feldmann/redstonegang/common/db/jooq/redstonegang_app/tables/Skins.java,64,64,"public final TableField<SkinsRecord, ULong> ID = createField(""id"", org.jooq.impl.SQLDataType.BIGINTUNSIGNED.nullable(false).identity(true), this, """");",The table uses a generic 'id' column as the primary key instead of a more descriptive name. Consider renaming the primary key to something more meaningful like 'skin_id' to better convey its purpose and avoid confusion when joining tables.
FeldmannJR_redstonegang,ID Required,redstonegang-common/src/main/java/dev/feldmann/redstonegang/common/db/jooq/redstonegang_common/tables/Exceptions.java,63,63,"public final TableField<ExceptionsRecord, Long> ID = createField(""id"", org.jooq.impl.SQLDataType.BIGINT.nullable(false).identity(true), this, """");",The primary key column is generically named 'id' instead of a more descriptive name like 'exception_id'. Consider renaming the column to 'exception_id' to make it self-documenting and avoid ambiguity in JOIN queries.
FeldmannJR_redstonegang,Fear of the Unknown,redstonegang-common/src/main/java/dev/feldmann/redstonegang/common/db/jooq/redstonegang_common/tables/Exceptions.java,68,68,"public final TableField<ExceptionsRecord, Timestamp> OCCURRED = createField(""occurred"", org.jooq.impl.SQLDataType.TIMESTAMP.defaultValue(org.jooq.impl.DSL.field(""current_timestamp()"", org.jooq.impl.SQLDataType.TIMESTAMP)), this, """");","The 'occurred' column has a default value but is implicitly NULLABLE, which is inconsistent since a timestamp that defaults to current_timestamp() should never be NULL in practice. Consider adding .nullable(false) to the column definition to enforce this constraint."
FeldmannJR_redstonegang,ID Required,redstonegang-common/src/main/java/dev/feldmann/redstonegang/common/db/jooq/redstonegang_common/tables/Expirations.java,64,64,"public final TableField<ExpirationsRecord, Long> ID = createField(""id"", org.jooq.impl.SQLDataType.BIGINT.nullable(false).identity(true), this, """");",The primary key column is generically named 'id' instead of a more descriptive name like 'expiration_id'. Consider renaming the column to 'expiration_id' to make it self-documenting and avoid ambiguity in joins.
FeldmannJR_redstonegang,Rounding Errors,redstonegang-common/src/main/java/dev/feldmann/redstonegang/common/db/jooq/redstonegang_common/tables/GroupOptions.java,71,71,"public final TableField<GroupOptionsRecord, Double> VALUE = createField(""value"", org.jooq.impl.SQLDataType.DOUBLE.defaultValue(org.jooq.impl.DSL.inline(""NULL"", org.jooq.impl.SQLDataType.DOUBLE)), this, """");",The VALUE column uses DOUBLE type which can cause precision loss for fixed-precision values like currency or measurements. Consider using DECIMAL or NUMERIC type instead to ensure accurate storage and calculations.
FeldmannJR_redstonegang,ID Required,redstonegang-common/src/main/java/dev/feldmann/redstonegang/common/db/jooq/redstonegang_common/tables/Groups.java,62,62,"public final TableField<GroupsRecord, Integer> ID = createField(""id"", org.jooq.impl.SQLDataType.INTEGER.nullable(false).identity(true), this, """");","The table uses a generic 'id' column as the primary key, but there's already a unique constraint on the 'name' column (KEY_GROUPS_NAME) which could serve as a natural primary key since group names are typically immutable identifiers. Consider using 'name' as the primary key or renaming 'id' to something more descriptive like 'group_id'."
FeldmannJR_redstonegang,Keyless Entry,redstonegang-common/src/main/java/dev/feldmann/redstonegang/common/db/jooq/redstonegang_common/tables/Groups.java,102,102,"public final TableField<GroupsRecord, Integer> PARENT = createField(""parent"", org.jooq.impl.SQLDataType.INTEGER.defaultValue(org.jooq.impl.DSL.inline(""NULL"", org.jooq.impl.SQLDataType.INTEGER)), this, """");","The 'parent' column appears to reference another group in the same table (self-referential relationship for group hierarchy), but lacks a foreign key constraint to enforce referential integrity. Add a foreign key constraint referencing the 'groups' table's primary key to prevent orphaned parent references."
FeldmannJR_redstonegang,ID Required,redstonegang-common/src/main/java/dev/feldmann/redstonegang/common/db/jooq/redstonegang_common/tables/MoedaLogs.java,63,63,"public final TableField<MoedaLogsRecord, Long> ID = createField(""id"", org.jooq.impl.SQLDataType.BIGINT.nullable(false).identity(true), this, """");","The primary key is named just 'id' which is a generic, non-descriptive name that doesn't convey the table context. Consider renaming it to 'moeda_log_id' or 'log_id' to make it more meaningful and easier to identify in queries involving multiple tables."
FeldmannJR_redstonegang,Keyless Entry,redstonegang-common/src/main/java/dev/feldmann/redstonegang/common/db/jooq/redstonegang_common/tables/MoedaLogs.java,68,68,"public final TableField<MoedaLogsRecord, Integer> PLAYERID = createField(""playerId"", org.jooq.impl.SQLDataType.INTEGER.defaultValue(org.jooq.impl.DSL.inline(""NULL"", org.jooq.impl.SQLDataType.INTEGER)), this, """");",The 'playerId' column appears to reference the 'users' table (which has KEY_USERS_PRIMARY on its ID column) but lacks a foreign key constraint. Add a foreign key constraint referencing the 'users' table to ensure referential integrity and prevent orphaned records.
