Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
Fics3_tink_java_backend_course_spring,ID Required,scrapper/src/main/java/edu/java/domain/jooq/tables/Questions.java,56,57,"public final TableField<QuestionsRecord, Integer> QUESTION_ID =
    createField(DSL.name(""QUESTION_ID""), SQLDataType.INTEGER.nullable(false).identity(true), this, """");","The table has a synthetic auto-increment primary key (QUESTION_ID) even though there's already a unique constraint on LINK_ID (CONSTRAINT_3BD) which could serve as a natural primary key. Consider using LINK_ID as the primary key since each question is uniquely identified by its link, eliminating the need for a separate surrogate key."
Fics3_tink_java_backend_course_spring,ID Required,scrapper/src/main/java/edu/java/domain/jooq/tables/Repositories.java,56,57,"public final TableField<RepositoriesRecord, Integer> REPOSITORY_ID =
    createField(DSL.name(""REPOSITORY_ID""), SQLDataType.INTEGER.nullable(false).identity(true), this, """");",The table has a synthetic auto-increment primary key (REPOSITORY_ID) even though there's already a unique constraint on LINK_ID (CONSTRAINT_81) which could serve as a natural primary key. Consider using LINK_ID as the primary key since it uniquely identifies each repository and is a foreign key to the LINKS table.
Fics3_tink_java_backend_course_spring,Implicit Columns,scrapper/src/main/java/edu/java/domain/repository/jooq/JooqChatRepository.java,39,39,return dsl.selectFrom(CHATS),"Using selectFrom(CHATS) fetches all columns from the CHATS table, which may retrieve unnecessary data. Consider explicitly selecting only the columns needed for the ChatModel class."
Fics3_tink_java_backend_course_spring,Implicit Columns,scrapper/src/main/java/edu/java/domain/repository/jooq/JooqGithubRepositoryRepository.java,21,21,return dslContext.selectFrom(REPOSITORIES),"Using selectFrom(REPOSITORIES) fetches all columns from the REPOSITORIES table, which may retrieve unnecessary data. Consider using an explicit select() with only the columns needed for GithubRepositoryModel."
Fics3_tink_java_backend_course_spring,Implicit Columns,scrapper/src/main/java/edu/java/domain/repository/jooq/JooqLinksRepository.java,50,50,LinksRecord linkRecord = dsl.selectFrom(LINKS),"Using selectFrom(LINKS) fetches all columns from the LINKS table into a LinksRecord, but only the linkId is actually used. Consider using dsl.select(LINKS.LINK_ID).from(LINKS) to fetch only the required column."
Fics3_tink_java_backend_course_spring,Implicit Columns,scrapper/src/main/java/edu/java/domain/repository/jooq/JooqLinksRepository.java,73,73,return dsl.selectFrom(LINKS),"Using selectFrom(LINKS) fetches all columns from the LINKS table. If only specific columns are needed, explicitly select them using dsl.select(LINKS.LINK_ID, LINKS.LINK, ...).from(LINKS)."
Fics3_tink_java_backend_course_spring,Implicit Columns,scrapper/src/main/java/edu/java/domain/repository/jooq/JooqLinksRepository.java,106,106,return dsl.selectFrom(LINKS),"Using selectFrom(LINKS) fetches all columns from the LINKS table. Consider explicitly selecting only the columns needed using dsl.select(LINKS.LINK_ID, LINKS.LINK, LINKS.LAST_UPDATE, LINKS.LAST_CHECK).from(LINKS)."
Fics3_tink_java_backend_course_spring,Implicit Columns,scrapper/src/main/java/edu/java/domain/repository/jooq/JooqStackoverflowQuestionRepository.java,21,21,return dslContext.selectFrom(QUESTIONS),"Using `selectFrom(QUESTIONS)` fetches all columns from the QUESTIONS table, which may retrieve unnecessary data and reduce performance. Consider using an explicit column selection like `select(QUESTIONS.LINK_ID, QUESTIONS.ANSWER_COUNT)` to fetch only the required fields."
Fics3_tink_java_backend_course_spring,Implicit Columns,scrapper/src/test/java/edu/java/scrapper/repository/jooq/JooqGithubRepositoryRepositoryTest.java,80,80,Result<RepositoriesRecord> result = dslContext.selectFrom(REPOSITORIES),"Using `selectFrom(REPOSITORIES)` fetches all columns from the REPOSITORIES table into a record, even though only the SUBSCRIBERS_COUNT column is needed. Consider using `select(REPOSITORIES.SUBSCRIBERS_COUNT).from(REPOSITORIES)` to fetch only the required column."
Fics3_tink_java_backend_course_spring,Implicit Columns,scrapper/src/test/java/edu/java/scrapper/repository/jooq/JooqLinksRepositoryTest.java,55,55,LinksRecord insertedLink = dslContext.selectFrom(LINKS),"Using selectFrom(LINKS) fetches all columns from the LINKS table into a LinksRecord, which retrieves more data than needed. Consider using select() with only the specific columns required for the assertion, such as LINKS.LINK."
Fics3_tink_java_backend_course_spring,Implicit Columns,scrapper/src/test/java/edu/java/scrapper/repository/jooq/JooqLinksRepositoryTest.java,102,102,LinksRecord removedLink = dslContext.selectFrom(LINKS),Using selectFrom(LINKS) fetches all columns from the LINKS table when only checking if the record exists. Consider using fetchExists() or selecting only the primary key column to verify the record was deleted.
Fics3_tink_java_backend_course_spring,Implicit Columns,scrapper/src/test/java/edu/java/scrapper/repository/jooq/JooqLinksRepositoryTest.java,189,189,LinksRecord updatedLink = dslContext.selectFrom(LINKS),Using selectFrom(LINKS) fetches all columns from the LINKS table when only LAST_UPDATE is needed for the assertion. Consider using select(LINKS.LAST_UPDATE) to fetch only the required column.
Fics3_tink_java_backend_course_spring,Implicit Columns,scrapper/src/test/java/edu/java/scrapper/repository/jooq/JooqStackoverflowQuestionRepositoryTest.java,81,81,Result<QuestionsRecord> result = dslContext.selectFrom(QUESTIONS),"Using `selectFrom(QUESTIONS)` fetches all columns from the QUESTIONS table into a record, even though only the ANSWER_COUNT column is needed. Consider using `select(QUESTIONS.ANSWER_COUNT).from(QUESTIONS)` to fetch only the required column."
