Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
FrankChen021_bithon,Implicit Columns,server/storage-jdbc-clickhouse/src/main/java/org/bithon/server/storage/jdbc/clickhouse/setting/SettingStorage.java,71,71,dslContext.selectFrom(Tables.BITHON_AGENT_SETTING),"Using selectFrom() fetches all columns from the BITHON_AGENT_SETTING table, which retrieves unnecessary data and impacts performance. Consider using select() with only the specific columns needed for the SettingEntry mapping."
FrankChen021_bithon,Implicit Columns,server/storage-jdbc-clickhouse/src/main/java/org/bithon/server/storage/jdbc/clickhouse/setting/SettingStorage.java,79,79,dslContext.selectFrom(Tables.BITHON_AGENT_SETTING),"Using selectFrom() fetches all columns from the BITHON_AGENT_SETTING table, which retrieves unnecessary data and impacts performance. Consider using select() with only the specific columns needed for the SettingEntry mapping."
FrankChen021_bithon,Implicit Columns,server/storage-jdbc-clickhouse/src/main/java/org/bithon/server/storage/jdbc/clickhouse/setting/SettingStorage.java,89,89,dslContext.selectFrom(Tables.BITHON_AGENT_SETTING),"Using selectFrom() fetches all columns from the BITHON_AGENT_SETTING table, which retrieves unnecessary data and impacts performance. Consider using select() with only the specific columns needed for the SettingEntry mapping."
FrankChen021_bithon,Implicit Columns,server/storage-jdbc-clickhouse/src/main/java/org/bithon/server/storage/jdbc/clickhouse/setting/SettingStorage.java,100,100,dslContext.selectFrom(Tables.BITHON_AGENT_SETTING),Using selectFrom() fetches all columns from the BITHON_AGENT_SETTING table when only checking for existence. Consider using selectOne() or fetchExists() with a count query to avoid retrieving unnecessary column data.
FrankChen021_bithon,Implicit Columns,server/storage-jdbc-clickhouse/src/main/java/org/bithon/server/storage/jdbc/clickhouse/web/DashboardStorage.java,70,70,dslContext.selectFrom(Tables.BITHON_WEB_DASHBOARD),"Using selectFrom() fetches all columns from the BITHON_WEB_DASHBOARD table, which retrieves more data than may be necessary. Consider using select() with explicit column names to fetch only the required columns for the Dashboard object."
FrankChen021_bithon,Implicit Columns,server/storage-jdbc/src/main/java/org/bithon/server/storage/jdbc/alerting/AlertObjectJdbcStorage.java,119,119,return dslContext.selectFrom(this.quotedObjectTableSelectName),"Using selectFrom() fetches all columns from the table, which can retrieve unnecessary data and impact performance. Consider using an explicit select() with only the required columns instead."
FrankChen021_bithon,Poor Man's Search Engine,server/storage-jdbc/src/main/java/org/bithon/server/storage/jdbc/alerting/AlertObjectJdbcStorage.java,262,262,condition = condition.and(Tables.BITHON_ALERT_OBJECT.ALERT_NAME.likeIgnoreCase(SqlLikeExpression.toLikePattern(ruleName)));,Using LIKE with a pattern converted via SqlLikeExpression.toLikePattern() for searching rule names may perform poorly on large datasets as it cannot use indexes effectively. Consider using a full-text search index or a dedicated search engine for better performance.
FrankChen021_bithon,Implicit Columns,server/storage-jdbc/src/main/java/org/bithon/server/storage/jdbc/alerting/AlertObjectJdbcStorage.java,143,143,return dslContext.selectFrom(this.quotedObjectTableSelectName),Using selectFrom() fetches all columns from the table when only specific fields are needed. Consider using an explicit select() with only the columns required by toStorageObject().
FrankChen021_bithon,Poor Man's Search Engine,server/storage-jdbc/src/main/java/org/bithon/server/storage/jdbc/alerting/AlertObjectJdbcStorage.java,295,295,selectStatement = ((SelectConditionStep<?>) selectStatement).and(Tables.BITHON_ALERT_OBJECT.ALERT_NAME.likeIgnoreCase(SqlLikeExpression.toLikePattern(ruleName)));,Using LIKE with a dynamically generated pattern for searching rule names can be inefficient for full-text search scenarios. Consider implementing a full-text search solution or using database-specific text search features.
FrankChen021_bithon,Implicit Columns,server/storage-jdbc/src/main/java/org/bithon/server/storage/jdbc/alerting/AlertObjectJdbcStorage.java,370,370,dslContext.selectFrom(Tables.BITHON_ALERT_CHANGE_LOG),Using selectFrom() fetches all columns from the BITHON_ALERT_CHANGE_LOG table. Consider using an explicit select() with only the columns needed by AlertChangeLogObject to reduce data transfer.
FrankChen021_bithon,Implicit Columns,server/storage-jdbc/src/main/java/org/bithon/server/storage/jdbc/alerting/AlertRecordJdbcStorage.java,103,103,Select<?> sql = dslContext.selectFrom(Tables.BITHON_ALERT_RECORD);,"Using `selectFrom()` fetches all columns from the BITHON_ALERT_RECORD table, which can retrieve unnecessary data and impact performance. Consider explicitly selecting only the columns needed for the AlertRecordObject mapping."
FrankChen021_bithon,Implicit Columns,server/storage-jdbc/src/main/java/org/bithon/server/storage/jdbc/alerting/AlertRecordJdbcStorage.java,126,126,return dslContext.selectFrom(Tables.BITHON_ALERT_RECORD).where(Tables.BITHON_ALERT_RECORD.RECORD_ID.eq(id)).fetchOneInto(AlertRecordObject.class);,Using `selectFrom()` fetches all columns from the BITHON_ALERT_RECORD table when only specific fields may be needed. Consider explicitly selecting only the required columns for the AlertRecordObject.
