Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
Geomatys_examind-community,ID Required,modules/database/cstl-database-api/src/main/generated/com/examind/database/api/jooq/tables/Attachment.java,71,71,"public final TableField<AttachmentRecord, Integer> ID = createField(DSL.name(""id""), SQLDataType.INTEGER.nullable(false).identity(true), this, """");",The primary key column is named just 'id' which is a generic name that doesn't convey meaning about the entity it identifies. Consider renaming it to 'attachment_id' to make it more descriptive and to avoid ambiguity in queries with joins.
Geomatys_examind-community,ID Required,modules/database/cstl-database-api/src/main/generated/com/examind/database/api/jooq/tables/ChainProcess.java,75,75,"public final TableField<ChainProcessRecord, Integer> ID = createField(DSL.name(""id""), SQLDataType.INTEGER.nullable(false).identity(true), this, """");",The primary key is named just 'id' which is a generic name that doesn't convey meaning about the entity. Consider renaming it to 'chain_process_id' to make it more descriptive and avoid ambiguity in queries with joins.
Geomatys_examind-community,ID Required,modules/database/cstl-database-api/src/main/generated/com/examind/database/api/jooq/tables/CstlUser.java,73,73,"public final TableField<CstlUserRecord, Integer> ID = createField(DSL.name(""id""), SQLDataType.INTEGER.nullable(false).identity(true), this, """");","The primary key column is generically named 'id' instead of a more descriptive name like 'user_id'. Additionally, the table has a unique constraint on LOGIN which could serve as a natural primary key since usernames are typically immutable. Consider renaming the column to 'user_id' or using LOGIN as the primary key."
Geomatys_examind-community,ID Required,modules/database/cstl-database-api/src/main/generated/com/examind/database/api/jooq/tables/Data.java,75,75,"public final TableField<DataRecord, Integer> ID = createField(DSL.name(""id""), SQLDataType.INTEGER.nullable(false).identity(true), this, """");","The primary key column is generically named 'id' instead of a more descriptive name like 'data_id'. Consider renaming the primary key to something more meaningful that identifies the entity, such as 'data_id'."
Geomatys_examind-community,Beware of the Unknown,modules/database/cstl-database-api/src/main/generated/com/examind/database/api/jooq/tables/Data.java,100,100,"public final TableField<DataRecord, String> SUBTYPE = createField(DSL.name(""subtype""), SQLDataType.VARCHAR(32).nullable(false).defaultValue(DSL.field(DSL.raw(""''::character varying""), SQLDataType.VARCHAR)), this, """");","The 'subtype' column uses an empty string as a default value instead of NULL to represent missing data, which conflates 'no value' with 'empty value'. Consider making the column nullable and using NULL to represent missing subtypes."
Geomatys_examind-community,Rounding Errors,modules/database/cstl-database-api/src/main/generated/com/examind/database/api/jooq/tables/DataDimRange.java,82,82,"public final TableField<DataDimRangeRecord, Double> MIN = createField(DSL.name(""min""), SQLDataType.DOUBLE.nullable(false), this, """");",The 'min' column uses DOUBLE type which can cause precision loss for fixed-precision values like dimension ranges. Consider using SQLDataType.DECIMAL or SQLDataType.NUMERIC with appropriate precision and scale instead.
Geomatys_examind-community,Rounding Errors,modules/database/cstl-database-api/src/main/generated/com/examind/database/api/jooq/tables/DataDimRange.java,87,87,"public final TableField<DataDimRangeRecord, Double> MAX = createField(DSL.name(""max""), SQLDataType.DOUBLE.nullable(false), this, """");",The 'max' column uses DOUBLE type which can introduce floating-point rounding errors when storing precise boundary values. Consider using SQLDataType.DECIMAL or SQLDataType.NUMERIC with appropriate precision and scale instead.
Geomatys_examind-community,Rounding Errors,modules/database/cstl-database-api/src/main/generated/com/examind/database/api/jooq/tables/DataElevations.java,77,77,"public final TableField<DataElevationsRecord, Double> ELEVATION = createField(DSL.name(""elevation""), SQLDataType.DOUBLE.nullable(false), this, """");",The ELEVATION column uses DOUBLE (floating-point) type which can cause precision loss for elevation values that may require exact decimal representation. Consider using SQLDataType.DECIMAL or SQLDataType.NUMERIC with appropriate precision and scale to store elevation values accurately.
Geomatys_examind-community,Rounding Errors,modules/database/cstl-database-api/src/main/generated/com/examind/database/api/jooq/tables/DataEnvelope.java,82,82,"public final TableField<DataEnvelopeRecord, Double> MIN = createField(DSL.name(""min""), SQLDataType.DOUBLE.nullable(false), this, """");",The 'min' column uses DOUBLE type which can cause precision loss for fixed-precision values like coordinates. Consider using SQLDataType.DECIMAL or SQLDataType.NUMERIC with appropriate precision and scale for accurate storage of envelope boundaries.
Geomatys_examind-community,Rounding Errors,modules/database/cstl-database-api/src/main/generated/com/examind/database/api/jooq/tables/DataEnvelope.java,87,87,"public final TableField<DataEnvelopeRecord, Double> MAX = createField(DSL.name(""max""), SQLDataType.DOUBLE.nullable(false), this, """");",The 'max' column uses DOUBLE type which can introduce floating-point rounding errors for fixed-precision values like coordinates. Consider using SQLDataType.DECIMAL or SQLDataType.NUMERIC with appropriate precision and scale for accurate storage of envelope boundaries.
Geomatys_examind-community,ID Required,modules/database/cstl-database-api/src/main/generated/com/examind/database/api/jooq/tables/Dataset.java,75,75,"public final TableField<DatasetRecord, Integer> ID = createField(DSL.name(""id""), SQLDataType.INTEGER.nullable(false).identity(true), this, """");",The primary key column is generically named 'id' instead of a more descriptive name like 'dataset_id'. Consider renaming the primary key to 'dataset_id' to make it self-documenting and easier to identify in queries involving multiple tables.
Geomatys_examind-community,ID Required,modules/database/cstl-database-api/src/main/generated/com/examind/database/api/jooq/tables/Datasource.java,71,71,"public final TableField<DatasourceRecord, Integer> ID = createField(DSL.name(""id""), SQLDataType.INTEGER.nullable(false).identity(true), this, """");",The primary key column is generically named 'id' instead of a more descriptive name like 'datasource_id'. Consider renaming the column to 'datasource_id' to make it self-documenting and avoid ambiguity in joins.
Geomatys_examind-community,Keyless Entry,modules/database/cstl-database-api/src/main/generated/com/examind/database/api/jooq/tables/DatasourceProperties.java,70,70,"public final TableField<DatasourcePropertiesRecord, Integer> DATASOURCE_ID = createField(DSL.name(""datasource_id""), SQLDataType.INTEGER.nullable(false), this, """");",The DATASOURCE_ID column appears to reference the Datasource table (based on naming convention and the existence of DATASOURCE_PK in the Keys class) but lacks a foreign key constraint. Add a foreign key constraint referencing Datasource.ID to ensure referential integrity.
Geomatys_examind-community,Keyless Entry,modules/database/cstl-database-api/src/main/generated/com/examind/database/api/jooq/tables/DatasourceSelectedPath.java,88,88,"public final TableField<DatasourceSelectedPathRecord, Integer> PROVIDER_ID = createField(DSL.name(""provider_id""), SQLDataType.INTEGER.nullable(false).defaultValue(DSL.field(DSL.raw(""'-1'::integer""), SQLDataType.INTEGER)), this, """");","The PROVIDER_ID column appears to reference the Provider table but lacks a foreign key constraint, which could lead to orphaned records or invalid references. Consider adding a foreign key constraint referencing Keys.PROVIDER_PK to ensure referential integrity."
Geomatys_examind-community,Beware of the Unknown,modules/database/cstl-database-api/src/main/generated/com/examind/database/api/jooq/tables/DatasourceSelectedPath.java,88,88,"public final TableField<DatasourceSelectedPathRecord, Integer> PROVIDER_ID = createField(DSL.name(""provider_id""), SQLDataType.INTEGER.nullable(false).defaultValue(DSL.field(DSL.raw(""'-1'::integer""), SQLDataType.INTEGER)), this, """");","Using -1 as a default value to represent 'no provider' is a magic value that can cause confusion and complicate queries. Consider making the column nullable and using NULL to represent the absence of a provider, or use a proper foreign key with a dedicated 'unknown' record in the Provider table."
Geomatys_examind-community,ID Required,modules/database/cstl-database-api/src/main/generated/com/examind/database/api/jooq/tables/InternalMetadata.java,74,74,"public final TableField<InternalMetadataRecord, Integer> ID = createField(DSL.name(""id""), SQLDataType.INTEGER.nullable(false).identity(true), this, """");",The primary key is named just 'id' which is a generic name that doesn't convey meaning about the entity. Consider renaming it to 'internal_metadata_id' to make it more descriptive and avoid ambiguity in queries with joins.
Geomatys_examind-community,ID Required,modules/database/cstl-database-api/src/main/generated/com/examind/database/api/jooq/tables/InternalSensor.java,73,73,"public final TableField<InternalSensorRecord, Integer> ID = createField(DSL.name(""id""), SQLDataType.INTEGER.nullable(false).identity(true), this, """");","The table uses a generic 'id' column as the primary key, but there's already a foreign key relationship to the Sensor table via the ID column (INTERNAL_SENSOR__INTERNAL_SENSOR_ID_FK). This suggests the table could use sensor_id as a natural key or rename the primary key to something more descriptive like 'internal_sensor_id'."
Geomatys_examind-community,ID Required,modules/database/cstl-database-api/src/main/generated/com/examind/database/api/jooq/tables/Layer.java,75,75,"public final TableField<LayerRecord, Integer> ID = createField(DSL.name(""id""), SQLDataType.INTEGER.nullable(false).identity(true), this, """");",The primary key column is generically named 'id' instead of a more descriptive name like 'layer_id'. Consider renaming the primary key to 'layer_id' to make it self-documenting and easier to identify in queries involving multiple tables.
Geomatys_examind-community,ID Required,modules/database/cstl-database-api/src/main/generated/com/examind/database/api/jooq/tables/Mapcontext.java,75,75,"public final TableField<MapcontextRecord, Integer> ID = createField(DSL.name(""id""), SQLDataType.INTEGER.nullable(false).identity(true), this, """");",The primary key column is generically named 'id' instead of a more descriptive name like 'mapcontext_id'. Consider renaming the column to 'mapcontext_id' to make it self-documenting and avoid ambiguity in joins.
Geomatys_examind-community,ID Required,modules/database/cstl-database-api/src/main/generated/com/examind/database/api/jooq/tables/MapcontextStyledLayer.java,73,73,"public final TableField<MapcontextStyledLayerRecord, Integer> ID = createField(DSL.name(""id""), SQLDataType.INTEGER.nullable(false).identity(true), this, """");","The primary key column is named just 'id', which is a generic name that doesn't convey meaning about the entity it identifies. Consider renaming it to something more descriptive like 'mapcontext_styled_layer_id' to improve clarity when joining tables."
Geomatys_examind-community,ID Required,modules/database/cstl-database-api/src/main/generated/com/examind/database/api/jooq/tables/Metadata.java,68,68,"public final TableField<MetadataRecord, Integer> ID = createField(DSL.name(""id""), SQLDataType.INTEGER.nullable(false).identity(true), this, """");","The primary key column is generically named 'id' instead of a more descriptive name like 'metadata_id'. Consider renaming the primary key to something more meaningful that identifies the entity, such as 'metadata_pk' or using the existing 'metadata_id' column as the primary key if it's unique."
