Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
HSLdevcom_jore4-jore3-importer,Keyless Entry,src/main/generated-sources/jooq/fi/hsl/jore/importer/jooq/infrastructure_network/tables/InfrastructureLinkShapesHistory.java,73,73,"public final TableField<InfrastructureLinkShapesHistoryRecord, UUID> INFRASTRUCTURE_LINK_ID = createField(DSL.name(""infrastructure_link_id""), SQLDataType.UUID.nullable(false), this, """");","The column 'infrastructure_link_id' appears to reference the 'infrastructure_links' table but lacks a foreign key constraint, which could lead to orphaned records or referential integrity issues. Add a foreign key constraint referencing INFRASTRUCTURE_LINKS_PKEY to ensure data consistency."
HSLdevcom_jore4-jore3-importer,Keyless Entry,src/main/generated-sources/jooq/fi/hsl/jore/importer/jooq/infrastructure_network/tables/InfrastructureNodesHistory.java,73,73,"public final TableField<InfrastructureNodesHistoryRecord, String> INFRASTRUCTURE_NODE_TYPE = createField(DSL.name(""infrastructure_node_type""), SQLDataType.CLOB.nullable(false), this, """");","The INFRASTRUCTURE_NODE_TYPE column appears to reference the InfrastructureNodeTypes lookup table (which has INFRASTRUCTURE_NODE_TYPES_PKEY on INFRASTRUCTURE_NODE_TYPE_VALUE), but lacks a foreign key constraint. Consider adding a foreign key referencing infrastructure_node.infrastructure_node_types(infrastructure_node_type_value) to ensure referential integrity."
HSLdevcom_jore4-jore3-importer,ID Required,src/main/generated-sources/jooq/fi/hsl/jore/importer/jooq/network/tables/NetworkPlaces.java,64,64,"public final TableField<NetworkPlacesRecord, UUID> NETWORK_PLACE_ID = createField(DSL.name(""network_place_id""), SQLDataType.UUID.nullable(false).defaultValue(DSL.field(DSL.raw(""gen_random_uuid()""), SQLDataType.UUID)), this, """");","The table has a synthetic UUID primary key (network_place_id) even though network_place_ext_id appears to be a natural unique identifier that could serve as the primary key. Consider using network_place_ext_id as the primary key if it uniquely identifies places, or rename the primary key to something more descriptive than a generic ID pattern."
HSLdevcom_jore4-jore3-importer,Beware of the Unknown,src/main/generated-sources/jooq/fi/hsl/jore/importer/jooq/network/tables/NetworkRouteStopPoints.java,116,116,"public final TableField<NetworkRouteStopPointsRecord, Integer> NETWORK_ROUTE_STOP_POINT_REGULATED_TIMING_POINT_STATUS = createField(DSL.name(""network_route_stop_point_regulated_timing_point_status""), SQLDataType.INTEGER.nullable(false).defaultValue(DSL.field(DSL.raw(""'-9999'::integer""), SQLDataType.INTEGER)), this, """");","Using -9999 as a default value to represent a missing or unknown regulated timing point status is problematic because it conflates a magic number with actual data, making queries error-prone and requiring special handling. Consider making this column NULLABLE and using NULL to represent unknown values, or create a lookup table with explicit status codes including an 'unknown' entry."
HSLdevcom_jore4-jore3-importer,Beware of the Unknown,src/main/generated-sources/jooq/fi/hsl/jore/importer/jooq/network/tables/NetworkRouteStopPointsHistory.java,108,108,"public final TableField<NetworkRouteStopPointsHistoryRecord, Integer> NETWORK_ROUTE_STOP_POINT_REGULATED_TIMING_POINT_STATUS = createField(DSL.name(""network_route_stop_point_regulated_timing_point_status""), SQLDataType.INTEGER.nullable(false).defaultValue(DSL.field(DSL.raw(""'-9999'::integer""), SQLDataType.INTEGER)), this, """");","Using -9999 as a default value to represent missing data is problematic because it's a magic number that could be confused with legitimate data and requires special handling throughout the application. Consider making this column NULLABLE and using NULL to represent missing values, or use a separate boolean column to indicate whether the value is present."
HSLdevcom_jore4-jore3-importer,Beware of the Unknown,src/main/generated-sources/jooq/fi/hsl/jore/importer/jooq/network/tables/NetworkRouteStopPointsStaging.java,94,94,"public final TableField<NetworkRouteStopPointsStagingRecord, Integer> NETWORK_ROUTE_STOP_POINT_REGULATED_TIMING_POINT_STATUS = createField(DSL.name(""network_route_stop_point_regulated_timing_point_status""), SQLDataType.INTEGER.nullable(false).defaultValue(DSL.field(DSL.raw(""'-9999'::integer""), SQLDataType.INTEGER)), this, """");","The column uses a magic value '-9999' as a default to represent missing data instead of using NULL. This can lead to confusion and bugs when querying data, as the special value must be handled separately. Consider making the column nullable and using NULL to represent missing values, or document the semantic meaning if -9999 has a legitimate business meaning."
HSLdevcom_jore4-jore3-importer,Rounding Errors,src/main/generated-sources/jooq/fi/hsl/jore/jore4/jooq/infrastructure_network/tables/InfrastructureLink.java,82,82,"public final TableField<Record, Double> ESTIMATED_LENGTH_IN_METRES = createField(DSL.name(""estimated_length_in_metres""), SQLDataType.DOUBLE, this, ""The estimated length of the infrastructure link in metres."");",The column 'estimated_length_in_metres' uses SQLDataType.DOUBLE which is a floating-point type that can introduce rounding errors for precise measurements. Consider using SQLDataType.DECIMAL or SQLDataType.NUMERIC with appropriate precision and scale to store length values accurately.
HSLdevcom_jore4-jore3-importer,Beware of the Unknown,src/main/generated-sources/jooq/fi/hsl/jore/jore4/jooq/infrastructure_network/tables/InfrastructureLink.java,82,82,"public final TableField<Record, Double> ESTIMATED_LENGTH_IN_METRES = createField(DSL.name(""estimated_length_in_metres""), SQLDataType.DOUBLE, this, ""The estimated length of the infrastructure link in metres."");","The column 'estimated_length_in_metres' is nullable (no .nullable(false) specified) but has no default value, which may lead to ambiguity about whether NULL represents a missing value or an intentional absence. Consider either making the column NOT NULL with a sensible default, or documenting the semantic meaning of NULL for this column."
HSLdevcom_jore4-jore3-importer,Keyless Entry,src/main/generated-sources/jooq/fi/hsl/jore/jore4/jooq/infrastructure_network/tables/VehicleSubmodeOnInfrastructureLink.java,58,58,"public final TableField<Record, UUID> INFRASTRUCTURE_LINK_ID = createField(DSL.name(""infrastructure_link_id""), SQLDataType.UUID.nullable(false), this, ""The infrastructure link that can be safely traversed by the vehicle submode."");",The column 'infrastructure_link_id' references infrastructure links but lacks a foreign key constraint to the InfrastructureLinks table. Add a foreign key constraint referencing INFRASTRUCTURE_LINKS_PKEY to ensure referential integrity.
HSLdevcom_jore4-jore3-importer,Keyless Entry,src/main/generated-sources/jooq/fi/hsl/jore/jore4/jooq/route/tables/InfrastructureLinkAlongRoute.java,63,63,"public final TableField<Record, UUID> INFRASTRUCTURE_LINK_ID = createField(DSL.name(""infrastructure_link_id""), SQLDataType.UUID.nullable(false), this, ""The ID of the infrastructure link."");",The INFRASTRUCTURE_LINK_ID column references infrastructure links but lacks a foreign key constraint to enforce referential integrity. Add a foreign key constraint referencing the INFRASTRUCTURE_LINKS_PKEY (infrastructure_link_id) in the infrastructure_network.infrastructure_links table.
