Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
Hamednallah_Basariat-POS,31 Flavors,src/main/java/com/basariatpos/db/generated/tables/Appointments.java,84,84,"public final TableField<AppointmentsRecord, String> STATUS = createField(DSL.name(""status""), SQLDataType.VARCHAR(50).nullable(false), this, """");","The STATUS column uses a CHECK constraint to restrict values to a fixed set of appointment statuses ('Scheduled', 'Confirmed', 'Completed', etc.), which makes adding new statuses require a schema change. Consider creating a separate lookup table (e.g., 'appointment_statuses') and referencing it with a foreign key."
Hamednallah_Basariat-POS,31 Flavors,src/main/java/com/basariatpos/db/generated/tables/Auditlog.java,98,98,"public final TableField<AuditlogRecord, String> ACTION_TYPE = createField(DSL.name(""action_type""), SQLDataType.VARCHAR(10).nullable(false), this, """");","The ACTION_TYPE column uses a CHECK constraint to restrict values to 'INSERT', 'UPDATE', and 'DELETE' (as seen in line 215), which embeds business logic in the schema. Consider creating a separate lookup table for action types to make the allowed values more maintainable and extensible."
Hamednallah_Basariat-POS,ID Required,src/main/java/com/basariatpos/db/generated/tables/Banknames.java,64,64,"public final TableField<BanknamesRecord, Integer> BANK_NAME_ID = createField(DSL.name(""bank_name_id""), SQLDataType.INTEGER.nullable(false).identity(true), this, """");","The table has a synthetic auto-increment primary key (BANK_NAME_ID) even though it has natural unique keys on BANK_NAME_EN and BANK_NAME_AR which are suitable as primary keys since bank names are virtually immutable. Consider using one of the existing unique constraints (e.g., BANK_NAME_EN) as the primary key instead of introducing a surrogate key."
Hamednallah_Basariat-POS,Fear of the Unknown,src/main/java/com/basariatpos/db/generated/tables/Banknames.java,79,79,"public final TableField<BanknamesRecord, Boolean> IS_ACTIVE = createField(DSL.name(""is_active""), SQLDataType.BOOLEAN.defaultValue(DSL.field(DSL.raw(""true""), SQLDataType.BOOLEAN)), this, """");","The IS_ACTIVE column has a default value but is marked as NULLABLE, which means it can never be NULL in practice since new rows will always get the default value 'true'. Consider adding a NOT NULL constraint to this column to accurately reflect its intended usage."
Hamednallah_Basariat-POS,Fear of the Unknown,src/main/java/com/basariatpos/db/generated/tables/Centerprofile.java,125,125,"public final TableField<CenterprofileRecord, String> CURRENCY_SYMBOL = createField(DSL.name(""currency_symbol""), SQLDataType.VARCHAR(10).defaultValue(DSL.field(DSL.raw(""'SDG'::character varying""), SQLDataType.VARCHAR)), this, """");","The CURRENCY_SYMBOL column has a default value but is marked as NULLABLE, which means it can never be NULL in practice when using the default. Consider adding .nullable(false) to the column definition to enforce this constraint at the database level."
Hamednallah_Basariat-POS,Fear of the Unknown,src/main/java/com/basariatpos/db/generated/tables/Centerprofile.java,130,130,"public final TableField<CenterprofileRecord, String> CURRENCY_CODE = createField(DSL.name(""currency_code""), SQLDataType.VARCHAR(5).defaultValue(DSL.field(DSL.raw(""'SDG'::character varying""), SQLDataType.VARCHAR)), this, """");","The CURRENCY_CODE column has a default value but is marked as NULLABLE, which means it can never be NULL in practice when using the default. Consider adding .nullable(false) to the column definition to enforce this constraint at the database level."
Hamednallah_Basariat-POS,Fear of the Unknown,src/main/java/com/basariatpos/db/generated/tables/Centerprofile.java,140,140,"public final TableField<CenterprofileRecord, OffsetDateTime> CREATED_AT = createField(DSL.name(""created_at""), SQLDataType.TIMESTAMPWITHTIMEZONE(6).defaultValue(DSL.field(DSL.raw(""CURRENT_TIMESTAMP""), SQLDataType.TIMESTAMPWITHTIMEZONE)), this, """");","The CREATED_AT column has a default value of CURRENT_TIMESTAMP but is marked as NULLABLE, meaning it will always have a value in practice. Consider adding .nullable(false) to prevent accidental NULL values."
Hamednallah_Basariat-POS,Fear of the Unknown,src/main/java/com/basariatpos/db/generated/tables/Centerprofile.java,145,145,"public final TableField<CenterprofileRecord, OffsetDateTime> UPDATED_AT = createField(DSL.name(""updated_at""), SQLDataType.TIMESTAMPWITHTIMEZONE(6).defaultValue(DSL.field(DSL.raw(""CURRENT_TIMESTAMP""), SQLDataType.TIMESTAMPWITHTIMEZONE)), this, """");","The UPDATED_AT column has a default value of CURRENT_TIMESTAMP but is marked as NULLABLE, meaning it will always have a value in practice. Consider adding .nullable(false) to prevent accidental NULL values."
Hamednallah_Basariat-POS,ID Required,src/main/java/com/basariatpos/db/generated/tables/Expensecategories.java,63,63,"public final TableField<ExpensecategoriesRecord, Integer> EXPENSE_CATEGORY_ID = createField(DSL.name(""expense_category_id""), SQLDataType.INTEGER.nullable(false).identity(true), this, """");","The table has a synthetic auto-increment primary key (EXPENSE_CATEGORY_ID) even though it has unique constraints on CATEGORY_NAME_EN and CATEGORY_NAME_AR, either of which could serve as a natural primary key. Consider using one of the category name columns as the primary key since they are already unique and immutable by nature."
Hamednallah_Basariat-POS,Fear of the Unknown,src/main/java/com/basariatpos/db/generated/tables/Expensecategories.java,78,78,"public final TableField<ExpensecategoriesRecord, Boolean> IS_ACTIVE = createField(DSL.name(""is_active""), SQLDataType.BOOLEAN.defaultValue(DSL.field(DSL.raw(""true""), SQLDataType.BOOLEAN)), this, """");","The IS_ACTIVE column has a default value but is marked as NULLABLE, which means it can never practically be NULL since new rows will always get the default value 'true'. Consider adding a NOT NULL constraint to this column to reflect its actual usage."
Hamednallah_Basariat-POS,31 Flavors,src/main/java/com/basariatpos/db/generated/tables/Expenses.java,98,98,"public final TableField<ExpensesRecord, String> PAYMENT_METHOD = createField(DSL.name(""payment_method""), SQLDataType.VARCHAR(50).nullable(false), this, """");","The PAYMENT_METHOD column uses a CHECK constraint (line 269) to restrict values to 'Cash' or 'Bank Transaction', which makes adding new payment methods require a schema change. Consider creating a separate lookup table for payment methods and referencing it with a foreign key."
Hamednallah_Basariat-POS,Fear of the Unknown,src/main/java/com/basariatpos/db/generated/tables/Expenses.java,123,123,"public final TableField<ExpensesRecord, OffsetDateTime> CREATED_AT = createField(DSL.name(""created_at""), SQLDataType.TIMESTAMPWITHTIMEZONE(6).defaultValue(DSL.field(DSL.raw(""CURRENT_TIMESTAMP""), SQLDataType.TIMESTAMPWITHTIMEZONE)), this, """");","The CREATED_AT column has a default value but is marked as NULLABLE, which is inconsistent since a creation timestamp should always have a value. Add a NOT NULL constraint to this column to ensure data integrity."
Hamednallah_Basariat-POS,Fear of the Unknown,src/main/java/com/basariatpos/db/generated/tables/Expenses.java,128,128,"public final TableField<ExpensesRecord, OffsetDateTime> UPDATED_AT = createField(DSL.name(""updated_at""), SQLDataType.TIMESTAMPWITHTIMEZONE(6).defaultValue(DSL.field(DSL.raw(""CURRENT_TIMESTAMP""), SQLDataType.TIMESTAMPWITHTIMEZONE)), this, """");","The UPDATED_AT column has a default value but is marked as NULLABLE, which is inconsistent since an update timestamp should always have a value. Add a NOT NULL constraint to this column to ensure data integrity."
Hamednallah_Basariat-POS,Fear of the Unknown,src/main/java/com/basariatpos/db/generated/tables/Inventoryitems.java,117,117,"public final TableField<InventoryitemsRecord, Integer> MIN_STOCK_LEVEL = createField(DSL.name(""min_stock_level""), SQLDataType.INTEGER.defaultValue(DSL.field(DSL.raw(""0""), SQLDataType.INTEGER)), this, """");","The MIN_STOCK_LEVEL column has a default value but is marked as NULLABLE, which is inconsistent. If a default value is provided, the column should likely be NOT NULL to prevent ambiguity between NULL and the default value of 0. Consider adding .nullable(false) to the column definition."
Hamednallah_Basariat-POS,Fear of the Unknown,src/main/java/com/basariatpos/db/generated/tables/Inventoryitems.java,122,122,"public final TableField<InventoryitemsRecord, String> UNIT_OF_MEASURE = createField(DSL.name(""unit_of_measure""), SQLDataType.VARCHAR(50).defaultValue(DSL.field(DSL.raw(""'Unit'::character varying""), SQLDataType.VARCHAR)), this, """");","The UNIT_OF_MEASURE column has a default value of 'Unit' but is marked as NULLABLE, creating ambiguity between NULL and the default value. Since a meaningful default exists, the column should be NOT NULL to ensure data consistency."
Hamednallah_Basariat-POS,Fear of the Unknown,src/main/java/com/basariatpos/db/generated/tables/Inventoryitems.java,127,127,"public final TableField<InventoryitemsRecord, Boolean> IS_ACTIVE = createField(DSL.name(""is_active""), SQLDataType.BOOLEAN.defaultValue(DSL.field(DSL.raw(""true""), SQLDataType.BOOLEAN)), this, """");","The IS_ACTIVE column has a default value of true but is marked as NULLABLE, which creates ambiguity between NULL and false. Boolean flags with defaults should typically be NOT NULL to avoid three-state logic confusion."
