Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
HoZanDung_ho-workflow,Implicit Columns,workflow-infrastructure/src/main/java/cn/com/ho/workflow/infrastructure/actRepository/impl/ActReModelRepositoryImpl.java,34,34,return actReModelDao.fetchById_(strings);,The DAO's fetchById_ method fetches all columns from the ActReModel table into POJO objects. Consider using a DSLContext query to select only the specific columns needed.
HoZanDung_ho-workflow,Implicit Columns,workflow-infrastructure/src/main/java/cn/com/ho/workflow/infrastructure/actRepository/impl/ActReModelRepositoryImpl.java,39,39,return actReModelDao.findById(actReModelId);,The DAO's findById method fetches all columns from the ActReModel table. Consider using a DSLContext query to select only the specific columns required.
HoZanDung_ho-workflow,Implicit Columns,workflow-infrastructure/src/main/java/cn/com/ho/workflow/infrastructure/actRepository/impl/ActReModelRepositoryImpl.java,44,44,"return actReModelDao.fetchOne(ActReModel.KEY_, actReModelKey);",The DAO's fetchOne method retrieves all columns from the ActReModel table. Consider using a DSLContext query with explicit column selection to fetch only the needed fields.
HoZanDung_ho-workflow,Implicit Columns,workflow-infrastructure/src/main/java/cn/com/ho/workflow/infrastructure/actRepository/impl/ActReModelRepositoryImpl.java,50,50,.select().from(ActReModel),"Using select() without specifying columns fetches all columns from the ActReModel table. Since this appears to be a count query, consider using dslContext.selectCount().from(ActReModel) or dslContext.fetchCount() instead."
HoZanDung_ho-workflow,Implicit Columns,workflow-infrastructure/src/main/java/cn/com/ho/workflow/infrastructure/actRepository/impl/ActReProcdefRepositoryImpl.java,24,24,.select().from(ActReProcdef),"Using select() without specifying columns fetches all columns from the ActReProcdef table, which retrieves unnecessary data and impacts performance. Specify only the required columns explicitly, e.g., .select(ActReProcdef.DEPLOYMENT_ID_, ActReProcdef.NAME_, ...)."
HoZanDung_ho-workflow,Fear of the Unknown,workflow-infrastructure/src/main/java/cn/com/ho/workflow/infrastructure/db/tables/ActHiActinst.java,132,132,"public final TableField<ActHiActinstRecord, String> TENANT_ID_ = createField(""tenant_id_"", org.jooq.impl.SQLDataType.VARCHAR(255).defaultValue(org.jooq.impl.DSL.field(""''::character varying"", org.jooq.impl.SQLDataType.VARCHAR)), this, """");",The TENANT_ID_ column uses an empty string as a default value instead of NULL to represent missing tenant information. This makes it harder to distinguish between 'no tenant assigned' and 'tenant with empty name'. Consider using NULL as the default value or making the column NOT NULL if a tenant is always required.
HoZanDung_ho-workflow,Keyless Entry,workflow-infrastructure/src/main/java/cn/com/ho/workflow/infrastructure/db/tables/ActHiDetail.java,112,112,"public final TableField<ActHiDetailRecord, String> BYTEARRAY_ID_ = createField(""bytearray_id_"", org.jooq.impl.SQLDataType.VARCHAR(64), this, """");","The column BYTEARRAY_ID_ appears to reference the ACT_GE_BYTEARRAY table (based on the naming convention and the existence of ACT_GE_BYTEARRAY_PKEY in the Keys class), but lacks a foreign key constraint. This allows orphaned references and data inconsistency. Add a foreign key constraint referencing ACT_GE_BYTEARRAY.ID_."
HoZanDung_ho-workflow,Fear of the Unknown,workflow-infrastructure/src/main/java/cn/com/ho/workflow/infrastructure/db/tables/ActHiProcinst.java,122,122,"public final TableField<ActHiProcinstRecord, String> TENANT_ID_ = createField(""tenant_id_"", org.jooq.impl.SQLDataType.VARCHAR(255).defaultValue(org.jooq.impl.DSL.field(""''::character varying"", org.jooq.impl.SQLDataType.VARCHAR)), this, """");",The TENANT_ID_ column uses an empty string as a default value instead of NULL to represent missing tenant information. This can lead to confusion between 'no tenant specified' and 'empty tenant ID'. Consider using NULL as the default value or making the column NOT NULL if a tenant is always required.
HoZanDung_ho-workflow,Fear of the Unknown,workflow-infrastructure/src/main/java/cn/com/ho/workflow/infrastructure/db/tables/ActHiTaskinst.java,157,157,"public final TableField<ActHiTaskinstRecord, String> TENANT_ID_ = createField(""tenant_id_"", org.jooq.impl.SQLDataType.VARCHAR(255).defaultValue(org.jooq.impl.DSL.field(""''::character varying"", org.jooq.impl.SQLDataType.VARCHAR)), this, """");",The TENANT_ID_ column uses an empty string as a default value instead of NULL to represent missing tenant information. This can lead to confusion between 'no tenant assigned' and 'empty tenant name'. Consider using NULL as the default value or making the column NOT NULL if a tenant is always required.
HoZanDung_ho-workflow,Keyless Entry,workflow-infrastructure/src/main/java/cn/com/ho/workflow/infrastructure/db/tables/ActHiVarinst.java,97,97,"public final TableField<ActHiVarinstRecord, String> BYTEARRAY_ID_ = createField(""bytearray_id_"", org.jooq.impl.SQLDataType.VARCHAR(64), this, """");","The BYTEARRAY_ID_ column appears to reference the ACT_GE_BYTEARRAY table (similar to how ACT_RU_VARIABLE has a foreign key ACT_FK_VAR_BYTEARRAY), but lacks a foreign key constraint. Add a foreign key constraint referencing ACT_GE_BYTEARRAY.ID_ to ensure referential integrity."
HoZanDung_ho-workflow,Fear of the Unknown,workflow-infrastructure/src/main/java/cn/com/ho/workflow/infrastructure/db/tables/ActReDeployment.java,82,82,"public final TableField<ActReDeploymentRecord, String> TENANT_ID_ = createField(""tenant_id_"", org.jooq.impl.SQLDataType.VARCHAR(255).defaultValue(org.jooq.impl.DSL.field(""''::character varying"", org.jooq.impl.SQLDataType.VARCHAR)), this, """");","The TENANT_ID_ column uses an empty string as a default value instead of NULL to represent missing tenant information. This makes it harder to distinguish between 'no tenant assigned' and 'empty tenant name'. Consider using NULL as the default value and making the column nullable, or ensure the empty string has a defined semantic meaning in your application."
HoZanDung_ho-workflow,Fear of the Unknown,workflow-infrastructure/src/main/java/cn/com/ho/workflow/infrastructure/db/tables/ActReModel.java,122,122,"public final TableField<ActReModelRecord, String> TENANT_ID_ = createField(""tenant_id_"", org.jooq.impl.SQLDataType.VARCHAR(255).defaultValue(org.jooq.impl.DSL.field(""''::character varying"", org.jooq.impl.SQLDataType.VARCHAR)), this, """");","The TENANT_ID_ column uses an empty string as a default value instead of NULL to represent missing tenant information. This makes it harder to distinguish between 'no tenant assigned' and 'empty tenant name'. Consider using NULL as the default value and making the column nullable, or if a default tenant is needed, use a meaningful value."
HoZanDung_ho-workflow,Keyless Entry,workflow-infrastructure/src/main/java/cn/com/ho/workflow/infrastructure/db/tables/ActReProcdef.java,91,91,"public final TableField<ActReProcdefRecord, String> DEPLOYMENT_ID_ = createField(""deployment_id_"", org.jooq.impl.SQLDataType.VARCHAR(64), this, """");","The DEPLOYMENT_ID_ column appears to reference the ActReDeployment table (based on naming convention and the existence of ACT_RE_DEPLOYMENT_PKEY in the Keys class), but lacks a foreign key constraint. Add a foreign key constraint referencing act_re_deployment.id_ to ensure referential integrity."
