Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
JixinZhang19_Online-Shopping-System-for-Black-Friday,Implicit Columns,commodity-service/src/main/java/com/skillup/infrastructure/repolmpl/JooqCommodityRepo.java,28,28,dslContext.selectFrom(COMMODITY_T),"Using selectFrom() fetches all columns from the Commodity table, which retrieves more data than necessary. Consider using select() with explicit column names like select(COMMODITY_T.COMMODITY_ID, COMMODITY_T.COMMODITY_NAME, ...) to fetch only the required columns."
JixinZhang19_Online-Shopping-System-for-Black-Friday,Implicit Columns,commodity-service/src/main/java/com/skillup/infrastructure/repolmpl/JooqCommodityRepo.java,34,34,dslContext.selectFrom(COMMODITY_T),"Using selectFrom() fetches all columns from the Commodity table, which retrieves more data than necessary. Consider using select() with explicit column names like select(COMMODITY_T.COMMODITY_ID, COMMODITY_T.COMMODITY_NAME, ...) to fetch only the required columns."
JixinZhang19_Online-Shopping-System-for-Black-Friday,Implicit Columns,order-service-1.2/src/main/java/com/skillup/infrastructure/repolmpl/JooqOrderRepo.java,35,35,return dslContext.selectFrom(O_T).where(O_T.ORDER_NUMBER.eq(id)),"Using `selectFrom(O_T)` fetches all columns from the Orders table, which can retrieve unnecessary data and impact performance. Consider explicitly selecting only the columns needed for the OrderDomain mapping, such as `dslContext.select(O_T.ORDER_NUMBER, O_T.ORDER_STATUS, ...).from(O_T)`."
JixinZhang19_Online-Shopping-System-for-Black-Friday,Implicit Columns,order-service-1/src/main/java/com/skillup/infrastructure/repolmpl/JooqOrderRepo.java,35,35,return dslContext.selectFrom(O_T).where(O_T.ORDER_NUMBER.eq(id)),"Using `selectFrom(O_T)` fetches all columns from the Orders table, which can retrieve unnecessary data and impact performance. Consider explicitly selecting only the required columns using `select(O_T.ORDER_NUMBER, O_T.ORDER_STATUS, ...).from(O_T)`."
JixinZhang19_Online-Shopping-System-for-Black-Friday,Implicit Columns,order-service-2.2/src/main/java/com/skillup/infrastructure/repolmpl/JooqOrderRepo.java,35,35,return dslContext.selectFrom(O_T).where(O_T.ORDER_NUMBER.eq(id)),"Using `selectFrom(O_T)` fetches all columns from the Orders table, which can retrieve unnecessary data and impact performance. Consider explicitly selecting only the columns needed for the OrderDomain mapping, such as `dslContext.select(O_T.ORDER_NUMBER, O_T.ORDER_STATUS, ...).from(O_T)`."
JixinZhang19_Online-Shopping-System-for-Black-Friday,Implicit Columns,order-service-2/src/main/java/com/skillup/infrastructure/repolmpl/JooqOrderRepo.java,35,35,return dslContext.selectFrom(O_T).where(O_T.ORDER_NUMBER.eq(id)),"Using `selectFrom(O_T)` fetches all columns from the Orders table, which can retrieve unnecessary data and impact performance. Consider explicitly selecting only the required columns using `select(O_T.ORDER_NUMBER, O_T.ORDER_STATUS, ...).from(O_T)`."
JixinZhang19_Online-Shopping-System-for-Black-Friday,Beware of the Unknown,promotion-service/src/main/java/com/skillup/infrastructure/jooq/tables/Promotion.java,91,91,"public final TableField<PromotionRecord, Integer> STATUS = createField(DSL.name(""status""), SQLDataType.INTEGER, this, """");","The STATUS column is marked as NULLABLE without an explicit NOT NULL constraint, but status fields typically should always have a value in practice. Consider adding a NOT NULL constraint with a meaningful default value, or document why NULL is a valid state for this column."
JixinZhang19_Online-Shopping-System-for-Black-Friday,Keyless Entry,promotion-service/src/main/java/com/skillup/infrastructure/jooq/tables/PromotionLog.java,66,66,"public final TableField<PromotionLogRecord, String> PROMOTION_ID = createField(DSL.name(""promotion_id""), SQLDataType.VARCHAR(36).nullable(false), this, """");","The 'promotion_id' column appears to reference the 'Promotion' table but lacks a foreign key constraint, which could lead to orphaned records or invalid references. Add a foreign key constraint referencing the 'promotion_id' primary key in the 'Promotion' table."
JixinZhang19_Online-Shopping-System-for-Black-Friday,Implicit Columns,promotion-service/src/main/java/com/skillup/infrastructure/repolmpl/JooqPromotionRepo.java,34,34,dslContext.selectFrom(P_T),"Using selectFrom(P_T) fetches all columns from the Promotion table, which may retrieve unnecessary data and impact performance. Consider explicitly selecting only the columns needed for the toDomain mapping, e.g., dslContext.select(P_T.PROMOTION_ID, P_T.PROMOTION_NAME, ...).from(P_T)."
JixinZhang19_Online-Shopping-System-for-Black-Friday,Implicit Columns,promotion-service/src/main/java/com/skillup/infrastructure/repolmpl/JooqPromotionRepo.java,39,39,dslContext.selectFrom(P_T),"Using selectFrom(P_T) fetches all columns from the Promotion table, which may retrieve unnecessary data and impact performance. Consider explicitly selecting only the columns needed for the toDomain mapping, e.g., dslContext.select(P_T.PROMOTION_ID, P_T.PROMOTION_NAME, ...).from(P_T)."
JixinZhang19_Online-Shopping-System-for-Black-Friday,Implicit Columns,promotion-service/src/main/java/com/skillup/infrastructure/repolmpl/JooqPromotionStockLogRepo.java,29,29,dslContext.selectFrom(PL_T),"Using selectFrom() fetches all columns from the PromotionLog table, which can retrieve unnecessary data and impact performance. Consider using select() with only the specific columns needed, such as select(PL_T.ORDER_NUMBER, PL_T.PROMOTION_ID, ...)."
JixinZhang19_Online-Shopping-System-for-Black-Friday,ID Required,user-service/src/main/java/com/skillup/infrastructure/jooq/tables/User.java,53,53,"public final TableField<UserRecord, String> USER_ID = createField(DSL.name(""user_id""), SQLDataType.VARCHAR(36).nullable(false), this, """");","The table has a synthetic primary key 'user_id' even though 'user_name' already has a unique constraint (KEY_USER_USER_NAME) that could serve as a natural primary key. Consider using 'user_name' as the primary key if it is immutable and meaningful, or rename 'user_id' to something more descriptive if a surrogate key is truly needed."
JixinZhang19_Online-Shopping-System-for-Black-Friday,Implicit Columns,user-service/src/main/java/com/skillup/infrastructure/repolmpl/JooqUserRepo.java,28,28,dslContext.selectFrom(USER_T),"Using selectFrom(USER_T) fetches all columns from the User table, which may retrieve unnecessary data. Consider using an explicit select with only the required columns, e.g., dslContext.select(USER_T.USER_ID, USER_T.USER_NAME, USER_T.PASSWORD).from(USER_T)."
JixinZhang19_Online-Shopping-System-for-Black-Friday,Implicit Columns,user-service/src/main/java/com/skillup/infrastructure/repolmpl/JooqUserRepo.java,35,35,dslContext.selectFrom(USER_T),"Using selectFrom(USER_T) fetches all columns from the User table, which may retrieve unnecessary data. Consider using an explicit select with only the required columns, e.g., dslContext.select(USER_T.USER_ID, USER_T.USER_NAME, USER_T.PASSWORD).from(USER_T)."
