Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
KGjertsson_macro-hub,Implicit Columns,macro-backend/macro-analyzer/src/main/java/com/kg/macroanalyzer/adaptors/database/postgres/repositories/EuroMarketRateRepository.java,29,29,return () -> this.dslContext.select(),"Using select() without specifying columns fetches all columns from EURO_MARKET_3_MONTH_DENMARK, which is inefficient since only VALUE and DATE are needed. Replace with select(EURO_MARKET_3_MONTH_DENMARK.VALUE, EURO_MARKET_3_MONTH_DENMARK.DATE)."
KGjertsson_macro-hub,Implicit Columns,macro-backend/macro-analyzer/src/main/java/com/kg/macroanalyzer/adaptors/database/postgres/repositories/EuroMarketRateRepository.java,41,41,return () -> this.dslContext.select(),"Using select() without specifying columns fetches all columns from EURO_MARKET_3_MONTH_EUR, which is inefficient since only VALUE and DATE are needed. Replace with select(EURO_MARKET_3_MONTH_EUR.VALUE, EURO_MARKET_3_MONTH_EUR.DATE)."
KGjertsson_macro-hub,Implicit Columns,macro-backend/macro-analyzer/src/main/java/com/kg/macroanalyzer/adaptors/database/postgres/repositories/EuroMarketRateRepository.java,53,53,return () -> this.dslContext.select(),"Using select() without specifying columns fetches all columns from EURO_MARKET_3_MONTH_GB, which is inefficient since only VALUE and DATE are needed. Replace with select(EURO_MARKET_3_MONTH_GB.VALUE, EURO_MARKET_3_MONTH_GB.DATE)."
KGjertsson_macro-hub,Implicit Columns,macro-backend/macro-analyzer/src/main/java/com/kg/macroanalyzer/adaptors/database/postgres/repositories/EuroMarketRateRepository.java,65,65,return () -> this.dslContext.select(),"Using select() without specifying columns fetches all columns from EURO_MARKET_3_MONTH_JAPAN, which is inefficient since only VALUE and DATE are needed. Replace with select(EURO_MARKET_3_MONTH_JAPAN.VALUE, EURO_MARKET_3_MONTH_JAPAN.DATE)."
KGjertsson_macro-hub,Implicit Columns,macro-backend/macro-analyzer/src/main/java/com/kg/macroanalyzer/adaptors/database/postgres/repositories/EuroMarketRateRepository.java,77,77,return () -> this.dslContext.select(),"Using select() without specifying columns fetches all columns from EURO_MARKET_3_MONTH_NORWAY, which is inefficient since only VALUE and DATE are needed. Replace with select(EURO_MARKET_3_MONTH_NORWAY.VALUE, EURO_MARKET_3_MONTH_NORWAY.DATE)."
KGjertsson_macro-hub,Implicit Columns,macro-backend/macro-analyzer/src/main/java/com/kg/macroanalyzer/adaptors/database/postgres/repositories/EuroMarketRateRepository.java,89,89,return () -> this.dslContext.select(),"Using select() without specifying columns fetches all columns from EURO_MARKET_3_MONTH_USA, which is inefficient since only VALUE and DATE are needed. Replace with select(EURO_MARKET_3_MONTH_USA.VALUE, EURO_MARKET_3_MONTH_USA.DATE)."
KGjertsson_macro-hub,Implicit Columns,macro-backend/macro-analyzer/src/main/java/com/kg/macroanalyzer/adaptors/database/postgres/repositories/EuroMarketRateRepository.java,101,101,return () -> this.dslContext.select(),"Using select() without specifying columns fetches all columns from EURO_MARKET_6_MONTH_DENMARK, which is inefficient since only VALUE and DATE are needed. Replace with select(EURO_MARKET_6_MONTH_DENMARK.VALUE, EURO_MARKET_6_MONTH_DENMARK.DATE)."
KGjertsson_macro-hub,Implicit Columns,macro-backend/macro-analyzer/src/main/java/com/kg/macroanalyzer/adaptors/database/postgres/repositories/EuroMarketRateRepository.java,113,113,return () -> this.dslContext.select(),"Using select() without specifying columns fetches all columns from EURO_MARKET_6_MONTH_EUR, which is inefficient since only VALUE and DATE are needed. Replace with select(EURO_MARKET_6_MONTH_EUR.VALUE, EURO_MARKET_6_MONTH_EUR.DATE)."
KGjertsson_macro-hub,Implicit Columns,macro-backend/macro-analyzer/src/main/java/com/kg/macroanalyzer/adaptors/database/postgres/repositories/EuroMarketRateRepository.java,125,125,return () -> this.dslContext.select(),"Using select() without specifying columns fetches all columns from EURO_MARKET_6_MONTH_GB, which is inefficient since only VALUE and DATE are needed. Replace with select(EURO_MARKET_6_MONTH_GB.VALUE, EURO_MARKET_6_MONTH_GB.DATE)."
KGjertsson_macro-hub,Implicit Columns,macro-backend/macro-analyzer/src/main/java/com/kg/macroanalyzer/adaptors/database/postgres/repositories/EuroMarketRateRepository.java,137,137,return () -> this.dslContext.select(),"Using select() without specifying columns fetches all columns from EURO_MARKET_6_MONTH_JAPAN, which is inefficient since only VALUE and DATE are needed. Replace with select(EURO_MARKET_6_MONTH_JAPAN.VALUE, EURO_MARKET_6_MONTH_JAPAN.DATE)."
