Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
Karthik1226_onedata_patient,ID Required,src/generated/jooq/com/onedata/patient/models/tables/Device.java,62,62,"public final TableField<DeviceRecord, Integer> ID = createField(DSL.name(""id""), SQLDataType.INTEGER.nullable(false).identity(true), this, """");","The table has a generic 'id' primary key column, but the 'serial_number' column (which is unique by nature for devices) could serve as a natural primary key. Consider using 'device_id' as the column name or using 'serial_number' as the primary key instead."
Karthik1226_onedata_patient,ID Required,src/generated/jooq/com/onedata/patient/models/tables/Doctor.java,62,62,"public final TableField<DoctorRecord, Integer> ID = createField(DSL.name(""id""), SQLDataType.INTEGER.nullable(false).identity(true), this, """");",The primary key column is generically named 'id' instead of a more descriptive name like 'doctor_id'. Consider renaming the column to 'doctor_id' to make it self-documenting and avoid ambiguity in queries with joins.
Karthik1226_onedata_patient,ID Required,src/generated/jooq/com/onedata/patient/models/tables/DoctorPatient.java,65,65,"public final TableField<DoctorPatientRecord, Integer> ID = createField(DSL.name(""id""), SQLDataType.INTEGER.nullable(false).identity(true), this, """");","This junction table uses a synthetic 'id' primary key when the natural composite key of (doctor_id, patient_id) would be more appropriate, as these columns uniquely identify the relationship. Consider using a composite primary key on (doctor_id, patient_id) instead of the surrogate 'id' column."
Karthik1226_onedata_patient,ID Required,src/generated/jooq/com/onedata/patient/models/tables/Insurance.java,62,62,"public final TableField<InsuranceRecord, Integer> ID = createField(DSL.name(""id""), SQLDataType.INTEGER.nullable(false).identity(true), this, """");",The primary key is named generically 'id' instead of a more descriptive name like 'insurance_id'. Consider renaming the primary key to 'insurance_id' to make it self-documenting and easier to identify in queries and joins.
Karthik1226_onedata_patient,ID Required,src/generated/jooq/com/onedata/patient/models/tables/MedicalRecord.java,64,64,"public final TableField<MedicalRecordRecord, Integer> ID = createField(DSL.name(""id""), SQLDataType.INTEGER.nullable(false).identity(true), this, """");",The primary key column is generically named 'id' instead of a more descriptive name like 'medical_record_id'. Consider renaming the primary key to 'medical_record_id' to make it self-documenting and avoid ambiguity in joins.
Karthik1226_onedata_patient,ID Required,src/generated/jooq/com/onedata/patient/models/tables/Patient.java,67,67,"public final TableField<PatientRecord, Integer> ID = createField(DSL.name(""id""), SQLDataType.INTEGER.nullable(false).identity(true), this, """");",The primary key column is generically named 'id' instead of a more descriptive name like 'patient_id'. Consider renaming the primary key to 'patient_id' to make it self-documenting and to avoid ambiguity when joining tables.
Karthik1226_onedata_patient,ID Required,src/generated/jooq/com/onedata/patient/models/tables/PatientInsurance.java,65,65,"public final TableField<PatientInsuranceRecord, Integer> ID = createField(DSL.name(""id""), SQLDataType.INTEGER.nullable(false).identity(true), this, """");","This junction table uses a synthetic auto-increment 'id' primary key, but the natural composite key (insurance_id, patient_id) would be more appropriate since it represents a many-to-many relationship between patients and insurances. Consider using a composite primary key on (insurance_id, patient_id) instead of the surrogate 'id' column."
Karthik1226_onedata_patient,Implicit Columns,src/main/java/com/onedata/patient/repo/DeviceRepo.java,20,20,return dsl.selectFrom(DEVICE),"Using selectFrom(DEVICE) fetches all columns from the DEVICE table, which may retrieve unnecessary data. Consider using select() with only the specific columns needed, e.g., dsl.select(DEVICE.ID, DEVICE.MODEL, ...).from(DEVICE)."
Karthik1226_onedata_patient,Implicit Columns,src/main/java/com/onedata/patient/repo/DoctorPatientRepo.java,30,31,".returning()
.fetchOneInto(DoctorPatient.class)","Using `.returning()` without specifying columns fetches all columns from the DOCTOR_PATIENT table. Explicitly list only the required columns in the returning clause, e.g., `.returning(DOCTOR_PATIENT.ID, DOCTOR_PATIENT.CREATED_AT)`."
Karthik1226_onedata_patient,Implicit Columns,src/main/java/com/onedata/patient/repo/DoctorRepo.java,22,23,".returning()
.fetchOneInto(Doctor.class);","Using `returning()` without specifying columns fetches all columns from the DOCTOR table. Explicitly list only the required columns in `returning(DOCTOR.ID, DOCTOR.NAME, ...)` to avoid fetching unnecessary data."
Karthik1226_onedata_patient,Poor Man's Search Engine,src/main/java/com/onedata/patient/repo/InsuranceRepo.java,34,35,"return INSURANCE.PROVIDER_NAME.containsIgnoreCase(search)
        .or(INSURANCE.POLICY_NUMBER.containsIgnoreCase(search));","Using `containsIgnoreCase` performs a full-text search via SQL LIKE with wildcards on both sides, which cannot use indexes efficiently. Consider using a dedicated full-text search engine like PostgreSQL's tsvector/tsquery or Elasticsearch for better performance."
Karthik1226_onedata_patient,Implicit Columns,src/main/java/com/onedata/patient/repo/PatientRepo.java,103,103,var select = dsl.select(PATIENT.fields());,"Using `PATIENT.fields()` selects all columns from the PATIENT table, which can lead to unnecessary data transfer and maintenance issues if the table schema changes. Explicitly list only the columns needed for the query."
Karthik1226_onedata_patient,Implicit Columns,src/main/java/com/onedata/patient/repo/PatientRepo.java,161,161,queryParts.setSelectStep(queryParts.getSelectStep().select(DEVICE.fields()));,"Using `DEVICE.fields()` selects all columns from the DEVICE table, which may include unnecessary data. Explicitly specify only the required columns from the DEVICE table."
Karthik1226_onedata_patient,Implicit Columns,src/main/java/com/onedata/patient/repo/PatientRepo.java,190,190,queryParts.getSelectStep().select(queryParts.getSelectStep().getSelect().toArray(new SelectField[0])).select(DOCTOR_PATIENT.fields());,Using `DOCTOR_PATIENT.fields()` selects all columns from the DOCTOR_PATIENT table. Explicitly list only the columns needed for the query to improve performance and maintainability.
Karthik1226_onedata_patient,Implicit Columns,src/main/java/com/onedata/patient/repo/PatientRepo.java,195,195,queryParts.setSelectStep(queryParts.getSelectStep().select(DOCTOR_PATIENT.fields()));,Using `DOCTOR_PATIENT.fields()` selects all columns from the DOCTOR_PATIENT table. Specify only the required columns explicitly.
Karthik1226_onedata_patient,Implicit Columns,src/main/java/com/onedata/patient/repo/PatientRepo.java,236,236,queryParts.setSelectStep(queryParts.getSelectStep().select(PATIENT_INSURANCE.fields()));,Using `PATIENT_INSURANCE.fields()` selects all columns from the PATIENT_INSURANCE table. Explicitly specify only the columns needed for the operation.
Karthik1226_onedata_patient,Implicit Columns,src/main/java/com/onedata/patient/repo/PatientRepo.java,320,321,"select(PATIENT_INSURANCE.asterisk(),
                        INSURANCE.asterisk(),","Using `asterisk()` on PATIENT_INSURANCE and INSURANCE tables selects all columns, which may include unnecessary data. Explicitly list only the required columns from both tables."
Karthik1226_onedata_patient,Implicit Columns,src/main/java/com/onedata/patient/repo/PatientRepo.java,332,332,.select(),"Using `select()` without arguments selects all columns from the CTE, which is an implicit column selection. Explicitly specify the columns needed from the CTE."
Karthik1226_onedata_patient,Poor Man's Search Engine,src/main/java/com/onedata/patient/repo/PatientRepo.java,367,371,"return PATIENT.NAME.containsIgnoreCase(search)
        .or(PATIENT.GENDER.containsIgnoreCase(search))
        .or(PATIENT.EMAIL.containsIgnoreCase(search))
        .or(PATIENT.CITY.containsIgnoreCase(search))
        .or(PATIENT.CONTACT_NUMBER.containsIgnoreCase(search));","Using `containsIgnoreCase()` performs a LIKE '%search%' pattern match across multiple columns, which cannot use indexes efficiently and will result in full table scans. Consider using a full-text search index (e.g., PostgreSQL's tsvector/tsquery or a dedicated search engine like Elasticsearch)."
