Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
Kazuuma-19_nippogen,ID Required,backend/src/jooq/com/example/backend/jooq/tables/JDailyReports.java,73,73,"public final TableField<JDailyReportsRecord, UUID> ID = createField(DSL.name(""id""), SQLDataType.UUID.nullable(false).defaultValue(DSL.field(DSL.raw(""gen_random_uuid()""), SQLDataType.UUID)), this, """");","The primary key column is named just 'id', which is a generic name that doesn't convey meaning about the entity it identifies. Consider renaming it to 'daily_report_id' to make it more descriptive and avoid ambiguity in queries with joins."
Kazuuma-19_nippogen,ID Required,backend/src/jooq/com/example/backend/jooq/tables/JGithubCredentials.java,71,71,"public final TableField<JGithubCredentialsRecord, UUID> ID = createField(DSL.name(""id""), SQLDataType.UUID.nullable(false).defaultValue(DSL.field(DSL.raw(""gen_random_uuid()""), SQLDataType.UUID)), this, """");","The primary key is named just 'id' which is a generic, non-descriptive name that doesn't convey the table context. Consider renaming it to 'github_credentials_id' or 'credential_id' to make it more meaningful and avoid ambiguity in joins."
Kazuuma-19_nippogen,Fear of the Unknown,backend/src/jooq/com/example/backend/jooq/tables/JGithubCredentials.java,86,86,"public final TableField<JGithubCredentialsRecord, String> BASE_URL = createField(DSL.name(""base_url""), SQLDataType.VARCHAR(255).defaultValue(DSL.field(DSL.raw(""'https://api.github.com'::character varying""), SQLDataType.VARCHAR)), this, """");","The BASE_URL column has a default value but is marked as NULLABLE, which is inconsistent. If the column should always have a value (via the default), it should be NOT NULL; otherwise, the default value may mask the distinction between 'not provided' and 'explicitly set to default'. Consider adding .nullable(false) to the column definition."
Kazuuma-19_nippogen,Fear of the Unknown,backend/src/jooq/com/example/backend/jooq/tables/JGithubCredentials.java,101,101,"public final TableField<JGithubCredentialsRecord, Boolean> IS_ACTIVE = createField(DSL.name(""is_active""), SQLDataType.BOOLEAN.defaultValue(DSL.field(DSL.raw(""true""), SQLDataType.BOOLEAN)), this, """");","The IS_ACTIVE column has a default value of 'true' but is marked as NULLABLE, which creates ambiguity between NULL and false states. Since this is a boolean flag with a default, it should be NOT NULL to ensure consistent behavior. Add .nullable(false) to the column definition."
Kazuuma-19_nippogen,ID Required,backend/src/jooq/com/example/backend/jooq/tables/JNotionCredentials.java,72,72,"public final TableField<JNotionCredentialsRecord, UUID> ID = createField(DSL.name(""id""), SQLDataType.UUID.nullable(false).defaultValue(DSL.field(DSL.raw(""gen_random_uuid()""), SQLDataType.UUID)), this, """");",The primary key column is generically named 'id' instead of a more descriptive name like 'notion_credentials_id'. Consider renaming the column to 'notion_credentials_id' or using a natural key such as 'user_id' if each user can only have one set of Notion credentials.
Kazuuma-19_nippogen,Fear of the Unknown,backend/src/jooq/com/example/backend/jooq/tables/JNotionCredentials.java,112,112,"public final TableField<JNotionCredentialsRecord, Boolean> IS_ACTIVE = createField(DSL.name(""is_active""), SQLDataType.BOOLEAN.defaultValue(DSL.field(DSL.raw(""true""), SQLDataType.BOOLEAN)), this, """");","The 'is_active' column has a default value but is marked as NULLABLE, which can lead to ambiguous states where NULL and FALSE might be interpreted differently. Add a NOT NULL constraint to this column since it has a default value and NULL has no meaningful semantic distinction from FALSE."
Kazuuma-19_nippogen,ID Required,backend/src/jooq/com/example/backend/jooq/tables/JTogglCredentials.java,71,71,"public final TableField<JTogglCredentialsRecord, UUID> ID = createField(DSL.name(""id""), SQLDataType.UUID.nullable(false).defaultValue(DSL.field(DSL.raw(""gen_random_uuid()""), SQLDataType.UUID)), this, """");","The primary key column is named just 'id', which is a generic name that doesn't convey meaning and can cause ambiguity in JOINs. Consider renaming it to 'toggl_credentials_id' or 'toggl_credential_id' to make it self-documenting and avoid column name collisions in queries."
Kazuuma-19_nippogen,Fear of the Unknown,backend/src/jooq/com/example/backend/jooq/tables/JTogglCredentials.java,101,101,"public final TableField<JTogglCredentialsRecord, String> TIME_ZONE = createField(DSL.name(""time_zone""), SQLDataType.VARCHAR(50).defaultValue(DSL.field(DSL.raw(""'UTC'::character varying""), SQLDataType.VARCHAR)), this, """");","The TIME_ZONE column has a default value of 'UTC' but is marked as NULLABLE, which creates ambiguity between NULL and the default value. Either make the column NOT NULL since it has a meaningful default, or remove the default value if NULL is a valid state."
Kazuuma-19_nippogen,Fear of the Unknown,backend/src/jooq/com/example/backend/jooq/tables/JTogglCredentials.java,106,106,"public final TableField<JTogglCredentialsRecord, Boolean> INCLUDE_WEEKENDS = createField(DSL.name(""include_weekends""), SQLDataType.BOOLEAN.defaultValue(DSL.field(DSL.raw(""false""), SQLDataType.BOOLEAN)), this, """");","The INCLUDE_WEEKENDS column has a default value of 'false' but is marked as NULLABLE, creating ambiguity between NULL and false. Make the column NOT NULL since it has a meaningful default value."
Kazuuma-19_nippogen,Fear of the Unknown,backend/src/jooq/com/example/backend/jooq/tables/JTogglCredentials.java,111,111,"public final TableField<JTogglCredentialsRecord, Boolean> IS_ACTIVE = createField(DSL.name(""is_active""), SQLDataType.BOOLEAN.defaultValue(DSL.field(DSL.raw(""true""), SQLDataType.BOOLEAN)), this, """");","The IS_ACTIVE column has a default value of 'true' but is marked as NULLABLE, creating ambiguity between NULL and the boolean values. Make the column NOT NULL since it has a meaningful default value."
