Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
Kirill06344_TinkoffWebApplication,ID Required,scrapper/src/main/java/ru/tinkoff/edu/java/scrapper/domain/jooq/tables/Link.java,70,71,"public final TableField<LinkRecord, Long> ID =
    createField(DSL.name(""ID""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");","The table uses a generic 'ID' column as the primary key while a natural unique key already exists on the 'URL' column (CONSTRAINT_23). Consider using the URL as the primary key, or rename the synthetic key to something more descriptive like 'link_id'."
Kirill06344_TinkoffWebApplication,Implicit Columns,scrapper/src/main/java/ru/tinkoff/edu/java/scrapper/repository/jooq/JooqChatLinkRepository.java,26,26,Result<ChatLinkRecord> result = context.selectFrom(CHAT_LINK).where(CHAT_LINK.CHAT_ID.eq(chatId)).fetch();,"Using selectFrom(CHAT_LINK) fetches all columns from the CHAT_LINK table, even though only CHAT_ID and LINK_ID are used. Explicitly select only the required columns: context.select(CHAT_LINK.CHAT_ID, CHAT_LINK.LINK_ID).from(CHAT_LINK)."
Kirill06344_TinkoffWebApplication,Implicit Columns,scrapper/src/main/java/ru/tinkoff/edu/java/scrapper/repository/jooq/JooqChatLinkRepository.java,36,36,Result<ChatLinkRecord> result = context.selectFrom(CHAT_LINK).where(CHAT_LINK.LINK_ID.eq(linkId)).fetch();,"Using selectFrom(CHAT_LINK) fetches all columns from the CHAT_LINK table, even though only CHAT_ID and LINK_ID are used. Explicitly select only the required columns: context.select(CHAT_LINK.CHAT_ID, CHAT_LINK.LINK_ID).from(CHAT_LINK)."
Kirill06344_TinkoffWebApplication,Implicit Columns,scrapper/src/main/java/ru/tinkoff/edu/java/scrapper/repository/jooq/JooqChatLinkRepository.java,46,46,ChatLinkRecord chatLink = context.selectFrom(CHAT_LINK),"Using selectFrom(CHAT_LINK) fetches all columns from the CHAT_LINK table, even though only CHAT_ID and LINK_ID are used. Explicitly select only the required columns: context.select(CHAT_LINK.CHAT_ID, CHAT_LINK.LINK_ID).from(CHAT_LINK)."
Kirill06344_TinkoffWebApplication,Implicit Columns,scrapper/src/main/java/ru/tinkoff/edu/java/scrapper/repository/jooq/JooqChatLinkRepository.java,82,82,Result<ChatLinkRecord> result = context.selectFrom(CHAT_LINK).fetch();,"Using selectFrom(CHAT_LINK) fetches all columns from the CHAT_LINK table, even though only CHAT_ID and LINK_ID are used. Explicitly select only the required columns: context.select(CHAT_LINK.CHAT_ID, CHAT_LINK.LINK_ID).from(CHAT_LINK)."
Kirill06344_TinkoffWebApplication,Implicit Columns,scrapper/src/main/java/ru/tinkoff/edu/java/scrapper/repository/jooq/JooqChatRepository.java,25,25,Result<Record> result = context.select().from(CHAT).where(CHAT.ID.eq(id)).fetch();,"Using `select()` without specifying columns fetches all columns from the CHAT table, which is inefficient when only the ID is needed. Replace `select()` with `select(CHAT.ID)` to fetch only the required column."
Kirill06344_TinkoffWebApplication,Implicit Columns,scrapper/src/main/java/ru/tinkoff/edu/java/scrapper/repository/jooq/JooqChatRepository.java,40,40,Result<Record> result = context.select().from(CHAT).fetch();,Using `select()` without specifying columns fetches all columns from the CHAT table when only the ID is used. Replace `select()` with `select(CHAT.ID)` to explicitly fetch only the needed column.
Kirill06344_TinkoffWebApplication,Implicit Columns,scrapper/src/main/java/ru/tinkoff/edu/java/scrapper/repository/jooq/JooqLinkRepository.java,30,30,LinkRecord link = context.selectFrom(LINK).where(LINK.URL.eq(url)).fetchOne();,"Using selectFrom(LINK) fetches all columns from the LINK table into a LinkRecord. Consider explicitly selecting only the columns needed using select(LINK.ID, LINK.URL, ...).from(LINK)."
Kirill06344_TinkoffWebApplication,Implicit Columns,scrapper/src/main/java/ru/tinkoff/edu/java/scrapper/repository/jooq/JooqLinkRepository.java,36,36,LinkRecord link = context.selectFrom(LINK).where(LINK.ID.eq(id)).fetchOne();,"Using selectFrom(LINK) fetches all columns from the LINK table into a LinkRecord. Consider explicitly selecting only the columns needed using select(LINK.ID, LINK.URL, ...).from(LINK)."
Kirill06344_TinkoffWebApplication,Implicit Columns,scrapper/src/main/java/ru/tinkoff/edu/java/scrapper/repository/jooq/JooqLinkRepository.java,47,47,Result<LinkRecord> result = context.selectFrom(LINK),Using selectFrom(LINK) fetches all columns from the LINK table. Consider explicitly selecting only the columns needed for the findAllOldLinks operation.
Kirill06344_TinkoffWebApplication,Implicit Columns,scrapper/src/main/java/ru/tinkoff/edu/java/scrapper/repository/jooq/JooqLinkRepository.java,105,105,Result<LinkRecord> result = context.selectFrom(LINK).fetch();,Using selectFrom(LINK) fetches all columns from the LINK table. Consider explicitly selecting only the columns needed using select(...).from(LINK).
