Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
KittyBot-Org_KittyBot,Implicit Columns,src/main/java/de/kittybot/kittybot/modules/DashboardSessionModule.java,72,72,try(var ctx = dbModule.getCtx().selectFrom(SESSIONS)){,"Using `selectFrom(SESSIONS)` fetches all columns from the SESSIONS table, which may retrieve unnecessary data. Consider explicitly selecting only the required columns, e.g., `select(SESSIONS.USER_ID, SESSIONS.ACCESS_TOKEN, SESSIONS.REFRESH_TOKEN, SESSIONS.EXPIRATION).from(SESSIONS)`."
KittyBot-Org_KittyBot,Implicit Columns,src/main/java/de/kittybot/kittybot/modules/NotificationModule.java,39,39,try(var ctx = this.modules.get(DatabaseModule.class).getCtx().selectFrom(NOTIFICATIONS)){,"Using `selectFrom(NOTIFICATIONS)` fetches all columns from the NOTIFICATIONS table, which may retrieve unnecessary data and reduce performance. Consider explicitly selecting only the required columns using `.select(NOTIFICATIONS.ID, NOTIFICATIONS.NOTIFICATION_TIME, ...)` instead."
KittyBot-Org_KittyBot,Implicit Columns,src/main/java/de/kittybot/kittybot/modules/NotificationModule.java,143,143,try(var ctx = dbModule.getCtx().selectFrom(NOTIFICATIONS)){,"Using `selectFrom(NOTIFICATIONS)` fetches all columns from the NOTIFICATIONS table, which may transfer unnecessary data from the database. Consider explicitly selecting only the columns needed to construct the Notification object."
KittyBot-Org_KittyBot,Implicit Columns,src/main/java/de/kittybot/kittybot/modules/ReactionRoleModule.java,100,100,try(var ctx = this.modules.get(DatabaseModule.class).getCtx().selectFrom(SELF_ASSIGNABLE_ROLE_MESSAGES)){,"Using selectFrom(SELF_ASSIGNABLE_ROLE_MESSAGES) fetches all columns from the table, but only the existence of a record is needed. Replace with a selectOne() or fetchExists() query that only checks for record existence without retrieving all columns."
KittyBot-Org_KittyBot,Implicit Columns,src/main/java/de/kittybot/kittybot/modules/RoleSaverModule.java,62,62,try(var ctx = dbModule.getCtx().selectFrom(MEMBER_ROLES)),"Using `selectFrom(MEMBER_ROLES)` fetches all columns from the MEMBER_ROLES table, but only ROLE_ID is actually used. Replace with an explicit column selection like `select(MEMBER_ROLES.ROLE_ID).from(MEMBER_ROLES)` to fetch only the required column."
KittyBot-Org_KittyBot,Implicit Columns,src/main/java/de/kittybot/kittybot/modules/SettingsModule.java,51,51,var ctxSettings = dbModule.getCtx().selectFrom(GUILDS);,"Using selectFrom(GUILDS) fetches all columns from the GUILDS table, which may retrieve unnecessary data. Consider using select() with only the specific columns needed for the Settings object."
KittyBot-Org_KittyBot,Implicit Columns,src/main/java/de/kittybot/kittybot/modules/SettingsModule.java,52,52,var ctxSnipeDisabledChannels = dbModule.getCtx().selectFrom(SNIPE_DISABLED_CHANNELS);,Using selectFrom fetches all columns from SNIPE_DISABLED_CHANNELS when only CHANNEL_ID is needed. Replace with select(SNIPE_DISABLED_CHANNELS.CHANNEL_ID).from(SNIPE_DISABLED_CHANNELS).
KittyBot-Org_KittyBot,Implicit Columns,src/main/java/de/kittybot/kittybot/modules/SettingsModule.java,53,53,var ctxBotDisabledChannels = dbModule.getCtx().selectFrom(BOT_DISABLED_CHANNELS);,Using selectFrom fetches all columns from BOT_DISABLED_CHANNELS when only CHANNEL_ID is needed. Replace with select(BOT_DISABLED_CHANNELS.CHANNEL_ID).from(BOT_DISABLED_CHANNELS).
KittyBot-Org_KittyBot,Implicit Columns,src/main/java/de/kittybot/kittybot/modules/SettingsModule.java,54,54,var ctxBotIgnoredUsers = dbModule.getCtx().selectFrom(BOT_IGNORED_MEMBERS);,Using selectFrom fetches all columns from BOT_IGNORED_MEMBERS when only USER_ID is needed. Replace with select(BOT_IGNORED_MEMBERS.USER_ID).from(BOT_IGNORED_MEMBERS).
KittyBot-Org_KittyBot,Implicit Columns,src/main/java/de/kittybot/kittybot/modules/SettingsModule.java,55,55,var ctxSelfAssignableRoles = dbModule.getCtx().selectFrom(SELF_ASSIGNABLE_ROLES);,Using selectFrom fetches all columns from SELF_ASSIGNABLE_ROLES table. Consider selecting only the columns required by the SelfAssignableRole constructor.
