Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
Knicksaas_gourmet-gate,Fear of the Unknown,gourmetgate/gourmetgate.persistence/src/generated/java/org/gourmetgate/gourmetgate/persistence/tables/Article.java,62,62,"public final TableField<ArticleRecord, String> UNIT = createField(DSL.name(""UNIT""), SQLDataType.LONGVARCHAR.defaultValue(DSL.field(""'5 dl'"", SQLDataType.LONGVARCHAR)), this, """");","The UNIT column is NULLABLE (no .nullable(false)) but has a default value of '5 dl', suggesting it should never be NULL in practice. Either mark the column as NOT NULL or allow NULL values without a default if missing values are expected."
Knicksaas_gourmet-gate,Fear of the Unknown,gourmetgate/gourmetgate.persistence/src/generated/java/org/gourmetgate/gourmetgate/persistence/tables/Article.java,82,82,"public final TableField<ArticleRecord, String> ARTICLE_GROUP_ID = createField(DSL.name(""ARTICLE_GROUP_ID""), SQLDataType.VARCHAR(36).nullable(false).defaultValue(DSL.field(""''"", SQLDataType.VARCHAR)), this, """");",The ARTICLE_GROUP_ID column uses an empty string as a default value instead of NULL to represent missing values. This is problematic because an empty string is not a valid foreign key reference; consider making the column NULLABLE and using NULL for missing article group references.
Knicksaas_gourmet-gate,Fear of the Unknown,gourmetgate/gourmetgate.persistence/src/generated/java/org/gourmetgate/gourmetgate/persistence/tables/Order.java,74,74,"public final TableField<OrderRecord, Date> EVT_CREATE = createField(DSL.name(""EVT_CREATE""), SQLDataType.LOCALDATETIME(9).nullable(false).defaultValue(DSL.field(""'1960-01-01 23:03:20'"", SQLDataType.LOCALDATETIME)), this, """", new DateConverter());",The EVT_CREATE column uses a special default value ('1960-01-01 23:03:20') to represent a missing or unknown creation timestamp instead of allowing NULL. This magic date has no semantic meaning and can lead to confusion. Consider either allowing NULL for this column or using a meaningful default like the current timestamp (CURRENT_TIMESTAMP).
Knicksaas_gourmet-gate,Rounding Errors,gourmetgate/gourmetgate.persistence/src/generated/java/org/gourmetgate/gourmetgate/persistence/tables/OrderPosition.java,67,67,"public final TableField<OrderPositionRecord, Double> VAT = createField(DSL.name(""VAT""), SQLDataType.DOUBLE.nullable(false), this, """");","The VAT column uses a DOUBLE type which can cause rounding errors when storing fixed-precision values like tax rates. Use DECIMAL or NUMERIC type instead (e.g., SQLDataType.DECIMAL(5, 2)) to ensure precise calculations."
Knicksaas_gourmet-gate,ID Required,gourmetgate/gourmetgate.persistence/src/generated/java/org/gourmetgate/gourmetgate/persistence/tables/Parameter.java,45,45,"public final TableField<ParameterRecord, String> PARAMETER_ID = createField(DSL.name(""PARAMETER_ID""), SQLDataType.VARCHAR(36).nullable(false), this, """");","The table has a synthetic primary key (PARAMETER_ID) even though there's already a unique constraint on NAME (PARAMETER_PK_2), which is a natural key suitable as a primary key for a parameter/configuration table. Consider using NAME as the primary key instead, since parameter names are inherently unique and immutable identifiers."
Knicksaas_gourmet-gate,ID Required,gourmetgate/gourmetgate.persistence/src/generated/java/org/gourmetgate/gourmetgate/persistence/tables/User.java,51,51,"public final TableField<UserRecord, String> USER_ID = createField(DSL.name(""USER_ID""), SQLDataType.VARCHAR(36).nullable(false), this, """");",The table has a synthetic primary key (USER_ID) even though USER_NAME is already a unique constraint that could serve as a natural primary key. Consider using USER_NAME as the primary key since usernames are typically immutable and unique identifiers for users.
Knicksaas_gourmet-gate,Rounding Errors,gourmetgate/gourmetgate.persistence/src/generated/java/org/gourmetgate/gourmetgate/persistence/tables/Vat.java,47,47,"public final TableField<VatRecord, Double> PERCENT = createField(DSL.name(""PERCENT""), SQLDataType.DOUBLE.nullable(false), this, """");","The PERCENT column uses DOUBLE type for storing VAT percentages, which can lead to rounding errors in financial calculations. Use DECIMAL or NUMERIC with appropriate precision (e.g., DECIMAL(5,2)) to ensure exact representation of percentage values."
Knicksaas_gourmet-gate,Implicit Columns,gourmetgate/gourmetgate.persistence/src/main/java/org/gourmetgate/gourmetgate/persistence/article/ArticleOptionRepository.java,32,32,.selectFrom(getTable()),"Using selectFrom() fetches all columns from the ArticleOption table, which may retrieve unnecessary data. Consider using select() with only the specific columns needed for the ArticleOptionDo mapping."
Knicksaas_gourmet-gate,Implicit Columns,gourmetgate/gourmetgate.persistence/src/main/java/org/gourmetgate/gourmetgate/persistence/article/ArticleRepository.java,38,38,.selectFrom(getTable()),"Using selectFrom() fetches all columns from the Article table, which may retrieve unnecessary data and impact performance. Consider explicitly selecting only the columns needed for the ArticleDo mapping, such as using select(ARTICLE.ARTICLE_ID, ARTICLE.NAME, ...).from(getTable())."
Knicksaas_gourmet-gate,Implicit Columns,gourmetgate/gourmetgate.persistence/src/main/java/org/gourmetgate/gourmetgate/persistence/articlegroup/ArticleGroupRepository.java,35,35,.selectFrom(getTable()),"Using selectFrom(getTable()) fetches all columns from the ARTICLE_GROUP table, which may retrieve unnecessary data. Consider explicitly selecting only the required columns (e.g., ARTICLE_GROUP_ID, NAME, ENABLED) using .select(...).from(getTable())."
