Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
LARCH1K_LinkTracker-Bot,ID Required,scrapper/src/main/java/edu/java/scrapper/core/dao/jooq/generated/tables/ChatLinks.java,65,66,"public final TableField<ChatLinksRecord, Long> ID =
    createField(DSL.name(""ID""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");","This table has a synthetic auto-increment 'ID' primary key, but already has a natural composite unique key (CHAT_ID, LINK_ID) via UNIQUE_ID_PAIR that would serve as a suitable primary key for this junction table. Consider using the composite key (CHAT_ID, LINK_ID) as the primary key instead of the synthetic ID column."
LARCH1K_LinkTracker-Bot,ID Required,scrapper/src/main/java/edu/java/scrapper/core/dao/jooq/generated/tables/Chats.java,68,69,"public final TableField<ChatsRecord, Long> ID =
    createField(DSL.name(""ID""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");",The table has a synthetic primary key named 'ID' even though TG_CHAT_ID has a unique constraint (UNIQUE_TG_CHAT_ID) and could serve as a natural primary key. Consider using TG_CHAT_ID as the primary key since it's already unique and represents a meaningful business identifier.
LARCH1K_LinkTracker-Bot,Beware of the Unknown,scrapper/src/main/java/edu/java/scrapper/core/dao/jooq/generated/tables/Chats.java,74,79,"public final TableField<ChatsRecord, LocalDateTime> CREATED_AT = createField(
    DSL.name(""CREATED_AT""),
    SQLDataType.LOCALDATETIME(6).defaultValue(DSL.field(""CURRENT_TIMESTAMP"", SQLDataType.LOCALDATETIME)),
    this,
    """"
);","The CREATED_AT column has a default value but is marked as NULLABLE, which means it can never be NULL in practice since it defaults to CURRENT_TIMESTAMP. Mark this column as NOT NULL to accurately reflect its intended usage."
LARCH1K_LinkTracker-Bot,Beware of the Unknown,scrapper/src/main/java/edu/java/scrapper/core/dao/jooq/generated/tables/Chats.java,90,95,"public final TableField<ChatsRecord, Boolean> IS_ACTIVE = createField(
    DSL.name(""IS_ACTIVE""),
    SQLDataType.BOOLEAN.defaultValue(DSL.field(""FALSE"", SQLDataType.BOOLEAN)),
    this,
    """"
);","The IS_ACTIVE column has a default value of FALSE but is marked as NULLABLE, meaning it can never be NULL in practice. Mark this column as NOT NULL to enforce data integrity and prevent ambiguous NULL values."
LARCH1K_LinkTracker-Bot,ID Required,scrapper/src/main/java/edu/java/scrapper/core/dao/jooq/generated/tables/Links.java,68,69,"public final TableField<LinksRecord, Long> ID =
    createField(DSL.name(""ID""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");","The table uses a generic 'ID' column as primary key while having a unique constraint on 'VALUE' (UNIQUE_VALUE), which could serve as a natural primary key. Consider using the 'VALUE' column as the primary key if it's truly unique and immutable, or rename 'ID' to something more descriptive like 'link_id'."
LARCH1K_LinkTracker-Bot,Implicit Columns,scrapper/src/main/java/edu/java/scrapper/core/dao/jooq/JooqChatDao.java,20,20,return dsl.select(CHATS.fields()),"Using `CHATS.fields()` selects all columns from the CHATS table, which fetches more data than may be needed and couples the code to the table schema. Consider explicitly listing only the required columns in the select statement."
LARCH1K_LinkTracker-Bot,Implicit Columns,scrapper/src/main/java/edu/java/scrapper/core/dao/jooq/JooqChatDao.java,27,27,return dsl.select(),"Using `select()` without specifying columns fetches all columns from the CHATS table, which is inefficient and couples the code to the table schema. Consider explicitly listing only the columns needed for the Chat class."
LARCH1K_LinkTracker-Bot,Implicit Columns,scrapper/src/main/java/edu/java/scrapper/core/dao/jooq/JooqChatLinksDao.java,24,24,dsl.select(CHAT_LINKS.fields()),"Using `fields()` selects all columns from the CHAT_LINKS table, which may fetch unnecessary data and reduce performance. Explicitly list only the columns needed for the ChatLinks entity."
LARCH1K_LinkTracker-Bot,Implicit Columns,scrapper/src/main/java/edu/java/scrapper/core/dao/jooq/JooqChatLinksDao.java,31,31,dsl.select(CHATS.fields()),"Using `fields()` selects all columns from the CHATS table, which couples the query to the table schema and may retrieve unneeded data. Specify only the required columns for the Chat entity."
LARCH1K_LinkTracker-Bot,Implicit Columns,scrapper/src/main/java/edu/java/scrapper/core/dao/jooq/JooqChatLinksDao.java,43,43,dsl.select(LINKS.fields()),"Using `fields()` selects all columns from the LINKS table, which can lead to over-fetching and maintenance issues if the schema changes. Explicitly select only the columns required for the Link entity."
LARCH1K_LinkTracker-Bot,Implicit Columns,scrapper/src/main/java/edu/java/scrapper/core/dao/jooq/JooqChatLinksDao.java,55,55,dsl.select(CHAT_LINKS.fields()),Using `fields()` selects all columns from the CHAT_LINKS table blindly. Replace with an explicit column list to improve clarity and avoid fetching unnecessary data.
LARCH1K_LinkTracker-Bot,Implicit Columns,scrapper/src/main/java/edu/java/scrapper/core/dao/jooq/JooqLinkDao.java,23,23,return dsl.select(LINKS.fields()),"Using `LINKS.fields()` selects all columns from the LINKS table, which fetches unnecessary data and couples the code to the table schema. Explicitly list only the columns needed for the Link class."
LARCH1K_LinkTracker-Bot,Implicit Columns,scrapper/src/main/java/edu/java/scrapper/core/dao/jooq/JooqLinkDao.java,30,30,return dsl.select(LINKS.fields()),"Using `LINKS.fields()` selects all columns from the LINKS table, which can degrade performance and break if the schema changes. Specify only the required columns explicitly."
LARCH1K_LinkTracker-Bot,Implicit Columns,scrapper/src/main/java/edu/java/scrapper/core/dao/jooq/JooqLinkDao.java,51,51,return dsl.select(),"Using `select()` without arguments selects all columns from the LINKS table, which fetches more data than necessary. Explicitly specify only the columns needed for the Link class."
