Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
LalisaST_java_course_2,ID Required,scrapper/src/main/java/edu/java/scrapper/domain/jooq/tables/Chat.java,59,60,"public final TableField<ChatRecord, Long> ID =
    createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false), this, """");",The primary key column is generically named 'id' instead of a more descriptive name like 'chat_id'. Consider renaming the column to 'chat_id' to make it self-documenting and avoid ambiguity when joining tables.
LalisaST_java_course_2,ID Required,scrapper/src/main/java/edu/java/scrapper/domain/jooq/tables/Link.java,63,64,"public final TableField<LinkRecord, Long> ID =
    createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");","The table uses a generic 'id' column as primary key while having a unique constraint on 'url' (LINK_URL_KEY), which is a natural key suitable as a primary key since URLs are immutable identifiers for links. Consider using 'url' as the primary key or renaming 'id' to something more descriptive like 'link_id'."
LalisaST_java_course_2,Implicit Columns,scrapper/src/main/java/edu/java/scrapper/repositories/jooq/JooqChatDao.java,32,32,return dslContext.selectFrom(CHAT),"Using selectFrom(CHAT) fetches all columns from the CHAT table, which can retrieve unnecessary data and reduce performance. Consider explicitly selecting only the required columns using select(CHAT.ID, ...).from(CHAT)."
LalisaST_java_course_2,Implicit Columns,scrapper/src/main/java/edu/java/scrapper/repositories/jooq/JooqChatLinkDao.java,36,36,return dslContext.selectFrom(CHAT_LINK),"Using selectFrom(CHAT_LINK) fetches all columns from the CHAT_LINK table, which may retrieve unnecessary data. Explicitly specify only the required columns using select(CHAT_LINK.LINK_ID, CHAT_LINK.CHAT_ID).from(CHAT_LINK)."
LalisaST_java_course_2,Implicit Columns,scrapper/src/main/java/edu/java/scrapper/repositories/jooq/JooqChatLinkDao.java,57,57,return dslContext.selectFrom(CHAT_LINK),"Using selectFrom(CHAT_LINK) fetches all columns from the CHAT_LINK table implicitly. Replace with an explicit column selection like select(CHAT_LINK.LINK_ID, CHAT_LINK.CHAT_ID).from(CHAT_LINK) to only retrieve the needed fields."
LalisaST_java_course_2,Implicit Columns,scrapper/src/main/java/edu/java/scrapper/repositories/jooq/JooqLinkDao.java,26,27,".returningResult()
.fetchSingleInto(Link.class);","Using `returningResult()` without specifying columns returns all columns from the LINK table, which fetches unnecessary data. Specify only the required columns explicitly, e.g., `.returningResult(LINK.ID, LINK.URL, LINK.TYPE)`."
LalisaST_java_course_2,Implicit Columns,scrapper/src/main/java/edu/java/scrapper/repositories/jooq/JooqLinkDao.java,39,39,return dslContext.selectFrom(LINK),"Using `selectFrom(LINK)` fetches all columns from the LINK table, which may include unnecessary data. Replace with an explicit column selection like `select(LINK.ID, LINK.URL, ...)` to fetch only the required fields."
LalisaST_java_course_2,Implicit Columns,scrapper/src/main/java/edu/java/scrapper/repositories/jooq/JooqLinkDao.java,44,44,return dslContext.select(LINK),"Using `select(LINK)` fetches all columns from the LINK table. Specify only the columns you need, e.g., `select(LINK.ID, LINK.URL, LINK.TYPE)` to avoid fetching unnecessary data."
LalisaST_java_course_2,Implicit Columns,scrapper/src/main/java/edu/java/scrapper/repositories/jooq/JooqLinkDao.java,50,50,return dslContext.selectFrom(LINK),"Using `selectFrom(LINK)` fetches all columns from the LINK table. Replace with explicit column selection like `select(LINK.ID, LINK.URL, ...)` to retrieve only the necessary fields."
LalisaST_java_course_2,Implicit Columns,scrapper/src/main/java/edu/java/scrapper/repositories/jooq/JooqLinkDao.java,56,56,return dslContext.selectFrom(LINK),Using `selectFrom(LINK)` fetches all columns from the LINK table. Specify only the required columns explicitly to avoid retrieving unnecessary data.
