Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
LianjiaTech_bella-assistants,Rounding Errors,api/src/codegen/java/com/ke/assistant/db/generated/tables/Assistant.java,86,86,"public final TableField<AssistantRecord, Double> TEMPERATURE = createField(DSL.name(""temperature""), SQLDataType.FLOAT.nullable(false).defaultValue(DSL.inline(""0.01"", SQLDataType.FLOAT)), this, ""temperature of the run"");",The TEMPERATURE column uses FLOAT type which can cause precision loss for fixed-precision values like 0.01. Consider using SQLDataType.DECIMAL or SQLDataType.NUMERIC with appropriate precision and scale instead.
LianjiaTech_bella-assistants,Rounding Errors,api/src/codegen/java/com/ke/assistant/db/generated/tables/Assistant.java,91,91,"public final TableField<AssistantRecord, Double> TOP_P = createField(DSL.name(""top_p""), SQLDataType.FLOAT.nullable(false).defaultValue(DSL.inline(""1"", SQLDataType.FLOAT)), this, ""top_p of the run"");",The TOP_P column uses FLOAT type which can introduce rounding errors for fixed-precision values. Consider using SQLDataType.DECIMAL or SQLDataType.NUMERIC with appropriate precision and scale instead.
LianjiaTech_bella-assistants,Beware of the Unknown,api/src/codegen/java/com/ke/assistant/db/generated/tables/Assistant.java,61,61,"public final TableField<AssistantRecord, String> MODEL = createField(DSL.name(""model""), SQLDataType.VARCHAR(128).nullable(false).defaultValue(DSL.inline("""", SQLDataType.VARCHAR)), this, ""assistant使用模型"");","The MODEL column uses an empty string as a default value to represent missing data instead of NULL. Consider making the column nullable and using NULL to represent missing values, which is the standard SQL approach."
LianjiaTech_bella-assistants,Beware of the Unknown,api/src/codegen/java/com/ke/assistant/db/generated/tables/Assistant.java,66,66,"public final TableField<AssistantRecord, String> OBJECT = createField(DSL.name(""object""), SQLDataType.VARCHAR(1024).nullable(false).defaultValue(DSL.inline("""", SQLDataType.VARCHAR)), this, """");",The OBJECT column uses an empty string as a default value to represent missing data instead of NULL. Consider making the column nullable and using NULL to represent missing values.
LianjiaTech_bella-assistants,Beware of the Unknown,api/src/codegen/java/com/ke/assistant/db/generated/tables/Assistant.java,71,71,"public final TableField<AssistantRecord, String> NAME = createField(DSL.name(""name""), SQLDataType.VARCHAR(128).nullable(false).defaultValue(DSL.inline("""", SQLDataType.VARCHAR)), this, ""assistant名称"");",The NAME column uses an empty string as a default value to represent missing data instead of NULL. Consider making the column nullable and using NULL to represent missing values.
LianjiaTech_bella-assistants,Beware of the Unknown,api/src/codegen/java/com/ke/assistant/db/generated/tables/Assistant.java,76,76,"public final TableField<AssistantRecord, String> DESCRIPTION = createField(DSL.name(""description""), SQLDataType.VARCHAR(256).nullable(false).defaultValue(DSL.inline("""", SQLDataType.VARCHAR)), this, ""assistant描述"");",The DESCRIPTION column uses an empty string as a default value to represent missing data instead of NULL. Consider making the column nullable and using NULL to represent missing values.
LianjiaTech_bella-assistants,Beware of the Unknown,api/src/codegen/java/com/ke/assistant/db/generated/tables/Assistant.java,101,101,"public final TableField<AssistantRecord, String> USER = createField(DSL.name(""user""), SQLDataType.VARCHAR(50).nullable(false).defaultValue(DSL.inline("""", SQLDataType.VARCHAR)), this, ""user"");",The USER column uses an empty string as a default value to represent missing data instead of NULL. Consider making the column nullable and using NULL to represent missing values.
LianjiaTech_bella-assistants,Beware of the Unknown,api/src/codegen/java/com/ke/assistant/db/generated/tables/Assistant.java,106,106,"public final TableField<AssistantRecord, String> REASONING_EFFORT = createField(DSL.name(""reasoning_effort""), SQLDataType.VARCHAR(100).nullable(false).defaultValue(DSL.inline("""", SQLDataType.VARCHAR)), this, ""推理参数配置"");",The REASONING_EFFORT column uses an empty string as a default value to represent missing data instead of NULL. Consider making the column nullable and using NULL to represent missing values.
LianjiaTech_bella-assistants,Beware of the Unknown,api/src/codegen/java/com/ke/assistant/db/generated/tables/Assistant.java,116,116,"public final TableField<AssistantRecord, String> OWNER = createField(DSL.name(""owner""), SQLDataType.VARCHAR(64).nullable(false).defaultValue(DSL.inline("""", SQLDataType.VARCHAR)), this, ""创建人"");",The OWNER column uses an empty string as a default value to represent missing data instead of NULL. Consider making the column nullable and using NULL to represent missing values.
LianjiaTech_bella-assistants,Beware of the Unknown,api/src/codegen/java/com/ke/assistant/db/generated/tables/Assistant.java,121,121,"public final TableField<AssistantRecord, String> METADATA = createField(DSL.name(""metadata""), SQLDataType.VARCHAR(4096).nullable(false).defaultValue(DSL.inline("""", SQLDataType.VARCHAR)), this, ""元信息"");",The METADATA column uses an empty string as a default value to represent missing data instead of NULL. Consider making the column nullable and using NULL to represent missing values.
LianjiaTech_bella-assistants,ID Required,api/src/codegen/java/com/ke/assistant/db/generated/tables/AssistantFileRelation.java,57,57,"public final TableField<AssistantFileRelationRecord, Integer> ID = createField(DSL.name(""id""), SQLDataType.INTEGER.nullable(false).identity(true), this, """");","The table uses a generic 'id' column as primary key while a natural unique constraint (KEY_ASSISTANT_FILE_RELATION_UNIQUE_INDEX_NAME) already exists on (FILE_ID, ASSISTANT_ID, TOOL_NAME) which could serve as a composite primary key. Consider using the existing unique constraint as the primary key instead of the synthetic 'id' column."
LianjiaTech_bella-assistants,ID Required,api/src/codegen/java/com/ke/assistant/db/generated/tables/AssistantTool.java,57,57,"public final TableField<AssistantToolRecord, Integer> ID = createField(DSL.name(""id""), SQLDataType.INTEGER.nullable(false).identity(true), this, """");",The primary key is named just 'id' which is generic and doesn't convey meaning about the entity it identifies. Consider renaming it to 'assistant_tool_id' to make it more descriptive and avoid ambiguity in queries with joins.
LianjiaTech_bella-assistants,Beware of the Unknown,api/src/codegen/java/com/ke/assistant/db/generated/tables/AssistantTool.java,62,62,"public final TableField<AssistantToolRecord, String> ASSISTANT_ID = createField(DSL.name(""assistant_id""), SQLDataType.VARCHAR(64).nullable(false).defaultValue(DSL.inline("""", SQLDataType.VARCHAR)), this, ""tool所关联的对象（assistant_id or run_id)"");","Using an empty string as a default value to represent missing data is problematic because it conflates 'no value provided' with 'intentionally empty'. Consider making the column nullable and using NULL to represent missing values, or remove the default if a value should always be explicitly provided."
LianjiaTech_bella-assistants,ID Required,api/src/codegen/java/com/ke/assistant/db/generated/tables/IdSequence.java,55,55,"public final TableField<IdSequenceRecord, Integer> ID = createField(DSL.name(""id""), SQLDataType.INTEGER.nullable(false).identity(true), this, """");","The table uses a generic 'id' column as primary key while having a unique constraint on 'prefix' (KEY_ID_SEQUENCE_UNIQUE_PREFIX) which could serve as a natural primary key. Consider using 'prefix' as the primary key since it's already unique and meaningful, or rename 'id' to something more descriptive like 'id_sequence_id'."
LianjiaTech_bella-assistants,Keyless Entry,api/src/codegen/java/com/ke/assistant/db/generated/tables/Message.java,66,66,"public final TableField<MessageRecord, String> THREAD_ID = createField(DSL.name(""thread_id""), SQLDataType.VARCHAR(64).nullable(false).defaultValue(DSL.inline("""", SQLDataType.VARCHAR)), this, """");","The THREAD_ID column references the Thread table but lacks a foreign key constraint, which could lead to orphaned records or invalid references. Add a foreign key constraint referencing the Thread table's primary key (KEY_THREAD_PRIMARY)."
LianjiaTech_bella-assistants,Keyless Entry,api/src/codegen/java/com/ke/assistant/db/generated/tables/Message.java,106,106,"public final TableField<MessageRecord, String> ASSISTANT_ID = createField(DSL.name(""assistant_id""), SQLDataType.VARCHAR(64).nullable(false).defaultValue(DSL.inline("""", SQLDataType.VARCHAR)), this, """");","The ASSISTANT_ID column references the Assistant table but lacks a foreign key constraint, risking referential integrity issues. Add a foreign key constraint referencing the Assistant table's primary key (KEY_ASSISTANT_PRIMARY)."
LianjiaTech_bella-assistants,Keyless Entry,api/src/codegen/java/com/ke/assistant/db/generated/tables/Message.java,111,111,"public final TableField<MessageRecord, String> RUN_ID = createField(DSL.name(""run_id""), SQLDataType.VARCHAR(64).nullable(false).defaultValue(DSL.inline("""", SQLDataType.VARCHAR)), this, """");","The RUN_ID column references the Run table but lacks a foreign key constraint, which could allow invalid run references. Add a foreign key constraint referencing the Run table's primary key (KEY_RUN_PRIMARY)."
