Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
LianjiaTech_bella-workflow,ID Required,api/src/codegen/java/com/ke/bella/workflow/db/tables/Domain.java,57,57,"public final TableField<DomainRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");",The primary key column is generically named 'id' which doesn't convey any domain meaning. Consider renaming it to something more descriptive like 'domain_id' to improve clarity when joining tables and reading queries.
LianjiaTech_bella-workflow,Keyless Entry,api/src/codegen/java/com/ke/bella/workflow/db/tables/Domain.java,62,62,"public final TableField<DomainRecord, String> TENANT_ID = createField(DSL.name(""tenant_id""), SQLDataType.VARCHAR(64).nullable(false), this, ""租户ID"");",The 'tenant_id' column appears to reference the Tenant table (which has KEY_TENANT_IDX_TENANT_ID unique key on TENANT_ID) but lacks a foreign key constraint. Add a foreign key constraint referencing the Tenant table to ensure referential integrity.
LianjiaTech_bella-workflow,ID Required,api/src/codegen/java/com/ke/bella/workflow/db/tables/Instance.java,57,57,"public final TableField<InstanceRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");","The table uses a generic 'id' column as the primary key, but the combination of IP and PORT (as suggested by the existing index INSTANCE_IDX_IP_PORT) could serve as a natural composite primary key since these values uniquely identify an instance and are virtually immutable. Consider using (ip, port) as the primary key instead of a synthetic 'id' column."
LianjiaTech_bella-workflow,ID Required,api/src/codegen/java/com/ke/bella/workflow/db/tables/KafkaDatasource.java,57,57,"public final TableField<KafkaDatasourceRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");",The table uses a generic 'id' column as primary key while a natural unique key 'DATASOURCE_ID' (KEY_KAFKA_DATASOURCE_IDX_ID) already exists that could serve as the primary key. Consider using 'datasource_id' as the primary key or renaming 'id' to something more descriptive like 'kafka_datasource_id'.
LianjiaTech_bella-workflow,Keyless Entry,api/src/codegen/java/com/ke/bella/workflow/db/tables/KafkaDatasource.java,62,62,"public final TableField<KafkaDatasourceRecord, String> TENANT_ID = createField(DSL.name(""tenant_id""), SQLDataType.VARCHAR(64).nullable(false), this, ""租户ID"");","The 'tenant_id' column appears to reference the Tenant table (which has KEY_TENANT_IDX_TENANT_ID on TENANT_ID) but lacks a foreign key constraint, risking referential integrity issues. Add a foreign key constraint referencing the Tenant table's tenant_id column."
LianjiaTech_bella-workflow,ID Required,api/src/codegen/java/com/ke/bella/workflow/db/tables/RdbDatasource.java,57,57,"public final TableField<RdbDatasourceRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");","The table uses a generic 'id' column as primary key while a unique constraint on 'datasource_id' (KEY_RDB_DATASOURCE_IDX_ID) already exists, which could serve as a natural primary key. Consider using 'datasource_id' as the primary key or renaming 'id' to something more descriptive like 'rdb_datasource_id'."
LianjiaTech_bella-workflow,Keyless Entry,api/src/codegen/java/com/ke/bella/workflow/db/tables/RdbDatasource.java,62,62,"public final TableField<RdbDatasourceRecord, String> TENANT_ID = createField(DSL.name(""tenant_id""), SQLDataType.VARCHAR(64).nullable(false), this, ""租户ID"");","The 'tenant_id' column appears to reference the Tenant table (which has KEY_TENANT_IDX_TENANT_ID on TENANT_ID) but lacks a foreign key constraint, risking referential integrity issues. Add a foreign key constraint referencing the Tenant table's tenant_id column."
LianjiaTech_bella-workflow,ID Required,api/src/codegen/java/com/ke/bella/workflow/db/tables/RedisDatasource.java,57,57,"public final TableField<RedisDatasourceRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");",The table uses a generic 'id' column as primary key while having a unique constraint on 'datasource_id' (KEY_REDIS_DATASOURCE_IDX_ID) which could serve as a natural primary key. Consider using 'datasource_id' as the primary key or renaming 'id' to something more descriptive like 'redis_datasource_id'.
LianjiaTech_bella-workflow,ID Required,api/src/codegen/java/com/ke/bella/workflow/db/tables/Tenant.java,57,57,"public final TableField<TenantRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");",The table has a synthetic auto-increment primary key named 'id' even though there's already a unique constraint on 'tenant_id' (KEY_TENANT_IDX_TENANT_ID) which could serve as a natural primary key. Consider using 'tenant_id' as the primary key instead of the generic 'id' column.
LianjiaTech_bella-workflow,Beware of the Unknown,api/src/codegen/java/com/ke/bella/workflow/db/tables/Tenant.java,72,72,"public final TableField<TenantRecord, String> OPENAPI_KEY = createField(DSL.name(""openapi_key""), SQLDataType.VARCHAR(64).nullable(false).defaultValue(DSL.inline("""", SQLDataType.VARCHAR)), this, """");",The 'openapi_key' column uses an empty string as a default value to represent missing data instead of allowing NULL. This makes it harder to distinguish between intentionally empty values and missing values. Consider making the column nullable and using NULL to represent missing API keys.
