Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
LintaoAmons_java-jooq-runable-code,ID Required,app/src/main/generated-jooq/jooq/setup/tables/City.java,57,57,"public final TableField<CityRecord, Integer> ID = createField(DSL.name(""id""), SQLDataType.INTEGER.nullable(false), this, """");",The primary key column is generically named 'id' instead of a more descriptive name like 'city_id'. Consider renaming the column to 'city_id' to make it self-documenting and avoid ambiguity in joins.
LintaoAmons_java-jooq-runable-code,Rounding Errors,app/src/main/generated-jooq/jooq/setup/tables/Country.java,80,80,"public final TableField<CountryRecord, Float> SURFACE_AREA = createField(DSL.name(""surface_area""), SQLDataType.REAL.nullable(false), this, """");",The SURFACE_AREA column uses REAL (floating-point) type which can cause precision loss for geographic measurements. Consider using NUMERIC or DECIMAL with appropriate precision to store surface area values accurately.
LintaoAmons_java-jooq-runable-code,Rounding Errors,app/src/main/generated-jooq/jooq/setup/tables/Country.java,95,95,"public final TableField<CountryRecord, Float> LIFE_EXPECTANCY = createField(DSL.name(""life_expectancy""), SQLDataType.REAL, this, """");","The LIFE_EXPECTANCY column uses REAL (floating-point) type which can introduce rounding errors for statistical data. Consider using NUMERIC or DECIMAL with appropriate precision (e.g., NUMERIC(4,2)) to store life expectancy values accurately."
LintaoAmons_java-jooq-runable-code,31 Flavors,app/src/main/generated-jooq/jooq/setup/tables/Country.java,70,70,"public final TableField<CountryRecord, String> CONTINENT = createField(DSL.name(""continent""), SQLDataType.CLOB.nullable(false), this, """");","The CONTINENT column uses a CHECK constraint to restrict values to a fixed set of continents (Asia, Europe, North America, etc.). Consider creating a separate 'continent' lookup table and referencing it with a foreign key, which allows easier maintenance and querying of valid continent values."
LintaoAmons_java-jooq-runable-code,Keyless Entry,app/src/main/generated-jooq/jooq/setup/tables/CountryFlag.java,56,56,"public final TableField<CountryFlagRecord, String> CODE2 = createField(DSL.name(""code2""), SQLDataType.CHAR(2).nullable(false), this, ""Following ISO 3166-1 alpha-2 code"");",The CODE2 column appears to reference country codes (ISO 3166-1 alpha-2) but lacks a foreign key constraint to the Country table's CODE column (COUNTRY_PKEY). Consider adding a foreign key constraint from CODE2 to Country.CODE to ensure referential integrity.
LintaoAmons_java-jooq-runable-code,Rounding Errors,app/src/main/generated-jooq/jooq/setup/tables/CountryLanguage.java,72,72,"public final TableField<CountryLanguageRecord, Float> PERCENTAGE = createField(DSL.name(""percentage""), SQLDataType.REAL.nullable(false), this, """");","The 'percentage' column uses SQLDataType.REAL (floating-point), which can cause rounding errors when storing fixed-precision values like percentages. Consider using SQLDataType.DECIMAL or SQLDataType.NUMERIC with appropriate precision and scale (e.g., DECIMAL(5,2)) to ensure accurate storage of percentage values."
LintaoAmons_java-jooq-runable-code,Implicit Columns,app/src/main/java/jooq/setup/App.java,15,15,Result<CityRecord> records = dslContext.selectFrom(Tables.CITY),"Using selectFrom(Tables.CITY) fetches all columns from the CITY table, which can be inefficient if only a subset of columns is needed. Consider using select() with specific columns instead, e.g., dslContext.select(Tables.CITY.ID, Tables.CITY.NAME).from(Tables.CITY)."
LintaoAmons_java-jooq-runable-code,Implicit Columns,app/src/main/java/jooq/setup/usecases/GetSql.java,15,15,dslContext.selectFrom(Tables.CITY),"Using selectFrom(Tables.CITY) selects all columns from the CITY table, which can lead to unnecessary data transfer and maintenance issues if the table schema changes. Consider using select() with explicit column names instead, e.g., dslContext.select(Tables.CITY.ID, Tables.CITY.NAME).from(Tables.CITY)."
LintaoAmons_java-jooq-runable-code,Implicit Columns,app/src/main/java/jooq/setup/usecases/Query.java,29,29,Result<Record> fetch = create.select(),"Using select() without specifying columns fetches all columns from the CITY table, which can lead to unnecessary data transfer and maintenance issues if the table schema changes. Specify only the required columns explicitly, e.g., create.select(Tables.CITY.ID, Tables.CITY.NAME)."
LintaoAmons_java-jooq-runable-code,Implicit Columns,app/src/main/java/jooq/setup/usecases/Query.java,39,39,List<City> cities = create.select(),"Using select() without specifying columns fetches all columns from the CITY table. Explicitly list the columns needed, e.g., create.select(Tables.CITY.ID, Tables.CITY.NAME, ...)."
LintaoAmons_java-jooq-runable-code,Implicit Columns,app/src/main/java/jooq/setup/usecases/Query.java,59,59,Record fetchOne = create.select(),Using select() without specifying columns fetches all columns from the CITY table. Specify only the columns you need to improve performance and maintainability.
LintaoAmons_java-jooq-runable-code,Implicit Columns,app/src/main/java/jooq/setup/usecases/Query.java,68,68,Record fetchOne = create.select(),Using select() without specifying columns in a join query fetches all columns from both CITY and COUNTRY tables. Explicitly specify the required columns to avoid fetching unnecessary data.
LintaoAmons_java-jooq-runable-code,Implicit Columns,app/src/main/java/jooq/setup/usecases/Query.java,137,137,Result<Record> fetch = create.select(),"Using select() without specifying columns fetches all columns from the CITY table. Specify only the columns you need, e.g., create.select(Tables.CITY.ID, Tables.CITY.NAME)."
