Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
LogDS_SimulatorOrchestrator,Rounding Errors,SimulatorBridger-core/src/main/java/uk/ncl/giacomobergami/utils/database/jooq/tables/Accuratebatteryinfo.java,66,66,"public final TableField<AccuratebatteryinfoRecord, Double> CONSUMPTION = createField(DSL.name(""consumption""), SQLDataType.DOUBLE.nullable(false), this, """");",The 'consumption' column uses DOUBLE type which can cause precision loss for fixed-precision values like energy consumption measurements. Consider using SQLDataType.DECIMAL or SQLDataType.NUMERIC with appropriate precision and scale instead.
LogDS_SimulatorOrchestrator,Rounding Errors,SimulatorBridger-core/src/main/java/uk/ncl/giacomobergami/utils/database/jooq/tables/Accuratebatteryinfo.java,76,76,"public final TableField<AccuratebatteryinfoRecord, Double> NOPACKETS = createField(DSL.name(""nopackets""), SQLDataType.DOUBLE.nullable(false), this, """");","The 'nopackets' column uses DOUBLE type, but packet counts should be integers or fixed-precision numbers. Using floating-point for counting values can lead to rounding errors. Consider using INTEGER or BIGINT for packet counts."
LogDS_SimulatorOrchestrator,Rounding Errors,SimulatorBridger-core/src/main/java/uk/ncl/giacomobergami/utils/database/jooq/tables/Accuratebatteryinfo.java,81,81,"public final TableField<AccuratebatteryinfoRecord, Double> TIME = createField(DSL.name(""time""), SQLDataType.DOUBLE.nullable(false), this, """");","The 'time' column uses DOUBLE type which can introduce precision errors for time measurements. Consider using SQLDataType.DECIMAL or SQLDataType.NUMERIC for precise time values, or a proper timestamp/interval type if representing actual time."
LogDS_SimulatorOrchestrator,Rounding Errors,SimulatorBridger-core/src/main/java/uk/ncl/giacomobergami/utils/database/jooq/tables/AccuratebatteryinfoImport.java,58,58,"public final TableField<AccuratebatteryinfoImportRecord, Double> CONSUMPTION = createField(DSL.name(""consumption""), SQLDataType.DOUBLE.nullable(false), this, """");",The 'consumption' column uses DOUBLE type which can cause precision loss for fixed-precision values like monetary amounts or measurements. Consider using SQLDataType.DECIMAL or SQLDataType.NUMERIC with appropriate precision and scale instead.
LogDS_SimulatorOrchestrator,Rounding Errors,SimulatorBridger-core/src/main/java/uk/ncl/giacomobergami/utils/database/jooq/tables/AccuratebatteryinfoImport.java,68,68,"public final TableField<AccuratebatteryinfoImportRecord, Double> NOPACKETS = createField(DSL.name(""nopackets""), SQLDataType.DOUBLE.nullable(false), this, """");","The 'nopackets' column uses DOUBLE type for what appears to be a count of packets, which should be an exact value. Consider using SQLDataType.INTEGER or SQLDataType.BIGINT for packet counts, or SQLDataType.DECIMAL if fractional values are needed."
LogDS_SimulatorOrchestrator,Rounding Errors,SimulatorBridger-core/src/main/java/uk/ncl/giacomobergami/utils/database/jooq/tables/AccuratebatteryinfoImport.java,73,73,"public final TableField<AccuratebatteryinfoImportRecord, Double> TIME = createField(DSL.name(""time""), SQLDataType.DOUBLE.nullable(false), this, """");","The 'time' column uses DOUBLE type which can introduce rounding errors for time-based calculations. Consider using SQLDataType.DECIMAL with appropriate precision, or a proper temporal type like TIMESTAMP if representing points in time."
LogDS_SimulatorOrchestrator,Rounding Errors,SimulatorBridger-core/src/main/java/uk/ncl/giacomobergami/utils/database/jooq/tables/Applist.java,71,71,"public final TableField<ApplistRecord, Double> APPSTARTTIME = createField(DSL.name(""appstarttime""), SQLDataType.DOUBLE.nullable(false), this, """");",The column 'appstarttime' uses DOUBLE type which can cause precision loss for time values. Consider using DECIMAL/NUMERIC for fixed-precision storage or a proper timestamp type if representing time.
LogDS_SimulatorOrchestrator,Rounding Errors,SimulatorBridger-core/src/main/java/uk/ncl/giacomobergami/utils/database/jooq/tables/Applist.java,86,86,"public final TableField<ApplistRecord, Double> DATARATE = createField(DSL.name(""datarate""), SQLDataType.DOUBLE.nullable(false), this, """");",The column 'datarate' uses DOUBLE type which may introduce floating-point rounding errors. Consider using DECIMAL or NUMERIC type for precise fixed-point arithmetic.
LogDS_SimulatorOrchestrator,Rounding Errors,SimulatorBridger-core/src/main/java/uk/ncl/giacomobergami/utils/database/jooq/tables/Applist.java,101,101,"public final TableField<ApplistRecord, Double> ENDTIME = createField(DSL.name(""endtime""), SQLDataType.DOUBLE.nullable(false), this, """");",The column 'endtime' uses DOUBLE type which can cause precision loss for time values. Consider using DECIMAL/NUMERIC for fixed-precision storage or a proper timestamp type if representing time.
LogDS_SimulatorOrchestrator,Rounding Errors,SimulatorBridger-core/src/main/java/uk/ncl/giacomobergami/utils/database/jooq/tables/Applist.java,106,106,"public final TableField<ApplistRecord, Double> IOTDEVICEBATTERYCONSUMPTION = createField(DSL.name(""iotdevicebatteryconsumption""), SQLDataType.DOUBLE.nullable(false), this, """");",The column 'iotdevicebatteryconsumption' uses DOUBLE type which may introduce floating-point rounding errors for consumption metrics. Consider using DECIMAL or NUMERIC type for precise calculations.
LogDS_SimulatorOrchestrator,Rounding Errors,SimulatorBridger-core/src/main/java/uk/ncl/giacomobergami/utils/database/jooq/tables/Applist.java,161,161,"public final TableField<ApplistRecord, Double> STARTDATAGENERATIONTIME = createField(DSL.name(""startdatagenerationtime""), SQLDataType.DOUBLE.nullable(false), this, """");",The column 'startdatagenerationtime' uses DOUBLE type which can cause precision loss for time values. Consider using DECIMAL/NUMERIC for fixed-precision storage or a proper timestamp type.
LogDS_SimulatorOrchestrator,Rounding Errors,SimulatorBridger-core/src/main/java/uk/ncl/giacomobergami/utils/database/jooq/tables/Applist.java,166,166,"public final TableField<ApplistRecord, Double> STOPDATAGENERATIONTIME = createField(DSL.name(""stopdatagenerationtime""), SQLDataType.DOUBLE.nullable(false), this, """");",The column 'stopdatagenerationtime' uses DOUBLE type which can cause precision loss for time values. Consider using DECIMAL/NUMERIC for fixed-precision storage or a proper timestamp type.
LogDS_SimulatorOrchestrator,Fear of the Unknown,SimulatorBridger-core/src/main/java/uk/ncl/giacomobergami/utils/database/jooq/tables/Applist.java,91,91,"public final TableField<ApplistRecord, String> EDGEDATACENTERNAME = createField(DSL.name(""edgedatacentername""), SQLDataType.VARCHAR(50), this, """");","The column 'edgedatacentername' is nullable while similar columns like 'clouddatacentername' are not nullable. If this column can legitimately be unknown, this is correct; otherwise, consider adding a NOT NULL constraint with a meaningful default or ensuring consistency with related columns."
LogDS_SimulatorOrchestrator,Rounding Errors,SimulatorBridger-core/src/main/java/uk/ncl/giacomobergami/utils/database/jooq/tables/ApplistImport.java,63,63,"public final TableField<ApplistImportRecord, Double> APPSTARTTIME = createField(DSL.name(""appstarttime""), SQLDataType.DOUBLE.nullable(false), this, """");",The APPSTARTTIME column uses DOUBLE (floating-point) type which can cause precision loss for time values. Consider using DECIMAL/NUMERIC for fixed-precision storage or a proper timestamp type.
