Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
LucidMinded_java-course-2023-backend,Implicit Columns,scrapper/src/main/java/edu/java/domain/dao/jooq/JooqChatDao.java,36,36,Record dbRecord = dslContext.selectFrom(CHAT),"Using selectFrom(CHAT) fetches all columns from the CHAT table, but only the ID column is actually used. Replace with an explicit select: dslContext.select(CHAT.ID).from(CHAT)."
LucidMinded_java-course-2023-backend,Implicit Columns,scrapper/src/main/java/edu/java/domain/dao/jooq/JooqChatDao.java,45,45,@NotNull Result<ChatRecord> records = dslContext.selectFrom(CHAT).fetch();,"Using selectFrom(CHAT) fetches all columns from the CHAT table into ChatRecord, but only the ID column is used. Replace with an explicit select: dslContext.select(CHAT.ID).from(CHAT)."
LucidMinded_java-course-2023-backend,Implicit Columns,scrapper/src/main/java/edu/java/domain/dao/jooq/JooqChatLinkDao.java,40,40,@NotNull Result<Record> records = dslContext.select(),"Using `select()` without specifying columns fetches all columns from the joined tables, which can retrieve unnecessary data and impact performance. Explicitly specify only the needed columns: `dslContext.select(LINK.ID, LINK.URL, LINK.UPDATED_AT, LINK.LAST_ACTIVITY)`."
LucidMinded_java-course-2023-backend,Implicit Columns,scrapper/src/main/java/edu/java/domain/dao/jooq/JooqLinkDao.java,38,38,@NotNull Result<LinkRecord> records = dslContext.selectFrom(LINK).fetch();,"Using `selectFrom(LINK)` fetches all columns from the LINK table, which can retrieve unnecessary data and impact performance. Consider using `select(LINK.ID, LINK.URL, LINK.UPDATED_AT, LINK.LAST_ACTIVITY)` to explicitly specify only the required columns."
LucidMinded_java-course-2023-backend,Implicit Columns,scrapper/src/main/java/edu/java/domain/dao/jooq/JooqLinkDao.java,52,52,Record dbRecord = dslContext.selectFrom(LINK),"Using `selectFrom(LINK)` fetches all columns from the LINK table instead of only the needed ones. Replace with an explicit column selection like `select(LINK.ID, LINK.URL, LINK.UPDATED_AT, LINK.LAST_ACTIVITY)` to improve query efficiency."
LucidMinded_java-course-2023-backend,Implicit Columns,scrapper/src/main/java/edu/java/domain/dao/jooq/JooqLinkDao.java,66,66,Record dbRecord = dslContext.selectFrom(LINK),"Using `selectFrom(LINK)` retrieves all columns from the LINK table, which may include unnecessary data. Explicitly select only the required columns: `select(LINK.ID, LINK.URL, LINK.UPDATED_AT, LINK.LAST_ACTIVITY)`."
LucidMinded_java-course-2023-backend,Implicit Columns,scrapper/src/main/java/edu/java/domain/dao/jooq/JooqLinkDao.java,80,80,@NotNull Result<LinkRecord> records = dslContext.selectFrom(LINK),"Using `selectFrom(LINK)` fetches all columns from the LINK table. Consider explicitly selecting only the columns you need: `select(LINK.ID, LINK.URL, LINK.UPDATED_AT, LINK.LAST_ACTIVITY)` to avoid retrieving unnecessary data."
LucidMinded_java-course-2023-backend,ID Required,scrapper/src/main/java/edu/java/scrapper/domain/jooq/tables/Link.java,58,59,"public final TableField<LinkRecord, Long> ID =
    createField(DSL.name(""ID""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");","The table uses a generic 'ID' column as the primary key, but there's already a unique constraint on the 'URL' column (CONSTRAINT_23) which is a natural key suitable for identifying links. Consider using the URL as the primary key or renaming the ID column to something more descriptive like 'link_id'."
LucidMinded_java-course-2023-backend,Implicit Columns,scrapper/src/test/java/edu/java/domain/dao/jooq/JooqChatDaoTest.java,36,36,Long queriedId = dslContext.selectFrom(CHAT),"Using `selectFrom(CHAT)` fetches all columns from the CHAT table, even though only the ID column is needed. Replace with `dslContext.select(CHAT.ID).from(CHAT)` to explicitly select only the required column."
LucidMinded_java-course-2023-backend,Implicit Columns,scrapper/src/test/java/edu/java/domain/dao/jooq/JooqLinkDaoTest.java,39,39,String queriedUrl = dslContext.selectFrom(LINK),Using `selectFrom(LINK)` fetches all columns from the LINK table when only the URL column is needed. Replace with `dslContext.select(LINK.URL).from(LINK)` to explicitly select only the required column.
LucidMinded_java-course-2023-backend,Implicit Columns,scrapper/src/test/java/edu/java/domain/dao/jooq/JooqLinkDaoTest.java,90,90,Long id = dslContext.selectFrom(LINK),Using `selectFrom(LINK)` fetches all columns from the LINK table when only the ID column is needed. Replace with `dslContext.select(LINK.ID).from(LINK)` to explicitly select only the required column.
LucidMinded_java-course-2023-backend,Implicit Columns,scrapper/src/test/java/edu/java/domain/dao/jooq/JooqLinkDaoTest.java,143,143,Long id = dslContext.selectFrom(LINK),Using `selectFrom(LINK)` fetches all columns from the LINK table when only the ID column is needed. Replace with `dslContext.select(LINK.ID).from(LINK)` to explicitly select only the required column.
