Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
Malest-GmbH-Co-KG_Prog_3_Projektarbeit,Rounding Errors,src/main/java/com/Prog_3_Projektarbeit/generated/tables/Budget.java,74,74,"public final TableField<BudgetRecord, Float> AMMOUNT = createField(DSL.name(""ammount""), SQLDataType.REAL.nullable(false), this, """");","The 'ammount' column uses SQLDataType.REAL (floating-point), which can cause precision loss when storing monetary values like budget amounts. Change the column type to DECIMAL or NUMERIC with appropriate precision and scale (e.g., DECIMAL(19,4)) to ensure accurate financial calculations."
Malest-GmbH-Co-KG_Prog_3_Projektarbeit,Rounding Errors,src/main/java/com/Prog_3_Projektarbeit/generated/tables/Budget.java,79,79,"public final TableField<BudgetRecord, Float> ALLTRANSACTIONAMMOUNT = createField(DSL.name(""allTransactionAmmount""), SQLDataType.REAL, this, """");","The 'allTransactionAmmount' column uses SQLDataType.REAL (floating-point), which can introduce rounding errors when summing transaction amounts. Use DECIMAL or NUMERIC with appropriate precision and scale to maintain accuracy in financial calculations."
Malest-GmbH-Co-KG_Prog_3_Projektarbeit,Fear of the Unknown,src/main/java/com/Prog_3_Projektarbeit/generated/tables/Budget.java,84,84,"public final TableField<BudgetRecord, LocalDateTime> CREATED_AT = createField(DSL.name(""created_at""), SQLDataType.LOCALDATETIME(0).defaultValue(DSL.field(DSL.raw(""CURRENT_TIMESTAMP""), SQLDataType.LOCALDATETIME)), this, """");","The 'created_at' column has a default value but is still marked as NULLABLE, which is inconsistent since a creation timestamp should never be NULL in practice. Add .nullable(false) to the column definition to enforce that this column always has a value."
Malest-GmbH-Co-KG_Prog_3_Projektarbeit,Rounding Errors,src/main/java/com/Prog_3_Projektarbeit/generated/tables/Transactions.java,90,90,"public final TableField<TransactionsRecord, Float> AMMOUNT = createField(DSL.name(""ammount""), SQLDataType.REAL.nullable(false), this, """");","The 'ammount' column uses REAL (floating-point) type for storing monetary values, which can lead to precision loss and rounding errors in financial calculations. Change the column type to DECIMAL or NUMERIC with appropriate precision and scale (e.g., DECIMAL(19,4)) to ensure accurate monetary calculations."
Malest-GmbH-Co-KG_Prog_3_Projektarbeit,Fear of the Unknown,src/main/java/com/Prog_3_Projektarbeit/generated/tables/User.java,83,83,"public final TableField<UserRecord, String> SALT = createField(DSL.name(""salt""), SQLDataType.VARCHAR(256), this, """");","The 'salt' column is marked as NULLABLE, but a cryptographic salt should always be present when a password exists. Consider making this column NOT NULL and ensuring it is always generated alongside the password."
Malest-GmbH-Co-KG_Prog_3_Projektarbeit,Implicit Columns,src/main/java/Main.java,33,33,userDao = new com.Prog_3_Projektarbeit.generated.tables.daos.UserDao(dslContext.configuration());,"Using a generated DAO fetches all columns from the User table whenever records are retrieved, which can be inefficient if only specific columns are needed. Consider using explicit column selection with jOOQ's DSL queries instead of the DAO when you only need a subset of columns."
Malest-GmbH-Co-KG_Prog_3_Projektarbeit,Implicit Columns,src/main/java/model/BudgetModel.java,71,71,haveDao.fetchByUserName(username),The DAO's fetchByUserName method retrieves all columns from the 'have' table when only the budgetId is needed. Consider using a custom jOOQ query that selects only the BUDGET_ID column.
Malest-GmbH-Co-KG_Prog_3_Projektarbeit,Implicit Columns,src/main/java/model/BudgetModel.java,73,73,budgetDao.fetchOneByBudgetId(id),"The DAO's fetchOneByBudgetId method retrieves all columns from the 'budget' table. Consider using a custom jOOQ query that selects only the required columns (budgetName, budgetId, and ammount)."
Malest-GmbH-Co-KG_Prog_3_Projektarbeit,Implicit Columns,src/main/java/model/BudgetModel.java,84,84,budgetDao.fetchOneByBudgetId(budgetId),The DAO's fetchOneByBudgetId method retrieves all columns from the 'budget' table when only the ammount is needed. Consider using a custom jOOQ query that selects only the AMMOUNT column.
Malest-GmbH-Co-KG_Prog_3_Projektarbeit,Implicit Columns,src/main/java/model/BudgetModel.java,88,88,userDao.fetchOneByUserName(username),The DAO's fetchOneByUserName method retrieves all columns from the 'user' table when only checking for existence. Consider using a fetchExists query or selecting only the primary key column.
Malest-GmbH-Co-KG_Prog_3_Projektarbeit,Implicit Columns,src/main/java/model/TransactionModel.java,111,111,List<Transactions> budget = transactionsDao.fetchByBudgetId(budgetId);,"The DAO's fetchByBudgetId method retrieves all columns from the Transactions table, but only a subset of columns (userId, transactionName, transactionId, ammount, date) are actually used. Consider using a custom jOOQ query that selects only the required columns."
Malest-GmbH-Co-KG_Prog_3_Projektarbeit,Implicit Columns,src/main/java/model/TransactionModel.java,134,134,return transactionsDao.fetchOneByTransactionId(transactionId);,The DAO's fetchOneByTransactionId method retrieves all columns from the Transactions table when only specific fields may be needed. Consider using a custom jOOQ query that selects only the required columns.
Malest-GmbH-Co-KG_Prog_3_Projektarbeit,Implicit Columns,src/main/java/model/TransactionModel.java,138,138,Transactions transaction = getTransactionById(transactionID);,"This fetches all columns from the Transactions table via the DAO, but only the description field is being modified. Consider using a direct UPDATE query that doesn't require fetching the entire record first."
Malest-GmbH-Co-KG_Prog_3_Projektarbeit,Implicit Columns,src/main/java/model/UserModel.java,77,77,List<User> user = userDao.fetchByUserName(oldusername);,The DAO's fetchByUserName method fetches all columns of the User table when only specific fields may be needed. Consider using a custom jOOQ query that selects only the required columns.
