Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
Molzonas_EkEep,ID Required,core/src/main/java/fr/molzonas/ekeep/database/generated/tables/EkContributionType.java,60,60,"public final TableField<EkContributionTypeRecord, Integer> ID = createField(DSL.name(""id""), SQLDataType.INTEGER.nullable(false), this, """");","The primary key is named just 'id' which is a generic, non-descriptive name. Consider renaming it to something more meaningful like 'contribution_type_id' to make queries and joins more self-documenting."
Molzonas_EkEep,Fear of the Unknown,core/src/main/java/fr/molzonas/ekeep/database/generated/tables/EkContributionType.java,65,65,"public final TableField<EkContributionTypeRecord, String> NAME = createField(DSL.name(""name""), SQLDataType.VARCHAR(64).nullable(false).defaultValue(DSL.field(DSL.raw(""''""), SQLDataType.VARCHAR)), this, """");",The 'name' column uses an empty string as a default value instead of NULL to represent missing data. This makes it difficult to distinguish between intentionally empty names and missing values. Consider using NULL as the default or removing the default value entirely if a name is always required.
Molzonas_EkEep,ID Required,core/src/main/java/fr/molzonas/ekeep/database/generated/tables/EkEventLog.java,69,69,"public final TableField<EkEventLogRecord, Integer> ID = createField(DSL.name(""id""), SQLDataType.INTEGER.nullable(false).identity(true), this, """");","The primary key column is generically named 'id' instead of a more descriptive name like 'event_log_id'. Consider renaming the column to something more meaningful that identifies what entity it represents, such as 'event_log_id'."
Molzonas_EkEep,ID Required,core/src/main/java/fr/molzonas/ekeep/database/generated/tables/EkEventType.java,60,60,"public final TableField<EkEventTypeRecord, Integer> ID = createField(DSL.name(""id""), SQLDataType.INTEGER.nullable(false), this, """");","The primary key column is named just 'id', which is a generic name that doesn't convey meaning and can cause ambiguity in joins. Consider renaming it to something more descriptive like 'event_type_id' or using the natural key 'name' if it's unique."
Molzonas_EkEep,Fear of the Unknown,core/src/main/java/fr/molzonas/ekeep/database/generated/tables/EkEventType.java,65,65,"public final TableField<EkEventTypeRecord, String> NAME = createField(DSL.name(""name""), SQLDataType.VARCHAR(64).nullable(false).defaultValue(DSL.field(DSL.raw(""''""), SQLDataType.VARCHAR)), this, """");","The 'name' column uses an empty string as a default value instead of NULL to represent missing data, which conflates 'no value provided' with 'intentionally empty'. Remove the default value and allow NULL, or require a meaningful value to be provided on insert."
Molzonas_EkEep,Fear of the Unknown,core/src/main/java/fr/molzonas/ekeep/database/generated/tables/EkPlayer.java,80,80,"public final TableField<EkPlayerRecord, String> LAST_PLAYERNAME = createField(DSL.name(""last_playername""), SQLDataType.VARCHAR(64).nullable(false).defaultValue(DSL.field(DSL.raw(""''""), SQLDataType.VARCHAR)), this, """");","The column 'last_playername' uses an empty string as a default value instead of NULL to represent missing data. This makes it difficult to distinguish between a genuinely empty player name and a missing value. Consider making the column nullable and using NULL to represent unknown values, or ensure the application always provides a meaningful player name."
Molzonas_EkEep,ID Required,core/src/main/java/fr/molzonas/ekeep/database/generated/tables/EkTeamPlayerContribution.java,66,66,"public final TableField<EkTeamPlayerContributionRecord, Integer> ID = createField(DSL.name(""id""), SQLDataType.INTEGER.nullable(false), this, """");","The primary key column is named just 'id', which is a generic name that doesn't convey meaning and can cause ambiguity in queries with joins. Consider renaming it to something more descriptive like 'contribution_id' or 'team_player_contribution_id'."
Molzonas_EkEep,Keyless Entry,core/src/main/java/fr/molzonas/ekeep/database/generated/tables/EkTeamPlayerContribution.java,71,71,"public final TableField<EkTeamPlayerContributionRecord, String> UUID_PLAYER = createField(DSL.name(""uuid_player""), SQLDataType.VARCHAR(50).nullable(false), this, """");","The column 'uuid_player' appears to reference the 'ek_player' table (which has a primary key on UUID), but no foreign key constraint is defined for it. Add a foreign key constraint referencing 'ek_player.uuid' to ensure referential integrity."
Molzonas_EkEep,Keyless Entry,core/src/main/java/fr/molzonas/ekeep/database/generated/tables/EkTeamPlayerContribution.java,76,76,"public final TableField<EkTeamPlayerContributionRecord, String> UUID_TEAM = createField(DSL.name(""uuid_team""), SQLDataType.VARCHAR(50).nullable(false), this, """");","The column 'uuid_team' appears to reference the 'ek_team' table (which has a primary key on UUID), but no foreign key constraint is defined for it. Add a foreign key constraint referencing 'ek_team.uuid' to ensure referential integrity."
Molzonas_EkEep,ID Required,core/src/main/java/fr/molzonas/ekeep/database/generated/tables/EkTeamRole.java,60,60,"public final TableField<EkTeamRoleRecord, Integer> ID = createField(DSL.name(""id""), SQLDataType.INTEGER.nullable(false), this, """");","The primary key is named generically 'id' instead of a more descriptive name like 'team_role_id'. Consider renaming the primary key to something more meaningful that identifies the entity, such as 'team_role_id'."
Molzonas_EkEep,Fear of the Unknown,core/src/main/java/fr/molzonas/ekeep/database/generated/tables/EkTeamRole.java,65,65,"public final TableField<EkTeamRoleRecord, String> NAME = createField(DSL.name(""name""), SQLDataType.VARCHAR(64).nullable(false).defaultValue(DSL.field(DSL.raw(""''""), SQLDataType.VARCHAR)), this, """");","The 'name' column uses an empty string as a default value instead of allowing NULL for missing values. An empty string is semantically different from 'unknown' or 'not provided'. Consider making the column nullable and using NULL to represent missing values, or remove the default if a name is always required."
Molzonas_EkEep,Fear of the Unknown,core/src/main/java/fr/molzonas/ekeep/database/generated/tables/EkTeamRole.java,70,70,"public final TableField<EkTeamRoleRecord, String> LUCKPERMS_ROLE = createField(DSL.name(""luckperms_role""), SQLDataType.VARCHAR(256).nullable(false).defaultValue(DSL.field(DSL.raw(""''""), SQLDataType.VARCHAR)), this, """");",The 'luckperms_role' column uses an empty string as a default value instead of allowing NULL for missing values. This makes it difficult to distinguish between 'no role assigned' and 'role is an empty string'. Consider making the column nullable and using NULL to represent missing values.
Molzonas_EkEep,Implicit Columns,core/src/main/java/fr/molzonas/ekeep/repository/PlayerRepository.java,41,41,.select(),"Using select() without specifying columns fetches all columns from the EkPlayer table, which can retrieve unnecessary data and impact performance. Explicitly list only the required columns, e.g., .select(p.UUID, p.NAME, ...)."
Molzonas_EkEep,Implicit Columns,core/src/main/java/fr/molzonas/ekeep/repository/PlayerRepository.java,49,49,.select(),"Using select() without specifying columns fetches all columns from the EK_PLAYER table, which wastes bandwidth and memory if not all columns are needed. Specify only the columns you need, e.g., .select(EkPlayer.EK_PLAYER.UUID, EkPlayer.EK_PLAYER.NAME, ...)."
Molzonas_EkEep,Implicit Columns,core/src/main/java/fr/molzonas/ekeep/repository/PlayerRepository.java,57,57,.select(),"Using select() without specifying columns fetches all columns from the EkPlayer table, which may include unnecessary data. Explicitly specify the required columns to improve query efficiency."
Molzonas_EkEep,Implicit Columns,core/src/main/java/fr/molzonas/ekeep/repository/PlayerRepository.java,66,66,.select(),"Using select() without specifying columns fetches all columns from the EkEventLog table, which can be inefficient. List only the columns needed for the EkEventLogRecord."
Molzonas_EkEep,Implicit Columns,core/src/main/java/fr/molzonas/ekeep/repository/TeamRepository.java,36,36,.select(),"Using select() without specifying columns fetches all columns from the EkTeam table, which can retrieve unnecessary data and impact performance. Explicitly list only the required columns, e.g., .select(t.UUID, t.NAME, ...)."
Molzonas_EkEep,Implicit Columns,core/src/main/java/fr/molzonas/ekeep/repository/TeamRepository.java,44,44,.select(),"Using select() without specifying columns fetches all columns from the EK_TEAM table, which wastes bandwidth and memory if not all columns are needed. Specify only the columns you need, e.g., .select(EkTeam.EK_TEAM.UUID, EkTeam.EK_TEAM.NAME, ...)."
Molzonas_EkEep,Implicit Columns,core/src/main/java/fr/molzonas/ekeep/repository/TeamRepository.java,62,62,.select(),"Using select() without specifying columns fetches all columns from the EkTeam table, which may include unnecessary data. Explicitly specify the required columns to improve query efficiency."
