Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
MyP99999_NewsAggregatorBackend,ID Required,src/main/java/com/example/EvidenNewsAggregator/entities/tables/Articles.java,61,61,"public final TableField<ArticlesRecord, Integer> ID = createField(DSL.name(""id""), SQLDataType.INTEGER.nullable(false).identity(true), this, """");","The primary key column is named just 'id', which is a generic name that doesn't convey any meaning about the table it belongs to. Consider renaming it to 'article_id' to make it more descriptive and to avoid ambiguity in JOIN queries."
MyP99999_NewsAggregatorBackend,ID Required,src/main/java/com/example/EvidenNewsAggregator/entities/tables/Categories.java,58,58,"public final TableField<CategoriesRecord, Integer> ID = createField(DSL.name(""id""), SQLDataType.INTEGER.nullable(false).identity(true), this, """");",The primary key is generically named 'id' instead of a more descriptive name like 'category_id'. Consider renaming the primary key to 'category_id' to make it self-documenting and easier to identify in queries and foreign key relationships.
MyP99999_NewsAggregatorBackend,ID Required,src/main/java/com/example/EvidenNewsAggregator/entities/tables/Roles.java,58,58,"public final TableField<RolesRecord, Integer> ID = createField(DSL.name(""id""), SQLDataType.INTEGER.nullable(false).identity(true), this, """");","The table uses a generic 'id' as the primary key name, and has a synthetic auto-increment primary key even though the 'name' column has a unique constraint (KEY_ROLES_NAME_UNIQUE) that could serve as a natural primary key. Consider using 'name' as the primary key since role names are inherently unique and immutable, or at minimum rename 'id' to 'role_id' for clarity."
MyP99999_NewsAggregatorBackend,ID Required,src/main/java/com/example/EvidenNewsAggregator/entities/tables/Users.java,60,60,"public final TableField<UsersRecord, Integer> ID = createField(DSL.name(""id""), SQLDataType.INTEGER.nullable(false).identity(true), this, """");","The table uses a generic 'id' column as the primary key, while there are natural unique constraints on 'username' and 'email' that could serve as candidate keys. Consider renaming the primary key to 'user_id' for clarity, or evaluate whether 'username' or 'email' could serve as a natural primary key."
MyP99999_NewsAggregatorBackend,Implicit Columns,src/main/java/com/example/EvidenNewsAggregator/services/ArticleService.java,85,85,return dslContext.selectFrom(Tables.ARTICLES),"Using selectFrom() fetches all columns from the ARTICLES table, which retrieves unnecessary data and impacts performance. Specify only the required columns using select() with explicit column references."
MyP99999_NewsAggregatorBackend,Implicit Columns,src/main/java/com/example/EvidenNewsAggregator/services/ArticleService.java,92,92,return dslContext.selectFrom(Tables.ARTICLES),Using selectFrom() fetches all columns from the ARTICLES table when only specific fields may be needed. Replace with an explicit select() listing only the columns required for the Articles object.
MyP99999_NewsAggregatorBackend,Implicit Columns,src/main/java/com/example/EvidenNewsAggregator/services/CategoryService.java,49,49,return dslContext.selectFrom(Tables.CATEGORIES),"Using selectFrom() fetches all columns from the CATEGORIES table, which retrieves unnecessary data and reduces query performance. Consider using select() with only the specific columns needed for the Categories object."
MyP99999_NewsAggregatorBackend,Implicit Columns,src/main/java/com/example/EvidenNewsAggregator/services/CategoryService.java,57,57,return dslContext.selectFrom(Tables.CATEGORIES),Using selectFrom() fetches all columns from the CATEGORIES table when only specific fields may be needed. Replace with an explicit select() specifying only the required columns like Tables.CATEGORIES.ID and Tables.CATEGORIES.NAME.
MyP99999_NewsAggregatorBackend,Implicit Columns,src/main/java/com/example/EvidenNewsAggregator/services/RoleService.java,45,45,return dslContext.selectFrom(Tables.ROLES),"Using selectFrom() fetches all columns from the ROLES table, which may retrieve unnecessary data. Consider using select() with only the specific columns needed for the Roles POJO."
MyP99999_NewsAggregatorBackend,Implicit Columns,src/main/java/com/example/EvidenNewsAggregator/services/RoleService.java,52,52,return dslContext.selectFrom(Tables.ROLES),Using selectFrom() fetches all columns from the ROLES table when only specific fields may be needed. Consider using select() with explicit column names to improve query efficiency.
MyP99999_NewsAggregatorBackend,Implicit Columns,src/main/java/com/example/EvidenNewsAggregator/services/UserService.java,25,25,return dslContext.selectFrom(Tables.USERS),"Using selectFrom() fetches all columns from the USERS table, which may retrieve unnecessary data. Consider using select() with only the specific columns needed for this query."
MyP99999_NewsAggregatorBackend,Implicit Columns,src/main/java/com/example/EvidenNewsAggregator/services/UserService.java,32,32,return dslContext.selectFrom(Tables.USERS),Using selectFrom() fetches all columns from the USERS table when only looking up by ID. Consider selecting only the columns that are actually needed by the caller.
MyP99999_NewsAggregatorBackend,Implicit Columns,src/main/java/com/example/EvidenNewsAggregator/services/UserService.java,44,44,return dslContext.selectFrom(Tables.USERS),Using selectFrom() retrieves all columns from the USERS table when searching by email. Consider using select() to specify only the required columns.
MyP99999_NewsAggregatorBackend,Implicit Columns,src/main/java/com/example/EvidenNewsAggregator/services/UserService.java,103,103,return dslContext.selectFrom(Tables.USERS),Using selectFrom() fetches all columns from the USERS table for all users. Consider selecting only the specific columns needed to reduce data transfer and improve performance.
