Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
Mykindos_BetterPvP,Implicit Columns,champions/src/main/java/me/mykindos/betterpvp/champions/champions/builds/repository/BuildRepository.java,52,52,"Result<Record> results = ctx.select(CHAMPIONS_BUILDS.asterisk(), CLIENTS.UUID)","Using `asterisk()` selects all columns from the CHAMPIONS_BUILDS table, which can fetch unnecessary data and break if the table schema changes. Instead, explicitly list only the required columns: CHAMPIONS_BUILDS.CLIENT, CHAMPIONS_BUILDS.ROLE, CHAMPIONS_BUILDS.ID, CHAMPIONS_BUILDS.ACTIVE, CHAMPIONS_BUILDS.SWORD, CHAMPIONS_BUILDS.AXE, CHAMPIONS_BUILDS.BOW, CHAMPIONS_BUILDS.PASSIVE_A, CHAMPIONS_BUILDS.PASSIVE_B, CHAMPIONS_BUILDS.GLOBAL."
Mykindos_BetterPvP,Beware of the Unknown,champions/src/main/java/me/mykindos/betterpvp/champions/database/jooq/tables/ChampionsCombatStats.java,67,67,"public final TableField<ChampionsCombatStatsRecord, String> CLASS = createField(DSL.name(""class""), SQLDataType.VARCHAR(20).defaultValue(DSL.field(DSL.raw(""''::character varying""), SQLDataType.VARCHAR)), this, """");","The CLASS column uses an empty string as a default value instead of NULL to represent missing data, which conflates 'no value provided' with 'intentionally empty'. Consider using NULL as the default or making the column NOT NULL if a class value is always required."
Mykindos_BetterPvP,Keyless Entry,champions/src/main/java/me/mykindos/betterpvp/champions/database/jooq/tables/ChampionsKillContributions.java,61,61,"public final TableField<ChampionsKillContributionsRecord, Long> CONTRIBUTION_ID = createField(DSL.name(""contribution_id""), SQLDataType.BIGINT.nullable(false), this, """");","The CONTRIBUTION_ID column appears to reference the CHAMPIONS_KILLS table (via KILL_ID) but lacks a foreign key constraint, which could lead to orphaned records or invalid references. Add a foreign key constraint referencing Keys.CHAMPIONS_KILLS_PKEY to ensure referential integrity."
Mykindos_BetterPvP,Beware of the Unknown,champions/src/main/java/me/mykindos/betterpvp/champions/database/jooq/tables/ChampionsKillContributions.java,67,67,"public final TableField<ChampionsKillContributionsRecord, String> CONTRIBUTOR_CLASS = createField(DSL.name(""contributor_class""), SQLDataType.VARCHAR(20).defaultValue(DSL.field(DSL.raw(""''::character varying""), SQLDataType.VARCHAR)), this, """");","The CONTRIBUTOR_CLASS column uses an empty string as a default value instead of NULL to represent missing data, which makes it harder to distinguish between intentionally empty values and unknown values. Change the default to NULL and mark the column as nullable, or remove the default if a value should always be provided."
Mykindos_BetterPvP,Beware of the Unknown,champions/src/main/java/me/mykindos/betterpvp/champions/database/jooq/tables/ChampionsKilldeathData.java,67,67,"public final TableField<ChampionsKilldeathDataRecord, Integer> VALUE = createField(DSL.name(""value""), SQLDataType.INTEGER.defaultValue(DSL.field(DSL.raw(""0""), SQLDataType.INTEGER)), this, """");","The VALUE column has a default value of 0 but is marked as NULLABLE (no .nullable(false) specified). Since it has a default value, it will never be NULL in practice, so it should be explicitly marked as NOT NULL. Add .nullable(false) to the column definition."
Mykindos_BetterPvP,Keyless Entry,champions/src/main/java/me/mykindos/betterpvp/champions/database/jooq/tables/ChampionsKills.java,59,59,"public final TableField<ChampionsKillsRecord, Long> KILL_ID = createField(DSL.name(""kill_id""), SQLDataType.BIGINT.nullable(false), this, """");",The 'kill_id' column appears to reference another table (likely a kills table) but lacks a foreign key constraint. Consider adding a foreign key constraint to ensure referential integrity with the referenced table.
Mykindos_BetterPvP,Beware of the Unknown,champions/src/main/java/me/mykindos/betterpvp/champions/database/jooq/tables/ChampionsKills.java,64,64,"public final TableField<ChampionsKillsRecord, String> KILLER_CLASS = createField(DSL.name(""killer_class""), SQLDataType.VARCHAR(20).defaultValue(DSL.field(DSL.raw(""''::character varying""), SQLDataType.VARCHAR)), this, """");","The 'killer_class' column uses an empty string as a default value instead of NULL to represent missing data, which conflates 'no value' with 'empty value'. Consider using NULL as the default or making the column NOT NULL if a class is always required."
Mykindos_BetterPvP,Beware of the Unknown,champions/src/main/java/me/mykindos/betterpvp/champions/database/jooq/tables/ChampionsKills.java,69,69,"public final TableField<ChampionsKillsRecord, String> VICTIM_CLASS = createField(DSL.name(""victim_class""), SQLDataType.VARCHAR(20).defaultValue(DSL.field(DSL.raw(""''::character varying""), SQLDataType.VARCHAR)), this, """");","The 'victim_class' column uses an empty string as a default value instead of NULL to represent missing data, which conflates 'no value' with 'empty value'. Consider using NULL as the default or making the column NOT NULL if a class is always required."
Mykindos_BetterPvP,Implicit Columns,champions/src/main/java/me/mykindos/betterpvp/champions/stats/impl/ChampionsCombatLeaderboard.java,164,164,Result<?> fetch = database.getDslContext().selectFrom(proc).fetch();,"Using selectFrom() without specifying columns fetches all columns from the table/procedure result. Consider explicitly selecting only the required columns (e.g., the UUID column) using select(field1, field2).from(proc) instead."
Mykindos_BetterPvP,Implicit Columns,clans/src/main/java/me/mykindos/betterpvp/clans/clans/repository/ClanRepository.java,91,94,"var records = database.getDslContext()
    .selectFrom(CLANS)
    .where(CLANS.REALM.eq(Core.getCurrentRealm()))
    .fetch();","Using `selectFrom(CLANS)` fetches all columns from the CLANS table, but only ID, NAME, HOME, ADMIN, and SAFE are used. Explicitly select only the required columns using `.select(CLANS.ID, CLANS.NAME, CLANS.HOME, CLANS.ADMIN, CLANS.SAFE).from(CLANS)`."
