Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
Ne1loff_OnboardingPlatform,ID Required,src/main/java/com/example/onboardingservice/jooq/tables/Scenario.java,43,43,"public final TableField<ScenarioRecord, UUID> ID = createField(DSL.name(""id""), SQLDataType.UUID.nullable(false), this, """");",The primary key column is generically named 'id' instead of a more descriptive name like 'scenario_id'. Rename the column to 'scenario_id' to make it self-documenting and avoid ambiguity in queries with joins.
Ne1loff_OnboardingPlatform,Keyless Entry,src/main/java/com/example/onboardingservice/jooq/tables/Scenario.java,78,78,"public final TableField<ScenarioRecord, UUID> ROUTE_DEFINITION_ID = createField(DSL.name(""route_definition_id""), SQLDataType.UUID.nullable(false).defaultValue(DSL.field(DSL.raw(""gen_random_uuid()""), SQLDataType.UUID)), this, """");","The 'route_definition_id' column appears to reference the 'scenario_route_definition' table but lacks a foreign key constraint, which could lead to orphaned records or invalid references. Add a foreign key constraint referencing 'scenario_route_definition.id' to ensure referential integrity."
Ne1loff_OnboardingPlatform,ID Required,src/main/java/com/example/onboardingservice/jooq/tables/ScenarioNotification.java,44,44,"public final TableField<ScenarioNotificationRecord, UUID> ID = createField(DSL.name(""id""), SQLDataType.UUID.nullable(false), this, """");",The primary key column is generically named 'id' instead of a more descriptive name like 'scenario_notification_id'. Consider renaming the column to 'scenario_notification_id' to make it self-documenting and avoid ambiguity in queries with joins.
Ne1loff_OnboardingPlatform,Keyless Entry,src/main/java/com/example/onboardingservice/jooq/tables/ScenarioNotification.java,49,49,"public final TableField<ScenarioNotificationRecord, Long> CHAT_ID = createField(DSL.name(""chat_id""), SQLDataType.BIGINT.nullable(false), this, """");",The 'chat_id' column appears to reference the 'onboarding_hrs' table (which has CHAT_ID as its primary key) but lacks a foreign key constraint. Add a foreign key constraint referencing 'onboarding_hrs.chat_id' to ensure referential integrity.
Ne1loff_OnboardingPlatform,ID Required,src/main/java/com/example/onboardingservice/jooq/tables/ScenarioRouteDefinition.java,63,63,"public final TableField<ScenarioRouteDefinitionRecord, UUID> ID = createField(DSL.name(""id""), SQLDataType.UUID.nullable(false), this, """");",The primary key column is generically named 'id' instead of a more descriptive name like 'scenario_route_definition_id'. Consider renaming the column to 'scenario_route_definition_id' or another meaningful name that clearly identifies what entity this key represents.
Ne1loff_OnboardingPlatform,Keyless Entry,src/main/java/com/example/onboardingservice/jooq/tables/ScenarioRouteDefinition.java,48,48,"public final TableField<ScenarioRouteDefinitionRecord, UUID> FIRST_ACTION_ID = createField(DSL.name(""first_action_id""), SQLDataType.UUID, this, """");","The column 'first_action_id' appears to reference another table (likely a scenario or action table) but lacks a foreign key constraint, which could lead to orphaned records or referential integrity issues. Consider adding a foreign key constraint to ensure data consistency."
Ne1loff_OnboardingPlatform,Implicit Columns,src/main/java/com/example/onboardingservice/scenaries/service/ScenariosManagerImpl.java,58,58,return routeDefinitionDao.findAll().stream(),"The `findAll()` method on the generated DAO fetches all columns from the SCENARIO_ROUTE_DEFINITION table, which may retrieve unnecessary data. Consider using a custom jOOQ query that explicitly selects only the columns needed for the `mapToDescription` method."
Ne1loff_OnboardingPlatform,Implicit Columns,src/main/java/com/example/onboardingservice/scenaries/service/ScenariosManagerImpl.java,65,65,return routeDefinitionDao.fetchOptionalById(scenarioId),The `fetchOptionalById()` method on the generated DAO fetches all columns from the table when only specific fields may be needed. Consider writing a custom jOOQ query that explicitly selects only the required columns.
Ne1loff_OnboardingPlatform,Implicit Columns,src/main/java/com/example/onboardingservice/scenaries/service/ScenariosManagerImpl.java,73,73,var oldDefinition =routeDefinitionDao.fetchOptionalById(scenarioId),The `fetchOptionalById()` method fetches all columns from the SCENARIO_ROUTE_DEFINITION table. Consider using a custom jOOQ query with explicit column selection to fetch only the fields needed for the update operation.
Ne1loff_OnboardingPlatform,Implicit Columns,src/main/java/com/example/onboardingservice/scenaries/service/ScenariosServiceImpl.java,147,147,var scenariosOpt = whereFunction.apply(jooq.selectFrom(SCENARIO)).fetchOptional();,"Using `selectFrom(SCENARIO)` fetches all columns from the SCENARIO table, which may retrieve unnecessary data. Consider explicitly selecting only the required columns: ID, SCENARIO_NAME, ROUTE_DEFINITION_ID, and CURRENT_ACTION_ID."
Ne1loff_OnboardingPlatform,Implicit Columns,src/main/java/com/example/onboardingservice/scenaries/service/ScenariosServiceImpl.java,178,178,return jooq.selectFrom(SCENARIO_ROUTE_DEFINITION),"Using `selectFrom(SCENARIO_ROUTE_DEFINITION)` fetches all columns from the table when only specific fields (ID, SCENARIO_NAME, FIRST_ACTION_ID, STATUS, MATCHER, ROUTE_SOURCE) are used. Consider using an explicit select with only the required columns."
Ne1loff_OnboardingPlatform,Implicit Columns,src/main/java/com/example/onboardingservice/service/DocumentsServiceImpl.java,49,49,return documentsDao.findAll().stream(),"The `findAll()` method on the generated DAO fetches all columns from the ONBOARDING_DOCUMENTS table, even though only `key` and `filename` are used. Consider using a custom jOOQ query that selects only the required columns."
Ne1loff_OnboardingPlatform,Implicit Columns,src/main/java/com/example/onboardingservice/service/DocumentsServiceImpl.java,56,56,return documentsDao.fetchOptionalByKey(documentId),The `fetchOptionalByKey()` method fetches all columns from the table when only `key` and `filename` are needed. Consider writing a custom query that projects only the required columns.
