Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
NevinTure_java-course-2024,ID Required,scrapper/src/main/java/edu/java/scrapper/model/jooq/tables/GitRepository.java,61,61,"public final TableField<Record, Long> ID = createField(DSL.name(""ID""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");","The table uses a generic 'ID' column as primary key while a unique constraint on 'URN' already exists (CONSTRAINT_392), which could serve as a natural primary key since URNs are immutable identifiers. Consider using 'URN' as the primary key or renaming the synthetic key to something more descriptive like 'git_repository_id'."
NevinTure_java-course-2024,ID Required,scrapper/src/main/java/edu/java/scrapper/model/jooq/tables/Link.java,60,60,"public final TableField<Record, Long> ID = createField(DSL.name(""ID""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");","The table uses a generic 'ID' column as the primary key while a unique constraint on 'URL' (CONSTRAINT_23) already exists, which could serve as a natural primary key. Consider using the URL as the primary key or renaming the ID column to something more descriptive like 'link_id'."
NevinTure_java-course-2024,ID Required,scrapper/src/main/java/edu/java/scrapper/model/jooq/tables/StackoverflowQuestion.java,61,61,"public final TableField<Record, Long> ID = createField(DSL.name(""ID""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");",The table uses a generic 'ID' column as primary key while having a unique constraint on 'URN' which could serve as a natural primary key. Consider using 'URN' as the primary key or renaming the synthetic key to something more descriptive like 'STACKOVERFLOW_QUESTION_ID'.
NevinTure_java-course-2024,31 Flavors,scrapper/src/main/java/edu/java/scrapper/model/jooq/tables/TgChat.java,63,63,"public final TableField<Record, State> STATE = createField(DSL.name(""STATE""), SQLDataType.VARCHAR.defaultValue(DSL.field(DSL.raw(""'DEFAULT'""), SQLDataType.VARCHAR)).asEnumDataType(edu.java.scrapper.model.jooq.enums.State.class), this, """");","The STATE column uses an ENUM type to restrict allowed values, which makes adding or removing states difficult and requires schema changes. Consider creating a separate lookup table (e.g., 'chat_state') with the allowed states and reference it via a foreign key."
NevinTure_java-course-2024,Implicit Columns,scrapper/src/main/java/edu/java/scrapper/repositories/jooq/JooqChatLinkRepository.java,55,55,.select().from(TG_CHAT_LINK),"Using `select()` without specifying columns fetches all columns from TG_CHAT_LINK, which is inefficient for an existence check. Replace with `context.fetchExists(TG_CHAT_LINK, TG_CHAT_LINK.TG_CHAT_ID.eq(chatId).and(TG_CHAT_LINK.LINK_ID.eq(linkId)))` or use `selectOne()` instead."
NevinTure_java-course-2024,Implicit Columns,scrapper/src/main/java/edu/java/scrapper/repositories/jooq/JooqChatRepository.java,56,56,.select().from(TG_CHAT),"Using `select()` without specifying columns fetches all columns from the TG_CHAT table, which is inefficient when only checking for existence. Replace with `context.fetchExists(TG_CHAT, TG_CHAT.ID.eq(id))` or use `selectOne()` to avoid fetching unnecessary data."
NevinTure_java-course-2024,Implicit Columns,scrapper/src/main/java/edu/java/scrapper/repositories/jooq/JooqLinkRepository.java,31,32,.select().from(LINK).where(LINK.ID.eq(id)).fetchInto(Link.class);,"Using `select()` without specifying columns fetches all columns from the LINK table, which can retrieve unnecessary data and impact performance. Explicitly list only the required columns, e.g., `select(LINK.ID, LINK.URL)`."
NevinTure_java-course-2024,Implicit Columns,scrapper/src/main/java/edu/java/scrapper/repositories/jooq/JooqLinkRepository.java,41,42,.select().from(LINK).where(LINK.ID.eq(id)).fetchInto(Link.class);,Using `select()` without specifying columns fetches all columns from the LINK table when only existence check is needed. Consider using `fetchExists()` or `selectOne()` with `fetchExists()` for better performance.
NevinTure_java-course-2024,Implicit Columns,scrapper/src/main/java/edu/java/scrapper/repositories/jooq/JooqLinkRepository.java,54,55,.select().from(LINK).where(LINK.URL.eq(uri.toString())).fetchInto(Link.class);,"Using `select()` without specifying columns fetches all columns from the LINK table, which may include unnecessary data. Explicitly list only the required columns, e.g., `select(LINK.ID, LINK.URL)`."
NevinTure_java-course-2024,Implicit Columns,scrapper/src/main/java/edu/java/scrapper/repositories/jooq/JooqLinkRepository.java,64,65,.select().from(LINK).where(LINK.ID.in(ids)).fetchInto(Link.class);,"Using `select()` without specifying columns fetches all columns from the LINK table, which can retrieve unnecessary data. Explicitly list only the required columns, e.g., `select(LINK.ID, LINK.URL)`."
