Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
Origin-Masters_Cantine-Planner,Rounding Errors,cantine-planner/src/main/java/de/htwsaar/cantineplanner/codegen/tables/Meals.java,65,65,"public final TableField<MealsRecord, Float> PRICE = createField(DSL.name(""Price""), SQLDataType.REAL.nullable(false), this, """");","The PRICE column uses SQLDataType.REAL (a floating-point type) which can cause rounding errors when storing monetary values. Use SQLDataType.DECIMAL or SQLDataType.NUMERIC with appropriate precision and scale (e.g., DECIMAL(10,2)) to ensure accurate price calculations."
Origin-Masters_Cantine-Planner,Keyless Entry,cantine-planner/src/main/java/de/htwsaar/cantineplanner/codegen/tables/Review.java,69,69,"public final TableField<ReviewRecord, Integer> MEAL_ID = createField(DSL.name(""meal_id""), SQLDataType.INTEGER.nullable(false), this, """");","The MEAL_ID column references the Meals table but lacks a foreign key constraint, which could lead to orphaned records or invalid meal references. Add a foreign key constraint referencing MEALS.MEAL_ID to ensure referential integrity."
Origin-Masters_Cantine-Planner,Beware of the Unknown,cantine-planner/src/main/java/de/htwsaar/cantineplanner/codegen/tables/Review.java,84,84,"public final TableField<ReviewRecord, LocalDateTime> CREATED_AT = createField(DSL.name(""created_at""), SQLDataType.LOCALDATETIME(0).defaultValue(DSL.field(DSL.raw(""CURRENT_TIMESTAMP""), SQLDataType.LOCALDATETIME)), this, """");","The CREATED_AT column has a default value but is still marked as NULLABLE, which is inconsistent since it will always have a value in practice. Mark the column as NOT NULL to accurately reflect its intended usage."
Origin-Masters_Cantine-Planner,Keyless Entry,cantine-planner/src/main/java/de/htwsaar/cantineplanner/codegen/tables/Users.java,88,88,"public final TableField<UsersRecord, Integer> FAV_MEAL = createField(DSL.name(""fav_meal""), SQLDataType.INTEGER, this, """");",The FAV_MEAL column appears to reference a meal but lacks a foreign key constraint to the Meals table. Add a foreign key constraint referencing MEALS.MEAL_ID to ensure referential integrity.
Origin-Masters_Cantine-Planner,Beware of the Unknown,cantine-planner/src/main/java/de/htwsaar/cantineplanner/codegen/tables/Users.java,93,93,"public final TableField<UsersRecord, String> DONT_SHOW_MEAL = createField(DSL.name(""dont_show_meal""), SQLDataType.CLOB.defaultValue(DSL.field(DSL.raw(""''""), SQLDataType.CLOB)), this, """");","The DONT_SHOW_MEAL column uses an empty string as a default value to represent missing data instead of NULL. Use NULL to represent missing values, as empty strings can be confused with intentional empty values and complicate queries."
Origin-Masters_Cantine-Planner,Implicit Columns,cantine-planner/src/main/java/de/htwsaar/cantineplanner/data/repository/MealsRepository.java,121,122,return Optional.ofNullable(dsl.selectFrom(Meals.MEALS),"Using selectFrom(Meals.MEALS) fetches all columns from the MEALS table, which may retrieve unnecessary data. Consider using an explicit select with only the required columns, e.g., dsl.select(Meals.MEALS.MEAL_ID, Meals.MEALS.NAME, ...).from(Meals.MEALS)."
Origin-Masters_Cantine-Planner,Implicit Columns,cantine-planner/src/main/java/de/htwsaar/cantineplanner/data/repository/MealsRepository.java,141,141,return dsl.selectFrom(Meals.MEALS).fetchInto(MealsRecord.class);,"Using selectFrom(Meals.MEALS) fetches all columns from the MEALS table. If not all columns are needed, explicitly select only the required columns to improve query performance."
Origin-Masters_Cantine-Planner,Implicit Columns,cantine-planner/src/main/java/de/htwsaar/cantineplanner/data/repository/MealsRepository.java,158,158,return dsl.selectFrom(Meals.MEALS).fetchInto(MealsRecord.class);,Using selectFrom(Meals.MEALS) fetches all columns from the MEALS table. Consider selecting only the columns needed for allergy information to reduce data transfer.
Origin-Masters_Cantine-Planner,Implicit Columns,cantine-planner/src/main/java/de/htwsaar/cantineplanner/data/repository/MealsRepository.java,205,205,return dsl.selectFrom(Meals.MEALS).where(Meals.MEALS.NAME.eq(name)).fetchInto(MealsRecord.class);,Using selectFrom(Meals.MEALS) fetches all columns from the MEALS table. Explicitly select only the required columns to improve query efficiency.
Origin-Masters_Cantine-Planner,Implicit Columns,cantine-planner/src/main/java/de/htwsaar/cantineplanner/data/repository/MealsRepository.java,228,228,return dsl.selectFrom(Meals.MEALS).where(Meals.MEALS.MEAL_ID.eq(mealId)).fetchInto(MealsRecord.class);,Using selectFrom(Meals.MEALS) fetches all columns from the MEALS table. Consider using an explicit column selection if not all columns are required.
Origin-Masters_Cantine-Planner,Implicit Columns,cantine-planner/src/main/java/de/htwsaar/cantineplanner/data/repository/MealsRepository.java,244,244,return dsl.selectFrom(Meals.MEALS),Using selectFrom(Meals.MEALS) fetches all columns from the MEALS table. Explicitly select only the columns needed for the sorting operation.
Origin-Masters_Cantine-Planner,Implicit Columns,cantine-planner/src/main/java/de/htwsaar/cantineplanner/data/repository/MealsRepository.java,265,265,List<MealsRecord> meals = dsl.selectFrom(Meals.MEALS).fetchInto(MealsRecord.class);,"Using selectFrom(Meals.MEALS) fetches all columns from the MEALS table. Consider selecting only the columns needed for rating calculation (e.g., MEAL_ID) to reduce data transfer."
Origin-Masters_Cantine-Planner,Implicit Columns,cantine-planner/src/main/java/de/htwsaar/cantineplanner/data/repository/MealsRepository.java,295,295,return dsl.selectFrom(Meals.MEALS),Using selectFrom(Meals.MEALS) fetches all columns from the MEALS table. Explicitly select only the required columns to improve query performance.
Origin-Masters_Cantine-Planner,Implicit Columns,cantine-planner/src/main/java/de/htwsaar/cantineplanner/data/repository/MealsRepository.java,313,313,return dsl.selectFrom(Meals.MEALS),Using selectFrom(Meals.MEALS) fetches all columns from the MEALS table. Consider selecting only the columns needed for the calorie sorting operation.
Origin-Masters_Cantine-Planner,Implicit Columns,cantine-planner/src/main/java/de/htwsaar/cantineplanner/data/repository/MealsRepository.java,339,339,List<MealsRecord> meals = dsl.selectFrom(Meals.MEALS).fetchInto(MealsRecord.class);,Using selectFrom(Meals.MEALS) fetches all columns from the MEALS table. Consider selecting only the columns needed for allergy filtering to reduce data transfer.
Origin-Masters_Cantine-Planner,Implicit Columns,cantine-planner/src/main/java/de/htwsaar/cantineplanner/data/repository/MealsRepository.java,375,376,"var user = dsl.selectFrom(Users.USERS)
                    .where(Users.USERS.USERID.eq(userId))",Using selectFrom(Users.USERS) fetches all columns from the USERS table when only the allergy information is needed. Consider selecting only the DONT_SHOW_MEAL column explicitly.
Origin-Masters_Cantine-Planner,Implicit Columns,cantine-planner/src/main/java/de/htwsaar/cantineplanner/data/repository/ReviewRepository.java,41,41,return dsl.selectFrom(Review.REVIEW).fetchInto(ReviewRecord.class);,"Using selectFrom() fetches all columns from the REVIEW table, which retrieves unnecessary data and impacts performance. Consider using an explicit select() with only the required columns."
Origin-Masters_Cantine-Planner,Implicit Columns,cantine-planner/src/main/java/de/htwsaar/cantineplanner/data/repository/ReviewRepository.java,81,81,return dsl.selectFrom(Review.REVIEW).where(Review.REVIEW.USERID.eq(userId)).fetchInto(ReviewRecord.class);,Using selectFrom() fetches all columns from the REVIEW table when only specific columns may be needed. Replace with an explicit select() specifying only the required columns.
Origin-Masters_Cantine-Planner,Implicit Columns,cantine-planner/src/main/java/de/htwsaar/cantineplanner/data/repository/ReviewRepository.java,103,103,return dsl.select().from(Review.REVIEW).join(Meals.MEALS).on(,"Using select() without specifying columns fetches all columns from both joined tables (REVIEW and MEALS), which is inefficient. Explicitly list only the columns needed for the ReviewRecord."
Origin-Masters_Cantine-Planner,Implicit Columns,cantine-planner/src/main/java/de/htwsaar/cantineplanner/data/repository/UserRepository.java,134,134,return dsl.selectFrom(Users.USERS).where(Users.USERS.USERNAME.eq(username)).fetchOne();,"Using `selectFrom(Users.USERS)` fetches all columns from the Users table, which may retrieve unnecessary data. Consider selecting only the specific columns needed using `dsl.select(...).from(Users.USERS)`."
Origin-Masters_Cantine-Planner,Implicit Columns,cantine-planner/src/main/java/de/htwsaar/cantineplanner/data/repository/UserRepository.java,150,150,return dsl.selectFrom(Users.USERS).fetchInto(UsersRecord.class);,"Using `selectFrom(Users.USERS)` fetches all columns from the Users table for all users, which can be inefficient. Consider selecting only the columns that are actually needed by the caller."
Origin-Masters_Cantine-Planner,Implicit Columns,cantine-planner/src/main/java/de/htwsaar/cantineplanner/data/repository/UserRepository.java,174,174,return dsl.selectFrom(Users.USERS).where(Users.USERS.USERID.eq(userId)).fetchOne();,Using `selectFrom(Users.USERS)` fetches all columns from the Users table when only specific fields may be needed. Consider selecting only the required columns explicitly.
Origin-Masters_Cantine-Planner,Implicit Columns,cantine-planner/src/main/java/de/htwsaar/cantineplanner/data/repository/UserRepository.java,257,257,return dsl.selectFrom(Users.USERS).where(Users.USERS.USERNAME.eq(username)).fetchOne();,Using `selectFrom(Users.USERS)` fetches all columns from the Users table after registration. Consider selecting only the columns needed for the return value.
Origin-Masters_Cantine-Planner,Implicit Columns,cantine-planner/src/main/java/de/htwsaar/cantineplanner/data/repository/WeeklyRepository.java,41,41,dsl.selectFrom(Meals.MEALS).where(Meals.MEALS.DAY.isNotNull()).fetchInto(MealsRecord.class);,"Using `selectFrom(Meals.MEALS)` fetches all columns from the meals table, which can retrieve unnecessary data and impact performance. Consider using `select()` with only the specific columns needed for the weekly plan."
