Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
Ovoshchko_BackendTinkoffJavaSpring,ID Required,generator/scrapper/src/main/java/edu/java/scrapper/domain/jooq/linkviewer/tables/Links.java,71,71,"public final TableField<LinksRecord, Long> ID = createField(DSL.name(""ID""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");","The table uses a generic 'ID' column as the primary key, but there's already a unique constraint on 'URL' (CONSTRAINT_451) which could serve as a natural primary key. Consider using the URL as the primary key or renaming the ID column to something more descriptive like 'link_id'."
Ovoshchko_BackendTinkoffJavaSpring,Keyless Entry,scrapper/src/main/java/edu/java/scrapper/domain/jooq/linkviewer/tables/Gitcommits.java,78,78,"public final TableField<GitcommitsRecord, String> URL = createField(DSL.name(""URL""), SQLDataType.VARCHAR(1000000000).nullable(false), this, """");",The URL column appears to reference links (similar to Links.LINKS.URL) but lacks a foreign key constraint to enforce referential integrity. Consider adding a foreign key constraint referencing the Links table's URL column (CONSTRAINT_451) to ensure data consistency.
Ovoshchko_BackendTinkoffJavaSpring,ID Required,scrapper/src/main/java/edu/java/scrapper/domain/jooq/linkviewer/tables/Links.java,71,71,"public final TableField<LinksRecord, Long> ID = createField(DSL.name(""ID""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");",The table uses a generic 'ID' column as the primary key while a natural unique key already exists on the 'URL' column (CONSTRAINT_451). Consider using 'URL' as the primary key or renaming the synthetic key to something more descriptive like 'link_id'.
Ovoshchko_BackendTinkoffJavaSpring,Implicit Columns,scrapper/src/main/java/edu/java/scrapper/repository/jooq/JooqGitCommitRepository.java,20,20,return dsl.select(),"Using `select()` without specifying columns fetches all columns from the GITCOMMITS table, which can retrieve unnecessary data and cause maintenance issues if the table schema changes. Explicitly list the required columns, e.g., `select(GITCOMMITS.NAME, GITCOMMITS.URL, GITCOMMITS.MADE_DATE, GITCOMMITS.COMMENT_NUMBER)`."
Ovoshchko_BackendTinkoffJavaSpring,Implicit Columns,scrapper/src/main/java/edu/java/scrapper/repository/jooq/JooqLinkRepository.java,26,26,dsl.select().from(LINKS),"Using `select()` without specifying columns fetches all columns from the LINKS table, which can retrieve unnecessary data and impact performance. Specify only the required columns explicitly, e.g., `dsl.select(LINKS.ID, LINKS.URL, LINKS.LAST_CHECK).from(LINKS)`."
Ovoshchko_BackendTinkoffJavaSpring,Implicit Columns,scrapper/src/main/java/edu/java/scrapper/repository/jooq/JooqLinkRepository.java,57,57,dsl.selectFrom(LINKS),"Using `selectFrom(LINKS)` fetches all columns from the LINKS table, which may include unnecessary data. Replace with an explicit column selection like `dsl.select(LINKS.ID, LINKS.URL, LINKS.LAST_CHECK).from(LINKS)`."
Ovoshchko_BackendTinkoffJavaSpring,Implicit Columns,scrapper/src/main/java/edu/java/scrapper/repository/jooq/JooqLinkRepository.java,63,63,dsl.selectFrom(LINKS),"Using `selectFrom(LINKS)` fetches all columns from the LINKS table implicitly. Specify only the columns needed for the Link class, e.g., `dsl.select(LINKS.ID, LINKS.URL, LINKS.LAST_CHECK).from(LINKS)`."
Ovoshchko_BackendTinkoffJavaSpring,Implicit Columns,scrapper/src/main/java/edu/java/scrapper/repository/jooq/JooqStackoverflowAnswerRepository.java,28,28,return dsl.selectFrom(STACKOVERFLOWANSWERS),"Using `selectFrom()` fetches all columns from the STACKOVERFLOWANSWERS table, which may retrieve unnecessary data and reduce performance. Consider using `select()` with only the specific columns needed for the StackoverflowAnswer mapping."
Ovoshchko_BackendTinkoffJavaSpring,Implicit Columns,scrapper/src/main/java/edu/java/scrapper/repository/jooq/JooqUserLinkRepository.java,23,23,return dsl.select(),"Using `select()` without specifying columns fetches all columns from the joined tables, which is inefficient and may retrieve unnecessary data. Replace with `select(LINKS.ID, LINKS.URL, LINKS.LAST_CHECK)` to explicitly specify only the needed columns."
Ovoshchko_BackendTinkoffJavaSpring,Implicit Columns,scrapper/src/main/java/edu/java/scrapper/repository/jooq/JooqUserRepository.java,23,23,dsl.selectFrom(USERS),"Using selectFrom(USERS) fetches all columns from the USERS table, which may retrieve unnecessary data and reduce performance. Consider using select() with only the specific columns needed, e.g., dsl.select(USERS.TG_ID, USERS.CREATED_AT).from(USERS)."
Ovoshchko_BackendTinkoffJavaSpring,Implicit Columns,scrapper/src/main/java/edu/java/scrapper/repository/jooq/JooqUserRepository.java,28,28,dsl.selectFrom(USERS),"Using selectFrom(USERS) fetches all columns from the USERS table when only a single user is needed. Consider explicitly selecting only the required columns, e.g., dsl.select(USERS.TG_ID, USERS.CREATED_AT).from(USERS)."
