Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
ParadiseSS13_TaskDaemon,Implicit Columns,TaskDaemon.Core/src/me/aa07/paradise/taskdaemon/core/modules/devrank/DevRankJob.java,97,97,Result<AdminRecord> admin_records = game_db.selectFrom(Admin.ADMIN).fetch();,"Using `selectFrom(Admin.ADMIN)` fetches all columns from the Admin table, but only CKEY, ID, and PERMISSIONS_RANK are actually used. Replace with an explicit select of only the required columns: `game_db.select(Admin.ADMIN.ID, Admin.ADMIN.CKEY, Admin.ADMIN.PERMISSIONS_RANK).from(Admin.ADMIN).fetch()`."
ParadiseSS13_TaskDaemon,Implicit Columns,TaskDaemon.Core/src/me/aa07/paradise/taskdaemon/core/modules/prlabel/PrLabelJob.java,160,160,Result<PrsRecord> db_prs = ctx.selectFrom(Tables.PRS).where(Tables.PRS.PR_STATUS.eq(PrsPrStatus.OPEN)),"Using selectFrom(Tables.PRS) fetches all columns from the PRS table into PrsRecord, but only PR_NUMBER and PR_TYPES are actually used. Select only the required columns explicitly, e.g., ctx.select(Tables.PRS.PR_NUMBER, Tables.PRS.PR_TYPES).from(Tables.PRS)."
ParadiseSS13_TaskDaemon,ID Required,TaskDaemon.Database.Forums/src/me/aa07/paradise/taskdaemon/database/forums/tables/BrilliantdiscordApprovalActions.java,61,61,"public final TableField<BrilliantdiscordApprovalActionsRecord, ULong> ID = createField(DSL.name(""id""), SQLDataType.BIGINTUNSIGNED.nullable(false).identity(true), this, ""ID Number"");","The primary key column is named just 'id', which is a generic name that doesn't convey any meaning about the table it belongs to. Consider renaming it to something more descriptive like 'approval_action_id' to make joins and queries more readable."
ParadiseSS13_TaskDaemon,ID Required,TaskDaemon.Database.Forums/src/me/aa07/paradise/taskdaemon/database/forums/tables/BrilliantdiscordBehavior.java,57,57,"public final TableField<BrilliantdiscordBehaviorRecord, ULong> ID = createField(DSL.name(""id""), SQLDataType.BIGINTUNSIGNED.nullable(false).identity(true), this, ""ID Number"");","The table has a synthetic auto-increment primary key named 'id' even though there's already a unique constraint on the 'key' column (KEY_BRILLIANTDISCORD_BEHAVIOR_KEY), which would be a suitable natural primary key for a behavior/settings table. Consider using the 'key' column as the primary key instead of adding a redundant surrogate key."
ParadiseSS13_TaskDaemon,ID Required,TaskDaemon.Database.Forums/src/me/aa07/paradise/taskdaemon/database/forums/tables/BrilliantdiscordGroupdata.java,57,57,"public final TableField<BrilliantdiscordGroupdataRecord, ULong> ID = createField(DSL.name(""id""), SQLDataType.BIGINTUNSIGNED.nullable(false).identity(true), this, ""ID Number"");",The table has a synthetic auto-increment primary key named 'id' even though there's already a unique constraint on 'group_id' (KEY_BRILLIANTDISCORD_GROUPDATA_GROUP) which could serve as a natural primary key. Consider using 'group_id' as the primary key instead of adding a redundant surrogate key.
ParadiseSS13_TaskDaemon,ID Required,TaskDaemon.Database.Forums/src/me/aa07/paradise/taskdaemon/database/forums/tables/BrilliantdiscordLogs.java,54,54,"public final TableField<BrilliantdiscordLogsRecord, ULong> ID = createField(DSL.name(""id""), SQLDataType.BIGINTUNSIGNED.nullable(false).identity(true), this, ""ID Number"");",The primary key column is generically named 'id' instead of a more descriptive name like 'log_id' that conveys its purpose. Consider renaming it to 'log_id' or 'brilliantdiscord_log_id' to make the column's purpose clearer and to avoid ambiguity in queries with joins.
ParadiseSS13_TaskDaemon,ID Required,TaskDaemon.Database.Forums/src/me/aa07/paradise/taskdaemon/database/forums/tables/BrilliantdiscordNotifications.java,59,59,"public final TableField<BrilliantdiscordNotificationsRecord, ULong> ID = createField(DSL.name(""id""), SQLDataType.BIGINTUNSIGNED.nullable(false).identity(true), this, ""ID Number"");","The primary key column is named just 'id', which is a generic name that doesn't convey any meaning about the table it belongs to. Consider renaming it to something more descriptive like 'notification_id' to make joins and queries more readable."
ParadiseSS13_TaskDaemon,Beware of the Unknown,TaskDaemon.Database.Forums/src/me/aa07/paradise/taskdaemon/database/forums/tables/BrilliantdiscordNotifications.java,65,65,"public final TableField<BrilliantdiscordNotificationsRecord, String> NAME = createField(DSL.name(""name""), SQLDataType.VARCHAR(255).nullable(false).defaultValue(DSL.inline(""''"", SQLDataType.VARCHAR)), this, """");","The NAME column uses an empty string as a default value instead of allowing NULL, which conflates 'no value provided' with 'intentionally empty'. Consider making the column nullable and using NULL to represent missing values, or remove the default if a name is always required."
ParadiseSS13_TaskDaemon,Beware of the Unknown,TaskDaemon.Database.Forums/src/me/aa07/paradise/taskdaemon/database/forums/tables/BrilliantdiscordNotifications.java,77,77,"public final TableField<BrilliantdiscordNotificationsRecord, String> ITEM_CLASS = createField(DSL.name(""item_class""), SQLDataType.VARCHAR(255).nullable(false).defaultValue(DSL.inline(""''"", SQLDataType.VARCHAR)), this, """");","The ITEM_CLASS column uses an empty string as a default value instead of allowing NULL, which makes it difficult to distinguish between 'no class specified' and 'intentionally empty class'. Consider making the column nullable and using NULL to represent missing values."
ParadiseSS13_TaskDaemon,ID Required,TaskDaemon.Database.Forums/src/me/aa07/paradise/taskdaemon/database/forums/tables/BrilliantdiscordRatelimits.java,58,58,"public final TableField<BrilliantdiscordRatelimitsRecord, ULong> ID = createField(DSL.name(""id""), SQLDataType.BIGINTUNSIGNED.nullable(false).identity(true), this, """");","The primary key column is named just 'id', which is a generic name that doesn't convey any meaning about the entity it identifies. Consider renaming it to something more descriptive like 'ratelimit_id' to improve clarity and avoid ambiguity when joining tables."
ParadiseSS13_TaskDaemon,Beware of the Unknown,TaskDaemon.Database.Forums/src/me/aa07/paradise/taskdaemon/database/forums/tables/BrilliantdiscordRatelimits.java,64,64,"public final TableField<BrilliantdiscordRatelimitsRecord, String> ENDPOINT = createField(DSL.name(""endpoint""), SQLDataType.VARCHAR(255).nullable(false).defaultValue(DSL.inline(""''"", SQLDataType.VARCHAR)), this, """");","The ENDPOINT column uses an empty string as a default value instead of NULL to represent missing data, which conflates 'no value provided' with 'intentionally empty'. If the endpoint can be unknown, allow NULL values; otherwise, remove the default and require a meaningful value."
