Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
PathmindAI_pathmind-webapp,Implicit Columns,pathmind-database/src/main/java/io/skymind/pathmind/db/dao/ExperimentRepository.java,46,48,".select(EXPERIMENT.asterisk())
.select(MODEL.asterisk())
.select(PROJECT.asterisk())","Using asterisk() selects all columns from EXPERIMENT, MODEL, and PROJECT tables, which fetches unnecessary data and couples the code to the table schema. Explicitly list only the required columns needed for the Experiment, Model, and Project objects."
PathmindAI_pathmind-webapp,Implicit Columns,pathmind-database/src/main/java/io/skymind/pathmind/db/dao/ExperimentRepository.java,66,68,".select(EXPERIMENT.asterisk())
.select(MODEL.asterisk())
.select(PROJECT.asterisk())","Using asterisk() selects all columns from EXPERIMENT, MODEL, and PROJECT tables, which fetches unnecessary data and couples the code to the table schema. Explicitly list only the required columns needed for the Experiment, Model, and Project objects."
PathmindAI_pathmind-webapp,Implicit Columns,pathmind-database/src/main/java/io/skymind/pathmind/db/dao/ExperimentRepository.java,90,90,.select(PATHMIND_USER.asterisk()),"Using asterisk() selects all columns from the PATHMIND_USER table, which may include sensitive or unnecessary data. Explicitly list only the columns required to populate the PathmindUser object."
PathmindAI_pathmind-webapp,Implicit Columns,pathmind-database/src/main/java/io/skymind/pathmind/db/dao/ExperimentRepository.java,115,117,".select(EXPERIMENT.asterisk())
.select(MODEL.asterisk())
.select(PROJECT.asterisk())","Using asterisk() selects all columns from EXPERIMENT, MODEL, and PROJECT tables, which fetches unnecessary data and couples the code to the table schema. Explicitly list only the required columns needed for the Experiment, Model, and Project objects."
PathmindAI_pathmind-webapp,Implicit Columns,pathmind-database/src/main/java/io/skymind/pathmind/db/dao/ExperimentRepository.java,152,152,.select(EXPERIMENT.asterisk()),"Using asterisk() selects all columns from the EXPERIMENT table, which may include unnecessary data. Explicitly list only the columns required for the Experiment object."
PathmindAI_pathmind-webapp,Implicit Columns,pathmind-database/src/main/java/io/skymind/pathmind/db/dao/ExperimentRepository.java,192,192,.select(EXPERIMENT.asterisk()),"Using asterisk() selects all columns from the EXPERIMENT table, which may include unnecessary data. Explicitly list only the columns required for the Experiment object."
PathmindAI_pathmind-webapp,Implicit Columns,pathmind-database/src/main/java/io/skymind/pathmind/db/dao/ExperimentRepository.java,277,277,.select(EXPERIMENT.asterisk()),"Using asterisk() selects all columns from the EXPERIMENT table, which may include unnecessary data and couples the code to the table schema. Explicitly list only the columns required for the Experiment object."
PathmindAI_pathmind-webapp,Implicit Columns,pathmind-database/src/main/java/io/skymind/pathmind/db/dao/MetricsRawRepository.java,37,37,ctx.select(METRICS_RAW.asterisk()),"Using asterisk() fetches all columns from the METRICS_RAW table, which can retrieve unnecessary data and break if the schema changes. Explicitly list only the required columns: METRICS_RAW.AGENT, METRICS_RAW.ITERATION, METRICS_RAW.EPISODE, METRICS_RAW.INDEX, METRICS_RAW.VALUE."
PathmindAI_pathmind-webapp,Implicit Columns,pathmind-database/src/main/java/io/skymind/pathmind/db/dao/MetricsRawRepository.java,79,79,ctx.select(METRICS_RAW.asterisk()),"Using asterisk() fetches all columns from the METRICS_RAW table, which retrieves unnecessary data and creates fragile code. Explicitly select only the needed columns: METRICS_RAW.POLICY_ID, METRICS_RAW.AGENT, METRICS_RAW.ITERATION, METRICS_RAW.EPISODE, METRICS_RAW.INDEX, METRICS_RAW.VALUE."
PathmindAI_pathmind-webapp,Implicit Columns,pathmind-database/src/main/java/io/skymind/pathmind/db/dao/MetricsRepository.java,30,30,ctx.select(METRICS.asterisk()),"Using `asterisk()` selects all columns from the METRICS table, which can fetch unnecessary data and break if the schema changes. Replace with explicit column selection for only the columns needed: METRICS.AGENT, METRICS.ITERATION, METRICS.INDEX, METRICS.MAX, METRICS.MIN, METRICS.MEAN."
PathmindAI_pathmind-webapp,Implicit Columns,pathmind-database/src/main/java/io/skymind/pathmind/db/dao/MetricsRepository.java,48,48,ctx.select(METRICS.asterisk()),"Using `asterisk()` selects all columns from the METRICS table, which retrieves more data than needed and couples the code to the table schema. Replace with explicit column selection: METRICS.AGENT, METRICS.ITERATION, METRICS.INDEX, METRICS.MEAN."
PathmindAI_pathmind-webapp,Implicit Columns,pathmind-database/src/main/java/io/skymind/pathmind/db/dao/ModelRepository.java,22,22,.select(MODEL.asterisk()),"Using asterisk() selects all columns from the MODEL table, which fetches unnecessary data and couples the code to the table schema. Explicitly list only the columns needed for the Model class mapping."
PathmindAI_pathmind-webapp,Implicit Columns,pathmind-database/src/main/java/io/skymind/pathmind/db/dao/ModelRepository.java,37,37,return ctx.select(),"Using select() without arguments fetches all columns from the MODEL table, but only PROJECT_ID is used. Replace with ctx.select(Tables.MODEL.PROJECT_ID) to fetch only the required column."
PathmindAI_pathmind-webapp,Implicit Columns,pathmind-database/src/main/java/io/skymind/pathmind/db/dao/ModelRepository.java,113,113,return ctx.select(MODEL.asterisk()),"Using asterisk() selects all columns from the MODEL table, which may retrieve more data than necessary. Explicitly specify only the columns required for the Model class."
PathmindAI_pathmind-webapp,Implicit Columns,pathmind-database/src/main/java/io/skymind/pathmind/db/dao/ObservationRepository.java,57,57,return ctx.select(OBSERVATION.asterisk()),"Using asterisk() selects all columns from the OBSERVATION table, which can lead to unnecessary data transfer and maintenance issues if the table schema changes. Explicitly list only the columns needed for the Observation class."
PathmindAI_pathmind-webapp,Implicit Columns,pathmind-database/src/main/java/io/skymind/pathmind/db/dao/ObservationRepository.java,65,65,return ctx.select(OBSERVATION.asterisk()),"Using asterisk() selects all columns from the OBSERVATION table, which couples the query to the table schema and may fetch unnecessary data. Replace with an explicit list of required columns."
PathmindAI_pathmind-webapp,Implicit Columns,pathmind-database/src/main/java/io/skymind/pathmind/db/dao/PolicyRepository.java,74,74,return ctx.selectFrom(POLICY),"Using selectFrom(POLICY) fetches all columns from the POLICY table, which may retrieve unnecessary data. Specify only the required columns explicitly, e.g., ctx.select(POLICY.ID, POLICY.RUN_ID, POLICY.EXTERNAL_ID, ...).from(POLICY)."
PathmindAI_pathmind-webapp,Implicit Columns,pathmind-database/src/main/java/io/skymind/pathmind/db/dao/PolicyRepository.java,97,97,.select(EXPERIMENT.asterisk()),"Using asterisk() fetches all columns from the EXPERIMENT table, which may include unnecessary data and breaks if the schema changes. Explicitly list only the required columns from EXPERIMENT."
PathmindAI_pathmind-webapp,Implicit Columns,pathmind-database/src/main/java/io/skymind/pathmind/db/dao/PolicyRepository.java,98,98,.select(RUN.asterisk()),"Using asterisk() fetches all columns from the RUN table, which may retrieve more data than needed. Explicitly specify only the columns required for the Policy object."
PathmindAI_pathmind-webapp,Implicit Columns,pathmind-database/src/main/java/io/skymind/pathmind/db/dao/PolicyRepository.java,100,100,.select(PROJECT.asterisk()),"Using asterisk() fetches all columns from the PROJECT table, which can lead to performance issues and maintenance problems. Explicitly list only the necessary PROJECT columns."
PathmindAI_pathmind-webapp,Implicit Columns,pathmind-database/src/main/java/io/skymind/pathmind/db/dao/PolicyRepository.java,129,129,final List<Policy> policies = ctx.select(POLICY.asterisk()),"Using asterisk() fetches all columns from the POLICY table, which may include unnecessary data. Explicitly specify only the columns needed for the Policy object."
PathmindAI_pathmind-webapp,Implicit Columns,pathmind-database/src/main/java/io/skymind/pathmind/db/dao/ProjectRepository.java,49,49,"return ctx.select(PROJECT.asterisk(), modelCountField)","Using PROJECT.asterisk() fetches all columns from the PROJECT table, which can retrieve unnecessary data and break if the schema changes. Instead, explicitly list only the columns needed for the Project class."
PathmindAI_pathmind-webapp,Implicit Columns,pathmind-database/src/main/java/io/skymind/pathmind/db/dao/ProjectRepository.java,61,61,.selectFrom(PROJECT),"Using selectFrom(PROJECT) fetches all columns from the PROJECT table, which may include unnecessary data. Replace with an explicit select() specifying only the columns required for the Project class."
PathmindAI_pathmind-webapp,Implicit Columns,pathmind-database/src/main/java/io/skymind/pathmind/db/dao/ProjectRepository.java,68,68,.selectFrom(PROJECT),Using selectFrom(PROJECT) retrieves all columns from the PROJECT table regardless of what the Project class actually needs. Explicitly select only the required columns to improve performance and maintainability.
PathmindAI_pathmind-webapp,Implicit Columns,pathmind-database/src/main/java/io/skymind/pathmind/db/dao/RewardTermsRepository.java,43,43,return ctx.selectFrom(REWARD_TERM),"Using selectFrom(REWARD_TERM) fetches all columns from the table, even though only specific columns (INDEX, WEIGHT, REWARD_VARIABLE_ARRAY_INDEX, GOAL_CONDITION_TYPE, SNIPPET) are used. Replace with an explicit select() specifying only the required columns."
PathmindAI_pathmind-webapp,Implicit Columns,pathmind-database/src/main/java/io/skymind/pathmind/db/dao/RewardVariableRepository.java,35,35,return ctx.select(REWARD_VARIABLE.asterisk()),"Using asterisk() fetches all columns from the REWARD_VARIABLE table, which can retrieve unnecessary data and break if the table schema changes. Instead, explicitly select only the columns needed for the RewardVariable class."
PathmindAI_pathmind-webapp,Implicit Columns,pathmind-database/src/main/java/io/skymind/pathmind/db/dao/RunRepository.java,34,35,".select(RUN.asterisk())
.select(EXPERIMENT.asterisk())","Using asterisk() selects all columns from the RUN and EXPERIMENT tables, which can fetch unnecessary data and break if the schema changes. Replace with explicit column selections like `.select(RUN.ID, RUN.NAME, ...)` for only the columns needed."
PathmindAI_pathmind-webapp,Implicit Columns,pathmind-database/src/main/java/io/skymind/pathmind/db/dao/RunRepository.java,66,66,ctx.select(Tables.RUN.asterisk()),"Using asterisk() selects all columns from the RUN table, which may include unnecessary data and couples the code to the table schema. Explicitly list only the required columns such as `.select(RUN.ID, RUN.EXPERIMENT_ID, RUN.STATUS, ...)`."
PathmindAI_pathmind-webapp,Implicit Columns,pathmind-database/src/main/java/io/skymind/pathmind/db/dao/RunRepository.java,80,80,ctx.select(Tables.RUN.asterisk()),"Using asterisk() fetches all columns from the RUN table, which can retrieve more data than needed and is fragile to schema changes. Specify only the columns required by the Run.class mapping."
PathmindAI_pathmind-webapp,Poor Man's Search Engine,pathmind-database/src/main/java/io/skymind/pathmind/db/dao/SearchRepository.java,82,82,return MODEL.USER_NOTES.likeIgnoreCase(toLike(orClause.getKeyword()));,Using LIKE with wildcards on both sides ('%keyword%') for searching user notes performs a full table scan and cannot use indexes efficiently. Consider using a full-text search engine like PostgreSQL's tsvector/tsquery or an external search service like Elasticsearch.
PathmindAI_pathmind-webapp,Poor Man's Search Engine,pathmind-database/src/main/java/io/skymind/pathmind/db/dao/SearchRepository.java,97,97,return EXPERIMENT.USER_NOTES.likeIgnoreCase(toLike(orClause.getKeyword()));,Using LIKE with wildcards on both sides ('%keyword%') for searching user notes performs a full table scan and cannot use indexes efficiently. Consider using a full-text search engine like PostgreSQL's tsvector/tsquery or an external search service like Elasticsearch.
PathmindAI_pathmind-webapp,Poor Man's Search Engine,pathmind-database/src/main/java/io/skymind/pathmind/db/dao/SearchRepository.java,110,110,return PROJECT.NAME.likeIgnoreCase(toLike(orClause.getKeyword()));,Using LIKE with wildcards on both sides ('%keyword%') for searching project names performs a full table scan and cannot use indexes efficiently. Consider using a full-text search engine like PostgreSQL's tsvector/tsquery or an external search service like Elasticsearch.
PathmindAI_pathmind-webapp,Poor Man's Search Engine,pathmind-database/src/main/java/io/skymind/pathmind/db/dao/SearchRepository.java,112,112,return PROJECT.USER_NOTES.likeIgnoreCase(toLike(orClause.getKeyword()));,Using LIKE with wildcards on both sides ('%keyword%') for searching user notes performs a full table scan and cannot use indexes efficiently. Consider using a full-text search engine like PostgreSQL's tsvector/tsquery or an external search service like Elasticsearch.
PathmindAI_pathmind-webapp,Implicit Columns,pathmind-database/src/main/java/io/skymind/pathmind/db/dao/SimulationParameterRepository.java,36,36,ctx.select(SIMULATION_PARAMETER.asterisk()),"Using asterisk() fetches all columns from the SIMULATION_PARAMETER table, which can retrieve unnecessary data and break if the schema changes. Instead, explicitly list only the columns needed for the SimulationParameter class."
