Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
Prohkit_java-backend-course-2-link-tracker,ID Required,scrapper/src/main/java/edu/java/domain/jooq/tables/Chat.java,68,68,"public final TableField<ChatRecord, Long> ID = createField(DSL.name(""ID""), SQLDataType.BIGINT.nullable(false), this, """");","The primary key column is named just 'ID', which is a generic name that doesn't convey the table context and can cause ambiguity in JOINs. Consider renaming it to 'chat_id' to make it more descriptive and self-documenting."
Prohkit_java-backend-course-2-link-tracker,ID Required,scrapper/src/main/java/edu/java/domain/jooq/tables/Link.java,71,71,"public final TableField<LinkRecord, Long> ID = createField(DSL.name(""ID""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");",The table has a synthetic primary key named 'ID' even though there's already a unique constraint on the 'URL' column (CONSTRAINT_23) which could serve as a natural primary key. Consider using the URL as the primary key or renaming the ID column to something more descriptive like 'link_id'.
Prohkit_java-backend-course-2-link-tracker,Fear of the Unknown,scrapper/src/main/java/edu/java/domain/jooq/tables/StackoverflowQuestion.java,74,74,"public final TableField<StackoverflowQuestionRecord, Long> LINK_ID = createField(DSL.name(""LINK_ID""), SQLDataType.BIGINT, this, """");","The LINK_ID column is nullable but represents a foreign key reference to the LINK table, which should logically always have a value for a valid StackOverflow question record. Consider making this column NOT NULL since every question should be associated with a link."
Prohkit_java-backend-course-2-link-tracker,Fear of the Unknown,scrapper/src/main/java/edu/java/domain/jooq/tables/StackoverflowQuestion.java,99,99,"public final TableField<StackoverflowQuestionRecord, OffsetDateTime> LAST_ACTIVITY_DATE = createField(DSL.name(""LAST_ACTIVITY_DATE""), SQLDataType.TIMESTAMPWITHTIMEZONE(6), this, """");",The LAST_ACTIVITY_DATE column is nullable but represents a timestamp that should always exist for a StackOverflow question since every question has activity. Consider making this column NOT NULL to ensure data integrity.
Prohkit_java-backend-course-2-link-tracker,Implicit Columns,scrapper/src/main/java/edu/java/repository/jooq/JooqGithubRepoRepository.java,37,37,.returning(GITHUB_REPOSITORY.fields()),"Using `GITHUB_REPOSITORY.fields()` returns all columns from the table, which fetches more data than may be needed and couples the code to the table schema. Consider explicitly listing only the required columns in the returning clause."
Prohkit_java-backend-course-2-link-tracker,Implicit Columns,scrapper/src/main/java/edu/java/repository/jooq/JooqGithubRepoRepository.java,46,46,.returning(GITHUB_REPOSITORY.fields()),"Using `GITHUB_REPOSITORY.fields()` returns all columns from the table, which fetches more data than may be needed and couples the code to the table schema. Consider explicitly listing only the required columns in the returning clause."
Prohkit_java-backend-course-2-link-tracker,Implicit Columns,scrapper/src/main/java/edu/java/repository/jooq/JooqGithubRepoRepository.java,53,53,return dslContext.select(GITHUB_REPOSITORY.fields()),"Using `GITHUB_REPOSITORY.fields()` selects all columns from the table, which fetches more data than may be needed and couples the code to the table schema. Consider explicitly listing only the required columns in the select clause."
Prohkit_java-backend-course-2-link-tracker,Implicit Columns,scrapper/src/main/java/edu/java/repository/jooq/JooqLinkRepository.java,29,29,.returning(LINK.fields()),"Using LINK.fields() returns all columns from the LINK table, which fetches unnecessary data and couples the code to the table schema. Instead, explicitly specify only the columns needed, e.g., .returning(LINK.ID, LINK.URL, LINK.LAST_MODIFIED_TIME)."
Prohkit_java-backend-course-2-link-tracker,Implicit Columns,scrapper/src/main/java/edu/java/repository/jooq/JooqLinkRepository.java,71,71,.returning(LINK.fields()),"Using LINK.fields() returns all columns from the LINK table, which may include columns not needed by the application. Explicitly list the required columns in the returning clause instead."
Prohkit_java-backend-course-2-link-tracker,Implicit Columns,scrapper/src/main/java/edu/java/repository/jooq/JooqLinkRepository.java,78,78,return dslContext.selectFrom(LINK.leftJoin(CHAT_LINK).on(LINK.ID.eq(CHAT_LINK.LINK_ID))),"Using selectFrom() fetches all columns from the joined tables, which retrieves more data than necessary. Use select() with explicit column names to fetch only the required fields."
