Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
ProstaOlga_prostaBot,ID Required,src/main/java/com/inventory/prosta/bot/jooq/tables/AccountChat.java,54,54,"public final TableField<AccountChatRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");","This junction table uses a synthetic 'id' primary key when the natural composite key (account_id, chat_id) would be more appropriate. Consider using a composite primary key on (account_id, chat_id) instead, which naturally enforces uniqueness of the relationship and eliminates the need for an artificial identifier."
ProstaOlga_prostaBot,ID Required,src/main/java/com/inventory/prosta/bot/jooq/tables/Media.java,52,52,"public final TableField<MediaRecord, UUID> ID = createField(DSL.name(""id""), SQLDataType.UUID.nullable(false).defaultValue(DSL.field(""uuid_generate_v4()"", SQLDataType.UUID)), this, """");",The primary key column is generically named 'id' instead of a more descriptive name like 'media_id'. Consider renaming the column to 'media_id' to make it self-documenting and avoid ambiguity in queries with joins.
ProstaOlga_prostaBot,Fear of the Unknown,src/main/java/com/inventory/prosta/bot/jooq/tables/Media.java,57,57,"public final TableField<MediaRecord, byte[]> MEDIA_ = createField(DSL.name(""media""), SQLDataType.BLOB, this, """");","The 'media' column is nullable but likely should contain actual media data for every record in a media table. Consider adding a NOT NULL constraint if media content is required, or document why NULL values are semantically meaningful."
ProstaOlga_prostaBot,Fear of the Unknown,src/main/java/com/inventory/prosta/bot/jooq/tables/Media.java,62,62,"public final TableField<MediaRecord, String> MEDIA_TYPE = createField(DSL.name(""media_type""), SQLDataType.CLOB, this, """");",The 'media_type' column is nullable but should likely always have a value to identify what type of media is stored. Consider adding a NOT NULL constraint to ensure every media record has a defined type.
ProstaOlga_prostaBot,Fear of the Unknown,src/main/java/com/inventory/prosta/bot/jooq/tables/Media.java,67,67,"public final TableField<MediaRecord, String> MEDIA_FORMAT = createField(DSL.name(""media_format""), SQLDataType.CLOB, this, """");",The 'media_format' column is nullable but should likely always have a value to identify the format of the stored media. Consider adding a NOT NULL constraint to ensure every media record has a defined format.
ProstaOlga_prostaBot,Implicit Columns,src/main/java/com/inventory/prosta/bot/repository/AccountRepo.java,64,64,return dsl.select(),"Using `select()` without specifying columns fetches all columns from the ACCOUNT table, which can retrieve unnecessary data and hurt performance. Specify only the required columns explicitly, e.g., `select(ACCOUNT.TELEGRAM_ID, ACCOUNT.BIRTHDAY, ...)`."
ProstaOlga_prostaBot,Implicit Columns,src/main/java/com/inventory/prosta/bot/repository/AccountRepo.java,82,82,return dsl.select(),"Using `select()` without specifying columns fetches all columns from the ACCOUNT_CHAT table, which may include unnecessary data. Specify only the required columns explicitly, e.g., `select(ACCOUNT_CHAT.ACCOUNT_ID, ACCOUNT_CHAT.CHAT_ID, ...)`."
ProstaOlga_prostaBot,Implicit Columns,src/main/java/com/inventory/prosta/bot/repository/AccountRepo.java,90,90,return dsl.select(ACCOUNT.fields()),"Using `ACCOUNT.fields()` fetches all columns from the ACCOUNT table, which may include unnecessary data and reduce query performance. Specify only the required columns explicitly instead of using `fields()`."
ProstaOlga_prostaBot,Implicit Columns,src/main/java/com/inventory/prosta/bot/repository/AccountRepo.java,54,54,return accountDao.findById(id);,"The DAO's `findById` method fetches all columns from the ACCOUNT table into the entity. If only specific fields are needed, use a custom query with explicit column selection instead."
ProstaOlga_prostaBot,Implicit Columns,src/main/java/com/inventory/prosta/bot/repository/AccountRepo.java,42,42,accountDao.insert(account);,"The DAO's `insert` method operates on the full Account entity, implying all columns are involved. Consider using explicit column insertion if only specific fields need to be persisted."
ProstaOlga_prostaBot,Implicit Columns,src/main/java/com/inventory/prosta/bot/repository/AccountRepo.java,50,50,accountDao.update(account);,"The DAO's `update` method updates all columns of the Account entity, which may overwrite fields unnecessarily. Consider using a targeted update query specifying only the columns that need to change."
ProstaOlga_prostaBot,Implicit Columns,src/main/java/com/inventory/prosta/bot/repository/AccountRepo.java,74,74,accountChatDao.insert(accountChat);,"The DAO's `insert` method operates on the full AccountChat entity, implying all columns are involved. Consider using explicit column insertion if only specific fields need to be persisted."
ProstaOlga_prostaBot,Implicit Columns,src/main/java/com/inventory/prosta/bot/repository/AccountRepo.java,78,78,accountChatDao.delete(accountChat);,The DAO's `delete` method operates on the full AccountChat entity. Consider using a targeted delete query if only specific key columns are needed for the deletion criteria.
ProstaOlga_prostaBot,Implicit Columns,src/main/java/com/inventory/prosta/bot/repository/ChatRepo.java,45,45,return dsl.select(),"Using select() without specifying columns fetches all columns from CHAT_DB, which can retrieve unnecessary data and hurt performance. Explicitly list only the required columns, e.g., dsl.select(CHAT_DB.CHAT_ID, CHAT_DB.HOLIDAY_NOTICE, ...)."
ProstaOlga_prostaBot,Implicit Columns,src/main/java/com/inventory/prosta/bot/repository/ChatRepo.java,52,52,return dsl.select(),"Using select() without specifying columns fetches all columns from CHAT_DB, which can retrieve unnecessary data and hurt performance. Explicitly list only the required columns, e.g., dsl.select(CHAT_DB.CHAT_ID, CHAT_DB.DAILY_NOTICE, ...)."
ProstaOlga_prostaBot,Implicit Columns,src/main/java/com/inventory/prosta/bot/repository/ChatRepo.java,59,59,return dsl.select(CHAT_DB.fields()),"Using CHAT_DB.fields() fetches all columns from the CHAT_DB table, which may include unnecessary data and reduces maintainability if the table schema changes. Explicitly specify only the columns needed for the ChatDb object."
