Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
RomanZozuliauniversity_Javacourework,Implicit Columns,courework/src/main/java/com/example/banksystem/controller/AdminBankController.java,104,104,Result<?> result = (Result<? extends Record>) context.select(),"Using `select()` without specifying columns fetches all columns from both BANK_INFO and BANK_TYPE tables, which wastes bandwidth and memory. Explicitly list only the needed columns: `select(BANK_TYPE.ID, BANK_TYPE.NAME, BANK_INFO.MIN_SUM, BANK_INFO.MAX_SUM, BANK_INFO.MIN_TERM, BANK_INFO.MAX_TERM, BANK_INFO.PERCENT)`."
RomanZozuliauniversity_Javacourework,Implicit Columns,courework/src/main/java/com/example/banksystem/controller/AdminUserController.java,113,113,Result<UserInfoRecord> userInfoRecords = context.selectFrom(USER_INFO),"Using `selectFrom(USER_INFO)` fetches all columns from the USER_INFO table, which can retrieve unnecessary data and impact performance. Instead, explicitly select only the required columns: `context.select(USER_INFO.ID, USER_INFO.USER_ID, USER_INFO.BANK_ID, USER_INFO.SUM, USER_INFO.TERM, USER_INFO.LOAN).from(USER_INFO)`."
RomanZozuliauniversity_Javacourework,Implicit Columns,courework/src/main/java/com/example/banksystem/controller/AdminUserController.java,127,127,Result<UserRecord> userRecords = context.selectFrom(USER),"Using `selectFrom(USER)` fetches all columns from the USER table, which may include columns not needed for this operation. Explicitly select only the columns you need: `context.select(USER.ID, USER.NAME, USER.SURNAME, USER.USERNAME, USER.PASSWORD, USER.LOCATION, USER.AGE, USER.GENDER).from(USER)`."
RomanZozuliauniversity_Javacourework,Implicit Columns,courework/src/main/java/com/example/banksystem/dao/BankInfoDao.java,30,30,BankInfoRecord record = context.selectFrom(BANK_INFO),"Using selectFrom(BANK_INFO) fetches all columns from the BANK_INFO table, even though only specific columns are needed. Consider using select() with explicit column references like context.select(BANK_INFO.ID, BANK_INFO.BANK_ID, ...).from(BANK_INFO) to fetch only the required columns."
RomanZozuliauniversity_Javacourework,Implicit Columns,courework/src/main/java/com/example/banksystem/dao/BankInfoDao.java,62,62,Result<BankInfoRecord> bankInfoRecords = context.selectFrom(BANK_INFO),"Using selectFrom(BANK_INFO) retrieves all columns from the BANK_INFO table into records. Replace with an explicit column selection like context.select(BANK_INFO.ID, BANK_INFO.BANK_ID, BANK_INFO.MIN_SUM, ...).from(BANK_INFO) to improve query efficiency and clarity."
RomanZozuliauniversity_Javacourework,Implicit Columns,courework/src/main/java/com/example/banksystem/dao/BankTypeDao.java,30,30,BankTypeRecord record = context.selectFrom(BANK_TYPE),"Using selectFrom(BANK_TYPE) fetches all columns from the BANK_TYPE table, but only ID and NAME are actually used. Consider using select(BANK_TYPE.ID, BANK_TYPE.NAME).from(BANK_TYPE) to explicitly specify only the needed columns."
RomanZozuliauniversity_Javacourework,Implicit Columns,courework/src/main/java/com/example/banksystem/dao/BankTypeDao.java,57,57,Result<BankTypeRecord> bankTypeRecords = context.selectFrom(BANK_TYPE),"Using selectFrom(BANK_TYPE) fetches all columns from the BANK_TYPE table, but only ID and NAME are used. Consider using select(BANK_TYPE.ID, BANK_TYPE.NAME).from(BANK_TYPE) to explicitly specify only the required columns."
RomanZozuliauniversity_Javacourework,Implicit Columns,courework/src/main/java/com/example/banksystem/dao/UserDao.java,29,29,UserRecord record = context.selectFrom(USER),"Using selectFrom(USER) fetches all columns from the USER table, which can retrieve unnecessary data and impact performance. Consider using select() with only the specific columns needed, such as context.select(USER.ID, USER.NAME, USER.SURNAME, ...).from(USER)."
RomanZozuliauniversity_Javacourework,Implicit Columns,courework/src/main/java/com/example/banksystem/dao/UserDao.java,59,59,Result<UserRecord> userRecords = context.selectFrom(USER),"Using selectFrom(USER) fetches all columns from the USER table, which can be inefficient if not all columns are needed. Consider explicitly selecting only the required columns using context.select(USER.ID, USER.NAME, ...).from(USER)."
RomanZozuliauniversity_Javacourework,Implicit Columns,courework/src/main/java/com/example/banksystem/dao/UserInfoDao.java,38,38,Result<UserInfoRecord> userRecords = context.selectFrom(USER_INFO),"Using `selectFrom(USER_INFO)` fetches all columns from the USER_INFO table, which can retrieve unnecessary data and impact performance. Instead, explicitly select only the required columns using `select(USER_INFO.ID, USER_INFO.BANK_ID, USER_INFO.SUM, USER_INFO.TERM, USER_INFO.LOAN).from(USER_INFO)`."
