Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
ShaDi777_java-course-2024-backend,Implicit Columns,scrapper/src/main/java/edu/java/domain/jooq/dao/JooqLinkChatRepository.java,17,17,return dsl.selectFrom(linkChatTable),"Using selectFrom() fetches all columns from the LinkChat table, which may retrieve unnecessary data. Consider using select() with explicit column names to fetch only the required columns."
ShaDi777_java-course-2024-backend,Implicit Columns,scrapper/src/main/java/edu/java/domain/jooq/dao/JooqLinkChatRepository.java,22,22,return dsl.selectFrom(linkChatTable),"Using selectFrom() fetches all columns from the LinkChat table, which may retrieve unnecessary data. Consider using select() with explicit column names to fetch only the required columns."
ShaDi777_java-course-2024-backend,Implicit Columns,scrapper/src/main/java/edu/java/domain/jooq/dao/JooqLinkChatRepository.java,28,28,return dsl.selectFrom(linkChatTable),"Using selectFrom() fetches all columns from the LinkChat table, which may retrieve unnecessary data. Consider using select() with explicit column names to fetch only the required columns."
ShaDi777_java-course-2024-backend,Implicit Columns,scrapper/src/main/java/edu/java/domain/jooq/dao/JooqLinkRepository.java,28,28,return dsl.selectFrom(linkTable),"Using selectFrom() fetches all columns from the link table, which retrieves unnecessary data and reduces query performance. Consider using select() with only the specific columns needed for this operation."
ShaDi777_java-course-2024-backend,Implicit Columns,scrapper/src/main/java/edu/java/domain/jooq/dao/JooqLinkRepository.java,34,34,return dsl.selectFrom(linkTable),Using selectFrom() fetches all columns from the link table when only a lookup by URL is needed. Consider selecting only the required columns explicitly using select().
ShaDi777_java-course-2024-backend,Implicit Columns,scrapper/src/main/java/edu/java/domain/jooq/dao/JooqLinkRepository.java,40,40,return dsl.selectFrom(linkTable),Using selectFrom() retrieves all columns from the link table for the oldest-checked links query. Consider using select() to specify only the columns that are actually needed.
ShaDi777_java-course-2024-backend,Implicit Columns,scrapper/src/main/java/edu/java/domain/jooq/dao/JooqLinkRepository.java,47,47,return dsl.selectFrom(linkTable),Using selectFrom() fetches all columns from the link table for the findAll operation. Consider using select() with explicit column names to improve performance and clarity.
ShaDi777_java-course-2024-backend,Implicit Columns,scrapper/src/main/java/edu/java/domain/jooq/dao/JooqStackOverflowRepository.java,17,17,return dsl.selectFrom(linkStackoverflowTable),"Using `selectFrom()` fetches all columns from the LINK_STACKOVERFLOW table, which may retrieve unnecessary data. Consider using `select()` with explicitly specified columns that are actually needed."
ShaDi777_java-course-2024-backend,Implicit Columns,scrapper/src/main/java/edu/java/domain/jooq/dao/JooqTgChatRepository.java,18,18,return dsl.selectFrom(chatTable),"Using selectFrom() fetches all columns from the 'chat' table, which may retrieve unnecessary data. Consider using select() with explicit column names to fetch only the required columns."
ShaDi777_java-course-2024-backend,Implicit Columns,scrapper/src/main/java/edu/java/domain/jooq/dao/JooqTgChatRepository.java,24,24,return dsl.selectFrom(chatTable),"Using selectFrom() fetches all columns from the 'chat' table, which may retrieve unnecessary data and impact performance. Consider using select() with explicit column names to fetch only the required columns."
ShaDi777_java-course-2024-backend,ID Required,scrapper/src/main/java/edu/java/domain/jooq/generated/tables/Link.java,78,78,"public final TableField<LinkRecord, Long> LINK_ID = createField(DSL.name(""link_id""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");","The table has a synthetic auto-generated primary key (LINK_ID) even though there's already a unique constraint on URL (LINK_URL_KEY) which could serve as a natural primary key. Consider using the URL as the primary key directly, or if the synthetic key is needed for performance reasons with foreign key references, document this design decision."
ShaDi777_java-course-2024-backend,Fear of the Unknown,scrapper/src/main/java/edu/java/domain/jooq/generated/tables/LinkStackoverflow.java,79,79,"public final TableField<LinkStackoverflowRecord, Integer> COMMENTS_COUNT = createField(DSL.name(""comments_count""), SQLDataType.INTEGER.defaultValue(DSL.field(DSL.raw(""0""), SQLDataType.INTEGER)), this, """");","The COMMENTS_COUNT column has a default value of 0 but is marked as NULLABLE, which means it can never be NULL in practice yet allows NULL values. Consider making this column NOT NULL since it has a meaningful default value."
ShaDi777_java-course-2024-backend,Fear of the Unknown,scrapper/src/main/java/edu/java/domain/jooq/generated/tables/LinkStackoverflow.java,84,84,"public final TableField<LinkStackoverflowRecord, Integer> ANSWERS_COUNT = createField(DSL.name(""answers_count""), SQLDataType.INTEGER.defaultValue(DSL.field(DSL.raw(""0""), SQLDataType.INTEGER)), this, """");","The ANSWERS_COUNT column has a default value of 0 but is marked as NULLABLE, which means it can never be NULL in practice yet allows NULL values. Consider making this column NOT NULL since it has a meaningful default value."
ShaDi777_java-course-2024-backend,Fear of the Unknown,scrapper/src/main/java/edu/java/domain/jooq/generated/tables/LinkStackoverflow.java,89,89,"public final TableField<LinkStackoverflowRecord, Boolean> IS_ANSWERED = createField(DSL.name(""is_answered""), SQLDataType.BOOLEAN.defaultValue(DSL.field(DSL.raw(""false""), SQLDataType.BOOLEAN)), this, """");","The IS_ANSWERED column has a default value of false but is marked as NULLABLE, which means it can never be NULL in practice yet allows NULL values. Consider making this column NOT NULL since it has a meaningful default value."
