Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
SlideHehe_java-backend-course-2,Implicit Columns,scrapper/src/main/java/edu/java/scrapper/domain/chatlink/schemabased/jooq/JooqChatLinkDao.java,20,20,return context.selectFrom(CHAT_LINK),"Using selectFrom(CHAT_LINK) fetches all columns from the CHAT_LINK table, which may retrieve unnecessary data. Consider explicitly selecting only the required columns using select(CHAT_LINK.CHAT_ID, CHAT_LINK.LINK_ID, ...).from(CHAT_LINK)."
SlideHehe_java-backend-course-2,Implicit Columns,scrapper/src/main/java/edu/java/scrapper/domain/chatlink/schemabased/jooq/JooqChatLinkDao.java,26,26,return context.selectFrom(CHAT_LINK),Using selectFrom(CHAT_LINK) fetches all columns from the CHAT_LINK table implicitly. Consider explicitly listing only the columns needed for the ChatLink class.
SlideHehe_java-backend-course-2,Implicit Columns,scrapper/src/main/java/edu/java/scrapper/domain/chatlink/schemabased/jooq/JooqChatLinkDao.java,37,37,.returningResult(CHAT_LINK),"Using returningResult(CHAT_LINK) returns all columns from the CHAT_LINK table. Consider specifying only the required columns explicitly, e.g., returningResult(CHAT_LINK.CHAT_ID, CHAT_LINK.LINK_ID)."
SlideHehe_java-backend-course-2,Implicit Columns,scrapper/src/main/java/edu/java/scrapper/domain/chatlink/schemabased/jooq/JooqChatLinkDao.java,46,46,.returningResult(CHAT_LINK),"Using returningResult(CHAT_LINK) returns all columns from the CHAT_LINK table. Consider specifying only the required columns explicitly, e.g., returningResult(CHAT_LINK.CHAT_ID, CHAT_LINK.LINK_ID)."
SlideHehe_java-backend-course-2,ID Required,scrapper/src/main/java/edu/java/scrapper/domain/jooqcodegen/tables/Chat.java,68,69,"public final TableField<ChatRecord, Long> ID =
    createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false), this, """");","The primary key column is named just 'id', which is a generic name that doesn't convey the table context and can cause ambiguity in joins. Consider renaming it to 'chat_id' to make it more descriptive and self-documenting."
SlideHehe_java-backend-course-2,ID Required,scrapper/src/main/java/edu/java/scrapper/domain/jooqcodegen/tables/Link.java,73,74,"public final TableField<LinkRecord, Long> ID =
    createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");","The table has a synthetic primary key named 'id' even though there's already a unique constraint on 'url' (LINK_URL_KEY) which could serve as a natural primary key. Consider using the 'url' column as the primary key instead, or rename the 'id' column to something more descriptive like 'link_id'."
SlideHehe_java-backend-course-2,Implicit Columns,scrapper/src/main/java/edu/java/scrapper/domain/links/schemabased/jooq/JooqLinkDao.java,23,23,return context.selectFrom(LINK),"Using selectFrom(LINK) fetches all columns from the LINK table, which may retrieve unnecessary data and impact performance. Consider explicitly selecting only the required columns using select(LINK.ID, LINK.URL, ...).from(LINK)."
SlideHehe_java-backend-course-2,Implicit Columns,scrapper/src/main/java/edu/java/scrapper/domain/links/schemabased/jooq/JooqLinkDao.java,29,29,return context.selectFrom(LINK),"Using selectFrom(LINK) fetches all columns from the LINK table, which may retrieve unnecessary data and impact performance. Consider explicitly selecting only the required columns using select(LINK.ID, LINK.URL, ...).from(LINK)."
SlideHehe_java-backend-course-2,Implicit Columns,scrapper/src/main/java/edu/java/scrapper/domain/links/schemabased/jooq/JooqLinkDao.java,36,36,return context.selectFrom(LINK),"Using selectFrom(LINK) fetches all columns from the LINK table, which may retrieve unnecessary data and impact performance. Consider explicitly selecting only the required columns using select(LINK.ID, LINK.URL, ...).from(LINK)."
SlideHehe_java-backend-course-2,Implicit Columns,scrapper/src/main/java/edu/java/scrapper/domain/links/schemabased/jooq/JooqLinkDao.java,43,43,return context.selectFrom(LINK),"Using selectFrom(LINK) fetches all columns from the LINK table, which may retrieve unnecessary data and impact performance. Consider explicitly selecting only the required columns using select(LINK.ID, LINK.URL, ...).from(LINK)."
SlideHehe_java-backend-course-2,Implicit Columns,scrapper/src/main/java/edu/java/scrapper/domain/links/schemabased/jooq/JooqLinkDao.java,53,53,.returningResult(LINK),"Using returningResult(LINK) returns all columns from the LINK table after the insert. Consider returning only the specific columns needed using returningResult(LINK.ID, LINK.URL, ...)."
