Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
SmallWorlds-Forever_sw-streaming,Implicit Columns,server/src/main/java/com/smallworlds/daoimpl/AvadroidDaoImpl.java,84,84,ctx.select().from(AI).where(AI.AVATAR_ID.eq(avatarId)).fetch().forEach(result ->,"Using `select()` without specifying columns fetches all columns from the AI table, which can retrieve unnecessary data and impact performance. Specify only the required columns explicitly, e.g., `ctx.select(AI.OWNERID, AI.AVATAR_ID, AI.CONFIGSTRING, ...).from(AI)...`."
SmallWorlds-Forever_sw-streaming,Implicit Columns,server/src/main/java/com/smallworlds/daoimpl/AvadroidDaoImpl.java,86,86,ctx.select().from(AVATARS).where(AVATARS.AVATAR_ID.eq(result.get(AI.OWNERID))).fetch().forEach(result2 ->,"Using `select()` without specifying columns fetches all columns from the AVATARS table, but only the OWNERID from the outer query is used. Specify only the required columns or use `fetchExists` if you only need to check existence."
SmallWorlds-Forever_sw-streaming,Implicit Columns,server/src/main/java/com/smallworlds/daoimpl/AvadroidDaoImpl.java,114,114,"preparedStatement = connection.prepareStatement(""SELECT * FROM ai, items, avatar_items, scripts, ai_wearing WHERE ai.avatar_id=? AND ai.item_id = ? AND ai_wearing.avatar_id=ai.avatar_id AND ai_wearing.item_id = avatar_items.item_id AND items.model_id=avatar_items.model_id AND scripts.path = items.use_path;"");","Using `SELECT *` fetches all columns from multiple joined tables, which retrieves unnecessary data and can cause issues if table schemas change. Explicitly list only the columns needed by the `setActions` method."
SmallWorlds-Forever_sw-streaming,Implicit Columns,server/src/main/java/com/smallworlds/daoimpl/AvatarsDaoImpl.java,108,109,"if (!ctx.select().from(AVATARS).where(AVATARS.AVATAR_ID.eq(aid)).fetch().isEmpty()) {
                    ctx.select()","The query selects all columns from the AVATARS table when only checking for existence and then fetching specific fields. Use fetchExists() for the existence check and select only the required columns (NAMEINSTANCE, FIRSTNAME, HEADPOSTFIX, THUMBURL, HOMESPACEID, AVATAR_ID, SNAPSHOTPOSTFIX, LASTNAME) for the data fetch."
SmallWorlds-Forever_sw-streaming,Implicit Columns,server/src/main/java/com/smallworlds/daoimpl/AvatarsDaoImpl.java,132,133,"if (!ctx.select().from(AVATAR_PETS).where(AVATAR_PETS.STRINGID.eq(aid)).fetch().isEmpty()) {
                    ctx.select()","The query selects all columns from AVATAR_PETS when only specific fields are needed. Use fetchExists() for the existence check and select only the required columns (NAME, STRINGID, MOTTO, OWNERID) for the data fetch."
SmallWorlds-Forever_sw-streaming,Implicit Columns,server/src/main/java/com/smallworlds/daoimpl/AvatarsDaoImpl.java,150,151,"if (!ctx.select().from(AI).where(AI.AVATAR_ID.eq(aid)).fetch().isEmpty()) {
                    ctx.select()","The query selects all columns from AI when only specific fields are needed. Use fetchExists() for the existence check and select only the required columns (MOTTO, FIRSTNAME, HEADPOSTFIX, THUMBPOSTFIX, LASTNAME, AVATAR_ID, SNAPSHOTPOSTFIX) for the data fetch."
SmallWorlds-Forever_sw-streaming,Implicit Columns,server/src/main/java/com/smallworlds/daoimpl/AvatarsDaoImpl.java,194,194,ctx.select(),"The query selects all columns from AVATARS when only specific fields (NAMEINSTANCE, FIRSTNAME, AVATAR_ID, LASTNAME, OWNER_ID) are used. Specify only the required columns in the select clause."
SmallWorlds-Forever_sw-streaming,Implicit Columns,server/src/main/java/com/smallworlds/daoimpl/AvatarsDaoImpl.java,209,209,ctx.select(),"The query selects all columns from AVATAR_PETS when only specific fields (NAME, STRINGID, MOTTO, OWNERID) are used. Specify only the required columns in the select clause."
SmallWorlds-Forever_sw-streaming,Implicit Columns,server/src/main/java/com/smallworlds/daoimpl/AvatarsDaoImpl.java,224,224,ctx.select(),"The query selects all columns from AI when only specific fields (FIRSTNAME, AVATAR_ID, MOTTO, LASTNAME, OWNERID) are used. Specify only the required columns in the select clause."
SmallWorlds-Forever_sw-streaming,Implicit Columns,server/src/main/java/com/smallworlds/daoimpl/AvatarsDaoImpl.java,269,269,if (!ctx.select().from(AVATAR_ARTIFACTS).where(AVATAR_ARTIFACTS.ARTIFACT_KEY.eq(artifactId)).and(AVATAR_ARTIFACTS.AVATAR_ID.eq(aid)).fetch().isEmpty()) {,The query selects all columns from AVATAR_ARTIFACTS just to check for existence. Use ctx.fetchExists() instead to avoid fetching unnecessary data.
