Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
Space27_JavaBackendSpring,Implicit Columns,scrapper/src/main/java/edu/java/scrapper/domain/dao/jooq/JooqChatLinkDao.java,42,42,return dslContext.selectFrom(CHAT_LINK),"Using selectFrom(CHAT_LINK) fetches all columns from the CHAT_LINK table, which may retrieve unnecessary data. Explicitly specify only the required columns using select(CHAT_LINK.CHAT_ID, CHAT_LINK.LINK_ID).from(CHAT_LINK)."
Space27_JavaBackendSpring,Implicit Columns,scrapper/src/main/java/edu/java/scrapper/domain/dao/jooq/JooqChatLinkDao.java,48,48,return dslContext.selectFrom(CHAT_LINK),"Using selectFrom(CHAT_LINK) fetches all columns from the CHAT_LINK table implicitly. Replace with an explicit column selection like select(CHAT_LINK.CHAT_ID, CHAT_LINK.LINK_ID).from(CHAT_LINK)."
Space27_JavaBackendSpring,Implicit Columns,scrapper/src/main/java/edu/java/scrapper/domain/dao/jooq/JooqChatLinkDao.java,55,55,return dslContext.selectFrom(CHAT_LINK),Using selectFrom(CHAT_LINK) fetches all columns from the CHAT_LINK table without explicit specification. Use select() with explicit column names to avoid fetching unnecessary data.
Space27_JavaBackendSpring,Implicit Columns,scrapper/src/main/java/edu/java/scrapper/domain/dao/jooq/JooqChatLinkDao.java,62,62,return dslContext.select(LINK.fields()),"Using LINK.fields() selects all columns from the LINK table implicitly. Explicitly list only the columns needed, such as select(LINK.ID, LINK.URL, ...) to improve query clarity and performance."
Space27_JavaBackendSpring,Implicit Columns,scrapper/src/main/java/edu/java/scrapper/domain/dao/jooq/JooqChatLinkDao.java,71,71,return dslContext.select(CHAT.fields()),"Using CHAT.fields() selects all columns from the CHAT table implicitly. Specify only the required columns explicitly, such as select(CHAT.ID, CHAT.NAME, ...) to avoid fetching unnecessary data."
Space27_JavaBackendSpring,Implicit Columns,scrapper/src/main/java/edu/java/scrapper/domain/dao/jooq/JooqLinkDao.java,59,59,return dslContext.selectFrom(LINK),"Using selectFrom(LINK) fetches all columns from the LINK table, which may retrieve unnecessary data. Consider using select() with only the specific columns needed for the Link class."
Space27_JavaBackendSpring,Implicit Columns,scrapper/src/main/java/edu/java/scrapper/domain/dao/jooq/JooqLinkDao.java,66,66,return dslContext.selectFrom(LINK),"Using selectFrom(LINK) fetches all columns from the LINK table, which may retrieve unnecessary data. Consider using select() with only the specific columns needed for the Link class."
Space27_JavaBackendSpring,Implicit Columns,scrapper/src/main/java/edu/java/scrapper/domain/dao/jooq/JooqLinkDao.java,73,73,return dslContext.selectFrom(LINK),"Using selectFrom(LINK) fetches all columns from the LINK table, which may retrieve unnecessary data and impact performance. Consider using select() with explicit column names."
Space27_JavaBackendSpring,Implicit Columns,scrapper/src/main/java/edu/java/scrapper/domain/dao/jooq/JooqLinkDao.java,79,79,return dslContext.selectFrom(LINK),"Using selectFrom(LINK) fetches all columns from the LINK table, which may retrieve unnecessary data. Consider using select() with only the specific columns required."
Space27_JavaBackendSpring,Implicit Columns,scrapper/src/main/java/edu/java/scrapper/domain/dao/jooq/JooqTgChatDao.java,39,39,return dslContext.selectFrom(CHAT),"Using selectFrom(CHAT) fetches all columns from the CHAT table, which may retrieve unnecessary data. Consider using an explicit select() with only the required columns, e.g., dslContext.select(CHAT.ID).from(CHAT)."
