Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
Thee5176_SpringBoot_CQRS_Command,31 Flavors,src/main/java/com/thee5176/ledger_command/record/domain/model/accounting/tables/CodeOfAccount.java,79,79,"public final TableField<CodeOfAccountRecord, Element> ELEMENT = createField(DSL.name(""element""), SQLDataType.VARCHAR.nullable(false).asEnumDataType(Element.class), this, """");","The 'element' column uses an ENUM type to restrict allowed values, which makes adding or removing valid values difficult and requires schema changes. Consider creating a separate lookup table for elements and referencing it with a foreign key."
Thee5176_SpringBoot_CQRS_Command,31 Flavors,src/main/java/com/thee5176/ledger_command/record/domain/model/accounting/tables/CodeOfAccount.java,84,84,"public final TableField<CodeOfAccountRecord, BalanceType> TYPE = createField(DSL.name(""type""), SQLDataType.VARCHAR.nullable(false).asEnumDataType(BalanceType.class), this, """");","The 'type' column uses an ENUM type (BalanceType) to restrict allowed values, which limits flexibility when the set of valid values needs to change. Consider creating a separate lookup table for balance types and referencing it with a foreign key."
Thee5176_SpringBoot_CQRS_Command,ID Required,src/main/java/com/thee5176/ledger_command/record/domain/model/accounting/tables/LedgerItems.java,66,66,"public final TableField<LedgerItemsRecord, UUID> ID = createField(DSL.name(""id""), SQLDataType.UUID.nullable(false), this, """");",The primary key column is generically named 'id' instead of a more descriptive name like 'ledger_item_id'. Consider renaming the primary key to include the table name for clarity and to avoid ambiguity in joins.
Thee5176_SpringBoot_CQRS_Command,Rounding Errors,src/main/java/com/thee5176/ledger_command/record/domain/model/accounting/tables/LedgerItems.java,81,81,"public final TableField<LedgerItemsRecord, Double> AMOUNT = createField(DSL.name(""amount""), SQLDataType.DOUBLE.nullable(false), this, """");","The 'amount' column uses DOUBLE which can cause rounding errors in financial calculations. For monetary values, use DECIMAL or NUMERIC with appropriate precision and scale (e.g., DECIMAL(19,4)) to ensure exact arithmetic."
Thee5176_SpringBoot_CQRS_Command,31 Flavors,src/main/java/com/thee5176/ledger_command/record/domain/model/accounting/tables/LedgerItems.java,86,86,"public final TableField<LedgerItemsRecord, BalanceType> TYPE = createField(DSL.name(""type""), SQLDataType.VARCHAR.nullable(false).asEnumDataType(BalanceType.class), this, """");",The 'type' column uses an ENUM type (BalanceType) which makes it difficult to add or modify allowed values without schema changes. Consider creating a separate lookup table for balance types to allow easier maintenance and extensibility.
Thee5176_SpringBoot_CQRS_Command,ID Required,src/main/java/com/thee5176/ledger_command/record/domain/model/accounting/tables/Ledgers.java,66,66,"public final TableField<LedgersRecord, UUID> ID = createField(DSL.name(""id""), SQLDataType.UUID.nullable(false), this, """");",The primary key column is generically named 'id' instead of a more descriptive name like 'ledger_id'. Consider renaming the primary key to 'ledger_id' to make it self-documenting and to avoid ambiguity when joining tables.
Thee5176_SpringBoot_CQRS_Command,ID Required,src/main/java/com/thee5176/ledger_command/record/domain/model/credential/tables/Authorities.java,64,64,"public final TableField<AuthoritiesRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false), this, """");","The table uses a generic 'id' column as the primary key, but the combination of (username, authority) could serve as a natural composite primary key since authorities are inherently tied to users. Consider using a meaningful name like 'authority_id' or using a natural key based on the username and authority columns."
Thee5176_SpringBoot_CQRS_Command,ID Required,src/main/java/com/thee5176/ledger_command/record/domain/model/credential/tables/Users.java,63,63,"public final TableField<UsersRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false), this, """");","The table uses a generic 'id' as the primary key name, while a natural unique key on 'username' already exists (USERS_USERNAME_KEY). Consider using 'username' as the primary key since it's already unique and meaningful, or rename the primary key to something more descriptive like 'user_id'."
Thee5176_SpringBoot_CQRS_Command,Implicit Columns,src/main/java/com/thee5176/ledger_command/record/infrastructure/repository/LedgerItemsRepository.java,59,59,dslContext.selectFrom(Tables.LEDGER_ITEMS),"Using selectFrom() fetches all columns from the LEDGER_ITEMS table, which may retrieve unnecessary data and impact performance. Consider using select() with explicit column names to fetch only the required columns."
Thee5176_SpringBoot_CQRS_Command,Implicit Columns,src/main/java/com/thee5176/ledger_command/record/infrastructure/repository/LedgerItemsRepository.java,65,65,dslContext.selectFrom(Tables.LEDGER_ITEMS),"Using selectFrom() fetches all columns from the LEDGER_ITEMS table, which may retrieve unnecessary data and impact performance. Consider using select() with explicit column names to fetch only the required columns."
Thee5176_SpringBoot_CQRS_Command,Implicit Columns,src/main/java/com/thee5176/ledger_command/security/JOOQUsersRepository.java,45,45,return dsl.select(),"Using select() without specifying columns fetches all columns from the USERS table, which can retrieve unnecessary data and impact performance. Explicitly list only the required columns, e.g., dsl.select(Tables.USERS.ID, Tables.USERS.USERNAME, ...)."
