Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
Thee5176_SpringBoot_CQRS_Query,31 Flavors,src/main/java/com/thee5176/ledger_query/record/domain/model/accounting/tables/CodeOfAccount.java,79,79,"public final TableField<CodeOfAccountRecord, Element> ELEMENT = createField(DSL.name(""element""), SQLDataType.VARCHAR.nullable(false).asEnumDataType(Element.class), this, """");","The 'element' column uses an ENUM type to restrict allowed values, which makes adding or removing valid values difficult and requires schema changes. Consider creating a separate lookup table for elements and referencing it with a foreign key."
Thee5176_SpringBoot_CQRS_Query,31 Flavors,src/main/java/com/thee5176/ledger_query/record/domain/model/accounting/tables/CodeOfAccount.java,84,84,"public final TableField<CodeOfAccountRecord, BalanceType> TYPE = createField(DSL.name(""type""), SQLDataType.VARCHAR.nullable(false).asEnumDataType(BalanceType.class), this, """");","The 'type' column uses an ENUM type (BalanceType) to define allowed values, which limits flexibility when the set of valid values needs to change. Consider using a lookup table for balance types instead."
Thee5176_SpringBoot_CQRS_Query,ID Required,src/main/java/com/thee5176/ledger_query/record/domain/model/accounting/tables/LedgerItems.java,66,66,"public final TableField<LedgerItemsRecord, UUID> ID = createField(DSL.name(""id""), SQLDataType.UUID.nullable(false), this, """");","The primary key column is generically named 'id' instead of a more descriptive name like 'ledger_item_id'. Consider renaming the primary key to something more meaningful that identifies the entity, such as 'ledger_item_id'."
Thee5176_SpringBoot_CQRS_Query,Rounding Errors,src/main/java/com/thee5176/ledger_query/record/domain/model/accounting/tables/LedgerItems.java,81,81,"public final TableField<LedgerItemsRecord, Double> AMOUNT = createField(DSL.name(""amount""), SQLDataType.DOUBLE.nullable(false), this, """");","The 'amount' column uses DOUBLE (floating-point) type which can cause rounding errors in financial calculations. For monetary values, use a fixed-precision type like DECIMAL or NUMERIC (e.g., SQLDataType.DECIMAL(19, 4)) to ensure accurate calculations."
Thee5176_SpringBoot_CQRS_Query,31 Flavors,src/main/java/com/thee5176/ledger_query/record/domain/model/accounting/tables/LedgerItems.java,86,86,"public final TableField<LedgerItemsRecord, BalanceType> TYPE = createField(DSL.name(""type""), SQLDataType.VARCHAR.nullable(false).asEnumDataType(BalanceType.class), this, """");",The 'type' column uses an ENUM type (BalanceType) which embeds allowed values in the column definition. This makes it difficult to add or modify balance types without schema changes. Consider creating a separate 'balance_types' lookup table and referencing it with a foreign key.
Thee5176_SpringBoot_CQRS_Query,ID Required,src/main/java/com/thee5176/ledger_query/record/domain/model/accounting/tables/Ledgers.java,66,66,"public final TableField<LedgersRecord, UUID> ID = createField(DSL.name(""id""), SQLDataType.UUID.nullable(false), this, """");",The primary key column is generically named 'id' instead of a more descriptive name like 'ledger_id'. Consider renaming the primary key to 'ledger_id' to make it self-documenting and to avoid ambiguity when joining tables.
Thee5176_SpringBoot_CQRS_Query,ID Required,src/main/java/com/thee5176/ledger_query/record/domain/model/credential/tables/Authorities.java,64,64,"public final TableField<AuthoritiesRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false), this, """");","The table uses a generic 'id' column as the primary key, while the 'username' column already has a foreign key relationship to the Users table and could serve as a natural key. Consider using 'username' as the primary key or renaming the synthetic key to something more descriptive like 'authority_id'."
Thee5176_SpringBoot_CQRS_Query,ID Required,src/main/java/com/thee5176/ledger_query/record/domain/model/credential/tables/Users.java,63,63,"public final TableField<UsersRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false), this, """");","The table uses a generic 'id' column as the primary key, even though a natural unique key exists on 'username' which could serve as the primary key. Consider using 'username' as the primary key or renaming the synthetic key to something more descriptive like 'user_id'."
Thee5176_SpringBoot_CQRS_Query,Beware of the Unknown,src/main/java/com/thee5176/ledger_query/record/domain/model/credential/tables/Users.java,78,78,"public final TableField<UsersRecord, Boolean> IS_ENABLED = createField(DSL.name(""is_enabled""), SQLDataType.BOOLEAN, this, """");","The 'is_enabled' column is nullable, but a boolean flag indicating whether a user is enabled should always have a definite value. Consider adding a NOT NULL constraint with a default value (e.g., TRUE or FALSE)."
Thee5176_SpringBoot_CQRS_Query,Beware of the Unknown,src/main/java/com/thee5176/ledger_query/record/domain/model/credential/tables/Users.java,83,83,"public final TableField<UsersRecord, Boolean> IS_ACCOUNT_NON_EXPIRED = createField(DSL.name(""is_account_non_expired""), SQLDataType.BOOLEAN, this, """");","The 'is_account_non_expired' column is nullable, but this status flag should always have a definite value for proper account management. Consider adding a NOT NULL constraint with a default value."
Thee5176_SpringBoot_CQRS_Query,Beware of the Unknown,src/main/java/com/thee5176/ledger_query/record/domain/model/credential/tables/Users.java,88,88,"public final TableField<UsersRecord, Boolean> IS_CREDENTIALS_NON_EXPIRED = createField(DSL.name(""is_credentials_non_expired""), SQLDataType.BOOLEAN, this, """");","The 'is_credentials_non_expired' column is nullable, but credential expiration status should always be known. Consider adding a NOT NULL constraint with a default value."
Thee5176_SpringBoot_CQRS_Query,Beware of the Unknown,src/main/java/com/thee5176/ledger_query/record/domain/model/credential/tables/Users.java,93,93,"public final TableField<UsersRecord, Boolean> IS_ACCOUNT_NON_LOCKED = createField(DSL.name(""is_account_non_locked""), SQLDataType.BOOLEAN, this, """");","The 'is_account_non_locked' column is nullable, but account lock status should always have a definite value for security purposes. Consider adding a NOT NULL constraint with a default value."
Thee5176_SpringBoot_CQRS_Query,Implicit Columns,src/main/java/com/thee5176/ledger_query/record/infrastructure/repository/LedgerItemsRepository.java,18,18,return dslContext.selectFrom(Tables.LEDGER_ITEMS),"Using selectFrom() fetches all columns from the LEDGER_ITEMS table, which may retrieve unnecessary data and impact performance. Consider using select() with only the specific columns needed for the LedgerItems object."
Thee5176_SpringBoot_CQRS_Query,Implicit Columns,src/main/java/com/thee5176/ledger_query/record/infrastructure/repository/LedgerItemsRepository.java,23,23,return dslContext.selectFrom(Tables.LEDGER_ITEMS),Using selectFrom() fetches all columns from the LEDGER_ITEMS table when only specific fields may be needed. Consider using select() to explicitly specify only the required columns.
Thee5176_SpringBoot_CQRS_Query,Implicit Columns,src/main/java/com/thee5176/ledger_query/record/infrastructure/repository/LedgersRepository.java,42,42,return dslContext.selectFrom(Tables.LEDGERS),"Using selectFrom() fetches all columns from the LEDGERS table, which may retrieve unnecessary data and impact performance. Consider using an explicit select() with only the required columns instead."
Thee5176_SpringBoot_CQRS_Query,Implicit Columns,src/main/java/com/thee5176/ledger_query/record/infrastructure/repository/LedgersRepository.java,51,51,return dslContext.selectFrom(Tables.LEDGERS),Using selectFrom() fetches all columns from the LEDGERS table into the Ledgers POJO. Consider explicitly selecting only the columns needed for the use case to improve query efficiency.
Thee5176_SpringBoot_CQRS_Query,Implicit Columns,src/main/java/com/thee5176/ledger_query/security/JOOQUsersRepository.java,47,47,return dsl.select(),"Using select() without specifying columns fetches all columns from the USERS table, which can retrieve unnecessary data and impact performance. Explicitly list only the required columns, e.g., dsl.select(Tables.USERS.ID, Tables.USERS.USERNAME, ...)."
