Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
Tiltuem_tinkoff-java-course-2024,Implicit Columns,scrapper/src/main/java/edu/java/repository/jooq/repository/JooqLinkRepository.java,66,66,UsersRecord usersRecord = dslContext.selectFrom(USERS).where(USERS.CHAT_ID.eq(chatId)).fetchOne();,Using `selectFrom(USERS)` fetches all columns from the USERS table when only the ID is needed. Consider using `select(USERS.ID).from(USERS)` to fetch only the required column.
Tiltuem_tinkoff-java-course-2024,Implicit Columns,scrapper/src/main/java/edu/java/repository/jooq/repository/JooqLinkRepository.java,106,106,return dslContext.selectFrom(LINKS).where(LINKS.URL.eq(url.toString())).fetchOptional(),"Using `selectFrom(LINKS)` fetches all columns from the LINKS table into a record. Consider using an explicit column list like `select(LINKS.ID, LINKS.URL, LINKS.LAST_UPDATE, LINKS.SITE_ID).from(LINKS)` to fetch only the columns you need."
Tiltuem_tinkoff-java-course-2024,Implicit Columns,scrapper/src/main/java/edu/java/repository/jooq/repository/JooqLinkRepository.java,119,119,Result<Record> result = dslContext.select(),"Using `select()` without specifying columns fetches all columns from the LINKS table. Consider using an explicit column list like `select(LINKS.ID, LINKS.URL, LINKS.LAST_UPDATE, LINKS.SITE_ID)` to fetch only the required columns."
Tiltuem_tinkoff-java-course-2024,Implicit Columns,scrapper/src/main/java/edu/java/repository/jooq/repository/JooqLinkRepository.java,184,184,return dslContext.selectFrom(USER_LINKS).where(USER_LINKS.USER_ID.eq(userId).and(USER_LINKS.LINK_ID.eq(linkId))),"Using `selectFrom(USER_LINKS)` fetches all columns when you only need to check existence. Consider using `fetchExists(USER_LINKS, USER_LINKS.USER_ID.eq(userId).and(USER_LINKS.LINK_ID.eq(linkId)))` instead for a more efficient existence check."
Tiltuem_tinkoff-java-course-2024,Implicit Columns,scrapper/src/main/java/edu/java/repository/jooq/repository/JooqSiteRepository.java,40,40,.selectFrom(SITES),"Using selectFrom(SITES) fetches all columns from the SITES table, which may retrieve unnecessary data. Consider explicitly selecting only the required columns: dslContext.select(SITES.ID, SITES.SITE_NAME).from(SITES)."
Tiltuem_tinkoff-java-course-2024,Implicit Columns,scrapper/src/main/java/edu/java/repository/jooq/repository/JooqSiteRepository.java,47,47,.selectFrom(SITES),"Using selectFrom(SITES) fetches all columns from the SITES table, even though only ID and SITE_NAME are used. Consider explicitly selecting only the required columns: dslContext.select(SITES.ID, SITES.SITE_NAME).from(SITES)."
Tiltuem_tinkoff-java-course-2024,Implicit Columns,scrapper/src/main/java/edu/java/repository/jooq/repository/JooqUserRepository.java,45,45,.selectFrom(USERS),"Using selectFrom(USERS) fetches all columns from the USERS table, even though only 'id' and 'chatId' are needed. Consider using .select(USERS.ID, USERS.CHAT_ID).from(USERS) to explicitly specify the required columns."
Tiltuem_tinkoff-java-course-2024,Implicit Columns,scrapper/src/main/java/edu/java/repository/jooq/repository/JooqUserRepository.java,52,52,.selectFrom(USERS),"Using selectFrom(USERS) fetches all columns from the USERS table when only 'id' and 'chatId' are used. Replace with .select(USERS.ID, USERS.CHAT_ID).from(USERS) to fetch only the necessary columns."
Tiltuem_tinkoff-java-course-2024,Implicit Columns,scrapper/src/main/java/edu/java/repository/jooq/repository/JooqUserRepository.java,60,60,.selectFrom(USERS),"Using selectFrom(USERS) retrieves all columns from the USERS table, but only 'id' and 'chatId' are mapped. Use .select(USERS.ID, USERS.CHAT_ID).from(USERS) to explicitly select only the required columns."
Tiltuem_tinkoff-java-course-2024,Implicit Columns,scrapper/src/main/java/edu/java/repository/jooq/repository/JooqUserRepository.java,68,68,.selectFrom(USER_LINKS),Using selectFrom(USER_LINKS) fetches all columns from the USER_LINKS table when only 'userId' is needed. Replace with .select(USER_LINKS.USER_ID).from(USER_LINKS) to fetch only the required column.
Tiltuem_tinkoff-java-course-2024,ID Required,scrapper/src/main/java/edu/java/repository/jooq/tables/Links.java,68,68,"public final TableField<LinksRecord, Long> ID = createField(DSL.name(""ID""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");","The table uses a generic 'ID' column as the primary key while having a unique constraint on 'URL' which could serve as a natural key. Consider renaming the primary key to 'link_id' for clarity, or evaluate whether the URL unique constraint could be used as the primary key instead."
Tiltuem_tinkoff-java-course-2024,ID Required,scrapper/src/main/java/edu/java/repository/jooq/tables/Sites.java,67,67,"public final TableField<SitesRecord, Long> ID = createField(DSL.name(""ID""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");","The table uses a generic 'ID' column as primary key while having a unique constraint on SITE_NAME (CONSTRAINT_4B4), which could serve as a natural primary key since site names are inherently unique and immutable. Consider using SITE_NAME as the primary key or renaming the ID column to something more descriptive like 'site_id'."
Tiltuem_tinkoff-java-course-2024,ID Required,scrapper/src/main/java/edu/java/repository/jooq/tables/Users.java,67,67,"public final TableField<UsersRecord, Long> ID = createField(DSL.name(""ID""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");","The table has a synthetic auto-generated primary key named 'ID' even though the CHAT_ID column has a unique constraint (CONSTRAINT_4D) and would serve as a natural primary key. Consider using CHAT_ID as the primary key instead, since it uniquely identifies users and is immutable by nature."
