Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
UniCodeProjects_AmusementParkDB,31 Flavors,src/generated/jooq/org/apdb4j/db/tables/Accounts.java,67,67,"public final TableField<Record, String> PERMISSIONTYPE = createField(DSL.name(""PermissionType""), SQLDataType.VARCHAR(30).nullable(false), this, """");","The PERMISSION_CHECK constraint restricts PermissionType to specific values ('Admin', 'Staff', 'Guest'), which makes it difficult to add new permission types without modifying the schema. Consider creating a separate lookup table for permission types and referencing it with a foreign key."
UniCodeProjects_AmusementParkDB,ID Required,src/generated/jooq/org/apdb4j/db/tables/Guests.java,50,50,"public final TableField<Record, String> GUESTID = createField(DSL.name(""GuestID""), SQLDataType.CHAR(16).nullable(false), this, """");","The table has a synthetic primary key 'GuestID' while also having a unique constraint on 'EMAIL' (KEY_GUESTS_FKR_1_ID), which could serve as a natural primary key since email addresses are inherently unique and stable. Consider using 'EMAIL' as the primary key instead of introducing a synthetic identifier."
UniCodeProjects_AmusementParkDB,ID Required,src/generated/jooq/org/apdb4j/db/tables/ParkServices.java,54,54,"public final TableField<Record, String> PARKSERVICEID = createField(DSL.name(""ParkServiceID""), SQLDataType.CHAR(11).nullable(false), this, """");","The table has a synthetic primary key 'ParkServiceID' while there's already a unique constraint on 'Name' (KEY_PARK_SERVICES_IDPARK_SERVICE_1) which could serve as a natural primary key. Consider using the 'Name' column as the primary key if it's truly unique and immutable, or rename 'ParkServiceID' to something more descriptive like 'park_service_id'."
UniCodeProjects_AmusementParkDB,Beware of the Unknown,src/generated/jooq/org/apdb4j/db/tables/Reviews.java,74,74,"public final TableField<Record, String> DESCRIPTION = createField(DSL.name(""Description""), SQLDataType.VARCHAR(1000), this, """");","The DESCRIPTION column is marked as NULLABLE but likely represents optional review text that should either have a meaningful value or be NULL. If a description is not provided, NULL should be used to indicate the absence of a value rather than allowing ambiguity between NULL and empty strings. Consider making the column NOT NULL if descriptions are required, or ensure the application consistently uses NULL for missing descriptions."
UniCodeProjects_AmusementParkDB,31 Flavors,src/generated/jooq/org/apdb4j/db/tables/RideDetails.java,58,58,"public final TableField<Record, String> STATUS = createField(DSL.name(""Status""), SQLDataType.CHAR(1).nullable(false), this, """");","The STATUS column uses a CHECK constraint (STATUS_DOMAIN) to restrict values to 'O', 'M', 'C' instead of using a lookup table. This makes it difficult to add or modify status values without altering the table schema. Consider creating a separate 'ride_statuses' lookup table with a foreign key reference."
UniCodeProjects_AmusementParkDB,31 Flavors,src/generated/jooq/org/apdb4j/db/tables/Staff.java,88,88,"public final TableField<Record, String> GENDER = createField(DSL.name(""Gender""), SQLDataType.CHAR(1).nullable(false), this, """");","The Gender column uses a CHECK constraint to limit values to 'M' or 'F', which makes it difficult to add new gender options without modifying the table schema. Consider creating a separate lookup table for gender values that can be referenced via a foreign key."
UniCodeProjects_AmusementParkDB,31 Flavors,src/generated/jooq/org/apdb4j/db/tables/TicketTypes.java,68,68,"public final TableField<Record, String> CATEGORY = createField(DSL.name(""Category""), SQLDataType.VARCHAR(50).nullable(false), this, """");","The CATEGORY column uses a CHECK constraint (line 141) to restrict values to 'Senior', 'Kids', 'Adults', 'Disable' instead of using a lookup table. Consider creating a separate 'categories' table with these values and referencing it via a foreign key, which makes adding or modifying categories easier without schema changes."
UniCodeProjects_AmusementParkDB,31 Flavors,src/generated/jooq/org/apdb4j/db/tables/TicketTypes.java,63,63,"public final TableField<Record, String> TYPE = createField(DSL.name(""Type""), SQLDataType.VARCHAR(50).nullable(false), this, """");","The TYPE column uses a CHECK constraint (line 145) to restrict values to 'Single day ticket' and 'Season ticket' instead of using a lookup table. Consider creating a separate 'ticket_type_names' table and referencing it via a foreign key, which allows easier maintenance and extension of ticket types."
UniCodeProjects_AmusementParkDB,Implicit Columns,src/main/java/org/apdb4j/controllers/guests/BoughtTicketsControllerImpl.java,79,79,Manager.viewAllInfoFromTable(PRICE_LISTS),The method `viewAllInfoFromTable` fetches all columns from the PRICE_LISTS table when only the YEAR column is needed. Replace this with a query that explicitly selects only the PRICE_LISTS.YEAR column.
UniCodeProjects_AmusementParkDB,Poor Man's Search Engine,src/main/java/org/apdb4j/controllers/guests/ShopOverviewController.java,67,68,".and(isRestaurant ? PARK_SERVICES.TYPE.containsIgnoreCase(RESTAURANT_TYPE)
                        : PARK_SERVICES.TYPE.notContainsIgnoreCase(RESTAURANT_TYPE))","Using containsIgnoreCase/notContainsIgnoreCase performs a full-text search with LIKE '%pattern%' which cannot use indexes efficiently. Since you're matching against a known constant 'Restaurant', consider using eq/ne with case normalization (e.g., PARK_SERVICES.TYPE.equalIgnoreCase(RESTAURANT_TYPE)) or store types in a normalized format."
