Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
Unite-Organisation_Unite,ID Required,src/main/generated/org/jooq/sources/tables/AppUser.java,77,77,"public final TableField<AppUserRecord, UUID> ID = createField(DSL.name(""id""), SQLDataType.UUID.nullable(false).defaultValue(DSL.field(DSL.raw(""gen_random_uuid()""), SQLDataType.UUID)), this, """");","The table uses a generic 'id' column as the primary key, even though there are unique constraints on 'email' and 'username' that could serve as natural keys. Consider renaming the primary key to something more descriptive like 'user_id' or 'app_user_id', or evaluate whether the existing unique constraints could serve as the primary key."
Unite-Organisation_Unite,Beware of the Unknown,src/main/generated/org/jooq/sources/tables/AppUser.java,117,117,"public final TableField<AppUserRecord, LocalDateTime> CREATED_AT = createField(DSL.name(""created_at""), SQLDataType.LOCALDATETIME(6).defaultValue(DSL.field(DSL.raw(""CURRENT_TIMESTAMP""), SQLDataType.LOCALDATETIME)), this, """");","The 'created_at' column has a default value but is marked as NULLABLE, which is inconsistent since it will always have a value in practice. Consider adding a NOT NULL constraint to this column to reflect its actual usage."
Unite-Organisation_Unite,Beware of the Unknown,src/main/generated/org/jooq/sources/tables/Area.java,91,91,"public final TableField<AreaRecord, LocalDateTime> CREATED_AT = createField(DSL.name(""created_at""), SQLDataType.LOCALDATETIME(6).defaultValue(DSL.field(DSL.raw(""CURRENT_TIMESTAMP""), SQLDataType.LOCALDATETIME)), this, """");","The column 'created_at' has a default value but is marked as NULLABLE (no explicit .nullable(false)), which means it can be set to NULL even though it should always have a timestamp value. Add .nullable(false) to the column definition to enforce that this column always contains a valid timestamp."
Unite-Organisation_Unite,ID Required,src/main/generated/org/jooq/sources/tables/Building.java,68,68,"public final TableField<BuildingRecord, UUID> ID = createField(DSL.name(""id""), SQLDataType.UUID.nullable(false).defaultValue(DSL.field(DSL.raw(""gen_random_uuid()""), SQLDataType.UUID)), this, """");",The primary key column is generically named 'id' instead of a more descriptive name like 'building_id'. Consider renaming the column to 'building_id' to make it self-documenting and avoid ambiguity in queries with joins.
Unite-Organisation_Unite,ID Required,src/main/generated/org/jooq/sources/tables/BuildingManager.java,63,63,"public final TableField<BuildingManagerRecord, UUID> ID = createField(DSL.name(""id""), SQLDataType.UUID.nullable(false).defaultValue(DSL.field(DSL.raw(""gen_random_uuid()""), SQLDataType.UUID)), this, """");","This table uses a synthetic 'id' primary key even though the combination of 'building_id' and 'user_id' forms a natural composite key that uniquely identifies a building manager relationship. Consider using a composite primary key on (building_id, user_id) instead of the synthetic 'id' column."
Unite-Organisation_Unite,ID Required,src/main/generated/org/jooq/sources/tables/Conversation.java,62,62,"public final TableField<ConversationRecord, UUID> ID = createField(DSL.name(""id""), SQLDataType.UUID.nullable(false).defaultValue(DSL.field(DSL.raw(""gen_random_uuid()""), SQLDataType.UUID)), this, """");","The primary key column is named just 'id', which is a generic name that doesn't convey any meaning about the entity it identifies. Consider renaming it to 'conversation_id' to make it more descriptive and to avoid ambiguity in queries with joins."
Unite-Organisation_Unite,Beware of the Unknown,src/main/generated/org/jooq/sources/tables/Conversation.java,77,77,"public final TableField<ConversationRecord, LocalDateTime> CREATED_AT = createField(DSL.name(""created_at""), SQLDataType.LOCALDATETIME(6).defaultValue(DSL.field(DSL.raw(""CURRENT_TIMESTAMP""), SQLDataType.LOCALDATETIME)), this, """");","The 'created_at' column has a default value but is marked as NULLABLE, which is inconsistent since it will always have a value in practice. Consider adding .nullable(false) to the column definition to enforce NOT NULL constraint."
Unite-Organisation_Unite,Beware of the Unknown,src/main/generated/org/jooq/sources/tables/Conversation.java,82,82,"public final TableField<ConversationRecord, LocalDateTime> UPDATED_AT = createField(DSL.name(""updated_at""), SQLDataType.LOCALDATETIME(6).defaultValue(DSL.field(DSL.raw(""CURRENT_TIMESTAMP""), SQLDataType.LOCALDATETIME)), this, """");","The 'updated_at' column has a default value but is marked as NULLABLE, which is inconsistent since it will always have a value in practice. Consider adding .nullable(false) to the column definition to enforce NOT NULL constraint."
Unite-Organisation_Unite,ID Required,src/main/generated/org/jooq/sources/tables/ConversationMember.java,64,64,"public final TableField<ConversationMemberRecord, UUID> ID = createField(DSL.name(""id""), SQLDataType.UUID.nullable(false).defaultValue(DSL.field(DSL.raw(""gen_random_uuid()""), SQLDataType.UUID)), this, """");","The table uses a generic 'id' column as primary key, but a natural composite key of (user_id, conversation_id) would be more appropriate since a user can only be a member of a conversation once. Consider using a composite primary key on USER_ID and CONVERSATION_ID instead of a synthetic ID column."
Unite-Organisation_Unite,ID Required,src/main/generated/org/jooq/sources/tables/Facility.java,64,64,"public final TableField<FacilityRecord, UUID> ID = createField(DSL.name(""id""), SQLDataType.UUID.nullable(false).defaultValue(DSL.field(DSL.raw(""gen_random_uuid()""), SQLDataType.UUID)), this, """");",The primary key column is generically named 'id' instead of a more descriptive name like 'facility_id'. Consider renaming the primary key to 'facility_id' to make it self-documenting and easier to identify in queries involving multiple tables.
Unite-Organisation_Unite,Beware of the Unknown,src/main/generated/org/jooq/sources/tables/Facility.java,94,94,"public final TableField<FacilityRecord, Boolean> REQUIRES_APPROVAL = createField(DSL.name(""requires_approval""), SQLDataType.BOOLEAN.defaultValue(DSL.field(DSL.raw(""false""), SQLDataType.BOOLEAN)), this, """");","The column 'requires_approval' has a default value but is marked as NULLABLE, which can lead to ambiguity between NULL and the default value 'false'. Consider making this column NOT NULL since it has a meaningful default value."
Unite-Organisation_Unite,ID Required,src/main/generated/org/jooq/sources/tables/FacilityReservation.java,64,64,"public final TableField<FacilityReservationRecord, UUID> ID = createField(DSL.name(""id""), SQLDataType.UUID.nullable(false).defaultValue(DSL.field(DSL.raw(""gen_random_uuid()""), SQLDataType.UUID)), this, """");","The table has a synthetic primary key named 'id' even though a natural unique constraint exists on (facility_id, start_time, end_time) which could serve as a composite primary key. Consider using the natural key as the primary key, or rename the 'id' column to something more descriptive like 'reservation_id'."
Unite-Organisation_Unite,ID Required,src/main/generated/org/jooq/sources/tables/Issue.java,68,68,"public final TableField<IssueRecord, UUID> ID = createField(DSL.name(""id""), SQLDataType.UUID.nullable(false).defaultValue(DSL.field(DSL.raw(""gen_random_uuid()""), SQLDataType.UUID)), this, """");",The primary key column is generically named 'id' instead of a more descriptive name like 'issue_id'. Consider renaming the column to 'issue_id' to make it self-documenting and avoid ambiguity in queries with joins.
Unite-Organisation_Unite,ID Required,src/main/generated/org/jooq/sources/tables/Message.java,65,65,"public final TableField<MessageRecord, UUID> ID = createField(DSL.name(""id""), SQLDataType.UUID.nullable(false).defaultValue(DSL.field(DSL.raw(""gen_random_uuid()""), SQLDataType.UUID)), this, """");","The primary key column is named just 'id', which is a generic name that doesn't convey meaning about the entity it identifies. Consider renaming it to 'message_id' to make it more descriptive and to avoid ambiguity in queries with joins."
Unite-Organisation_Unite,Beware of the Unknown,src/main/generated/org/jooq/sources/tables/MessagesRead.java,74,74,"public final TableField<MessagesReadRecord, LocalDateTime> VIEWED_AT = createField(DSL.name(""viewed_at""), SQLDataType.LOCALDATETIME(6).defaultValue(DSL.field(DSL.raw(""CURRENT_TIMESTAMP""), SQLDataType.LOCALDATETIME)), this, """");","The VIEWED_AT column has a default value but is marked as NULLABLE, which means it can never be NULL in practice since it defaults to CURRENT_TIMESTAMP. Consider adding .nullable(false) to the column definition to accurately reflect that this column should always have a value."
Unite-Organisation_Unite,ID Required,src/main/generated/org/jooq/sources/tables/Notification.java,64,64,"public final TableField<NotificationRecord, UUID> ID = createField(DSL.name(""id""), SQLDataType.UUID.nullable(false).defaultValue(DSL.field(DSL.raw(""gen_random_uuid()""), SQLDataType.UUID)), this, """");",The primary key column is generically named 'id' instead of a more descriptive name like 'notification_id'. Consider renaming the column to 'notification_id' to make it self-documenting and avoid ambiguity in queries with joins.
