Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
VadymOselskyi_airlines-booking,ID Required,reservation/src/main/java/io/skai/reservation/jooq/tables/Airport.java,58,58,"public final TableField<AirportRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");","The table has a synthetic auto-increment primary key 'id' even though there's already a unique constraint on 'name' (KEY_AIRPORT_NAME) which could serve as a natural primary key. Consider using the airport name as the primary key, or rename 'id' to something more descriptive like 'airport_id'."
VadymOselskyi_airlines-booking,ID Required,reservation/src/main/java/io/skai/reservation/jooq/tables/Flight.java,57,57,"public final TableField<FlightRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");",The primary key is generically named 'id' instead of a more descriptive name like 'flight_id'. Consider renaming the column to 'flight_id' to make foreign key references self-documenting and avoid ambiguity in queries with multiple joined tables.
VadymOselskyi_airlines-booking,Keyless Entry,reservation/src/main/java/io/skai/reservation/jooq/tables/Flight.java,67,67,"public final TableField<FlightRecord, Long> DEPARTURE_AIRPORT_ID = createField(DSL.name(""departure_airport_id""), SQLDataType.BIGINT.nullable(false), this, """");","The column 'departure_airport_id' appears to reference the Airport table but lacks a foreign key constraint, which could lead to orphaned records or invalid references. Add a foreign key constraint referencing Airport.ID to ensure referential integrity."
VadymOselskyi_airlines-booking,Keyless Entry,reservation/src/main/java/io/skai/reservation/jooq/tables/Flight.java,77,77,"public final TableField<FlightRecord, Long> ARRIVAL_AIRPORT_ID = createField(DSL.name(""arrival_airport_id""), SQLDataType.BIGINT.nullable(false), this, """");","The column 'arrival_airport_id' appears to reference the Airport table but lacks a foreign key constraint, which could lead to orphaned records or invalid references. Add a foreign key constraint referencing Airport.ID to ensure referential integrity."
VadymOselskyi_airlines-booking,ID Required,reservation/src/main/java/io/skai/reservation/jooq/tables/Passenger.java,58,58,"public final TableField<PassengerRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");","The table uses a generic 'id' column as the primary key, even though it has unique constraints on 'email' and 'phone' columns that could serve as natural keys. Consider using 'email' as the primary key since it's already unique and immutable by nature, or rename the primary key to 'passenger_id' for better clarity."
VadymOselskyi_airlines-booking,ID Required,reservation/src/main/java/io/skai/reservation/jooq/tables/Ticket.java,57,57,"public final TableField<TicketRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");",The primary key is named generically 'id' instead of a more descriptive name like 'ticket_id'. Consider renaming the column to 'ticket_id' to make foreign key references more self-documenting and to follow a consistent naming convention across the database.
VadymOselskyi_airlines-booking,Keyless Entry,reservation/src/main/java/io/skai/reservation/jooq/tables/Ticket.java,62,62,"public final TableField<TicketRecord, Long> PASSENGER_ID = createField(DSL.name(""passenger_id""), SQLDataType.BIGINT.nullable(false), this, """");","The 'passenger_id' column references the Passenger table but lacks a foreign key constraint, which could lead to orphaned records or invalid references. Add a foreign key constraint referencing Keys.KEY_PASSENGER_PRIMARY to ensure referential integrity."
VadymOselskyi_airlines-booking,Keyless Entry,reservation/src/main/java/io/skai/reservation/jooq/tables/Ticket.java,67,67,"public final TableField<TicketRecord, Long> FLIGHT_ID = createField(DSL.name(""flight_id""), SQLDataType.BIGINT.nullable(false), this, """");","The 'flight_id' column references the Flight table but lacks a foreign key constraint, which could lead to orphaned records or invalid references. Add a foreign key constraint referencing Keys.KEY_FLIGHT_PRIMARY to ensure referential integrity."
VadymOselskyi_airlines-booking,Fear of the Unknown,reservation/src/main/java/io/skai/reservation/jooq/tables/Ticket.java,77,77,"public final TableField<TicketRecord, String> SEAT_NUMBER = createField(DSL.name(""seat_number""), SQLDataType.VARCHAR(255), this, """");","The 'seat_number' column is nullable without a clear semantic reason, as every ticket should have an assigned seat. Consider making this column NOT NULL if a seat number is always required, or document why NULL is a valid state for this column."
VadymOselskyi_airlines-booking,Implicit Columns,reservation/src/main/java/io/skai/reservation/repository/impl/AirportRepositoryImpl.java,25,25,return dslContext.selectFrom(Tables.AIRPORT),"Using selectFrom() fetches all columns from the AIRPORT table, which may retrieve unnecessary data and reduce performance. Consider using select() with explicit column names like select(Tables.AIRPORT.ID, Tables.AIRPORT.NAME, ...) to fetch only the required columns."
VadymOselskyi_airlines-booking,Implicit Columns,reservation/src/main/java/io/skai/reservation/repository/impl/AirportRepositoryImpl.java,30,30,return dslContext.selectFrom(Tables.AIRPORT),Using selectFrom() fetches all columns from the AIRPORT table when only specific fields may be needed. Replace with an explicit column selection using select() to improve query efficiency and maintainability.
VadymOselskyi_airlines-booking,Implicit Columns,reservation/src/main/java/io/skai/reservation/repository/impl/FlightRepositoryImpl.java,32,32,return dslContext.selectFrom(FLIGHT),"Using selectFrom(FLIGHT) fetches all columns from the FLIGHT table, which can retrieve unnecessary data and impact performance. Consider using select() with only the specific columns needed for this operation."
VadymOselskyi_airlines-booking,Implicit Columns,reservation/src/main/java/io/skai/reservation/repository/impl/FlightRepositoryImpl.java,38,38,return dslContext.selectFrom(FLIGHT),"Using selectFrom(FLIGHT) fetches all columns from the FLIGHT table when only specific fields may be needed. Replace with an explicit column selection like select(FLIGHT.ID, FLIGHT.ARRIVAL_DATE, ...) to improve query efficiency."
VadymOselskyi_airlines-booking,Implicit Columns,reservation/src/main/java/io/skai/reservation/repository/impl/TicketRepositoryImpl.java,33,33,return dslContext.selectFrom(TICKET),"Using selectFrom(TICKET) fetches all columns from the TICKET table, which can retrieve unnecessary data and impact performance. Consider explicitly selecting only the required columns using select(TICKET.ID, TICKET.PASSENGER_ID, ...).from(TICKET)."
VadymOselskyi_airlines-booking,Implicit Columns,reservation/src/main/java/io/skai/reservation/repository/impl/TicketRepositoryImpl.java,39,39,return dslContext.select(),"Using select() without specifying columns fetches all columns from the joined TICKET and FLIGHT tables, retrieving potentially unnecessary data. Consider explicitly listing only the needed columns, e.g., select(TICKET.ID, TICKET.PASSENGER_ID, TICKET.PRICE, TICKET.FLIGHT_ID)."
VadymOselskyi_airlines-booking,Implicit Columns,reservation/src/main/java/io/skai/reservation/validator/impl/AirportValidatorImpl.java,19,19,dslContext.selectFrom(AIRPORT),"Using selectFrom(AIRPORT) fetches all columns from the AIRPORT table, but only the ID column is needed for this existence check. Consider using fetchExists() or select only the required column with select(AIRPORT.ID).from(AIRPORT)."
VadymOselskyi_airlines-booking,Implicit Columns,reservation/src/main/java/io/skai/reservation/validator/impl/FlightValidatorImpl.java,19,19,dslContext.selectFrom(FLIGHT),Using selectFrom(FLIGHT) fetches all columns from the FLIGHT table when only checking for existence. Consider using fetchExists() or selecting only the ID column with select(FLIGHT.ID).from(FLIGHT) to improve performance.
VadymOselskyi_airlines-booking,Implicit Columns,reservation/src/main/java/io/skai/reservation/validator/impl/PassengerValidatorImpl.java,19,19,dslContext.selectFrom(PASSENGER),"Using `selectFrom(PASSENGER)` fetches all columns from the PASSENGER table, but this validation only needs to check if a record exists. Replace with `dslContext.fetchExists(dslContext.selectOne().from(PASSENGER).where(PASSENGER.ID.eq(id)))` or select only the ID column."
