Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
VictorGalkevich_LinkScrapper,ID Required,scrapper/src/main/java/edu/java/scrapper/domain/jooq/tables/Assignment.java,70,70,"public final TableField<AssignmentRecord, Long> ID = createField(DSL.name(""ID""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");","The table has a synthetic auto-increment primary key 'ID' even though a natural unique key already exists on (CHAT_ID, LINK_ID) via CONSTRAINT_5A15, which would serve as a suitable composite primary key for this junction table. Consider removing the synthetic ID column and using the composite key (CHAT_ID, LINK_ID) as the primary key instead."
VictorGalkevich_LinkScrapper,Fear of the Unknown,scrapper/src/main/java/edu/java/scrapper/domain/jooq/tables/Chats.java,78,78,"public final TableField<ChatsRecord, String> CREATED_BY = createField(DSL.name(""CREATED_BY""), SQLDataType.VARCHAR(64), this, """");","The CREATED_BY column is marked as NULLABLE but likely should always have a value since it tracks who created the record. Consider making this column NOT NULL with a meaningful default value, or ensure it's always populated during record creation."
VictorGalkevich_LinkScrapper,ID Required,scrapper/src/main/java/edu/java/scrapper/domain/jooq/tables/GithubLinks.java,69,69,"public final TableField<GithubLinksRecord, Long> ID = createField(DSL.name(""ID""), SQLDataType.BIGINT.nullable(false), this, """");","The primary key column is named just 'ID', which is a generic name that doesn't convey the table's purpose. Consider renaming it to 'github_link_id' or similar to make it more descriptive and avoid ambiguity in joins."
VictorGalkevich_LinkScrapper,ID Required,scrapper/src/main/java/edu/java/scrapper/domain/jooq/tables/Links.java,71,71,"public final TableField<LinksRecord, Long> ID = createField(DSL.name(""ID""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");","The table has a synthetic auto-generated primary key named 'ID' even though there's already a unique constraint on the 'URI' column (CONSTRAINT_45), which is a natural key suitable for identifying links. Consider using the URI as the primary key instead, or at minimum rename the ID column to something more descriptive like 'link_id'."
VictorGalkevich_LinkScrapper,Implicit Columns,scrapper/src/main/java/edu/java/scrapper/repository/jooq/JooqChatRepository.java,23,23,.returning(CHATS.fields()),"Using CHATS.fields() returns all columns from the CHATS table, which fetches more data than necessary. Replace with explicitly listing only the required columns, e.g., .returning(CHATS.ID, CHATS.CREATED_AT)."
VictorGalkevich_LinkScrapper,Implicit Columns,scrapper/src/main/java/edu/java/scrapper/repository/jooq/JooqChatRepository.java,30,30,return Optional.ofNullable(dslContext.select(CHATS.fields()),"Using CHATS.fields() selects all columns from the CHATS table, which can lead to maintenance issues if the table schema changes. Explicitly specify the required columns, e.g., dslContext.select(CHATS.ID, CHATS.CREATED_AT)."
VictorGalkevich_LinkScrapper,Implicit Columns,scrapper/src/main/java/edu/java/scrapper/repository/jooq/JooqChatRepository.java,43,43,.returning(CHATS.fields()),"Using CHATS.fields() returns all columns from the CHATS table unnecessarily. Replace with explicitly listing only the columns needed, e.g., .returning(CHATS.ID, CHATS.CREATED_AT)."
VictorGalkevich_LinkScrapper,Implicit Columns,scrapper/src/main/java/edu/java/scrapper/repository/jooq/JooqGitHubRepository.java,17,17,dslContext.select(GITHUB_LINKS.fields()),"Using `GITHUB_LINKS.fields()` selects all columns from the table, which can fetch unnecessary data and break if the schema changes. Explicitly list only the columns needed for the GitHubLink entity."
VictorGalkevich_LinkScrapper,Implicit Columns,scrapper/src/main/java/edu/java/scrapper/repository/jooq/JooqGitHubRepository.java,30,30,.returning(GITHUB_LINKS.fields()),"Using `GITHUB_LINKS.fields()` in the returning clause fetches all columns from the table, which may include unnecessary data. Explicitly specify only the columns required for the GitHubLink entity."
VictorGalkevich_LinkScrapper,Implicit Columns,scrapper/src/main/java/edu/java/scrapper/repository/jooq/JooqLinkRepository.java,27,27,.returning(LINKS.fields()),"Using LINKS.fields() returns all columns from the LINKS table, which can fetch unnecessary data and break if the schema changes. Explicitly list only the columns needed, e.g., .returning(LINKS.ID, LINKS.URI, LINKS.HOST, LINKS.PROTOCOL, LINKS.LAST_UPDATED_AT)."
VictorGalkevich_LinkScrapper,Implicit Columns,scrapper/src/main/java/edu/java/scrapper/repository/jooq/JooqLinkRepository.java,34,34,dslContext.select(LINKS.fields()),"Using LINKS.fields() selects all columns from the LINKS table, which may include unnecessary data and couples the code to the full table schema. Explicitly specify only the required columns in the select clause."
VictorGalkevich_LinkScrapper,Implicit Columns,scrapper/src/main/java/edu/java/scrapper/repository/jooq/JooqLinkRepository.java,47,47,.returning(LINKS.fields()),Using LINKS.fields() in the returning clause fetches all columns from the LINKS table. Specify only the columns that are actually needed for the Link object.
VictorGalkevich_LinkScrapper,Implicit Columns,scrapper/src/main/java/edu/java/scrapper/repository/jooq/JooqLinkRepository.java,52,52,dslContext.select(LINKS.fields()),"Using LINKS.fields() selects all columns from the LINKS table, which may retrieve more data than necessary. List only the specific columns required for the Link entity."
VictorGalkevich_LinkScrapper,Implicit Columns,scrapper/src/main/java/edu/java/scrapper/repository/jooq/JooqLinkRepository.java,61,61,dslContext.select(LINKS.fields()),Using LINKS.fields() fetches all columns from the LINKS table blindly. Explicitly enumerate the columns needed to avoid fetching unnecessary data and improve maintainability.
VictorGalkevich_LinkScrapper,Implicit Columns,scrapper/src/main/java/edu/java/scrapper/repository/jooq/JooqLinkRepository.java,90,90,dslContext.select(LINKS.fields()),Using LINKS.fields() selects all columns from the LINKS table. Replace with explicit column references to make the query more efficient and resilient to schema changes.
VictorGalkevich_LinkScrapper,Implicit Columns,scrapper/src/main/java/edu/java/scrapper/repository/jooq/JooqStackOverflowRepository.java,17,17,dslContext.select(STACKOVERFLOW_LINKS.fields()),"Using `fields()` selects all columns from the STACKOVERFLOW_LINKS table, which can fetch unnecessary data and break if the schema changes. Explicitly list only the columns needed for the StackOverflowLink entity."
VictorGalkevich_LinkScrapper,Implicit Columns,scrapper/src/main/java/edu/java/scrapper/repository/jooq/JooqStackOverflowRepository.java,32,32,.returning(STACKOVERFLOW_LINKS.fields()),"Using `fields()` in the RETURNING clause retrieves all columns from the table, which may include unnecessary data. Specify only the columns required for the StackOverflowLink entity explicitly."
