Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
Wani4ka_tcs-edu-task,ID Required,scrapper/src/main/java/ru/tinkoff/edu/java/scrapper/domain/jooq/tables/Link.java,70,70,"public final TableField<LinkRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");","The table uses a generic 'id' column as the primary key, but there's already a UNIQUE_URL constraint on the 'url' column which could serve as a natural primary key since URLs are inherently unique and immutable for links. Consider using 'url' as the primary key or renaming 'id' to something more descriptive like 'link_id'."
Wani4ka_tcs-edu-task,ID Required,scrapper/src/main/java/ru/tinkoff/edu/java/scrapper/domain/jooq/tables/Subscription.java,69,69,"public final TableField<SubscriptionRecord, Long> ID = createField(DSL.name(""id""), SQLDataType.BIGINT.nullable(false).identity(true), this, """");","The table has a synthetic auto-increment primary key 'id' even though a natural composite key already exists via the UNIQUE_PAIR constraint on (link_id, chat_id). Consider using the composite key (link_id, chat_id) as the primary key instead, since a subscription is naturally identified by its link and chat combination."
Wani4ka_tcs-edu-task,Implicit Columns,scrapper/src/main/java/ru/tinkoff/edu/java/scrapper/domain/repository/jooq/JooqChatRepository.java,34,34,return context.select(CHAT.fields()),"Using CHAT.fields() selects all columns from the CHAT table, which can fetch unnecessary data and break if the schema changes. Instead, explicitly list only the columns needed, e.g., context.select(CHAT.ID)."
Wani4ka_tcs-edu-task,Implicit Columns,scrapper/src/main/java/ru/tinkoff/edu/java/scrapper/domain/repository/jooq/JooqChatRepository.java,42,42,return context.select(CHAT.fields()),"Using CHAT.fields() selects all columns from the CHAT table, which couples the query to the full table schema. Explicitly specify only the required columns instead of using fields()."
Wani4ka_tcs-edu-task,Implicit Columns,scrapper/src/main/java/ru/tinkoff/edu/java/scrapper/domain/repository/jooq/JooqLinkRepository.java,46,46,return context.select(LINK.fields()),"Using LINK.fields() selects all columns from the LINK table, which can fetch unnecessary data and cause maintenance issues if the table schema changes. Explicitly list only the required columns: LINK.ID, LINK.URL, LINK.LAST_CHECK, LINK.LAST_EVENT."
Wani4ka_tcs-edu-task,Implicit Columns,scrapper/src/main/java/ru/tinkoff/edu/java/scrapper/domain/repository/jooq/JooqLinkRepository.java,54,54,return context.select(LINK.fields()),"Using LINK.fields() selects all columns from the LINK table, which can fetch unnecessary data and cause maintenance issues if the table schema changes. Explicitly list only the required columns: LINK.ID, LINK.URL, LINK.LAST_CHECK, LINK.LAST_EVENT."
Wani4ka_tcs-edu-task,Implicit Columns,scrapper/src/main/java/ru/tinkoff/edu/java/scrapper/domain/repository/jooq/JooqLinkRepository.java,62,62,return context.select(LINK.fields()),"Using LINK.fields() selects all columns from the LINK table, which can fetch unnecessary data and cause maintenance issues if the table schema changes. Explicitly list only the required columns: LINK.ID, LINK.URL, LINK.LAST_CHECK, LINK.LAST_EVENT."
Wani4ka_tcs-edu-task,Implicit Columns,scrapper/src/main/java/ru/tinkoff/edu/java/scrapper/domain/repository/jooq/JooqLinkRepository.java,72,72,.returning(LINK.fields()),"Using LINK.fields() in the RETURNING clause selects all columns from the LINK table, which can fetch unnecessary data. Explicitly list only the required columns: LINK.ID, LINK.URL, LINK.LAST_CHECK, LINK.LAST_EVENT."
Wani4ka_tcs-edu-task,Implicit Columns,scrapper/src/main/java/ru/tinkoff/edu/java/scrapper/domain/repository/jooq/JooqSubscriptionRepository.java,34,34,return context.select(SUBSCRIPTION.fields()),"Using SUBSCRIPTION.fields() selects all columns from the SUBSCRIPTION table, which can fetch unnecessary data and cause maintenance issues if the table schema changes. Explicitly list only the columns needed for SubscriptionEntity."
Wani4ka_tcs-edu-task,Implicit Columns,scrapper/src/main/java/ru/tinkoff/edu/java/scrapper/domain/repository/jooq/JooqSubscriptionRepository.java,41,41,return context.select(SUBSCRIPTION.fields()),"Using SUBSCRIPTION.fields() selects all columns from the SUBSCRIPTION table, which retrieves potentially unnecessary data. Specify only the required columns explicitly, such as SUBSCRIPTION.ID, SUBSCRIPTION.CHAT_ID, SUBSCRIPTION.LINK_ID."
Wani4ka_tcs-edu-task,Implicit Columns,scrapper/src/main/java/ru/tinkoff/edu/java/scrapper/domain/repository/jooq/JooqSubscriptionRepository.java,49,49,return context.select(SUBSCRIPTION.fields()),"Using SUBSCRIPTION.fields() fetches all columns blindly, which can lead to performance issues and fragile code. Replace with an explicit column list matching the fields needed by SubscriptionEntity."
Wani4ka_tcs-edu-task,Implicit Columns,scrapper/src/main/java/ru/tinkoff/edu/java/scrapper/domain/repository/jooq/JooqSubscriptionRepository.java,58,58,return context.select(SUBSCRIPTION.fields()),"Using SUBSCRIPTION.fields() selects all columns from the table without explicit specification. List the specific columns required (e.g., SUBSCRIPTION.ID, SUBSCRIPTION.CHAT_ID, SUBSCRIPTION.LINK_ID) to improve clarity and performance."
Wani4ka_tcs-edu-task,Implicit Columns,scrapper/src/main/java/ru/tinkoff/edu/java/scrapper/domain/repository/jooq/JooqSubscriptionRepository.java,66,66,return context.select(SUBSCRIPTION.fields()),Using SUBSCRIPTION.fields() retrieves all columns from the SUBSCRIPTION table implicitly. Explicitly enumerate the columns needed to avoid fetching unnecessary data and to make the code more maintainable.
