Project,Antipattern,File,Line from,Line to,Code fragment,Explanation
Yer12_tastamat,Implicit Columns,db-dao-jooq/src/main/java/kz/tastamat/dao/impl/OrderDaoImpl.java,39,39,ctx.selectFrom(o),"Using selectFrom(o) fetches all columns from the ORDER table, which may retrieve unnecessary data and impact performance. Consider explicitly selecting only the columns needed for building OrderDto."
Yer12_tastamat,Implicit Columns,db-dao-jooq/src/main/java/kz/tastamat/dao/impl/OrderDaoImpl.java,44,44,ctx.selectFrom(o),Using selectFrom(o) fetches all columns from the ORDER table when only specific fields may be needed. Specify the required columns explicitly using select() to improve query efficiency.
Yer12_tastamat,Implicit Columns,db-dao-jooq/src/main/java/kz/tastamat/dao/impl/OrderDaoImpl.java,49,49,ctx.selectFrom(o),Using selectFrom(o) retrieves all columns from the ORDER table unnecessarily. Replace with an explicit column selection to fetch only the data required for OrderDto.
Yer12_tastamat,Implicit Columns,db-dao-jooq/src/main/java/kz/tastamat/dao/impl/OrderDaoImpl.java,58,58,ctx.selectQuery(o),Using selectQuery(o) creates a query that fetches all columns from the ORDER table. Use ctx.select(...).from(o) with explicit column names to avoid retrieving unnecessary data.
Yer12_tastamat,Implicit Columns,db-dao-jooq/src/main/java/kz/tastamat/dao/impl/PaymentDaoImpl.java,40,40,ctx.selectFrom(p),"Using selectFrom(p) fetches all columns from the payment table, which may retrieve unnecessary data. Consider explicitly selecting only the columns needed for building PaymentDto."
Yer12_tastamat,Implicit Columns,db-dao-jooq/src/main/java/kz/tastamat/dao/impl/PaymentDaoImpl.java,45,45,ctx.selectFrom(p),"Using selectFrom(p) fetches all columns from the payment table, which may retrieve unnecessary data. Consider explicitly selecting only the columns needed for building PaymentDto."
Yer12_tastamat,Implicit Columns,db-dao-jooq/src/main/java/kz/tastamat/dao/impl/PaymentDaoImpl.java,68,68,ctx.selectQuery(p),Using selectQuery(p) fetches all columns from the payment table. Consider using select() with explicit column references to retrieve only the data needed for PaymentDto.
Yer12_tastamat,Implicit Columns,db-dao-jooq/src/main/java/kz/tastamat/dao/impl/ProfileDaoImpl.java,35,35,ctx.selectFrom(p),"Using selectFrom(p) fetches all columns from the PROFILE table, which may retrieve unnecessary data. Consider explicitly selecting only the columns needed for ProfileDto::build."
Yer12_tastamat,Implicit Columns,db-dao-jooq/src/main/java/kz/tastamat/dao/impl/ProfileDaoImpl.java,40,40,ctx.selectFrom(p),"Using selectFrom(p) fetches all columns from the PROFILE table, which may retrieve unnecessary data. Consider explicitly selecting only the columns needed for ProfileDto::build."
Yer12_tastamat,Implicit Columns,db-dao-jooq/src/main/java/kz/tastamat/dao/impl/UserDaoImpl.java,29,29,ctx.selectFrom(u),"Using selectFrom(u) fetches all columns from the JqUser table, which may retrieve unnecessary data. Consider explicitly selecting only the columns needed for building UserDto."
Yer12_tastamat,Implicit Columns,db-dao-jooq/src/main/java/kz/tastamat/dao/impl/UserDaoImpl.java,34,34,ctx.selectFrom(u),"Using selectFrom(u) fetches all columns from the JqUser table, which may retrieve unnecessary data. Consider explicitly selecting only the columns needed for building UserDto."
Yer12_tastamat,Implicit Columns,db-dao-jooq/src/main/java/kz/tastamat/dao/impl/UserDaoImpl.java,39,39,ctx.selectFrom(u),"Using selectFrom(u) fetches all columns from the JqUser table, which may retrieve unnecessary data. Consider explicitly selecting only the columns needed for building UserDto."
Yer12_tastamat,Implicit Columns,db-dao-jooq/src/main/java/kz/tastamat/dao/impl/UserDaoImpl.java,47,47,ctx.selectFrom(u),"Using selectFrom(u) fetches all columns from the JqUser table, which may retrieve unnecessary data. Consider explicitly selecting only the columns needed for building UserDto."
Yer12_tastamat,Implicit Columns,db-dao-jooq/src/main/java/kz/tastamat/dao/impl/UserDaoImpl.java,56,56,ctx.selectFrom(u),"Using selectFrom(u) fetches all columns from the JqUser table, which may retrieve unnecessary data. Consider explicitly selecting only the columns needed for building UserDto."
Yer12_tastamat,Fear of the Unknown,db-model/src/main/java/kz/tastamat/db/model/jooq/tables/JqOrder.java,136,136,"public final TableField<JqOrderRecord, Boolean> SMS = createField(""sms_"", org.jooq.impl.SQLDataType.BOOLEAN.defaultValue(org.jooq.impl.DSL.field(""false"", org.jooq.impl.SQLDataType.BOOLEAN)), this, """");","The SMS column has a default value but is still marked as NULLABLE, which means it can never be NULL in practice yet allows NULL values. Consider adding a NOT NULL constraint to this column since it has a default value."
Yer12_tastamat,Fear of the Unknown,db-model/src/main/java/kz/tastamat/db/model/jooq/tables/JqPayment.java,66,66,"public final TableField<JqPaymentRecord, OffsetDateTime> CREATE_DATE = createField(""create_date_"", org.jooq.impl.SQLDataType.TIMESTAMPWITHTIMEZONE, this, """");",The CREATE_DATE column is marked as NULLABLE but likely should never be NULL for a payment record since it represents when the payment was created. Consider adding a NOT NULL constraint and a default value like CURRENT_TIMESTAMP.
Yer12_tastamat,Fear of the Unknown,db-model/src/main/java/kz/tastamat/db/model/jooq/tables/JqPayment.java,71,71,"public final TableField<JqPaymentRecord, OffsetDateTime> MODIFY_DATE = createField(""modify_date_"", org.jooq.impl.SQLDataType.TIMESTAMPWITHTIMEZONE, this, """");",The MODIFY_DATE column is marked as NULLABLE but likely should never be NULL for a payment record since it tracks modification timestamps. Consider adding a NOT NULL constraint and a default value like CURRENT_TIMESTAMP.
Yer12_tastamat,Keyless Entry,db-model/src/main/java/kz/tastamat/db/model/jooq/tables/JqProfile.java,81,81,"public final TableField<JqProfileRecord, Long> WALLET = createField(""wallet_"", org.jooq.impl.SQLDataType.BIGINT, this, """");","The WALLET column appears to reference another table (likely a wallet table) but has no foreign key constraint defined. Consider adding a foreign key constraint to ensure referential integrity, such as REFERENCES wallet(id)."
